,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.079,0.038,0.005,0.151,0.003,0.003,171.0,35.0,1.02
Ds[0],34.959,0.036,34.886,35.016,0.003,0.002,181.0,51.0,1.02
RV[0],3.611,1.381,1.484,5.978,0.05,0.036,857.0,835.0,1.0
"eps[0, 0]",0.14,0.031,0.087,0.2,0.001,0.001,671.0,741.0,1.0
"eps[1, 0]",0.058,0.054,-0.037,0.161,0.002,0.002,624.0,671.0,1.01
"eps[2, 0]",-0.109,0.049,-0.203,-0.018,0.002,0.001,564.0,619.0,1.0
"eps[3, 0]",0.044,0.035,-0.019,0.111,0.001,0.001,616.0,634.0,1.0
"eps[4, 0]",-0.058,0.038,-0.13,0.013,0.002,0.001,561.0,623.0,1.01
"eps[5, 0]",-0.135,0.176,-0.463,0.188,0.007,0.005,620.0,700.0,1.01
"eps[6, 0]",-0.31,0.11,-0.514,-0.108,0.003,0.002,1100.0,588.0,1.01
"eps[7, 0]",-0.178,0.083,-0.357,-0.037,0.003,0.002,703.0,608.0,1.01
"eps[8, 0]",0.066,0.11,-0.156,0.26,0.004,0.003,965.0,699.0,1.01
"eps[9, 0]",0.057,0.024,0.011,0.099,0.001,0.001,283.0,522.0,1.0
"eps[10, 0]",-0.081,0.02,-0.118,-0.047,0.001,0.001,249.0,413.0,1.01
"eps[11, 0]",0.166,0.019,0.132,0.202,0.001,0.001,420.0,509.0,1.01
"eps[12, 0]",0.0,0.015,-0.026,0.031,0.001,0.001,265.0,545.0,1.01
"eps[13, 0]",0.033,0.019,-0.003,0.068,0.001,0.001,351.0,513.0,1.01
"eps[14, 0]",0.033,0.137,-0.208,0.289,0.006,0.004,587.0,799.0,1.01
"eps[15, 0]",0.033,0.055,-0.054,0.157,0.004,0.004,223.0,47.0,1.02
"eps[16, 0]",0.051,0.03,-0.005,0.107,0.001,0.001,447.0,649.0,1.01
"eps[17, 0]",0.029,0.036,-0.025,0.103,0.003,0.002,196.0,146.0,1.01
"eps[18, 0]",-0.028,0.023,-0.068,0.016,0.001,0.001,335.0,596.0,1.01
"eps[19, 0]",-0.065,0.023,-0.106,-0.018,0.001,0.001,452.0,553.0,1.0
"eps[20, 0]",-0.038,0.021,-0.074,0.005,0.001,0.001,321.0,485.0,1.01
"eps[21, 0]",-0.101,0.016,-0.133,-0.072,0.001,0.001,450.0,478.0,1.0
"eps[22, 0]",-0.036,0.019,-0.07,-0.001,0.001,0.001,386.0,641.0,1.01
"eps[23, 0]",0.071,0.116,-0.166,0.266,0.005,0.004,581.0,713.0,1.0
"eps[24, 0]",-0.166,0.053,-0.259,-0.064,0.002,0.002,524.0,673.0,1.0
"eps[25, 0]",-0.1,0.04,-0.175,-0.022,0.003,0.002,178.0,38.0,1.02
"eps[26, 0]",0.03,0.04,-0.043,0.107,0.002,0.001,429.0,759.0,1.0
"eps[27, 0]",0.028,0.033,-0.044,0.084,0.001,0.001,551.0,656.0,1.0
"eps[28, 0]",-0.209,0.026,-0.26,-0.163,0.001,0.001,384.0,830.0,1.02
"eps[29, 0]",0.106,0.019,0.066,0.138,0.001,0.001,643.0,724.0,1.01
"eps[30, 0]",-0.069,0.015,-0.097,-0.042,0.001,0.001,341.0,661.0,1.01
"eps[31, 0]",0.028,0.027,-0.018,0.079,0.001,0.001,317.0,570.0,1.0
"eps[32, 0]",0.137,0.132,-0.131,0.366,0.005,0.003,825.0,816.0,1.01
"eps[33, 0]",-0.035,0.062,-0.153,0.077,0.002,0.002,653.0,694.0,1.0
"eps[34, 0]",0.109,0.064,-0.018,0.225,0.002,0.002,830.0,837.0,1.0
"eps[35, 0]",0.219,0.05,0.125,0.309,0.002,0.001,712.0,768.0,1.0
"eps[36, 0]",-0.075,0.025,-0.121,-0.032,0.001,0.001,398.0,598.0,1.0
"eps[37, 0]",-0.144,0.027,-0.195,-0.094,0.001,0.001,592.0,733.0,1.0
"eps[38, 0]",-0.037,0.02,-0.079,-0.003,0.001,0.001,690.0,599.0,1.0
"eps[39, 0]",-0.058,0.021,-0.097,-0.017,0.001,0.001,553.0,597.0,1.0
"eps[40, 0]",0.001,0.019,-0.034,0.038,0.001,0.001,349.0,625.0,1.01
"eps[41, 0]",0.049,0.101,-0.135,0.228,0.003,0.003,959.0,755.0,1.0
"eps[42, 0]",0.239,0.05,0.148,0.334,0.002,0.001,560.0,803.0,1.0
"eps[43, 0]",0.212,0.042,0.132,0.283,0.002,0.001,491.0,624.0,1.01
"eps[44, 0]",0.089,0.042,0.01,0.16,0.002,0.001,400.0,616.0,1.01
"eps[45, 0]",0.167,0.036,0.095,0.233,0.001,0.001,1220.0,630.0,1.0
"eps[46, 0]",0.024,0.053,-0.086,0.114,0.002,0.002,782.0,594.0,1.0
"eps[47, 0]",-0.025,0.022,-0.071,0.011,0.002,0.002,177.0,25.0,1.03
"eps[48, 0]",-0.141,0.025,-0.194,-0.1,0.001,0.001,590.0,751.0,1.02
"eps[49, 0]",-0.234,0.025,-0.28,-0.187,0.001,0.001,726.0,665.0,1.02
