,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],1.615,0.152,1.333,1.924,0.009,0.007,264.0,328.0,1.02
Ds[0],35.246,0.137,34.982,35.51,0.008,0.006,293.0,466.0,1.02
RV[0],1.897,0.244,1.385,2.314,0.015,0.01,280.0,398.0,1.02
"eps[0, 0]",0.05,0.078,-0.095,0.201,0.003,0.002,700.0,811.0,1.01
"eps[1, 0]",0.126,0.139,-0.125,0.397,0.005,0.004,760.0,515.0,1.0
"eps[2, 0]",-0.036,0.102,-0.236,0.147,0.003,0.003,941.0,915.0,1.01
"eps[3, 0]",-0.064,0.105,-0.246,0.132,0.004,0.003,558.0,588.0,1.0
"eps[4, 0]",0.026,0.09,-0.131,0.198,0.003,0.002,1060.0,913.0,1.0
"eps[5, 0]",-0.035,0.205,-0.463,0.312,0.007,0.007,929.0,666.0,1.0
"eps[6, 0]",0.075,0.093,-0.094,0.26,0.004,0.003,660.0,728.0,1.01
"eps[7, 0]",-0.062,0.074,-0.208,0.069,0.003,0.002,471.0,714.0,1.0
"eps[8, 0]",-0.099,0.105,-0.289,0.105,0.004,0.003,701.0,809.0,1.01
"eps[9, 0]",-0.038,0.045,-0.131,0.043,0.002,0.001,831.0,708.0,1.01
"eps[10, 0]",0.138,0.039,0.064,0.206,0.001,0.001,1172.0,878.0,1.0
"eps[11, 0]",-0.081,0.031,-0.138,-0.028,0.001,0.001,611.0,642.0,1.0
"eps[12, 0]",-0.016,0.028,-0.068,0.035,0.001,0.001,609.0,726.0,1.0
"eps[13, 0]",-0.053,0.032,-0.116,0.002,0.001,0.001,561.0,804.0,1.0
"eps[14, 0]",0.084,0.133,-0.171,0.321,0.004,0.003,972.0,713.0,1.01
"eps[15, 0]",0.065,0.064,-0.043,0.196,0.002,0.002,892.0,795.0,1.0
"eps[16, 0]",0.04,0.052,-0.063,0.136,0.003,0.002,407.0,401.0,1.01
"eps[17, 0]",0.034,0.065,-0.104,0.14,0.003,0.002,430.0,764.0,1.02
"eps[18, 0]",-0.033,0.051,-0.122,0.064,0.002,0.001,763.0,765.0,1.0
