,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.589,0.11,0.412,0.789,0.005,0.004,485.0,496.0,1.0
Ds[0],35.412,0.104,35.219,35.581,0.005,0.003,457.0,681.0,1.0
RV[0],1.479,0.364,1.0,2.13,0.017,0.012,455.0,586.0,1.0
"eps[0, 0]",-0.086,0.079,-0.236,0.056,0.002,0.002,1032.0,731.0,1.0
"eps[1, 0]",0.278,0.141,0.009,0.534,0.004,0.003,1239.0,820.0,1.0
"eps[2, 0]",-0.116,0.103,-0.313,0.064,0.003,0.002,880.0,749.0,1.0
"eps[3, 0]",0.183,0.116,-0.041,0.39,0.004,0.003,1029.0,781.0,1.0
"eps[4, 0]",0.207,0.119,-0.012,0.438,0.004,0.003,855.0,802.0,1.01
"eps[5, 0]",-0.316,0.206,-0.675,0.084,0.005,0.004,1464.0,783.0,1.0
"eps[6, 0]",0.239,0.174,-0.038,0.593,0.003,0.003,2536.0,796.0,1.0
"eps[7, 0]",0.025,0.155,-0.256,0.31,0.004,0.005,1845.0,865.0,1.0
"eps[8, 0]",0.291,0.134,0.053,0.556,0.003,0.002,1703.0,766.0,1.01
"eps[9, 0]",0.087,0.041,0.011,0.164,0.002,0.001,706.0,627.0,1.0
"eps[10, 0]",-0.007,0.033,-0.065,0.058,0.001,0.001,1302.0,803.0,1.0
"eps[11, 0]",-0.091,0.027,-0.144,-0.041,0.001,0.001,1002.0,801.0,1.0
"eps[12, 0]",-0.071,0.024,-0.115,-0.025,0.001,0.001,965.0,832.0,1.01
"eps[13, 0]",-0.03,0.027,-0.08,0.021,0.001,0.001,848.0,771.0,1.01
"eps[14, 0]",0.063,0.13,-0.172,0.326,0.004,0.004,1386.0,755.0,1.01
"eps[15, 0]",0.071,0.068,-0.053,0.195,0.002,0.002,878.0,734.0,1.0
"eps[16, 0]",0.105,0.052,0.007,0.197,0.002,0.002,614.0,689.0,1.0
"eps[17, 0]",-0.084,0.081,-0.231,0.069,0.002,0.002,1466.0,797.0,1.01
"eps[18, 0]",0.096,0.035,0.034,0.161,0.001,0.001,869.0,795.0,1.0
"eps[19, 0]",0.127,0.039,0.047,0.193,0.001,0.001,815.0,751.0,1.0
"eps[20, 0]",-0.07,0.028,-0.12,-0.012,0.001,0.001,856.0,746.0,1.0
"eps[21, 0]",0.01,0.028,-0.041,0.061,0.001,0.001,711.0,569.0,1.0
"eps[22, 0]",0.022,0.035,-0.045,0.084,0.001,0.001,647.0,717.0,1.0
"eps[23, 0]",0.229,0.132,-0.005,0.487,0.003,0.003,1427.0,686.0,1.01
"eps[24, 0]",0.136,0.068,0.008,0.258,0.002,0.002,1122.0,865.0,1.0
"eps[25, 0]",-0.332,0.071,-0.451,-0.19,0.002,0.002,901.0,715.0,1.0
"eps[26, 0]",0.05,0.121,-0.166,0.279,0.003,0.004,1446.0,841.0,1.0
"eps[27, 0]",-0.014,0.054,-0.122,0.076,0.002,0.002,886.0,512.0,1.01
"eps[28, 0]",-0.066,0.044,-0.151,0.011,0.001,0.001,1487.0,818.0,1.01
"eps[29, 0]",0.02,0.03,-0.04,0.073,0.001,0.001,922.0,843.0,1.01
"eps[30, 0]",-0.05,0.026,-0.098,-0.0,0.001,0.001,1096.0,897.0,1.0
"eps[31, 0]",0.101,0.039,0.025,0.172,0.001,0.001,966.0,616.0,1.0
"eps[32, 0]",0.184,0.141,-0.071,0.455,0.004,0.003,1371.0,780.0,1.0
