,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.623,0.147,0.397,0.886,0.007,0.005,459.0,614.0,1.0
Ds[0],35.408,0.139,35.145,35.627,0.007,0.005,470.0,614.0,1.0
RV[0],1.724,0.546,1.002,2.707,0.026,0.018,463.0,557.0,1.0
"eps[0, 0]",-0.087,0.081,-0.253,0.059,0.003,0.002,967.0,622.0,1.01
"eps[1, 0]",0.316,0.144,0.047,0.581,0.004,0.003,1088.0,616.0,1.0
"eps[2, 0]",-0.152,0.106,-0.354,0.03,0.003,0.003,979.0,731.0,1.01
"eps[3, 0]",0.192,0.117,-0.025,0.403,0.004,0.003,989.0,418.0,1.01
"eps[4, 0]",0.194,0.122,-0.055,0.401,0.004,0.003,843.0,854.0,1.01
"eps[5, 0]",-0.339,0.21,-0.721,0.023,0.005,0.005,1482.0,654.0,1.01
"eps[6, 0]",0.256,0.179,-0.057,0.593,0.004,0.004,1782.0,843.0,1.0
"eps[7, 0]",0.033,0.154,-0.274,0.307,0.004,0.005,1893.0,794.0,1.0
"eps[8, 0]",0.309,0.139,0.038,0.553,0.003,0.002,1711.0,717.0,1.0
"eps[9, 0]",0.122,0.04,0.043,0.19,0.002,0.001,658.0,724.0,1.0
"eps[10, 0]",-0.0,0.034,-0.07,0.056,0.001,0.001,1049.0,825.0,1.01
"eps[11, 0]",-0.108,0.027,-0.159,-0.059,0.001,0.001,971.0,792.0,1.0
"eps[12, 0]",-0.088,0.025,-0.136,-0.043,0.001,0.001,804.0,813.0,1.0
"eps[13, 0]",-0.027,0.026,-0.07,0.029,0.001,0.001,864.0,752.0,1.0
"eps[14, 0]",0.097,0.133,-0.132,0.383,0.003,0.004,1476.0,833.0,1.01
"eps[15, 0]",0.1,0.068,-0.025,0.221,0.002,0.002,1025.0,586.0,1.0
"eps[16, 0]",0.122,0.053,0.03,0.221,0.002,0.002,600.0,738.0,1.0
"eps[17, 0]",-0.082,0.079,-0.241,0.052,0.002,0.002,1675.0,857.0,1.01
"eps[18, 0]",0.121,0.033,0.058,0.179,0.001,0.001,807.0,798.0,1.0
"eps[19, 0]",0.134,0.039,0.054,0.203,0.001,0.001,891.0,739.0,1.01
"eps[20, 0]",-0.092,0.029,-0.145,-0.036,0.001,0.001,692.0,724.0,1.0
"eps[21, 0]",-0.009,0.027,-0.057,0.043,0.001,0.001,840.0,897.0,1.0
"eps[22, 0]",0.021,0.036,-0.042,0.09,0.002,0.001,569.0,549.0,1.0
"eps[23, 0]",0.257,0.133,0.012,0.505,0.004,0.003,1339.0,872.0,1.01
"eps[24, 0]",0.17,0.069,0.042,0.293,0.002,0.002,990.0,838.0,1.01
"eps[25, 0]",-0.319,0.072,-0.449,-0.182,0.002,0.002,888.0,731.0,1.0
