,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.168,0.045,0.081,0.242,0.002,0.002,334.0,357.0,1.01
Ds[0],32.933,0.044,32.851,33.009,0.003,0.002,286.0,324.0,1.0
RV[0],2.802,1.296,1.009,5.198,0.063,0.045,462.0,634.0,1.0
"eps[0, 0]",0.048,0.06,-0.052,0.152,0.007,0.005,82.0,612.0,1.05
"eps[1, 0]",0.668,0.063,0.551,0.783,0.003,0.002,560.0,556.0,1.0
"eps[2, 0]",-0.047,0.069,-0.167,0.071,0.008,0.006,81.0,606.0,1.05
"eps[3, 0]",0.229,0.055,0.128,0.32,0.006,0.005,85.0,598.0,1.05
"eps[4, 0]",0.129,0.051,0.035,0.215,0.006,0.004,80.0,493.0,1.05
"eps[5, 0]",-0.414,0.197,-0.76,-0.045,0.011,0.008,309.0,685.0,1.02
"eps[6, 0]",0.316,0.061,0.21,0.433,0.005,0.004,149.0,634.0,1.02
"eps[7, 0]",0.157,0.051,0.065,0.247,0.007,0.005,61.0,481.0,1.06
"eps[8, 0]",0.023,0.081,-0.109,0.197,0.003,0.002,933.0,833.0,1.01
"eps[9, 0]",0.096,0.029,0.042,0.145,0.001,0.001,469.0,686.0,1.01
"eps[10, 0]",0.185,0.025,0.144,0.236,0.001,0.001,374.0,653.0,1.0
"eps[11, 0]",-0.113,0.018,-0.145,-0.078,0.001,0.001,439.0,726.0,1.0
"eps[12, 0]",-0.024,0.018,-0.055,0.01,0.001,0.001,175.0,596.0,1.01
"eps[13, 0]",-0.006,0.019,-0.041,0.028,0.001,0.001,321.0,380.0,1.01
"eps[14, 0]",0.246,0.107,0.038,0.436,0.004,0.003,653.0,681.0,1.01
"eps[15, 0]",-0.015,0.034,-0.076,0.048,0.002,0.001,390.0,580.0,1.0
"eps[16, 0]",0.131,0.024,0.093,0.183,0.001,0.001,373.0,519.0,1.0
"eps[17, 0]",0.104,0.032,0.05,0.172,0.002,0.001,322.0,524.0,1.0
"eps[18, 0]",0.096,0.032,0.04,0.16,0.003,0.002,121.0,412.0,1.04
"eps[19, 0]",0.188,0.029,0.135,0.242,0.001,0.001,682.0,729.0,1.01
"eps[20, 0]",-0.192,0.02,-0.23,-0.157,0.001,0.001,292.0,625.0,1.03
"eps[21, 0]",0.015,0.019,-0.021,0.049,0.001,0.001,226.0,533.0,1.03
"eps[22, 0]",-0.068,0.018,-0.101,-0.035,0.001,0.001,357.0,617.0,1.01
"eps[23, 0]",0.305,0.124,0.071,0.541,0.005,0.003,729.0,793.0,1.0
"eps[24, 0]",-0.003,0.038,-0.071,0.074,0.002,0.001,470.0,620.0,1.0
"eps[25, 0]",0.199,0.033,0.137,0.259,0.003,0.002,176.0,530.0,1.03
"eps[26, 0]",0.118,0.033,0.06,0.179,0.002,0.002,187.0,305.0,1.01
"eps[27, 0]",0.067,0.033,-0.001,0.123,0.002,0.001,255.0,577.0,1.02
"eps[28, 0]",0.057,0.035,-0.013,0.12,0.003,0.002,127.0,762.0,1.03
"eps[29, 0]",-0.179,0.016,-0.207,-0.15,0.001,0.0,525.0,688.0,1.0
"eps[30, 0]",-0.119,0.016,-0.151,-0.091,0.001,0.001,327.0,619.0,1.01
"eps[31, 0]",-0.074,0.025,-0.122,-0.028,0.002,0.001,150.0,498.0,1.01
"eps[32, 0]",0.065,0.131,-0.154,0.313,0.004,0.004,1091.0,663.0,1.01
"eps[33, 0]",-0.117,0.045,-0.206,-0.034,0.004,0.003,140.0,550.0,1.02
"eps[34, 0]",0.17,0.044,0.092,0.257,0.004,0.003,163.0,436.0,1.01
"eps[35, 0]",0.03,0.036,-0.041,0.097,0.004,0.003,103.0,245.0,1.03
"eps[36, 0]",-0.019,0.029,-0.066,0.04,0.001,0.001,412.0,614.0,1.01
"eps[37, 0]",0.187,0.031,0.127,0.243,0.002,0.001,388.0,737.0,1.01
"eps[38, 0]",-0.14,0.021,-0.177,-0.101,0.001,0.001,508.0,545.0,1.01
"eps[39, 0]",-0.132,0.022,-0.176,-0.094,0.001,0.001,581.0,792.0,1.01
"eps[40, 0]",-0.101,0.019,-0.135,-0.064,0.001,0.001,618.0,875.0,1.01
"eps[41, 0]",0.272,0.111,0.072,0.479,0.003,0.003,1042.0,652.0,1.0
"eps[42, 0]",-0.07,0.038,-0.144,-0.0,0.003,0.002,218.0,675.0,1.02
"eps[43, 0]",0.025,0.036,-0.039,0.092,0.002,0.001,470.0,724.0,1.01
"eps[44, 0]",0.03,0.036,-0.033,0.097,0.002,0.001,467.0,701.0,1.0
"eps[45, 0]",0.002,0.03,-0.054,0.055,0.001,0.001,579.0,790.0,1.0
"eps[46, 0]",0.042,0.039,-0.036,0.11,0.001,0.001,1132.0,839.0,1.0
"eps[47, 0]",-0.027,0.017,-0.058,0.008,0.001,0.001,550.0,563.0,1.01
"eps[48, 0]",-0.139,0.02,-0.173,-0.1,0.001,0.001,566.0,525.0,1.0
"eps[49, 0]",0.051,0.021,0.01,0.089,0.001,0.001,356.0,731.0,1.01
"eps[50, 0]",-0.392,0.11,-0.608,-0.198,0.006,0.005,289.0,661.0,1.02
"eps[51, 0]",0.075,0.043,0.0,0.158,0.002,0.001,507.0,674.0,1.01
"eps[52, 0]",0.044,0.042,-0.031,0.123,0.002,0.001,767.0,829.0,1.0
"eps[53, 0]",-0.005,0.033,-0.067,0.055,0.001,0.001,655.0,673.0,1.0
"eps_tform[0, 0]",0.521,0.648,-0.567,1.658,0.075,0.053,82.0,612.0,1.05
"eps_tform[0, 1]",3.065,0.279,2.519,3.546,0.008,0.006,1094.0,758.0,1.01
"eps_tform[0, 2]",-0.277,0.362,-0.862,0.411,0.04,0.028,95.0,478.0,1.05
"eps_tform[0, 3]",-0.187,0.187,-0.489,0.184,0.02,0.014,89.0,578.0,1.05
"eps_tform[0, 4]",0.035,0.131,-0.209,0.267,0.004,0.003,881.0,778.0,1.0
"eps_tform[0, 5]",-1.737,0.874,-3.284,0.001,0.033,0.023,700.0,715.0,1.01
"eps_tform[0, 6]",1.313,0.29,0.834,1.849,0.033,0.023,86.0,491.0,1.04
"eps_tform[0, 7]",0.469,0.234,0.047,0.911,0.029,0.02,69.0,570.0,1.05
"eps_tform[0, 8]",-0.679,0.539,-1.655,0.381,0.017,0.012,1036.0,696.0,1.01
"eps_tform[0, 9]",1.642,0.559,0.549,2.566,0.025,0.018,496.0,683.0,1.01
"eps_tform[0, 10]",2.784,0.382,2.161,3.538,0.013,0.009,873.0,797.0,1.0
"eps_tform[0, 11]",-1.296,0.378,-2.001,-0.62,0.025,0.017,240.0,525.0,1.01
"eps_tform[0, 12]",-1.006,0.31,-1.583,-0.433,0.015,0.011,409.0,603.0,1.01
