,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.169,0.047,0.082,0.257,0.003,0.002,340.0,441.0,1.0
Ds[0],32.941,0.046,32.867,33.033,0.003,0.002,311.0,357.0,1.0
RV[0],3.014,1.332,1.002,5.404,0.068,0.048,404.0,632.0,1.01
"eps[0, 0]",0.042,0.056,-0.042,0.153,0.007,0.005,79.0,558.0,1.05
"eps[1, 0]",0.665,0.061,0.554,0.779,0.002,0.002,626.0,639.0,1.01
"eps[2, 0]",-0.064,0.065,-0.166,0.057,0.007,0.005,100.0,485.0,1.04
"eps[3, 0]",0.218,0.052,0.126,0.308,0.006,0.004,84.0,244.0,1.05
"eps[4, 0]",0.122,0.048,0.04,0.206,0.005,0.003,113.0,653.0,1.04
"eps[5, 0]",-0.44,0.196,-0.798,-0.083,0.008,0.006,548.0,792.0,1.01
"eps[6, 0]",0.32,0.059,0.216,0.436,0.004,0.003,185.0,520.0,1.02
"eps[7, 0]",0.145,0.049,0.07,0.245,0.005,0.004,91.0,328.0,1.04
"eps[8, 0]",0.023,0.078,-0.112,0.175,0.003,0.002,923.0,752.0,1.0
"eps[9, 0]",0.104,0.026,0.056,0.15,0.001,0.001,322.0,515.0,1.01
"eps[10, 0]",0.183,0.024,0.137,0.226,0.001,0.001,454.0,692.0,1.0
"eps[11, 0]",-0.116,0.017,-0.145,-0.081,0.001,0.001,471.0,517.0,1.01
"eps[12, 0]",-0.028,0.017,-0.059,0.002,0.001,0.001,218.0,534.0,1.02
"eps[13, 0]",-0.003,0.019,-0.036,0.034,0.001,0.001,315.0,506.0,1.01
"eps[14, 0]",0.249,0.104,0.061,0.451,0.004,0.003,664.0,942.0,1.01
"eps[15, 0]",-0.003,0.033,-0.063,0.061,0.002,0.001,357.0,656.0,1.01
"eps[16, 0]",0.131,0.024,0.084,0.174,0.001,0.001,302.0,475.0,1.01
"eps[17, 0]",0.107,0.029,0.05,0.157,0.002,0.001,340.0,444.0,1.0
"eps[18, 0]",0.103,0.031,0.052,0.166,0.003,0.002,150.0,423.0,1.03
"eps[19, 0]",0.193,0.029,0.138,0.245,0.001,0.001,578.0,727.0,1.0
"eps[20, 0]",-0.195,0.02,-0.23,-0.158,0.001,0.001,240.0,526.0,1.02
"eps[21, 0]",0.016,0.02,-0.025,0.049,0.002,0.001,160.0,352.0,1.03
"eps[22, 0]",-0.065,0.018,-0.098,-0.031,0.001,0.001,278.0,549.0,1.03
"eps[23, 0]",0.318,0.125,0.096,0.561,0.005,0.003,722.0,714.0,1.0
"eps[24, 0]",0.004,0.038,-0.065,0.074,0.002,0.001,502.0,732.0,1.01
"eps[25, 0]",0.202,0.033,0.134,0.256,0.003,0.002,118.0,358.0,1.04
"eps[26, 0]",0.117,0.03,0.057,0.171,0.002,0.001,238.0,263.0,1.01
"eps[27, 0]",0.073,0.032,0.009,0.128,0.002,0.001,250.0,570.0,1.01
"eps[28, 0]",0.062,0.035,-0.008,0.123,0.003,0.002,147.0,264.0,1.02
"eps[29, 0]",-0.182,0.016,-0.212,-0.154,0.001,0.001,440.0,727.0,1.01
"eps[30, 0]",-0.122,0.014,-0.147,-0.094,0.001,0.001,411.0,587.0,1.01
"eps[31, 0]",-0.074,0.025,-0.116,-0.022,0.002,0.001,214.0,601.0,1.02
"eps[32, 0]",0.072,0.128,-0.164,0.313,0.004,0.004,1015.0,662.0,1.0
"eps[33, 0]",-0.111,0.046,-0.197,-0.022,0.003,0.002,249.0,613.0,1.01
"eps[34, 0]",0.167,0.043,0.088,0.246,0.003,0.002,217.0,539.0,1.01
"eps[35, 0]",0.026,0.035,-0.039,0.092,0.003,0.002,146.0,268.0,1.02
"eps[36, 0]",-0.012,0.027,-0.07,0.033,0.001,0.001,340.0,638.0,1.01
"eps[37, 0]",0.189,0.03,0.128,0.241,0.002,0.001,340.0,718.0,1.01
"eps[38, 0]",-0.143,0.02,-0.182,-0.106,0.001,0.001,434.0,527.0,1.0
"eps[39, 0]",-0.134,0.021,-0.173,-0.094,0.001,0.001,393.0,592.0,1.01
"eps[40, 0]",-0.1,0.019,-0.133,-0.062,0.001,0.001,475.0,588.0,1.01
"eps[41, 0]",0.285,0.113,0.081,0.496,0.004,0.003,957.0,613.0,1.0
"eps[42, 0]",-0.067,0.038,-0.142,0.001,0.002,0.001,341.0,773.0,1.01
"eps[43, 0]",0.02,0.035,-0.047,0.085,0.001,0.001,573.0,763.0,1.0
"eps[44, 0]",0.029,0.035,-0.031,0.096,0.001,0.001,610.0,739.0,1.0
"eps[45, 0]",0.004,0.029,-0.047,0.06,0.001,0.001,635.0,669.0,1.0
"eps[46, 0]",0.045,0.037,-0.023,0.115,0.001,0.001,1031.0,808.0,1.0
"eps[47, 0]",-0.03,0.017,-0.062,0.003,0.001,0.001,467.0,729.0,1.01
"eps[48, 0]",-0.143,0.019,-0.178,-0.109,0.001,0.001,562.0,675.0,1.01
"eps[49, 0]",0.054,0.022,0.012,0.095,0.002,0.001,163.0,621.0,1.03
"eps[50, 0]",-0.409,0.107,-0.596,-0.208,0.006,0.004,308.0,640.0,1.02
"eps[51, 0]",0.085,0.045,0.005,0.173,0.002,0.002,346.0,675.0,1.02
"eps[52, 0]",0.04,0.042,-0.037,0.118,0.001,0.001,889.0,784.0,1.01
"eps[53, 0]",-0.006,0.032,-0.063,0.055,0.001,0.001,715.0,776.0,1.0
"eps_tform[0, 0]",0.454,0.609,-0.453,1.668,0.075,0.053,79.0,558.0,1.05
"eps_tform[0, 1]",3.06,0.277,2.489,3.516,0.009,0.007,887.0,584.0,1.0
"eps_tform[0, 2]",-0.39,0.338,-0.925,0.261,0.034,0.024,110.0,710.0,1.04
"eps_tform[0, 3]",-0.215,0.179,-0.53,0.131,0.017,0.012,115.0,226.0,1.03
"eps_tform[0, 4]",0.077,0.131,-0.159,0.33,0.005,0.004,837.0,616.0,1.01
"eps_tform[0, 5]",-1.822,0.873,-3.55,-0.342,0.033,0.024,698.0,816.0,1.01
"eps_tform[0, 6]",1.327,0.274,0.838,1.841,0.027,0.019,113.0,380.0,1.03
"eps_tform[0, 7]",0.403,0.227,0.019,0.831,0.022,0.017,112.0,207.0,1.03
"eps_tform[0, 8]",-0.685,0.52,-1.673,0.259,0.017,0.012,1004.0,774.0,1.0
"eps_tform[0, 9]",1.776,0.505,0.832,2.684,0.027,0.019,344.0,510.0,1.0
"eps_tform[0, 10]",2.771,0.377,2.12,3.5,0.014,0.01,777.0,867.0,1.0
"eps_tform[0, 11]",-1.415,0.344,-2.022,-0.714,0.02,0.014,311.0,577.0,1.02
"eps_tform[0, 12]",-1.053,0.308,-1.66,-0.493,0.015,0.01,439.0,605.0,1.01
"eps_tform[0, 13]",0.318,0.278,-0.189,0.849,0.015,0.011,328.0,547.0,1.01
"eps_tform[0, 14]",1.189,0.699,-0.059,2.53,0.023,0.017,933.0,905.0,1.01
"eps_tform[0, 15]",-0.419,0.311,-1.012,0.148,0.017,0.012,339.0,709.0,1.01
"eps_tform[0, 16]",1.38,0.302,0.839,1.943,0.023,0.017,175.0,349.0,1.02
"eps_tform[0, 17]",0.614,0.327,-0.038,1.192,0.018,0.013,339.0,625.0,1.0
"eps_tform[0, 18]",0.773,0.51,-0.094,1.754,0.048,0.034,115.0,317.0,1.03
"eps_tform[0, 19]",1.431,0.359,0.756,2.089,0.011,0.008,1157.0,837.0,1.0
"eps_tform[0, 20]",-1.429,0.329,-2.0,-0.771,0.018,0.013,335.0,615.0,1.01
"eps_tform[0, 21]",0.726,0.341,0.1,1.391,0.02,0.014,284.0,572.0,1.02
"eps_tform[0, 22]",-0.113,0.241,-0.549,0.325,0.012,0.009,372.0,673.0,1.02
"eps_tform[0, 23]",0.759,0.951,-1.031,2.523,0.035,0.026,744.0,636.0,1.0
"eps_tform[0, 24]",0.162,0.257,-0.289,0.658,0.025,0.018,107.0,347.0,1.04
"eps_tform[0, 25]",0.822,0.24,0.375,1.267,0.017,0.012,222.0,421.0,1.03
"eps_tform[0, 26]",-0.204,0.264,-0.694,0.294,0.014,0.01,333.0,652.0,1.01
"eps_tform[0, 27]",-0.214,0.374,-0.912,0.512,0.016,0.011,536.0,547.0,1.0
"eps_tform[0, 28]",-0.105,0.519,-1.063,0.845,0.052,0.037,108.0,290.0,1.04
"eps_tform[0, 29]",-1.314,0.321,-1.893,-0.705,0.019,0.013,299.0,543.0,1.01
"eps_tform[0, 30]",-0.947,0.328,-1.523,-0.322,0.014,0.01,544.0,868.0,1.0
"eps_tform[0, 31]",-0.474,0.328,-1.038,0.127,0.018,0.013,355.0,658.0,1.0
"eps_tform[0, 32]",1.384,0.926,-0.229,3.15,0.029,0.023,1000.0,754.0,1.0
"eps_tform[0, 33]",-0.332,0.368,-1.08,0.309,0.025,0.018,214.0,276.0,1.01
"eps_tform[0, 34]",0.984,0.29,0.433,1.523,0.014,0.01,423.0,545.0,1.0
"eps_tform[0, 35]",0.062,0.335,-0.574,0.699,0.016,0.011,427.0,850.0,1.0
"eps_tform[0, 36]",-1.038,0.339,-1.626,-0.391,0.015,0.01,547.0,782.0,1.0
"eps_tform[0, 37]",0.678,0.401,-0.041,1.437,0.014,0.01,812.0,685.0,1.0
"eps_tform[0, 38]",-0.061,0.385,-0.784,0.632,0.017,0.012,519.0,652.0,1.01
"eps_tform[0, 39]",-0.532,0.405,-1.241,0.263,0.015,0.011,754.0,894.0,1.0
"eps_tform[0, 40]",0.54,0.326,-0.077,1.109,0.014,0.01,511.0,731.0,1.01
"eps_tform[0, 41]",0.419,0.981,-1.365,2.165,0.026,0.027,1463.0,807.0,1.01
"eps_tform[0, 42]",0.233,0.339,-0.412,0.86,0.024,0.017,196.0,653.0,1.02
"eps_tform[0, 43]",0.317,0.442,-0.443,1.206,0.019,0.013,546.0,815.0,1.0
"eps_tform[0, 44]",-0.229,0.541,-1.24,0.741,0.027,0.019,386.0,823.0,1.01
"eps_tform[0, 45]",0.237,0.649,-1.049,1.318,0.027,0.019,583.0,635.0,1.01
"eps_tform[0, 46]",0.768,0.425,-0.068,1.494,0.014,0.01,872.0,733.0,1.0
"eps_tform[0, 47]",-0.324,0.624,-1.454,0.915,0.022,0.019,832.0,874.0,1.0
"eps_tform[0, 48]",-0.239,0.468,-1.199,0.513,0.016,0.013,841.0,778.0,1.0
"eps_tform[0, 49]",0.696,0.466,-0.174,1.544,0.017,0.012,695.0,610.0,1.0
"eps_tform[0, 50]",-0.439,0.988,-2.317,1.287,0.023,0.027,1787.0,760.0,1.0
"eps_tform[0, 51]",1.247,0.69,-0.167,2.458,0.027,0.019,648.0,669.0,1.0
"eps_tform[0, 52]",0.214,0.758,-1.239,1.613,0.024,0.021,1019.0,810.0,1.0
"eps_tform[0, 53]",-1.557,0.9,-3.257,0.03,0.042,0.03,453.0,681.0,1.01
theta[0],-0.316,0.096,-0.492,-0.135,0.006,0.004,247.0,408.0,1.01
tmax[0],-0.571,0.223,-0.968,-0.263,0.028,0.021,83.0,549.0,1.05
peak_MJD[0],54876.527,0.225,54876.126,54876.837,0.028,0.02,83.0,549.0,1.05
mu[0],32.943,0.106,32.727,33.12,0.004,0.003,822.0,945.0,1.0
delM[0],-0.002,0.096,-0.184,0.18,0.003,0.002,999.0,986.0,1.0
