,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.221,0.041,0.146,0.299,0.002,0.001,385.0,449.0,1.01
Ds[0],35.265,0.039,35.198,35.339,0.002,0.002,324.0,475.0,1.01
RV[0],4.089,1.143,2.261,5.994,0.057,0.04,429.0,444.0,1.0
"eps[0, 0]",0.027,0.043,-0.058,0.104,0.003,0.002,315.0,368.0,1.02
"eps[1, 0]",0.082,0.042,0.005,0.168,0.002,0.002,466.0,428.0,1.02
"eps[2, 0]",-0.051,0.043,-0.128,0.039,0.002,0.002,394.0,465.0,1.01
"eps[3, 0]",0.005,0.035,-0.062,0.072,0.002,0.001,363.0,445.0,1.01
"eps[4, 0]",-0.139,0.039,-0.216,-0.065,0.002,0.001,413.0,433.0,1.01
"eps[5, 0]",-0.311,0.157,-0.606,-0.022,0.006,0.005,635.0,770.0,1.0
"eps[6, 0]",0.197,0.064,0.089,0.324,0.003,0.002,540.0,645.0,1.01
"eps[7, 0]",0.172,0.056,0.077,0.284,0.002,0.002,536.0,670.0,1.0
"eps[8, 0]",0.114,0.062,0.004,0.231,0.003,0.002,539.0,709.0,1.01
"eps[9, 0]",-0.022,0.025,-0.071,0.021,0.001,0.001,416.0,594.0,1.01
"eps[10, 0]",-0.007,0.021,-0.047,0.03,0.001,0.001,600.0,675.0,1.0
"eps[11, 0]",0.045,0.019,0.01,0.078,0.001,0.001,494.0,614.0,1.01
"eps[12, 0]",-0.016,0.019,-0.05,0.02,0.001,0.001,410.0,677.0,1.0
"eps[13, 0]",-0.052,0.021,-0.085,-0.01,0.001,0.001,337.0,574.0,1.01
"eps[14, 0]",-0.419,0.104,-0.614,-0.231,0.004,0.003,601.0,754.0,1.0
"eps[15, 0]",0.117,0.055,0.015,0.217,0.002,0.002,650.0,651.0,1.01
"eps[16, 0]",-0.139,0.037,-0.204,-0.064,0.002,0.001,341.0,507.0,1.0
"eps[17, 0]",0.081,0.041,0.008,0.16,0.002,0.001,591.0,806.0,1.0
"eps[18, 0]",-0.074,0.028,-0.12,-0.02,0.001,0.001,433.0,595.0,1.01
"eps[19, 0]",0.02,0.028,-0.03,0.07,0.001,0.001,689.0,730.0,1.01
"eps[20, 0]",-0.042,0.025,-0.086,0.005,0.001,0.001,645.0,852.0,1.01
"eps[21, 0]",0.001,0.022,-0.038,0.041,0.001,0.001,427.0,452.0,1.0
"eps[22, 0]",-0.026,0.022,-0.061,0.018,0.001,0.001,369.0,442.0,1.02
"eps[23, 0]",0.298,0.099,0.112,0.48,0.004,0.003,739.0,850.0,1.0
"eps[24, 0]",-0.175,0.051,-0.265,-0.082,0.002,0.002,578.0,751.0,1.0
"eps[25, 0]",-0.003,0.042,-0.078,0.076,0.002,0.001,403.0,360.0,1.01
"eps[26, 0]",0.035,0.045,-0.047,0.119,0.002,0.001,598.0,623.0,1.0
"eps[27, 0]",0.027,0.035,-0.043,0.087,0.002,0.001,507.0,745.0,1.01
"eps[28, 0]",-0.006,0.041,-0.078,0.084,0.002,0.001,620.0,596.0,1.0
"eps[29, 0]",0.048,0.024,0.002,0.094,0.001,0.001,740.0,790.0,1.0
"eps[30, 0]",-0.025,0.019,-0.059,0.009,0.001,0.001,416.0,702.0,1.0
"eps[31, 0]",-0.052,0.031,-0.111,0.003,0.002,0.001,429.0,595.0,1.0
"eps[32, 0]",-0.014,0.11,-0.219,0.197,0.004,0.003,884.0,616.0,1.0
"eps[33, 0]",-0.054,0.062,-0.168,0.059,0.003,0.002,358.0,494.0,1.0
"eps[34, 0]",-0.043,0.056,-0.145,0.063,0.002,0.002,624.0,828.0,1.0
"eps[35, 0]",-0.025,0.043,-0.103,0.054,0.002,0.001,577.0,869.0,1.0
"eps[36, 0]",0.063,0.034,-0.003,0.124,0.001,0.001,635.0,767.0,1.01
"eps[37, 0]",-0.007,0.04,-0.084,0.064,0.001,0.001,920.0,711.0,1.0
"eps[38, 0]",0.085,0.032,0.028,0.143,0.001,0.001,592.0,535.0,1.01
"eps[39, 0]",-0.002,0.029,-0.053,0.054,0.001,0.001,460.0,468.0,1.0
"eps[40, 0]",-0.054,0.024,-0.1,-0.01,0.001,0.001,522.0,600.0,1.0
"eps[41, 0]",-0.086,0.108,-0.279,0.113,0.004,0.003,751.0,713.0,1.0
"eps[42, 0]",-0.007,0.053,-0.107,0.089,0.002,0.002,633.0,733.0,1.01
"eps[43, 0]",-0.097,0.05,-0.19,-0.007,0.002,0.001,729.0,846.0,1.0
"eps[44, 0]",-0.116,0.044,-0.19,-0.032,0.002,0.001,774.0,870.0,1.0
"eps[45, 0]",-0.043,0.038,-0.108,0.032,0.001,0.001,1121.0,821.0,1.0
"eps[46, 0]",0.161,0.058,0.059,0.273,0.002,0.001,951.0,895.0,1.0
"eps[47, 0]",0.027,0.022,-0.011,0.071,0.001,0.0,1111.0,1027.0,1.0
"eps[48, 0]",0.134,0.034,0.073,0.202,0.001,0.001,716.0,663.0,1.0
"eps[49, 0]",0.062,0.029,0.011,0.119,0.001,0.001,801.0,776.0,1.0
"eps[50, 0]",0.104,0.088,-0.075,0.255,0.003,0.002,753.0,845.0,1.0
"eps[51, 0]",0.077,0.057,-0.03,0.18,0.002,0.001,754.0,906.0,1.0
"eps[52, 0]",-0.125,0.058,-0.239,-0.018,0.002,0.001,1366.0,785.0,1.0
"eps[53, 0]",0.032,0.041,-0.043,0.109,0.001,0.001,1074.0,712.0,1.01
"eps_tform[0, 0]",0.292,0.463,-0.627,1.128,0.027,0.022,315.0,368.0,1.02
"eps_tform[0, 1]",0.344,0.166,0.056,0.664,0.006,0.005,674.0,764.0,1.01
"eps_tform[0, 2]",-0.496,0.231,-0.881,-0.009,0.01,0.007,537.0,794.0,1.01
"eps_tform[0, 3]",-0.054,0.103,-0.238,0.147,0.005,0.003,483.0,536.0,1.01
"eps_tform[0, 4]",-0.619,0.106,-0.816,-0.422,0.004,0.003,656.0,755.0,1.0
"eps_tform[0, 5]",-1.469,0.726,-2.766,-0.098,0.028,0.02,686.0,787.0,1.0
"eps_tform[0, 6]",0.977,0.303,0.432,1.542,0.013,0.01,510.0,656.0,1.01
"eps_tform[0, 7]",0.968,0.312,0.4,1.558,0.013,0.009,614.0,705.0,1.0
"eps_tform[0, 8]",0.422,0.393,-0.288,1.156,0.016,0.011,590.0,743.0,1.01
"eps_tform[0, 9]",-0.28,0.501,-1.23,0.602,0.025,0.017,415.0,530.0,1.01
"eps_tform[0, 10]",-0.136,0.33,-0.758,0.46,0.013,0.009,698.0,770.0,1.0
"eps_tform[0, 11]",1.053,0.353,0.445,1.716,0.018,0.013,390.0,548.0,1.01
"eps_tform[0, 12]",-0.29,0.383,-0.993,0.415,0.019,0.013,421.0,599.0,1.0
"eps_tform[0, 13]",-1.286,0.308,-1.877,-0.739,0.017,0.012,326.0,580.0,1.01
"eps_tform[0, 14]",-2.507,0.671,-3.744,-1.28,0.027,0.02,595.0,745.0,1.0
"eps_tform[0, 15]",0.751,0.506,-0.25,1.63,0.021,0.015,579.0,646.0,1.01
"eps_tform[0, 16]",-0.635,0.384,-1.314,0.123,0.021,0.015,352.0,575.0,1.0
"eps_tform[0, 17]",0.631,0.462,-0.33,1.391,0.019,0.013,595.0,634.0,1.0
"eps_tform[0, 18]",-1.008,0.476,-1.815,-0.021,0.023,0.016,426.0,622.0,1.01
"eps_tform[0, 19]",0.288,0.33,-0.355,0.883,0.011,0.008,930.0,733.0,1.01
"eps_tform[0, 20]",-0.37,0.416,-1.168,0.369,0.019,0.014,503.0,543.0,1.0
"eps_tform[0, 21]",-0.154,0.397,-0.943,0.557,0.018,0.014,504.0,675.0,1.0
"eps_tform[0, 22]",0.101,0.275,-0.438,0.594,0.017,0.012,259.0,287.0,1.02
"eps_tform[0, 23]",1.555,0.802,0.141,3.066,0.03,0.021,712.0,887.0,1.0
"eps_tform[0, 24]",-0.557,0.273,-1.081,-0.068,0.013,0.009,417.0,590.0,1.0
"eps_tform[0, 25]",-0.004,0.34,-0.616,0.623,0.016,0.011,450.0,377.0,1.01
"eps_tform[0, 26]",0.401,0.326,-0.185,1.059,0.013,0.009,674.0,873.0,1.0
"eps_tform[0, 27]",0.149,0.43,-0.674,0.908,0.018,0.013,587.0,799.0,1.0
"eps_tform[0, 28]",-0.454,0.421,-1.257,0.28,0.017,0.013,612.0,515.0,1.0
"eps_tform[0, 29]",0.294,0.446,-0.594,1.078,0.017,0.012,724.0,892.0,1.0
"eps_tform[0, 30]",-0.853,0.376,-1.474,-0.11,0.016,0.011,594.0,767.0,1.01
"eps_tform[0, 31]",-0.771,0.323,-1.317,-0.116,0.014,0.01,537.0,586.0,1.0
"eps_tform[0, 32]",-0.223,0.794,-1.714,1.295,0.028,0.024,812.0,710.0,1.0
"eps_tform[0, 33]",0.061,0.393,-0.624,0.822,0.018,0.013,487.0,575.0,1.0
