,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.227,0.059,0.112,0.321,0.003,0.002,371.0,742.0,1.01
Ds[0],35.256,0.056,35.159,35.359,0.003,0.002,270.0,413.0,1.01
RV[0],3.775,1.333,1.558,5.984,0.065,0.046,485.0,675.0,1.0
"eps[0, 0]",0.023,0.038,-0.047,0.098,0.002,0.002,599.0,410.0,1.01
"eps[1, 0]",0.08,0.04,0.003,0.155,0.002,0.001,681.0,582.0,1.0
"eps[2, 0]",-0.054,0.038,-0.131,0.012,0.002,0.001,573.0,398.0,1.01
"eps[3, 0]",0.001,0.032,-0.064,0.056,0.001,0.001,592.0,281.0,1.0
"eps[4, 0]",-0.145,0.035,-0.208,-0.077,0.002,0.001,462.0,396.0,1.01
"eps[5, 0]",-0.322,0.158,-0.601,0.01,0.006,0.004,671.0,564.0,1.01
"eps[6, 0]",0.196,0.061,0.075,0.301,0.002,0.002,686.0,839.0,1.01
"eps[7, 0]",0.164,0.052,0.067,0.266,0.002,0.002,513.0,381.0,1.0
"eps[8, 0]",0.115,0.062,-0.005,0.224,0.002,0.002,826.0,644.0,1.0
"eps[9, 0]",-0.023,0.025,-0.068,0.023,0.001,0.001,465.0,594.0,1.0
"eps[10, 0]",-0.005,0.022,-0.042,0.039,0.001,0.001,559.0,572.0,1.0
"eps[11, 0]",0.044,0.02,0.005,0.079,0.001,0.001,574.0,651.0,1.0
"eps[12, 0]",-0.016,0.017,-0.048,0.017,0.001,0.001,433.0,481.0,1.0
"eps[13, 0]",-0.055,0.022,-0.093,-0.01,0.001,0.001,340.0,432.0,1.01
"eps[14, 0]",-0.418,0.102,-0.607,-0.231,0.004,0.003,838.0,822.0,1.01
"eps[15, 0]",0.112,0.055,0.02,0.222,0.002,0.001,831.0,738.0,1.0
"eps[16, 0]",-0.141,0.033,-0.208,-0.082,0.002,0.001,320.0,362.0,1.01
"eps[17, 0]",0.082,0.043,0.001,0.158,0.002,0.001,462.0,464.0,1.01
"eps[18, 0]",-0.071,0.027,-0.115,-0.022,0.001,0.001,420.0,432.0,1.01
"eps[19, 0]",0.021,0.029,-0.034,0.075,0.001,0.001,839.0,780.0,1.01
"eps[20, 0]",-0.041,0.026,-0.082,0.011,0.001,0.001,598.0,643.0,1.0
"eps[21, 0]",0.002,0.019,-0.04,0.034,0.001,0.001,691.0,721.0,1.0
"eps[22, 0]",-0.028,0.023,-0.069,0.016,0.001,0.001,486.0,770.0,1.01
"eps[23, 0]",0.298,0.099,0.108,0.482,0.003,0.002,1115.0,743.0,1.0
"eps[24, 0]",-0.181,0.05,-0.275,-0.09,0.002,0.002,495.0,642.0,1.01
"eps[25, 0]",-0.004,0.04,-0.08,0.068,0.002,0.001,495.0,579.0,1.01
"eps[26, 0]",0.035,0.045,-0.042,0.125,0.002,0.001,476.0,711.0,1.01
"eps[27, 0]",0.029,0.034,-0.032,0.094,0.001,0.001,524.0,558.0,1.0
"eps[28, 0]",-0.004,0.042,-0.087,0.064,0.002,0.001,555.0,515.0,1.0
"eps[29, 0]",0.049,0.024,0.005,0.094,0.001,0.001,1048.0,729.0,1.0
"eps[30, 0]",-0.024,0.017,-0.056,0.007,0.001,0.001,415.0,560.0,1.01
"eps[31, 0]",-0.056,0.032,-0.117,0.004,0.001,0.001,475.0,646.0,1.0
"eps[32, 0]",-0.018,0.11,-0.225,0.183,0.004,0.003,922.0,810.0,1.0
"eps[33, 0]",-0.06,0.059,-0.175,0.052,0.003,0.002,354.0,646.0,1.01
"eps[34, 0]",-0.046,0.057,-0.157,0.06,0.002,0.002,603.0,675.0,1.0
"eps[35, 0]",-0.025,0.041,-0.102,0.049,0.002,0.002,340.0,439.0,1.01
"eps[36, 0]",0.063,0.032,0.003,0.122,0.001,0.001,695.0,949.0,1.01
"eps[37, 0]",-0.004,0.041,-0.078,0.074,0.001,0.001,994.0,792.0,1.0
"eps[38, 0]",0.088,0.03,0.032,0.143,0.001,0.001,724.0,487.0,1.01
"eps[39, 0]",-0.001,0.028,-0.051,0.052,0.001,0.001,603.0,776.0,1.0
"eps[40, 0]",-0.056,0.026,-0.106,-0.01,0.001,0.001,557.0,743.0,1.01
"eps[41, 0]",-0.087,0.103,-0.263,0.094,0.003,0.002,1485.0,914.0,1.0
"eps[42, 0]",-0.012,0.051,-0.11,0.082,0.002,0.001,727.0,883.0,1.01
"eps[43, 0]",-0.099,0.048,-0.184,-0.013,0.002,0.001,883.0,777.0,1.01
"eps[44, 0]",-0.115,0.043,-0.191,-0.034,0.002,0.001,584.0,703.0,1.0
"eps[45, 0]",-0.043,0.039,-0.113,0.033,0.001,0.001,1238.0,891.0,1.0
"eps[46, 0]",0.162,0.058,0.059,0.27,0.002,0.001,1015.0,769.0,1.0
"eps[47, 0]",0.028,0.022,-0.015,0.067,0.001,0.0,1477.0,895.0,1.01
"eps[48, 0]",0.132,0.032,0.073,0.199,0.001,0.001,765.0,806.0,1.0
"eps[49, 0]",0.059,0.028,0.011,0.115,0.001,0.001,557.0,749.0,1.01
"eps[50, 0]",0.098,0.086,-0.047,0.275,0.003,0.002,1144.0,901.0,1.0
"eps[51, 0]",0.075,0.06,-0.032,0.188,0.002,0.002,712.0,740.0,1.0
"eps[52, 0]",-0.126,0.056,-0.237,-0.033,0.001,0.001,1468.0,767.0,1.0
"eps[53, 0]",0.028,0.043,-0.055,0.105,0.001,0.001,1495.0,762.0,1.0
"eps_tform[0, 0]",0.248,0.413,-0.513,1.067,0.017,0.017,599.0,410.0,1.01
"eps_tform[0, 1]",0.339,0.161,0.014,0.629,0.006,0.005,711.0,634.0,1.0
"eps_tform[0, 2]",-0.5,0.203,-0.821,-0.039,0.009,0.006,558.0,636.0,1.01
"eps_tform[0, 3]",-0.069,0.091,-0.244,0.103,0.003,0.002,722.0,658.0,1.0
"eps_tform[0, 4]",-0.638,0.101,-0.842,-0.461,0.004,0.003,594.0,754.0,1.01
"eps_tform[0, 5]",-1.512,0.73,-2.838,-0.005,0.028,0.02,699.0,495.0,1.01
"eps_tform[0, 6]",0.966,0.282,0.425,1.496,0.011,0.008,642.0,828.0,1.0
"eps_tform[0, 7]",0.928,0.298,0.387,1.476,0.013,0.009,554.0,632.0,1.0
"eps_tform[0, 8]",0.429,0.393,-0.296,1.172,0.013,0.01,920.0,701.0,1.0
"eps_tform[0, 9]",-0.299,0.492,-1.23,0.582,0.022,0.016,472.0,611.0,1.0
"eps_tform[0, 10]",-0.094,0.349,-0.749,0.53,0.014,0.01,597.0,605.0,1.0
"eps_tform[0, 11]",1.057,0.367,0.398,1.771,0.017,0.012,454.0,717.0,1.0
"eps_tform[0, 12]",-0.277,0.334,-0.85,0.369,0.015,0.011,480.0,693.0,1.0
"eps_tform[0, 13]",-1.342,0.318,-1.945,-0.751,0.019,0.013,300.0,353.0,1.01
"eps_tform[0, 14]",-2.488,0.664,-3.751,-1.299,0.023,0.016,881.0,851.0,1.0
"eps_tform[0, 15]",0.684,0.51,-0.216,1.632,0.019,0.013,741.0,754.0,1.0
"eps_tform[0, 16]",-0.657,0.364,-1.333,0.027,0.02,0.014,338.0,388.0,1.02
"eps_tform[0, 17]",0.646,0.49,-0.332,1.439,0.024,0.018,416.0,492.0,1.01
"eps_tform[0, 18]",-0.952,0.442,-1.678,-0.061,0.023,0.019,379.0,303.0,1.01
"eps_tform[0, 19]",0.298,0.349,-0.393,0.922,0.011,0.008,1079.0,802.0,1.0
"eps_tform[0, 20]",-0.352,0.429,-1.121,0.465,0.02,0.014,472.0,540.0,1.0
"eps_tform[0, 21]",-0.164,0.381,-0.832,0.59,0.015,0.011,641.0,644.0,1.01
"eps_tform[0, 22]",0.089,0.289,-0.373,0.662,0.014,0.01,397.0,573.0,1.01
"eps_tform[0, 23]",1.559,0.784,0.104,3.094,0.024,0.018,1037.0,835.0,1.0
"eps_tform[0, 24]",-0.593,0.262,-1.106,-0.134,0.014,0.01,341.0,500.0,1.01
"eps_tform[0, 25]",-0.012,0.326,-0.579,0.614,0.015,0.011,465.0,480.0,1.02
"eps_tform[0, 26]",0.404,0.312,-0.167,0.99,0.012,0.009,637.0,666.0,1.01
"eps_tform[0, 27]",0.154,0.443,-0.725,0.942,0.017,0.012,717.0,701.0,1.0
"eps_tform[0, 28]",-0.456,0.428,-1.315,0.274,0.018,0.016,567.0,361.0,1.01
"eps_tform[0, 29]",0.293,0.431,-0.523,1.081,0.013,0.011,1059.0,915.0,1.0
"eps_tform[0, 30]",-0.858,0.393,-1.609,-0.199,0.018,0.013,487.0,540.0,1.01
"eps_tform[0, 31]",-0.791,0.307,-1.397,-0.258,0.012,0.008,701.0,709.0,1.0
"eps_tform[0, 32]",-0.254,0.784,-1.699,1.245,0.027,0.022,876.0,820.0,1.0
"eps_tform[0, 33]",0.039,0.4,-0.776,0.759,0.02,0.014,404.0,648.0,1.01
"eps_tform[0, 34]",-0.203,0.406,-0.93,0.608,0.016,0.011,655.0,631.0,1.0
"eps_tform[0, 35]",-0.695,0.501,-1.639,0.246,0.02,0.014,625.0,905.0,1.01
"eps_tform[0, 36]",0.36,0.404,-0.354,1.169,0.016,0.012,600.0,670.0,1.01
"eps_tform[0, 37]",-0.118,0.525,-1.025,0.912,0.015,0.016,1213.0,778.0,1.0
"eps_tform[0, 38]",0.904,0.497,0.073,1.86,0.018,0.013,754.0,723.0,1.0
"eps_tform[0, 39]",-0.775,0.488,-1.69,0.099,0.017,0.014,787.0,685.0,1.01
"eps_tform[0, 40]",-0.113,0.407,-0.882,0.663,0.013,0.011,919.0,819.0,1.01
"eps_tform[0, 41]",-0.706,0.991,-2.413,1.29,0.023,0.023,1796.0,909.0,1.0
"eps_tform[0, 42]",-0.324,0.436,-1.166,0.441,0.019,0.013,515.0,829.0,1.02
"eps_tform[0, 43]",-0.414,0.592,-1.462,0.679,0.02,0.015,845.0,730.0,1.0
"eps_tform[0, 44]",-1.109,0.635,-2.203,0.201,0.022,0.016,835.0,807.0,1.0
"eps_tform[0, 45]",-0.167,0.822,-1.69,1.465,0.023,0.025,1234.0,771.0,1.0
"eps_tform[0, 46]",0.944,0.609,-0.303,2.026,0.018,0.013,1153.0,915.0,1.0
"eps_tform[0, 47]",0.401,0.83,-1.245,1.824,0.02,0.022,1724.0,825.0,1.01
"eps_tform[0, 48]",0.44,0.625,-0.853,1.515,0.022,0.017,812.0,711.0,1.0
"eps_tform[0, 49]",-0.286,0.595,-1.348,0.881,0.016,0.017,1318.0,804.0,1.0
"eps_tform[0, 50]",0.342,1.002,-1.418,2.264,0.023,0.029,1983.0,689.0,1.0
"eps_tform[0, 51]",0.779,0.859,-0.789,2.312,0.026,0.02,1125.0,781.0,1.0
"eps_tform[0, 52]",-0.433,0.922,-1.971,1.384,0.021,0.03,1909.0,582.0,1.01
"eps_tform[0, 53]",-0.028,0.974,-1.787,1.877,0.02,0.036,2357.0,716.0,1.0
theta[0],0.324,0.117,0.091,0.522,0.005,0.004,495.0,602.0,1.0
tmax[0],-0.335,0.117,-0.614,-0.111,0.006,0.005,556.0,212.0,1.01
peak_MJD[0],54878.462,0.12,54878.175,54878.692,0.007,0.005,556.0,212.0,1.01
mu[0],35.257,0.11,35.058,35.448,0.004,0.003,746.0,1002.0,1.0
delM[0],-0.0,0.095,-0.171,0.177,0.003,0.002,969.0,924.0,1.0
