,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.312,0.052,0.212,0.407,0.004,0.003,191.0,416.0,1.03
Ds[0],33.461,0.043,33.38,33.534,0.003,0.002,257.0,452.0,1.03
RV[0],4.236,1.057,2.551,5.999,0.055,0.039,326.0,307.0,1.01
"eps[0, 0]",-0.356,0.032,-0.413,-0.295,0.002,0.001,286.0,218.0,1.01
"eps[1, 0]",-0.382,0.034,-0.44,-0.313,0.001,0.001,840.0,848.0,1.0
"eps[2, 0]",-0.36,0.029,-0.418,-0.311,0.002,0.001,279.0,135.0,1.01
"eps[3, 0]",-0.413,0.024,-0.455,-0.368,0.001,0.001,323.0,258.0,1.02
"eps[4, 0]",-0.433,0.026,-0.479,-0.378,0.002,0.001,242.0,110.0,1.02
"eps[5, 0]",-0.17,0.185,-0.552,0.133,0.006,0.005,852.0,685.0,1.0
"eps[6, 0]",-0.18,0.045,-0.263,-0.098,0.002,0.002,381.0,558.0,1.02
"eps[7, 0]",-0.199,0.036,-0.265,-0.133,0.002,0.001,319.0,416.0,1.02
"eps[8, 0]",-0.196,0.043,-0.281,-0.123,0.003,0.002,276.0,451.0,1.02
"eps[9, 0]",-0.004,0.03,-0.059,0.051,0.002,0.001,335.0,469.0,1.01
"eps[10, 0]",0.023,0.025,-0.026,0.066,0.001,0.001,506.0,638.0,1.0
"eps[11, 0]",-0.02,0.019,-0.053,0.017,0.001,0.001,344.0,578.0,1.01
"eps[12, 0]",0.009,0.019,-0.023,0.048,0.001,0.001,273.0,404.0,1.01
"eps[13, 0]",0.06,0.019,0.026,0.094,0.001,0.001,281.0,328.0,1.0
"eps[14, 0]",-0.003,0.117,-0.213,0.211,0.004,0.004,957.0,724.0,1.0
"eps[15, 0]",0.095,0.04,0.024,0.176,0.002,0.001,535.0,647.0,1.01
"eps[16, 0]",0.094,0.032,0.034,0.151,0.002,0.001,252.0,449.0,1.03
"eps[17, 0]",0.087,0.037,0.02,0.153,0.002,0.002,259.0,387.0,1.03
"eps[18, 0]",0.065,0.029,0.011,0.117,0.001,0.001,424.0,580.0,1.01
"eps[19, 0]",0.15,0.04,0.078,0.233,0.002,0.001,715.0,402.0,1.01
"eps[20, 0]",0.038,0.026,-0.008,0.085,0.001,0.001,423.0,652.0,1.01
"eps[21, 0]",0.051,0.021,0.011,0.09,0.001,0.001,448.0,436.0,1.01
