,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.196,0.057,0.094,0.302,0.003,0.002,393.0,533.0,1.0
Ds[0],35.306,0.053,35.209,35.405,0.003,0.002,402.0,751.0,1.0
RV[0],3.44,1.379,1.351,5.964,0.061,0.044,534.0,792.0,1.01
"eps[0, 0]",-0.1,0.041,-0.173,-0.014,0.002,0.002,369.0,519.0,1.01
"eps[1, 0]",0.024,0.044,-0.056,0.108,0.002,0.001,679.0,804.0,1.0
"eps[2, 0]",-0.27,0.045,-0.353,-0.186,0.002,0.002,423.0,517.0,1.01
"eps[3, 0]",0.023,0.036,-0.043,0.09,0.002,0.001,532.0,483.0,1.0
"eps[4, 0]",-0.251,0.041,-0.317,-0.168,0.002,0.001,482.0,617.0,1.01
"eps[5, 0]",-0.17,0.18,-0.472,0.197,0.007,0.005,725.0,469.0,1.01
"eps[6, 0]",-0.16,0.088,-0.321,-0.01,0.003,0.002,651.0,785.0,1.0
"eps[7, 0]",0.011,0.073,-0.123,0.146,0.003,0.003,760.0,576.0,1.0
"eps[8, 0]",0.028,0.104,-0.162,0.219,0.003,0.003,1268.0,750.0,1.01
"eps[9, 0]",-0.03,0.032,-0.09,0.028,0.001,0.001,558.0,832.0,1.0
"eps[10, 0]",0.004,0.025,-0.05,0.045,0.001,0.001,719.0,881.0,1.0
"eps[11, 0]",-0.024,0.021,-0.064,0.012,0.001,0.001,651.0,760.0,1.0
"eps[12, 0]",-0.013,0.02,-0.048,0.025,0.001,0.001,610.0,660.0,1.0
"eps[13, 0]",-0.058,0.024,-0.104,-0.015,0.001,0.001,542.0,650.0,1.0
"eps[14, 0]",0.063,0.122,-0.152,0.298,0.004,0.003,992.0,673.0,1.0
"eps[15, 0]",0.025,0.059,-0.089,0.131,0.002,0.002,956.0,846.0,1.0
"eps[16, 0]",0.032,0.039,-0.045,0.1,0.002,0.001,505.0,634.0,1.01
"eps[17, 0]",0.141,0.048,0.057,0.234,0.002,0.001,728.0,797.0,1.0
"eps[18, 0]",-0.007,0.031,-0.062,0.052,0.001,0.001,535.0,714.0,1.01
"eps[19, 0]",-0.028,0.037,-0.1,0.041,0.001,0.001,752.0,614.0,1.0
"eps[20, 0]",-0.015,0.028,-0.068,0.036,0.001,0.001,1037.0,863.0,1.0
"eps[21, 0]",0.028,0.024,-0.016,0.071,0.001,0.001,822.0,490.0,1.0
"eps[22, 0]",-0.053,0.025,-0.103,-0.007,0.001,0.001,712.0,653.0,1.0
"eps[23, 0]",-0.021,0.12,-0.238,0.209,0.004,0.004,1134.0,694.0,1.01
"eps[24, 0]",0.026,0.064,-0.076,0.165,0.003,0.002,653.0,785.0,1.0
"eps[25, 0]",0.035,0.05,-0.058,0.128,0.002,0.001,734.0,755.0,1.0
"eps[26, 0]",0.191,0.068,0.061,0.304,0.002,0.002,854.0,871.0,1.0
"eps[27, 0]",0.084,0.04,0.015,0.163,0.001,0.001,718.0,800.0,1.0
"eps[28, 0]",-0.003,0.042,-0.083,0.074,0.002,0.001,646.0,691.0,1.01
"eps[29, 0]",0.065,0.024,0.021,0.112,0.001,0.001,966.0,805.0,1.0
"eps[30, 0]",0.006,0.019,-0.03,0.043,0.001,0.001,670.0,707.0,1.0
"eps[31, 0]",-0.069,0.035,-0.138,-0.005,0.001,0.001,567.0,753.0,1.0
"eps[32, 0]",-0.026,0.128,-0.251,0.216,0.003,0.004,1532.0,849.0,1.01
"eps[33, 0]",-0.135,0.073,-0.282,-0.013,0.002,0.002,935.0,872.0,1.01
"eps[34, 0]",0.176,0.09,0.017,0.347,0.002,0.002,1386.0,657.0,1.0
"eps[35, 0]",0.166,0.064,0.053,0.292,0.002,0.001,1530.0,767.0,1.0
"eps[36, 0]",0.116,0.033,0.056,0.18,0.001,0.001,695.0,766.0,1.01
"eps[37, 0]",-0.002,0.052,-0.092,0.097,0.001,0.002,1769.0,789.0,1.02
"eps[38, 0]",0.116,0.041,0.041,0.193,0.001,0.001,857.0,760.0,1.0
"eps[39, 0]",0.013,0.033,-0.047,0.074,0.001,0.001,788.0,390.0,1.01
"eps[40, 0]",-0.023,0.031,-0.077,0.038,0.001,0.001,628.0,636.0,1.01
"eps[41, 0]",-0.005,0.11,-0.204,0.198,0.003,0.004,1487.0,635.0,1.01
"eps[42, 0]",0.041,0.063,-0.091,0.145,0.002,0.002,735.0,756.0,1.0
"eps[43, 0]",0.022,0.064,-0.105,0.136,0.002,0.002,1324.0,760.0,1.0
"eps[44, 0]",-0.037,0.056,-0.142,0.064,0.002,0.001,785.0,737.0,1.0
"eps[45, 0]",-0.005,0.049,-0.095,0.086,0.001,0.002,1737.0,756.0,1.01
"eps[46, 0]",0.048,0.098,-0.135,0.239,0.002,0.003,1781.0,798.0,1.0
"eps[47, 0]",-0.018,0.029,-0.071,0.036,0.001,0.001,1763.0,777.0,1.0
"eps[48, 0]",-0.009,0.072,-0.154,0.114,0.002,0.003,1477.0,628.0,1.01
"eps[49, 0]",-0.003,0.058,-0.112,0.103,0.002,0.002,1287.0,500.0,1.0
"eps[50, 0]",-0.117,0.089,-0.273,0.055,0.002,0.002,1353.0,862.0,1.01
"eps[51, 0]",-0.052,0.073,-0.204,0.072,0.002,0.002,929.0,888.0,1.0
"eps[52, 0]",-0.018,0.069,-0.152,0.099,0.002,0.002,1511.0,873.0,1.0
"eps[53, 0]",-0.006,0.048,-0.101,0.079,0.001,0.002,1385.0,682.0,1.0
"eps_tform[0, 0]",-1.088,0.449,-1.876,-0.152,0.024,0.017,369.0,519.0,1.01
"eps_tform[0, 1]",0.266,0.189,-0.082,0.632,0.007,0.005,784.0,780.0,1.0
"eps_tform[0, 2]",-1.774,0.248,-2.18,-1.252,0.011,0.008,511.0,646.0,1.01
"eps_tform[0, 3]",0.385,0.111,0.176,0.582,0.004,0.003,775.0,779.0,1.0
"eps_tform[0, 4]",-0.641,0.131,-0.912,-0.426,0.005,0.004,595.0,800.0,1.01
"eps_tform[0, 5]",-0.466,0.842,-2.065,0.997,0.031,0.024,751.0,486.0,1.01
"eps_tform[0, 6]",-0.795,0.405,-1.527,-0.08,0.016,0.011,629.0,811.0,1.0
"eps_tform[0, 7]",0.394,0.462,-0.517,1.192,0.016,0.014,850.0,577.0,1.0
"eps_tform[0, 8]",0.155,0.697,-1.166,1.399,0.019,0.021,1331.0,830.0,1.01
"eps_tform[0, 9]",-0.686,0.621,-1.853,0.445,0.026,0.018,567.0,832.0,1.0
"eps_tform[0, 10]",0.489,0.412,-0.29,1.249,0.015,0.011,722.0,833.0,1.0
"eps_tform[0, 11]",-0.362,0.386,-1.005,0.424,0.017,0.012,521.0,724.0,1.0
"eps_tform[0, 12]",0.293,0.386,-0.335,1.126,0.016,0.012,562.0,730.0,1.0
