,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.188,0.06,0.083,0.294,0.003,0.002,502.0,704.0,1.0
Ds[0],35.327,0.055,35.225,35.433,0.002,0.002,535.0,634.0,1.0
RV[0],3.222,1.388,1.005,5.611,0.057,0.04,618.0,752.0,1.0
"eps[0, 0]",-0.097,0.043,-0.173,-0.013,0.002,0.001,584.0,406.0,1.01
"eps[1, 0]",0.024,0.046,-0.058,0.114,0.002,0.001,845.0,724.0,1.0
"eps[2, 0]",-0.268,0.047,-0.353,-0.187,0.002,0.002,523.0,489.0,1.01
"eps[3, 0]",0.024,0.037,-0.049,0.088,0.001,0.001,738.0,579.0,1.0
"eps[4, 0]",-0.244,0.044,-0.326,-0.163,0.002,0.001,487.0,386.0,1.01
"eps[5, 0]",-0.163,0.18,-0.465,0.215,0.007,0.005,731.0,708.0,1.01
"eps[6, 0]",-0.15,0.086,-0.31,0.01,0.003,0.002,687.0,758.0,1.0
"eps[7, 0]",0.011,0.074,-0.125,0.142,0.002,0.002,959.0,741.0,1.01
"eps[8, 0]",0.029,0.108,-0.164,0.24,0.003,0.003,1252.0,756.0,1.0
"eps[9, 0]",-0.031,0.031,-0.084,0.031,0.001,0.001,522.0,542.0,1.0
"eps[10, 0]",0.003,0.025,-0.047,0.047,0.001,0.001,623.0,835.0,1.0
"eps[11, 0]",-0.027,0.02,-0.064,0.011,0.001,0.001,754.0,715.0,1.0
"eps[12, 0]",-0.014,0.019,-0.049,0.022,0.001,0.001,701.0,735.0,1.01
"eps[13, 0]",-0.056,0.024,-0.099,-0.013,0.001,0.001,530.0,513.0,1.01
"eps[14, 0]",0.068,0.122,-0.146,0.318,0.004,0.004,1002.0,768.0,1.0
"eps[15, 0]",0.03,0.059,-0.089,0.133,0.002,0.002,1001.0,645.0,1.0
"eps[16, 0]",0.025,0.038,-0.052,0.091,0.001,0.001,668.0,712.0,1.01
"eps[17, 0]",0.136,0.045,0.053,0.222,0.001,0.001,965.0,782.0,1.0
"eps[18, 0]",-0.007,0.031,-0.066,0.05,0.001,0.001,732.0,680.0,1.01
"eps[19, 0]",-0.029,0.037,-0.089,0.043,0.001,0.001,770.0,722.0,1.0
"eps[20, 0]",-0.018,0.028,-0.071,0.033,0.001,0.001,837.0,851.0,1.01
"eps[21, 0]",0.028,0.023,-0.015,0.07,0.001,0.001,854.0,660.0,1.0
"eps[22, 0]",-0.051,0.026,-0.099,-0.004,0.001,0.001,631.0,719.0,1.01
"eps[23, 0]",-0.015,0.119,-0.225,0.212,0.004,0.004,1091.0,669.0,1.01
"eps[24, 0]",0.033,0.065,-0.081,0.157,0.002,0.002,726.0,495.0,1.01
"eps[25, 0]",0.03,0.05,-0.057,0.126,0.002,0.001,905.0,695.0,1.0
"eps[26, 0]",0.184,0.067,0.058,0.303,0.002,0.001,1213.0,810.0,1.0
"eps[27, 0]",0.086,0.041,0.008,0.162,0.001,0.001,775.0,725.0,1.01
"eps[28, 0]",-0.002,0.041,-0.075,0.076,0.001,0.001,901.0,738.0,1.0
"eps[29, 0]",0.062,0.024,0.017,0.106,0.001,0.001,903.0,763.0,1.0
"eps[30, 0]",0.007,0.019,-0.031,0.041,0.001,0.0,821.0,809.0,1.0
"eps[31, 0]",-0.067,0.035,-0.13,0.004,0.001,0.001,649.0,556.0,1.01
"eps[32, 0]",-0.026,0.125,-0.245,0.221,0.004,0.004,1254.0,829.0,1.0
"eps[33, 0]",-0.13,0.073,-0.264,0.017,0.003,0.002,752.0,844.0,1.0
"eps[34, 0]",0.168,0.094,-0.014,0.346,0.003,0.002,1325.0,756.0,1.0
"eps[35, 0]",0.16,0.066,0.022,0.272,0.002,0.001,1366.0,905.0,1.01
"eps[36, 0]",0.116,0.033,0.053,0.174,0.001,0.001,753.0,784.0,1.01
"eps[37, 0]",-0.001,0.052,-0.097,0.09,0.001,0.002,1481.0,867.0,1.0
"eps[38, 0]",0.116,0.041,0.034,0.189,0.001,0.001,909.0,662.0,1.0
"eps[39, 0]",0.014,0.033,-0.044,0.081,0.001,0.001,702.0,647.0,1.01
"eps[40, 0]",-0.019,0.032,-0.073,0.043,0.001,0.001,592.0,534.0,1.01
"eps[41, 0]",0.0,0.11,-0.203,0.194,0.003,0.004,1295.0,635.0,1.01
"eps[42, 0]",0.051,0.064,-0.069,0.169,0.002,0.002,745.0,634.0,1.0
"eps[43, 0]",0.02,0.063,-0.09,0.154,0.002,0.002,1239.0,866.0,1.0
"eps[44, 0]",-0.039,0.053,-0.132,0.068,0.002,0.001,844.0,784.0,1.0
"eps[45, 0]",-0.006,0.048,-0.097,0.085,0.001,0.002,2036.0,795.0,1.0
"eps[46, 0]",0.052,0.096,-0.113,0.242,0.002,0.003,2125.0,808.0,1.0
"eps[47, 0]",-0.018,0.03,-0.075,0.036,0.001,0.001,1795.0,663.0,1.0
"eps[48, 0]",-0.01,0.068,-0.127,0.118,0.002,0.002,1547.0,658.0,1.0
"eps[49, 0]",-0.004,0.056,-0.108,0.102,0.001,0.002,1508.0,669.0,1.0
"eps[50, 0]",-0.114,0.094,-0.291,0.063,0.002,0.002,1459.0,715.0,1.01
"eps[51, 0]",-0.041,0.076,-0.182,0.097,0.002,0.002,1086.0,797.0,1.0
"eps[52, 0]",-0.017,0.072,-0.138,0.137,0.002,0.002,1639.0,762.0,1.0
"eps[53, 0]",-0.006,0.049,-0.094,0.096,0.001,0.002,1310.0,687.0,1.0
"eps_tform[0, 0]",-1.053,0.473,-1.885,-0.14,0.021,0.015,584.0,406.0,1.01
"eps_tform[0, 1]",0.265,0.196,-0.118,0.621,0.006,0.004,976.0,701.0,1.0
"eps_tform[0, 2]",-1.775,0.25,-2.196,-1.285,0.011,0.008,510.0,504.0,1.0
"eps_tform[0, 3]",0.391,0.112,0.172,0.587,0.004,0.003,821.0,754.0,1.0
"eps_tform[0, 4]",-0.607,0.14,-0.854,-0.33,0.005,0.004,656.0,778.0,1.0
"eps_tform[0, 5]",-0.436,0.847,-1.956,1.209,0.031,0.025,737.0,714.0,1.0
"eps_tform[0, 6]",-0.745,0.399,-1.511,-0.026,0.015,0.011,704.0,807.0,1.0
"eps_tform[0, 7]",0.374,0.463,-0.487,1.185,0.015,0.012,982.0,787.0,1.0
"eps_tform[0, 8]",0.158,0.73,-1.14,1.589,0.02,0.023,1410.0,712.0,1.0
"eps_tform[0, 9]",-0.704,0.613,-1.897,0.373,0.026,0.019,536.0,574.0,1.0
"eps_tform[0, 10]",0.48,0.412,-0.347,1.202,0.017,0.012,605.0,720.0,1.0
"eps_tform[0, 11]",-0.433,0.372,-1.092,0.283,0.015,0.011,593.0,736.0,1.0
"eps_tform[0, 12]",0.281,0.371,-0.411,0.961,0.015,0.01,648.0,690.0,1.01
"eps_tform[0, 13]",-1.314,0.348,-2.009,-0.71,0.014,0.01,579.0,690.0,1.0
"eps_tform[0, 14]",0.623,0.772,-0.872,2.046,0.024,0.021,1004.0,787.0,1.0
"eps_tform[0, 15]",0.231,0.548,-0.884,1.173,0.018,0.015,897.0,696.0,1.0
"eps_tform[0, 16]",0.193,0.397,-0.552,0.937,0.016,0.011,611.0,762.0,1.01
"eps_tform[0, 17]",1.234,0.509,0.293,2.207,0.016,0.013,992.0,607.0,1.0
"eps_tform[0, 18]",0.341,0.514,-0.53,1.39,0.019,0.014,740.0,688.0,1.0
"eps_tform[0, 19]",-0.214,0.461,-1.047,0.67,0.015,0.014,922.0,613.0,1.01
"eps_tform[0, 20]",-0.366,0.469,-1.26,0.465,0.018,0.013,684.0,607.0,1.0
"eps_tform[0, 21]",0.143,0.461,-0.638,1.1,0.015,0.014,916.0,520.0,1.01
"eps_tform[0, 22]",-0.412,0.303,-1.04,0.095,0.012,0.009,616.0,646.0,1.0
"eps_tform[0, 23]",-0.271,0.891,-2.071,1.263,0.026,0.027,1174.0,835.0,1.0
"eps_tform[0, 24]",0.083,0.338,-0.548,0.707,0.013,0.01,745.0,930.0,1.01
"eps_tform[0, 25]",-0.064,0.4,-0.849,0.646,0.014,0.011,876.0,706.0,1.01
"eps_tform[0, 26]",0.869,0.52,-0.133,1.864,0.014,0.011,1387.0,880.0,1.0
"eps_tform[0, 27]",0.583,0.514,-0.405,1.494,0.018,0.013,813.0,714.0,1.0
"eps_tform[0, 28]",0.09,0.411,-0.692,0.831,0.013,0.011,928.0,735.0,1.0
"eps_tform[0, 29]",0.638,0.476,-0.177,1.602,0.016,0.012,842.0,844.0,1.0
"eps_tform[0, 30]",-0.146,0.444,-0.965,0.716,0.015,0.012,852.0,798.0,1.0
"eps_tform[0, 31]",-0.324,0.386,-1.048,0.364,0.015,0.013,655.0,543.0,1.0
"eps_tform[0, 32]",-0.264,0.878,-1.943,1.371,0.025,0.024,1196.0,615.0,1.0
"eps_tform[0, 33]",-0.694,0.45,-1.576,0.148,0.015,0.011,892.0,829.0,1.0
"eps_tform[0, 34]",1.235,0.771,-0.328,2.602,0.021,0.018,1355.0,659.0,1.0
"eps_tform[0, 35]",1.131,0.833,-0.5,2.56,0.021,0.019,1627.0,865.0,1.01
"eps_tform[0, 36]",1.332,0.426,0.533,2.082,0.015,0.011,760.0,667.0,1.01
"eps_tform[0, 37]",-0.089,0.641,-1.317,1.067,0.016,0.023,1480.0,758.0,1.01
"eps_tform[0, 38]",1.156,0.646,0.041,2.508,0.02,0.015,1082.0,654.0,1.0
"eps_tform[0, 39]",-0.062,0.577,-1.077,1.018,0.019,0.017,981.0,716.0,1.01
"eps_tform[0, 40]",-0.24,0.505,-1.141,0.733,0.019,0.014,735.0,430.0,1.0
"eps_tform[0, 41]",-0.108,1.033,-1.869,1.903,0.028,0.037,1370.0,831.0,1.0
"eps_tform[0, 42]",-0.466,0.54,-1.448,0.552,0.018,0.013,942.0,768.0,1.0
"eps_tform[0, 43]",-0.003,0.819,-1.451,1.587,0.019,0.024,1916.0,814.0,1.0
"eps_tform[0, 44]",-1.089,0.833,-2.538,0.542,0.025,0.018,1097.0,703.0,1.01
"eps_tform[0, 45]",0.012,1.003,-1.909,1.842,0.023,0.035,1927.0,853.0,1.0
"eps_tform[0, 46]",-0.094,0.963,-1.901,1.615,0.02,0.035,2246.0,733.0,1.0
"eps_tform[0, 47]",-0.288,1.04,-2.387,1.547,0.024,0.041,1931.0,696.0,1.0
"eps_tform[0, 48]",-0.442,0.971,-2.106,1.391,0.025,0.035,1519.0,697.0,1.01
"eps_tform[0, 49]",-0.151,0.987,-2.054,1.682,0.024,0.036,1756.0,690.0,1.01
"eps_tform[0, 50]",-0.077,0.988,-1.882,1.612,0.022,0.028,2062.0,921.0,1.01
"eps_tform[0, 51]",-0.305,1.006,-2.101,1.572,0.024,0.033,1746.0,742.0,1.0
"eps_tform[0, 52]",-0.005,0.973,-1.739,1.841,0.02,0.036,2415.0,649.0,1.01
