,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.656,0.06,0.549,0.769,0.003,0.002,375.0,630.0,1.01
Ds[0],32.966,0.058,32.863,33.072,0.003,0.002,427.0,660.0,1.01
RV[0],3.764,0.792,2.381,5.333,0.042,0.03,351.0,385.0,1.02
"eps[0, 0]",0.08,0.061,-0.031,0.196,0.002,0.002,824.0,662.0,1.01
"eps[1, 0]",-0.124,0.133,-0.371,0.127,0.004,0.003,894.0,879.0,1.01
"eps[2, 0]",0.134,0.081,-0.009,0.292,0.003,0.002,973.0,651.0,1.01
"eps[3, 0]",0.302,0.073,0.168,0.433,0.002,0.002,1117.0,706.0,1.0
"eps[4, 0]",0.093,0.083,-0.064,0.255,0.003,0.002,915.0,692.0,1.0
"eps[5, 0]",0.207,0.179,-0.123,0.524,0.006,0.004,855.0,795.0,1.0
"eps[6, 0]",0.08,0.07,-0.043,0.22,0.002,0.002,872.0,735.0,1.0
"eps[7, 0]",0.063,0.041,-0.009,0.141,0.002,0.001,708.0,765.0,1.0
"eps[8, 0]",0.157,0.052,0.068,0.253,0.002,0.001,620.0,824.0,1.0
"eps[9, 0]",-0.004,0.032,-0.068,0.05,0.001,0.001,518.0,393.0,1.01
"eps[10, 0]",0.053,0.03,-0.008,0.109,0.001,0.001,756.0,702.0,1.01
"eps[11, 0]",0.103,0.021,0.062,0.139,0.001,0.001,615.0,678.0,1.0
"eps[12, 0]",0.077,0.02,0.042,0.116,0.001,0.001,378.0,568.0,1.01
"eps[13, 0]",0.048,0.022,0.006,0.092,0.001,0.001,232.0,419.0,1.01
"eps[14, 0]",-0.476,0.118,-0.694,-0.258,0.004,0.003,1078.0,848.0,1.0
"eps[15, 0]",-0.053,0.042,-0.127,0.023,0.002,0.001,437.0,729.0,1.0
"eps[16, 0]",0.054,0.022,0.013,0.095,0.001,0.001,505.0,737.0,1.0
"eps[17, 0]",0.052,0.036,-0.015,0.117,0.002,0.001,435.0,596.0,1.0
"eps[18, 0]",0.003,0.028,-0.046,0.055,0.001,0.001,543.0,824.0,1.01
"eps[19, 0]",0.085,0.021,0.048,0.124,0.001,0.001,902.0,947.0,1.01
"eps[20, 0]",-0.077,0.017,-0.108,-0.047,0.001,0.001,390.0,684.0,1.01
"eps[21, 0]",-0.054,0.016,-0.085,-0.027,0.001,0.001,272.0,682.0,1.01
"eps[22, 0]",-0.202,0.018,-0.237,-0.17,0.001,0.001,304.0,600.0,1.01
"eps[23, 0]",-0.151,0.1,-0.338,0.033,0.003,0.002,1116.0,730.0,1.0
"eps[24, 0]",-0.318,0.033,-0.374,-0.25,0.002,0.001,433.0,524.0,1.01
"eps[25, 0]",-0.239,0.024,-0.285,-0.197,0.001,0.001,730.0,721.0,1.0
"eps[26, 0]",-0.051,0.035,-0.117,0.011,0.002,0.001,425.0,663.0,1.01
"eps[27, 0]",-0.027,0.035,-0.098,0.035,0.002,0.001,475.0,652.0,1.0
"eps[28, 0]",0.21,0.031,0.149,0.267,0.001,0.001,867.0,741.0,1.0
"eps[29, 0]",-0.048,0.016,-0.077,-0.02,0.001,0.0,609.0,839.0,1.0
"eps[30, 0]",0.012,0.017,-0.018,0.044,0.001,0.001,263.0,522.0,1.01
"eps[31, 0]",-0.179,0.026,-0.233,-0.132,0.002,0.001,253.0,507.0,1.01
"eps[32, 0]",0.682,0.142,0.412,0.92,0.005,0.003,904.0,676.0,1.0
"eps[33, 0]",-0.361,0.043,-0.446,-0.283,0.002,0.001,452.0,553.0,1.0
"eps[34, 0]",-0.021,0.042,-0.101,0.053,0.002,0.001,408.0,734.0,1.0
"eps[35, 0]",-0.04,0.037,-0.114,0.023,0.002,0.001,468.0,674.0,1.0
"eps[36, 0]",-0.094,0.03,-0.149,-0.039,0.001,0.001,619.0,739.0,1.01
"eps[37, 0]",0.224,0.03,0.17,0.283,0.001,0.001,734.0,945.0,1.0
"eps[38, 0]",-0.037,0.019,-0.071,-0.001,0.001,0.001,628.0,693.0,1.0
"eps[39, 0]",-0.055,0.025,-0.107,-0.012,0.001,0.001,559.0,678.0,1.0
"eps[40, 0]",-0.154,0.02,-0.194,-0.12,0.001,0.001,488.0,595.0,1.01
"eps[41, 0]",-0.759,0.118,-0.989,-0.547,0.004,0.003,977.0,701.0,1.0
"eps[42, 0]",0.118,0.035,0.056,0.185,0.001,0.001,732.0,650.0,1.0
"eps[43, 0]",-0.155,0.027,-0.21,-0.106,0.001,0.001,690.0,684.0,1.01
"eps[44, 0]",0.091,0.034,0.027,0.151,0.002,0.001,480.0,711.0,1.01
"eps[45, 0]",0.042,0.035,-0.03,0.104,0.001,0.001,1140.0,749.0,1.0
"eps[46, 0]",0.113,0.041,0.037,0.189,0.001,0.001,1460.0,921.0,1.0
"eps[47, 0]",0.043,0.017,0.014,0.076,0.001,0.001,533.0,706.0,1.01
"eps[48, 0]",0.006,0.017,-0.027,0.036,0.001,0.001,423.0,848.0,1.01
"eps[49, 0]",-0.116,0.021,-0.157,-0.08,0.001,0.001,488.0,748.0,1.01
"eps[50, 0]",0.374,0.102,0.178,0.561,0.004,0.003,783.0,684.0,1.0
"eps[51, 0]",-0.228,0.038,-0.294,-0.148,0.002,0.001,634.0,667.0,1.0
"eps[52, 0]",-0.095,0.039,-0.167,-0.021,0.002,0.001,661.0,747.0,1.0
"eps[53, 0]",-0.136,0.034,-0.199,-0.069,0.001,0.001,590.0,750.0,1.01
"eps_tform[0, 0]",0.873,0.659,-0.336,2.128,0.023,0.021,824.0,662.0,1.01
