,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.652,0.079,0.503,0.794,0.005,0.003,273.0,338.0,1.01
Ds[0],33.001,0.075,32.871,33.141,0.004,0.003,298.0,489.0,1.01
RV[0],3.668,0.876,2.251,5.563,0.053,0.038,268.0,350.0,1.02
"eps[0, 0]",0.079,0.061,-0.039,0.187,0.002,0.002,839.0,463.0,1.0
"eps[1, 0]",-0.115,0.141,-0.381,0.138,0.005,0.004,758.0,632.0,1.0
"eps[2, 0]",0.129,0.08,-0.013,0.285,0.003,0.002,971.0,733.0,1.01
"eps[3, 0]",0.3,0.07,0.163,0.431,0.002,0.001,1249.0,870.0,1.0
"eps[4, 0]",0.104,0.085,-0.04,0.282,0.003,0.002,1025.0,856.0,1.0
"eps[5, 0]",0.191,0.178,-0.124,0.544,0.006,0.005,790.0,617.0,1.0
"eps[6, 0]",0.111,0.069,-0.011,0.252,0.003,0.002,745.0,771.0,1.0
"eps[7, 0]",0.053,0.042,-0.024,0.131,0.002,0.001,758.0,808.0,1.0
"eps[8, 0]",0.147,0.05,0.054,0.235,0.002,0.002,518.0,615.0,1.0
"eps[9, 0]",-0.006,0.031,-0.06,0.051,0.002,0.001,405.0,572.0,1.01
"eps[10, 0]",0.054,0.032,-0.007,0.112,0.001,0.001,692.0,664.0,1.0
"eps[11, 0]",0.098,0.021,0.058,0.135,0.001,0.001,464.0,800.0,1.0
"eps[12, 0]",0.077,0.019,0.041,0.113,0.001,0.001,353.0,595.0,1.01
"eps[13, 0]",0.056,0.023,0.015,0.103,0.001,0.001,285.0,417.0,1.01
"eps[14, 0]",-0.471,0.119,-0.694,-0.255,0.004,0.003,893.0,597.0,1.0
"eps[15, 0]",-0.033,0.042,-0.109,0.049,0.002,0.001,537.0,613.0,1.01
"eps[16, 0]",0.044,0.023,0.002,0.086,0.001,0.001,383.0,521.0,1.01
"eps[17, 0]",0.038,0.037,-0.029,0.105,0.002,0.001,329.0,602.0,1.01
"eps[18, 0]",0.004,0.027,-0.05,0.051,0.001,0.001,424.0,615.0,1.01
"eps[19, 0]",0.088,0.022,0.044,0.124,0.001,0.001,779.0,770.0,1.0
"eps[20, 0]",-0.082,0.017,-0.114,-0.05,0.001,0.001,386.0,738.0,1.01
"eps[21, 0]",-0.053,0.016,-0.085,-0.026,0.001,0.001,300.0,460.0,1.01
"eps[22, 0]",-0.193,0.019,-0.232,-0.161,0.001,0.001,296.0,456.0,1.03
