,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.469,0.048,0.374,0.554,0.002,0.002,398.0,556.0,1.01
Ds[0],34.767,0.048,34.682,34.86,0.003,0.002,324.0,603.0,1.01
RV[0],4.237,0.926,2.805,5.976,0.047,0.033,388.0,560.0,1.01
"eps[0, 0]",0.037,0.075,-0.11,0.171,0.002,0.002,1084.0,714.0,1.0
"eps[1, 0]",0.11,0.171,-0.191,0.444,0.006,0.004,982.0,747.0,1.0
"eps[2, 0]",0.148,0.107,-0.041,0.364,0.003,0.003,1112.0,832.0,1.0
"eps[3, 0]",0.126,0.157,-0.152,0.441,0.004,0.004,1297.0,850.0,1.0
"eps[4, 0]",0.033,0.148,-0.231,0.323,0.004,0.004,1291.0,564.0,1.0
"eps[5, 0]",0.354,0.184,-0.004,0.701,0.007,0.005,755.0,686.0,1.0
"eps[6, 0]",0.292,0.081,0.15,0.465,0.003,0.002,700.0,780.0,1.0
"eps[7, 0]",0.269,0.065,0.148,0.388,0.003,0.002,665.0,476.0,1.01
"eps[8, 0]",0.259,0.076,0.119,0.395,0.003,0.002,905.0,896.0,1.0
"eps[9, 0]",0.115,0.03,0.06,0.171,0.001,0.001,625.0,695.0,1.0
"eps[10, 0]",0.061,0.032,-0.003,0.12,0.001,0.001,1096.0,902.0,1.0
"eps[11, 0]",-0.003,0.026,-0.056,0.044,0.001,0.001,871.0,658.0,1.0
"eps[12, 0]",0.178,0.028,0.125,0.23,0.001,0.001,1020.0,690.0,1.0
"eps[13, 0]",-0.103,0.026,-0.153,-0.059,0.001,0.001,635.0,692.0,1.0
"eps[14, 0]",-0.175,0.13,-0.401,0.088,0.005,0.003,841.0,523.0,1.0
"eps[15, 0]",-0.051,0.055,-0.164,0.041,0.002,0.002,608.0,695.0,1.0
"eps[16, 0]",0.015,0.045,-0.07,0.096,0.002,0.001,465.0,760.0,1.0
"eps[17, 0]",0.058,0.044,-0.027,0.139,0.002,0.001,442.0,626.0,1.01
"eps[18, 0]",0.031,0.03,-0.022,0.086,0.001,0.001,742.0,770.0,1.01
"eps[19, 0]",0.135,0.032,0.078,0.193,0.001,0.001,1154.0,973.0,1.0
"eps[20, 0]",-0.102,0.028,-0.158,-0.055,0.001,0.001,1038.0,865.0,1.0
"eps[21, 0]",0.063,0.024,0.02,0.109,0.001,0.001,577.0,725.0,1.0
"eps[22, 0]",-0.271,0.023,-0.313,-0.228,0.001,0.001,766.0,907.0,1.01
"eps[23, 0]",-0.064,0.123,-0.302,0.167,0.003,0.003,1354.0,670.0,1.01
"eps[24, 0]",-0.413,0.06,-0.523,-0.297,0.002,0.002,643.0,663.0,1.0
"eps[25, 0]",-0.322,0.045,-0.404,-0.238,0.002,0.001,631.0,839.0,1.0
"eps[26, 0]",0.02,0.05,-0.079,0.109,0.002,0.002,508.0,655.0,1.0
"eps[27, 0]",-0.102,0.034,-0.165,-0.039,0.001,0.001,770.0,748.0,1.0
"eps[28, 0]",0.089,0.039,0.017,0.163,0.001,0.001,835.0,590.0,1.0
"eps[29, 0]",-0.108,0.021,-0.144,-0.068,0.001,0.001,725.0,766.0,1.0
"eps[30, 0]",-0.052,0.024,-0.097,-0.007,0.001,0.001,612.0,753.0,1.01
"eps[31, 0]",-0.379,0.033,-0.435,-0.317,0.001,0.001,540.0,711.0,1.0
"eps[32, 0]",-0.121,0.14,-0.377,0.132,0.004,0.003,1499.0,840.0,1.0
"eps[33, 0]",-0.318,0.064,-0.427,-0.187,0.003,0.002,526.0,678.0,1.0
"eps[34, 0]",-0.515,0.061,-0.639,-0.404,0.002,0.002,643.0,727.0,1.0
"eps[35, 0]",-0.059,0.051,-0.149,0.035,0.002,0.001,810.0,852.0,1.0
"eps[36, 0]",-0.009,0.042,-0.088,0.068,0.001,0.001,1321.0,950.0,1.0
"eps[37, 0]",0.108,0.048,0.023,0.201,0.001,0.001,1257.0,865.0,1.0
"eps[38, 0]",-0.009,0.032,-0.068,0.047,0.001,0.001,858.0,520.0,1.01
"eps[39, 0]",0.078,0.033,0.016,0.142,0.001,0.001,656.0,684.0,1.01
"eps[40, 0]",-0.118,0.027,-0.165,-0.064,0.001,0.001,894.0,763.0,1.01
"eps[41, 0]",-0.197,0.115,-0.437,0.004,0.003,0.003,1178.0,233.0,1.0
"eps[42, 0]",-0.064,0.094,-0.235,0.117,0.002,0.003,1617.0,798.0,1.0
"eps[43, 0]",-0.243,0.071,-0.38,-0.111,0.002,0.001,1294.0,863.0,1.0
"eps[44, 0]",-0.013,0.059,-0.129,0.093,0.001,0.002,2145.0,724.0,1.01
"eps[45, 0]",-0.025,0.041,-0.104,0.049,0.001,0.001,1628.0,893.0,1.0
