,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.314,0.075,0.196,0.457,0.003,0.002,484.0,759.0,1.01
Ds[0],34.911,0.075,34.778,35.044,0.003,0.002,475.0,710.0,1.0
RV[0],1.824,0.665,1.001,2.971,0.03,0.021,505.0,662.0,1.01
"eps[0, 0]",0.031,0.073,-0.108,0.159,0.002,0.002,1080.0,727.0,1.01
"eps[1, 0]",0.06,0.159,-0.232,0.364,0.005,0.005,1247.0,696.0,1.0
"eps[2, 0]",0.193,0.103,-0.022,0.36,0.003,0.003,892.0,654.0,1.0
"eps[3, 0]",0.1,0.165,-0.213,0.412,0.004,0.005,1391.0,792.0,1.0
"eps[4, 0]",0.053,0.146,-0.183,0.37,0.005,0.004,893.0,667.0,1.01
"eps[5, 0]",0.369,0.184,0.019,0.703,0.006,0.005,875.0,678.0,1.0
"eps[6, 0]",0.29,0.083,0.138,0.446,0.003,0.002,674.0,667.0,1.01
"eps[7, 0]",0.234,0.06,0.121,0.348,0.002,0.001,891.0,735.0,1.0
"eps[8, 0]",0.194,0.079,0.051,0.347,0.003,0.002,870.0,685.0,1.01
"eps[9, 0]",0.07,0.03,0.013,0.123,0.001,0.001,734.0,705.0,1.0
"eps[10, 0]",0.058,0.034,-0.012,0.117,0.001,0.001,1133.0,735.0,1.0
"eps[11, 0]",0.008,0.028,-0.043,0.065,0.001,0.001,968.0,814.0,1.0
"eps[12, 0]",0.194,0.025,0.148,0.241,0.001,0.0,1316.0,841.0,1.0
"eps[13, 0]",-0.091,0.027,-0.14,-0.041,0.001,0.001,617.0,698.0,1.01
"eps[14, 0]",-0.217,0.126,-0.455,0.009,0.004,0.003,876.0,709.0,1.0
"eps[15, 0]",-0.046,0.057,-0.15,0.061,0.002,0.002,638.0,735.0,1.0
"eps[16, 0]",-0.032,0.038,-0.103,0.038,0.001,0.001,666.0,706.0,1.0
"eps[17, 0]",0.002,0.046,-0.082,0.093,0.002,0.001,650.0,780.0,1.0
"eps[18, 0]",0.0,0.029,-0.05,0.059,0.001,0.001,781.0,832.0,1.0
"eps[19, 0]",0.133,0.033,0.07,0.193,0.001,0.001,1000.0,839.0,1.01
"eps[20, 0]",-0.087,0.027,-0.136,-0.034,0.001,0.001,929.0,910.0,1.0
"eps[21, 0]",0.085,0.022,0.042,0.122,0.001,0.001,926.0,634.0,1.0
"eps[22, 0]",-0.252,0.024,-0.293,-0.205,0.001,0.001,710.0,739.0,1.0
"eps[23, 0]",-0.089,0.12,-0.304,0.132,0.003,0.003,1328.0,695.0,1.0
"eps[24, 0]",-0.417,0.055,-0.527,-0.321,0.002,0.001,947.0,785.0,1.0
"eps[25, 0]",-0.358,0.042,-0.445,-0.287,0.001,0.001,873.0,796.0,1.0
"eps[26, 0]",-0.04,0.049,-0.129,0.048,0.002,0.001,670.0,853.0,1.0
"eps[27, 0]",-0.135,0.034,-0.201,-0.073,0.001,0.001,795.0,831.0,1.0
"eps[28, 0]",0.109,0.041,0.039,0.195,0.001,0.001,783.0,721.0,1.0
"eps[29, 0]",-0.096,0.021,-0.134,-0.058,0.001,0.001,766.0,805.0,1.01
"eps[30, 0]",-0.027,0.019,-0.065,0.008,0.001,0.001,721.0,774.0,1.0
"eps[31, 0]",-0.372,0.033,-0.43,-0.31,0.001,0.001,618.0,765.0,1.0
"eps[32, 0]",-0.114,0.129,-0.361,0.131,0.004,0.004,896.0,672.0,1.0
"eps[33, 0]",-0.348,0.062,-0.469,-0.238,0.002,0.002,765.0,705.0,1.0
"eps[34, 0]",-0.562,0.059,-0.657,-0.449,0.002,0.002,756.0,716.0,1.0
"eps[35, 0]",-0.106,0.05,-0.205,-0.02,0.002,0.001,902.0,851.0,1.0
"eps[36, 0]",-0.043,0.042,-0.127,0.03,0.001,0.001,1154.0,775.0,1.0
"eps[37, 0]",0.119,0.046,0.038,0.212,0.001,0.001,1165.0,777.0,1.01
"eps[38, 0]",0.018,0.033,-0.042,0.082,0.001,0.001,837.0,612.0,1.0
"eps[39, 0]",0.113,0.029,0.059,0.169,0.001,0.001,728.0,774.0,1.01
"eps[40, 0]",-0.09,0.029,-0.141,-0.036,0.001,0.001,731.0,624.0,1.0
"eps[41, 0]",-0.218,0.109,-0.428,-0.012,0.003,0.002,1444.0,796.0,1.0
"eps[42, 0]",-0.057,0.095,-0.239,0.108,0.003,0.003,1107.0,692.0,1.01
"eps[43, 0]",-0.251,0.077,-0.393,-0.114,0.002,0.002,1369.0,678.0,1.0
"eps[44, 0]",-0.023,0.059,-0.135,0.084,0.002,0.002,1412.0,694.0,1.01
