,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.263,0.056,0.142,0.354,0.003,0.002,499.0,623.0,1.01
Ds[0],34.775,0.047,34.686,34.862,0.002,0.002,458.0,602.0,1.0
RV[0],3.617,1.213,1.657,5.854,0.055,0.039,484.0,570.0,1.0
"eps[0, 0]",-0.066,0.037,-0.138,0.003,0.001,0.001,630.0,867.0,1.0
"eps[1, 0]",-0.026,0.064,-0.138,0.1,0.002,0.002,867.0,713.0,1.0
"eps[2, 0]",-0.209,0.048,-0.299,-0.122,0.002,0.001,714.0,490.0,1.0
"eps[3, 0]",-0.028,0.04,-0.103,0.046,0.001,0.001,709.0,656.0,1.0
"eps[4, 0]",-0.17,0.037,-0.238,-0.102,0.002,0.001,608.0,689.0,1.01
"eps[5, 0]",-0.071,0.182,-0.406,0.281,0.006,0.005,828.0,654.0,1.0
"eps[6, 0]",0.119,0.092,-0.049,0.283,0.003,0.002,730.0,703.0,1.0
"eps[7, 0]",0.089,0.069,-0.042,0.217,0.002,0.002,952.0,911.0,1.01
"eps[8, 0]",0.279,0.101,0.096,0.463,0.003,0.002,1325.0,720.0,1.0
"eps[9, 0]",0.031,0.034,-0.035,0.091,0.001,0.001,541.0,638.0,1.0
"eps[10, 0]",-0.004,0.031,-0.06,0.056,0.001,0.001,709.0,653.0,1.0
"eps[11, 0]",0.035,0.024,-0.014,0.077,0.001,0.001,791.0,819.0,1.0
"eps[12, 0]",0.004,0.024,-0.039,0.052,0.001,0.001,394.0,603.0,1.01
"eps[13, 0]",0.014,0.024,-0.027,0.058,0.001,0.001,462.0,531.0,1.01
"eps[14, 0]",0.017,0.137,-0.25,0.26,0.004,0.004,979.0,786.0,1.0
"eps[15, 0]",-0.014,0.057,-0.107,0.104,0.002,0.002,741.0,845.0,1.01
"eps[16, 0]",0.004,0.046,-0.082,0.095,0.002,0.001,619.0,752.0,1.0
"eps[17, 0]",-0.022,0.051,-0.112,0.08,0.002,0.001,759.0,758.0,1.0
"eps[18, 0]",0.024,0.033,-0.033,0.087,0.001,0.001,610.0,808.0,1.0
"eps[19, 0]",0.006,0.033,-0.059,0.064,0.001,0.001,871.0,762.0,1.0
"eps[20, 0]",-0.036,0.025,-0.085,0.006,0.001,0.001,618.0,763.0,1.0
"eps[21, 0]",-0.077,0.023,-0.12,-0.034,0.001,0.001,561.0,615.0,1.0
"eps[22, 0]",-0.087,0.022,-0.126,-0.048,0.001,0.001,465.0,535.0,1.01
"eps[23, 0]",-0.165,0.122,-0.381,0.08,0.003,0.003,1248.0,815.0,1.01
"eps[24, 0]",0.018,0.048,-0.066,0.115,0.002,0.001,792.0,893.0,1.0
