,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.276,0.075,0.134,0.403,0.004,0.003,352.0,508.0,1.01
Ds[0],34.762,0.067,34.641,34.887,0.003,0.002,384.0,552.0,1.0
RV[0],3.583,1.351,1.458,5.96,0.073,0.051,387.0,653.0,1.01
"eps[0, 0]",-0.063,0.035,-0.127,0.002,0.001,0.001,630.0,818.0,1.0
"eps[1, 0]",-0.022,0.061,-0.134,0.086,0.003,0.002,538.0,684.0,1.0
"eps[2, 0]",-0.208,0.047,-0.292,-0.122,0.002,0.001,540.0,454.0,1.01
"eps[3, 0]",-0.029,0.036,-0.097,0.038,0.002,0.001,486.0,635.0,1.0
"eps[4, 0]",-0.174,0.037,-0.245,-0.105,0.002,0.001,476.0,565.0,1.01
"eps[5, 0]",-0.083,0.184,-0.4,0.302,0.008,0.005,586.0,476.0,1.0
"eps[6, 0]",0.124,0.092,-0.046,0.292,0.004,0.003,671.0,736.0,1.0
"eps[7, 0]",0.087,0.069,-0.048,0.207,0.003,0.002,739.0,667.0,1.0
"eps[8, 0]",0.29,0.101,0.113,0.477,0.003,0.002,1091.0,820.0,1.0
"eps[9, 0]",0.032,0.032,-0.034,0.085,0.001,0.001,450.0,617.0,1.01
"eps[10, 0]",-0.004,0.03,-0.064,0.048,0.001,0.001,622.0,610.0,1.0
"eps[11, 0]",0.034,0.025,-0.014,0.08,0.001,0.001,457.0,594.0,1.01
"eps[12, 0]",0.0,0.02,-0.035,0.04,0.001,0.001,330.0,591.0,1.02
"eps[13, 0]",0.01,0.024,-0.032,0.058,0.001,0.001,368.0,628.0,1.01
"eps[14, 0]",0.015,0.139,-0.23,0.284,0.004,0.004,978.0,760.0,1.0
"eps[15, 0]",-0.015,0.058,-0.118,0.093,0.002,0.002,724.0,796.0,1.0
"eps[16, 0]",0.006,0.041,-0.081,0.074,0.002,0.001,622.0,830.0,1.0
"eps[17, 0]",-0.017,0.052,-0.114,0.076,0.002,0.001,632.0,903.0,1.0
"eps[18, 0]",0.027,0.03,-0.033,0.083,0.001,0.001,467.0,664.0,1.0
"eps[19, 0]",0.008,0.033,-0.051,0.075,0.001,0.001,607.0,653.0,1.0
"eps[20, 0]",-0.037,0.024,-0.081,0.011,0.001,0.001,608.0,639.0,1.01
"eps[21, 0]",-0.08,0.021,-0.116,-0.038,0.001,0.001,455.0,582.0,1.0
"eps[22, 0]",-0.09,0.021,-0.132,-0.052,0.001,0.001,344.0,478.0,1.01
"eps[23, 0]",-0.16,0.117,-0.402,0.04,0.004,0.003,964.0,719.0,1.0
"eps[24, 0]",0.015,0.047,-0.071,0.103,0.002,0.001,564.0,787.0,1.0
"eps[25, 0]",0.102,0.041,0.032,0.183,0.002,0.001,543.0,650.0,1.0
"eps[26, 0]",0.213,0.043,0.134,0.29,0.002,0.001,474.0,793.0,1.0
"eps[27, 0]",0.171,0.046,0.09,0.26,0.002,0.001,529.0,620.0,1.0
"eps[28, 0]",0.107,0.042,0.033,0.187,0.002,0.001,683.0,719.0,1.0
"eps[29, 0]",0.059,0.023,0.016,0.103,0.001,0.001,601.0,826.0,1.0
"eps[30, 0]",0.011,0.018,-0.024,0.043,0.001,0.001,376.0,534.0,1.01
"eps[31, 0]",-0.114,0.032,-0.174,-0.059,0.002,0.001,360.0,531.0,1.01
"eps[32, 0]",0.088,0.133,-0.156,0.324,0.004,0.004,935.0,737.0,1.0
"eps[33, 0]",-0.327,0.066,-0.444,-0.205,0.003,0.002,612.0,792.0,1.0
"eps[34, 0]",-0.109,0.068,-0.227,0.03,0.002,0.002,769.0,897.0,1.0
"eps[35, 0]",0.014,0.049,-0.082,0.104,0.002,0.001,703.0,803.0,1.0
"eps[36, 0]",-0.163,0.057,-0.268,-0.06,0.002,0.001,1190.0,883.0,1.0
"eps[37, 0]",-0.016,0.071,-0.146,0.113,0.002,0.002,820.0,673.0,1.01
"eps[38, 0]",-0.035,0.047,-0.118,0.057,0.002,0.001,805.0,841.0,1.0
"eps[39, 0]",-0.085,0.042,-0.155,-0.005,0.001,0.001,812.0,952.0,1.0
"eps[40, 0]",0.001,0.047,-0.082,0.094,0.002,0.001,837.0,832.0,1.0
"eps[41, 0]",-0.053,0.111,-0.236,0.156,0.003,0.003,1231.0,753.0,1.0
"eps[42, 0]",0.328,0.093,0.151,0.506,0.003,0.002,1266.0,465.0,1.0
"eps[43, 0]",-0.024,0.076,-0.156,0.13,0.002,0.002,2212.0,764.0,1.0
"eps[44, 0]",0.042,0.057,-0.064,0.146,0.002,0.001,1361.0,696.0,1.0
"eps[45, 0]",0.025,0.051,-0.076,0.113,0.001,0.001,1626.0,726.0,1.01
"eps[46, 0]",0.114,0.097,-0.055,0.3,0.002,0.002,2108.0,780.0,1.0
"eps[47, 0]",0.012,0.03,-0.044,0.066,0.001,0.001,1916.0,536.0,1.01
"eps[48, 0]",0.022,0.073,-0.114,0.146,0.002,0.003,1521.0,748.0,1.0
"eps[49, 0]",0.02,0.06,-0.096,0.127,0.002,0.002,1660.0,696.0,1.0
"eps[50, 0]",-0.047,0.1,-0.225,0.139,0.003,0.003,1081.0,839.0,1.0
"eps[51, 0]",-0.056,0.079,-0.199,0.089,0.002,0.002,1079.0,694.0,1.0
"eps[52, 0]",-0.027,0.073,-0.177,0.105,0.002,0.002,1421.0,606.0,1.0
"eps[53, 0]",-0.038,0.049,-0.136,0.048,0.001,0.001,1788.0,882.0,1.0
"eps_tform[0, 0]",-0.68,0.383,-1.385,0.021,0.015,0.011,630.0,818.0,1.0
"eps_tform[0, 1]",-0.005,0.287,-0.526,0.526,0.013,0.009,523.0,618.0,1.0
"eps_tform[0, 2]",-1.451,0.303,-2.036,-0.922,0.014,0.01,487.0,555.0,1.01
"eps_tform[0, 3]",0.159,0.127,-0.119,0.366,0.005,0.003,693.0,711.0,1.0
"eps_tform[0, 4]",-0.22,0.154,-0.491,0.072,0.006,0.005,592.0,644.0,1.01
"eps_tform[0, 5]",-0.103,0.869,-1.691,1.608,0.036,0.028,594.0,479.0,1.0
"eps_tform[0, 6]",0.742,0.436,-0.088,1.535,0.016,0.011,731.0,813.0,1.0
"eps_tform[0, 7]",0.514,0.433,-0.295,1.309,0.015,0.011,796.0,694.0,1.0
"eps_tform[0, 8]",1.836,0.68,0.597,3.054,0.019,0.014,1222.0,805.0,1.0
"eps_tform[0, 9]",0.524,0.62,-0.746,1.574,0.029,0.021,459.0,619.0,1.01
"eps_tform[0, 10]",0.134,0.498,-0.754,1.087,0.019,0.014,670.0,683.0,1.0
"eps_tform[0, 11]",0.412,0.419,-0.385,1.144,0.023,0.016,337.0,620.0,1.01
"eps_tform[0, 12]",0.28,0.385,-0.477,0.977,0.022,0.016,301.0,706.0,1.01
"eps_tform[0, 13]",-0.205,0.362,-0.903,0.448,0.018,0.013,400.0,625.0,1.01
"eps_tform[0, 14]",-0.104,0.901,-1.693,1.538,0.028,0.028,1013.0,739.0,1.0
"eps_tform[0, 15]",-0.526,0.547,-1.431,0.627,0.024,0.017,522.0,515.0,1.0
"eps_tform[0, 16]",-0.018,0.442,-0.785,0.882,0.02,0.014,506.0,682.0,1.0
"eps_tform[0, 17]",-0.429,0.593,-1.522,0.655,0.023,0.017,638.0,829.0,1.0
"eps_tform[0, 18]",0.218,0.471,-0.738,1.037,0.022,0.016,460.0,797.0,1.0
"eps_tform[0, 19]",0.093,0.4,-0.565,0.961,0.014,0.011,766.0,846.0,1.01
"eps_tform[0, 20]",-0.773,0.434,-1.484,0.11,0.021,0.015,428.0,588.0,1.01
"eps_tform[0, 21]",-0.884,0.417,-1.634,-0.116,0.019,0.014,468.0,680.0,1.0
"eps_tform[0, 22]",-0.048,0.282,-0.564,0.487,0.014,0.01,405.0,715.0,1.01
"eps_tform[0, 23]",-1.038,0.901,-2.697,0.674,0.029,0.021,942.0,798.0,1.0
"eps_tform[0, 24]",0.133,0.265,-0.369,0.59,0.012,0.008,492.0,698.0,1.0
"eps_tform[0, 25]",1.015,0.336,0.383,1.624,0.015,0.01,529.0,535.0,1.0
"eps_tform[0, 26]",1.129,0.329,0.512,1.718,0.014,0.01,516.0,704.0,1.0
"eps_tform[0, 27]",1.658,0.58,0.502,2.643,0.024,0.017,578.0,624.0,1.0
"eps_tform[0, 28]",0.614,0.429,-0.144,1.398,0.017,0.012,674.0,677.0,1.0
"eps_tform[0, 29]",0.641,0.398,-0.096,1.355,0.017,0.012,561.0,799.0,1.0
"eps_tform[0, 30]",0.239,0.411,-0.551,1.023,0.019,0.013,491.0,561.0,1.01
"eps_tform[0, 31]",-0.73,0.355,-1.391,-0.059,0.014,0.01,645.0,850.0,1.01
"eps_tform[0, 32]",0.509,0.964,-1.231,2.341,0.029,0.027,1101.0,844.0,1.0
"eps_tform[0, 33]",-1.563,0.418,-2.355,-0.779,0.016,0.011,672.0,706.0,1.0
"eps_tform[0, 34]",-1.001,0.564,-2.035,0.055,0.019,0.013,921.0,811.0,1.0
"eps_tform[0, 35]",-0.291,0.627,-1.417,0.968,0.021,0.016,893.0,902.0,1.0
"eps_tform[0, 36]",-1.806,0.68,-3.138,-0.599,0.019,0.014,1269.0,717.0,1.01
"eps_tform[0, 37]",-0.142,0.857,-1.685,1.487,0.028,0.024,964.0,647.0,1.0
"eps_tform[0, 38]",0.07,0.823,-1.491,1.541,0.024,0.026,1163.0,842.0,1.0
"eps_tform[0, 39]",-0.832,0.802,-2.304,0.704,0.023,0.019,1214.0,799.0,1.01
"eps_tform[0, 40]",-0.114,0.84,-1.552,1.515,0.023,0.028,1316.0,693.0,1.01
"eps_tform[0, 41]",0.197,1.003,-1.714,2.015,0.024,0.031,1820.0,760.0,1.0
"eps_tform[0, 42]",1.242,0.933,-0.307,3.219,0.024,0.02,1546.0,552.0,1.0
"eps_tform[0, 43]",-0.013,0.984,-1.949,1.709,0.019,0.031,2700.0,728.0,1.0
"eps_tform[0, 44]",-0.109,0.975,-1.952,1.576,0.024,0.032,1657.0,805.0,1.0
"eps_tform[0, 45]",0.193,1.028,-1.619,2.307,0.023,0.034,2005.0,701.0,1.01
"eps_tform[0, 46]",0.003,0.962,-1.677,1.908,0.019,0.037,2519.0,734.0,1.0
"eps_tform[0, 47]",0.026,1.02,-1.707,2.056,0.021,0.043,2330.0,546.0,1.0
"eps_tform[0, 48]",0.169,0.998,-1.645,2.082,0.025,0.038,1536.0,644.0,1.01
"eps_tform[0, 49]",0.023,0.981,-1.813,1.82,0.025,0.031,1516.0,761.0,1.0
"eps_tform[0, 50]",-0.065,0.996,-1.726,1.817,0.021,0.03,2370.0,842.0,1.01
"eps_tform[0, 51]",-0.14,0.938,-2.026,1.504,0.026,0.03,1307.0,615.0,1.0
"eps_tform[0, 52]",0.027,0.982,-1.85,1.744,0.024,0.034,1674.0,799.0,1.0
"eps_tform[0, 53]",0.003,0.995,-1.683,1.893,0.024,0.039,1751.0,615.0,1.0
theta[0],-1.078,0.146,-1.356,-0.811,0.006,0.004,529.0,609.0,1.0
tmax[0],0.334,0.109,0.136,0.536,0.004,0.003,879.0,689.0,1.0
peak_MJD[0],54943.841,0.112,54943.638,54944.047,0.004,0.003,879.0,689.0,1.0
mu[0],34.76,0.115,34.557,34.984,0.004,0.003,667.0,762.0,1.0
delM[0],0.002,0.092,-0.161,0.175,0.003,0.002,1024.0,1045.0,1.0
