,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.194,0.053,0.106,0.297,0.003,0.002,455.0,508.0,1.01
Ds[0],34.593,0.051,34.494,34.685,0.003,0.002,411.0,427.0,1.01
RV[0],1.701,0.724,1.001,3.105,0.035,0.025,569.0,470.0,1.0
"eps[0, 0]",0.227,0.047,0.145,0.317,0.002,0.001,605.0,659.0,1.01
"eps[1, 0]",0.111,0.062,-0.007,0.222,0.002,0.002,700.0,728.0,1.0
"eps[2, 0]",0.177,0.051,0.078,0.268,0.002,0.002,623.0,586.0,1.0
"eps[3, 0]",-0.099,0.042,-0.177,-0.021,0.002,0.001,616.0,568.0,1.0
"eps[4, 0]",-0.0,0.046,-0.079,0.095,0.002,0.002,520.0,527.0,1.0
"eps[5, 0]",-0.064,0.204,-0.414,0.323,0.006,0.006,1123.0,745.0,1.0
"eps[6, 0]",0.319,0.12,0.089,0.535,0.003,0.002,1509.0,779.0,1.0
"eps[7, 0]",-0.14,0.113,-0.344,0.064,0.003,0.002,1795.0,940.0,1.0
"eps[8, 0]",0.035,0.13,-0.204,0.271,0.004,0.004,1362.0,757.0,1.01
"eps[9, 0]",0.034,0.038,-0.043,0.099,0.001,0.001,671.0,751.0,1.01
"eps[10, 0]",0.068,0.029,0.013,0.12,0.001,0.001,834.0,694.0,1.0
"eps[11, 0]",-0.078,0.022,-0.117,-0.035,0.001,0.001,748.0,781.0,1.0
"eps[12, 0]",-0.003,0.021,-0.039,0.036,0.001,0.001,602.0,677.0,1.0
"eps[13, 0]",-0.111,0.025,-0.161,-0.068,0.001,0.001,599.0,483.0,1.01
"eps[14, 0]",0.012,0.149,-0.259,0.299,0.004,0.005,1199.0,724.0,1.0
"eps[15, 0]",0.115,0.061,0.005,0.226,0.002,0.001,923.0,793.0,1.01
"eps[16, 0]",0.102,0.035,0.036,0.164,0.002,0.001,531.0,797.0,1.01
"eps[17, 0]",0.004,0.041,-0.075,0.079,0.002,0.001,621.0,709.0,1.01
"eps[18, 0]",-0.065,0.034,-0.129,-0.0,0.001,0.001,866.0,714.0,1.01
"eps[19, 0]",0.096,0.045,0.016,0.184,0.001,0.001,1072.0,793.0,1.0
"eps[20, 0]",-0.121,0.031,-0.178,-0.064,0.001,0.001,1010.0,800.0,1.0
"eps[21, 0]",-0.078,0.029,-0.129,-0.021,0.001,0.001,1155.0,892.0,1.0
