,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.2,0.065,0.098,0.327,0.003,0.002,437.0,466.0,1.01
Ds[0],34.598,0.063,34.477,34.706,0.003,0.002,421.0,450.0,1.0
RV[0],2.016,1.052,1.003,4.21,0.055,0.039,446.0,583.0,1.01
"eps[0, 0]",0.237,0.048,0.15,0.326,0.002,0.001,611.0,400.0,1.01
"eps[1, 0]",0.113,0.063,-0.005,0.237,0.003,0.002,608.0,522.0,1.0
"eps[2, 0]",0.169,0.052,0.082,0.278,0.002,0.002,595.0,377.0,1.01
"eps[3, 0]",-0.107,0.043,-0.191,-0.032,0.002,0.001,505.0,714.0,1.0
"eps[4, 0]",-0.004,0.048,-0.086,0.089,0.002,0.002,473.0,425.0,1.0
"eps[5, 0]",-0.081,0.201,-0.446,0.288,0.005,0.006,1411.0,714.0,1.0
"eps[6, 0]",0.336,0.124,0.097,0.553,0.003,0.003,1262.0,852.0,1.0
"eps[7, 0]",-0.14,0.111,-0.379,0.044,0.003,0.002,1794.0,914.0,1.0
"eps[8, 0]",0.044,0.128,-0.182,0.289,0.003,0.004,1366.0,723.0,1.0
"eps[9, 0]",0.048,0.037,-0.024,0.11,0.002,0.001,475.0,625.0,1.01
"eps[10, 0]",0.069,0.029,0.017,0.122,0.001,0.001,703.0,712.0,1.0
"eps[11, 0]",-0.083,0.022,-0.124,-0.04,0.001,0.001,583.0,713.0,1.0
"eps[12, 0]",-0.011,0.021,-0.044,0.032,0.001,0.001,534.0,871.0,1.01
"eps[13, 0]",-0.113,0.026,-0.16,-0.066,0.001,0.001,578.0,768.0,1.01
"eps[14, 0]",0.019,0.147,-0.254,0.286,0.004,0.004,1350.0,807.0,1.0
"eps[15, 0]",0.12,0.058,0.019,0.233,0.002,0.001,887.0,722.0,1.0
"eps[16, 0]",0.101,0.035,0.036,0.169,0.002,0.001,493.0,571.0,1.01
"eps[17, 0]",0.012,0.04,-0.063,0.084,0.002,0.001,582.0,637.0,1.0
"eps[18, 0]",-0.054,0.033,-0.114,0.01,0.001,0.001,627.0,630.0,1.0
"eps[19, 0]",0.097,0.044,0.009,0.175,0.001,0.001,933.0,813.0,1.0
"eps[20, 0]",-0.127,0.03,-0.182,-0.068,0.001,0.001,841.0,822.0,1.0
"eps[21, 0]",-0.085,0.029,-0.136,-0.029,0.001,0.001,961.0,884.0,1.0
"eps[22, 0]",-0.155,0.032,-0.213,-0.094,0.001,0.001,632.0,866.0,1.0
"eps[23, 0]",0.086,0.129,-0.137,0.338,0.003,0.003,2340.0,822.0,1.01
"eps[24, 0]",0.307,0.061,0.196,0.417,0.002,0.001,952.0,922.0,1.0
"eps[25, 0]",-0.111,0.045,-0.196,-0.03,0.002,0.001,544.0,616.0,1.02
"eps[26, 0]",0.165,0.049,0.079,0.253,0.002,0.001,573.0,804.0,1.0
"eps[27, 0]",0.018,0.057,-0.085,0.13,0.002,0.001,828.0,748.0,1.0
"eps[28, 0]",-0.027,0.074,-0.163,0.102,0.002,0.002,1596.0,951.0,1.01
"eps[29, 0]",-0.033,0.04,-0.104,0.046,0.001,0.001,1037.0,730.0,1.0
"eps[30, 0]",0.036,0.037,-0.027,0.113,0.001,0.001,1427.0,990.0,1.0
"eps[31, 0]",0.067,0.062,-0.056,0.186,0.002,0.001,968.0,739.0,1.0
"eps[32, 0]",-0.025,0.135,-0.28,0.216,0.003,0.005,1627.0,673.0,1.0
"eps[33, 0]",0.14,0.078,0.006,0.295,0.002,0.002,1194.0,969.0,1.0
"eps[34, 0]",0.359,0.077,0.212,0.495,0.003,0.002,839.0,831.0,1.0
"eps[35, 0]",0.239,0.069,0.104,0.361,0.002,0.001,1516.0,798.0,1.01
"eps[36, 0]",-0.042,0.087,-0.19,0.131,0.002,0.003,2364.0,676.0,1.01
"eps[37, 0]",-0.091,0.086,-0.25,0.071,0.002,0.002,2807.0,681.0,1.02
"eps[38, 0]",-0.097,0.057,-0.205,0.007,0.002,0.001,1373.0,764.0,1.0
"eps[39, 0]",-0.047,0.052,-0.149,0.045,0.001,0.001,2760.0,855.0,1.0
"eps[40, 0]",-0.02,0.059,-0.116,0.099,0.001,0.002,1918.0,833.0,1.01
"eps[41, 0]",0.223,0.117,0.019,0.443,0.003,0.002,1877.0,693.0,1.01
"eps[42, 0]",0.063,0.095,-0.114,0.247,0.002,0.003,2074.0,655.0,1.0
"eps[43, 0]",0.021,0.086,-0.14,0.18,0.002,0.003,2342.0,773.0,1.0
"eps[44, 0]",0.037,0.064,-0.088,0.149,0.001,0.002,2827.0,764.0,1.0
"eps[45, 0]",-0.016,0.052,-0.112,0.082,0.001,0.001,1881.0,867.0,1.0
"eps[46, 0]",0.086,0.105,-0.101,0.297,0.002,0.003,3000.0,603.0,1.0
"eps[47, 0]",-0.009,0.03,-0.066,0.044,0.001,0.001,2159.0,800.0,1.0
"eps[48, 0]",-0.021,0.082,-0.165,0.136,0.002,0.003,2084.0,676.0,1.01
"eps[49, 0]",-0.034,0.079,-0.172,0.124,0.002,0.003,1800.0,666.0,1.0
"eps[50, 0]",-0.079,0.11,-0.292,0.122,0.003,0.003,1466.0,840.0,1.0
"eps[51, 0]",-0.029,0.093,-0.193,0.148,0.002,0.003,1735.0,726.0,1.0
"eps[52, 0]",-0.044,0.08,-0.198,0.105,0.002,0.002,1928.0,928.0,1.02
"eps[53, 0]",-0.002,0.059,-0.118,0.106,0.002,0.002,1363.0,758.0,1.0
"eps_tform[0, 0]",2.575,0.518,1.626,3.548,0.021,0.016,611.0,400.0,1.01
"eps_tform[0, 1]",0.162,0.264,-0.354,0.642,0.01,0.008,661.0,705.0,1.0
"eps_tform[0, 2]",0.44,0.291,-0.148,0.938,0.013,0.01,517.0,484.0,1.01
"eps_tform[0, 3]",-0.836,0.108,-1.05,-0.65,0.004,0.003,743.0,898.0,1.0
"eps_tform[0, 4]",-0.101,0.116,-0.319,0.098,0.005,0.003,594.0,687.0,1.01
"eps_tform[0, 5]",-0.708,0.939,-2.455,0.964,0.025,0.023,1468.0,798.0,1.0
"eps_tform[0, 6]",1.745,0.652,0.485,2.894,0.017,0.013,1374.0,757.0,1.0
"eps_tform[0, 7]",-1.297,0.709,-2.66,-0.057,0.017,0.014,1773.0,837.0,1.0
"eps_tform[0, 8]",0.138,0.873,-1.414,1.811,0.023,0.027,1390.0,806.0,1.0
"eps_tform[0, 9]",1.142,0.732,-0.211,2.455,0.033,0.023,487.0,647.0,1.01
"eps_tform[0, 10]",0.813,0.478,-0.027,1.732,0.017,0.012,752.0,862.0,1.0
"eps_tform[0, 11]",-1.65,0.402,-2.425,-0.941,0.018,0.013,485.0,789.0,1.0
"eps_tform[0, 12]",-0.802,0.421,-1.572,-0.025,0.018,0.013,543.0,652.0,1.01
"eps_tform[0, 13]",-1.499,0.391,-2.221,-0.749,0.017,0.012,542.0,688.0,1.01
"eps_tform[0, 14]",0.353,0.958,-1.458,2.048,0.026,0.026,1363.0,733.0,1.0
"eps_tform[0, 15]",1.468,0.546,0.479,2.451,0.023,0.017,541.0,743.0,1.01
"eps_tform[0, 16]",1.399,0.429,0.585,2.149,0.022,0.016,367.0,604.0,1.02
"eps_tform[0, 17]",-0.456,0.472,-1.391,0.36,0.019,0.013,638.0,754.0,1.01
"eps_tform[0, 18]",-1.114,0.508,-2.019,-0.109,0.02,0.015,669.0,639.0,1.0
"eps_tform[0, 19]",1.279,0.535,0.301,2.283,0.016,0.012,1071.0,802.0,1.0
"eps_tform[0, 20]",-0.697,0.513,-1.576,0.299,0.02,0.014,672.0,874.0,1.0
"eps_tform[0, 21]",-2.078,0.56,-3.112,-1.015,0.019,0.013,871.0,882.0,1.0
"eps_tform[0, 22]",-1.321,0.421,-2.1,-0.531,0.017,0.012,656.0,659.0,1.0
"eps_tform[0, 23]",0.784,0.942,-0.888,2.533,0.022,0.021,1934.0,856.0,1.01
"eps_tform[0, 24]",2.845,0.318,2.286,3.465,0.014,0.01,517.0,778.0,1.01
"eps_tform[0, 25]",-1.501,0.386,-2.235,-0.816,0.017,0.012,528.0,678.0,1.02
"eps_tform[0, 26]",0.507,0.415,-0.218,1.296,0.015,0.012,738.0,898.0,1.0
"eps_tform[0, 27]",0.164,0.774,-1.139,1.785,0.027,0.02,848.0,791.0,1.0
"eps_tform[0, 28]",-1.282,0.775,-2.592,0.191,0.02,0.016,1553.0,706.0,1.01
"eps_tform[0, 29]",0.623,0.721,-0.844,1.882,0.022,0.02,1051.0,797.0,1.0
"eps_tform[0, 30]",1.07,0.827,-0.4,2.798,0.021,0.017,1604.0,928.0,1.0
"eps_tform[0, 31]",0.419,0.688,-0.966,1.57,0.021,0.018,1059.0,811.0,1.0
"eps_tform[0, 32]",0.197,1.003,-1.794,1.919,0.023,0.034,1895.0,851.0,1.0
"eps_tform[0, 33]",-0.127,0.621,-1.332,0.986,0.019,0.017,1104.0,755.0,1.0
"eps_tform[0, 34]",2.228,0.648,1.123,3.462,0.019,0.014,1219.0,906.0,1.0
"eps_tform[0, 35]",1.43,0.867,-0.092,3.135,0.02,0.019,1914.0,640.0,1.01
"eps_tform[0, 36]",-0.101,0.996,-1.821,1.872,0.021,0.047,2101.0,619.0,1.01
"eps_tform[0, 37]",0.127,0.961,-1.518,2.088,0.019,0.04,2702.0,753.0,1.02
"eps_tform[0, 38]",-0.16,0.976,-2.077,1.495,0.023,0.033,1813.0,731.0,1.0
"eps_tform[0, 39]",-0.188,0.979,-1.952,1.821,0.018,0.04,3000.0,643.0,1.01
"eps_tform[0, 40]",-0.06,0.98,-1.807,1.723,0.022,0.032,1995.0,742.0,1.0
"eps_tform[0, 41]",-0.046,1.043,-1.854,2.027,0.02,0.038,2657.0,785.0,1.01
"eps_tform[0, 42]",-0.057,0.968,-1.781,1.848,0.019,0.037,2719.0,622.0,1.01
"eps_tform[0, 43]",-0.326,0.986,-2.063,1.476,0.02,0.029,2471.0,668.0,1.01
"eps_tform[0, 44]",-0.208,1.033,-2.033,1.731,0.019,0.037,2793.0,634.0,1.01
"eps_tform[0, 45]",0.029,1.014,-1.979,1.927,0.021,0.033,2349.0,869.0,1.01
"eps_tform[0, 46]",-0.031,1.018,-1.882,1.845,0.019,0.052,3000.0,510.0,1.0
"eps_tform[0, 47]",-0.009,0.96,-1.785,1.74,0.02,0.037,2285.0,575.0,1.0
"eps_tform[0, 48]",0.013,1.048,-1.873,1.991,0.02,0.044,2701.0,682.0,1.01
"eps_tform[0, 49]",0.023,0.974,-1.98,1.65,0.018,0.033,3000.0,828.0,1.0
"eps_tform[0, 50]",-0.006,1.023,-1.949,1.832,0.019,0.034,3000.0,770.0,1.0
"eps_tform[0, 51]",-0.019,1.0,-1.793,1.801,0.021,0.035,2194.0,912.0,1.01
"eps_tform[0, 52]",0.047,0.997,-1.884,1.789,0.022,0.038,2009.0,598.0,1.0
"eps_tform[0, 53]",-0.002,1.014,-1.764,2.036,0.021,0.04,2267.0,616.0,1.0
theta[0],-1.223,0.15,-1.499,-0.935,0.006,0.004,621.0,777.0,1.0
tmax[0],-0.545,0.168,-0.853,-0.241,0.007,0.006,660.0,277.0,1.0
peak_MJD[0],54960.63,0.171,54960.316,54960.941,0.007,0.005,660.0,277.0,1.0
mu[0],34.599,0.114,34.401,34.817,0.004,0.003,746.0,917.0,1.0
delM[0],-0.001,0.093,-0.192,0.157,0.003,0.002,1020.0,1007.0,1.0
