,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.312,0.15,0.122,0.657,0.022,0.019,70.0,27.0,1.04
Ds[0],34.165,0.137,33.872,34.347,0.019,0.014,71.0,32.0,1.04
RV[0],3.162,1.356,1.04,5.326,0.101,0.072,264.0,570.0,1.02
"eps[0, 0]",0.043,0.057,-0.061,0.15,0.003,0.002,493.0,703.0,1.01
"eps[1, 0]",0.145,0.065,0.035,0.275,0.003,0.002,376.0,773.0,1.01
"eps[2, 0]",-0.067,0.055,-0.166,0.037,0.002,0.002,545.0,597.0,1.01
"eps[3, 0]",0.031,0.051,-0.07,0.119,0.003,0.002,421.0,633.0,1.01
"eps[4, 0]",0.056,0.067,-0.062,0.161,0.006,0.005,130.0,422.0,1.02
"eps[5, 0]",-0.034,0.195,-0.403,0.323,0.006,0.009,1099.0,793.0,1.03
"eps[6, 0]",0.005,0.186,-0.297,0.363,0.016,0.011,154.0,712.0,1.02
"eps[7, 0]",-0.034,0.169,-0.321,0.27,0.015,0.011,144.0,680.0,1.04
"eps[8, 0]",0.048,0.137,-0.208,0.29,0.008,0.005,327.0,612.0,1.01
"eps[9, 0]",0.068,0.042,0.005,0.149,0.004,0.003,128.0,609.0,1.02
"eps[10, 0]",0.086,0.033,0.021,0.147,0.002,0.001,342.0,620.0,1.0
"eps[11, 0]",-0.021,0.025,-0.069,0.024,0.001,0.001,525.0,746.0,1.0
"eps[12, 0]",0.016,0.026,-0.036,0.064,0.001,0.001,302.0,388.0,1.03
"eps[13, 0]",-0.004,0.04,-0.072,0.066,0.004,0.003,105.0,391.0,1.03
"eps[14, 0]",0.003,0.146,-0.249,0.294,0.005,0.005,918.0,736.0,1.01
"eps[15, 0]",0.059,0.097,-0.104,0.243,0.005,0.003,556.0,704.0,1.01
"eps[16, 0]",0.023,0.09,-0.147,0.19,0.003,0.003,896.0,759.0,1.0
"eps[17, 0]",0.058,0.081,-0.106,0.198,0.002,0.002,1619.0,806.0,1.03
"eps[18, 0]",-0.057,0.041,-0.14,0.014,0.002,0.002,373.0,568.0,1.02
"eps[19, 0]",0.033,0.058,-0.072,0.149,0.002,0.002,722.0,806.0,1.01
"eps[20, 0]",-0.13,0.045,-0.218,-0.047,0.002,0.001,679.0,460.0,1.03
"eps[21, 0]",-0.029,0.039,-0.098,0.048,0.001,0.001,810.0,733.0,1.04
"eps[22, 0]",-0.048,0.065,-0.148,0.078,0.008,0.006,71.0,22.0,1.04
"eps[23, 0]",0.052,0.131,-0.201,0.301,0.003,0.004,1693.0,681.0,1.01
"eps[24, 0]",-0.015,0.123,-0.258,0.215,0.003,0.005,1370.0,625.0,1.05
"eps[25, 0]",0.061,0.13,-0.21,0.306,0.004,0.005,1337.0,752.0,1.02
"eps[26, 0]",0.027,0.136,-0.192,0.283,0.009,0.006,281.0,704.0,1.01
"eps[27, 0]",0.027,0.074,-0.111,0.163,0.002,0.002,861.0,651.0,1.01
"eps[28, 0]",0.02,0.098,-0.169,0.196,0.003,0.003,1228.0,818.0,1.02
"eps[29, 0]",-0.035,0.053,-0.118,0.083,0.001,0.002,1578.0,685.0,1.02
"eps[30, 0]",-0.02,0.051,-0.111,0.085,0.001,0.002,1389.0,815.0,1.01
"eps[31, 0]",0.034,0.117,-0.176,0.227,0.011,0.008,142.0,731.0,1.02
"eps[32, 0]",0.034,0.164,-0.274,0.298,0.018,0.016,85.0,601.0,1.03
"eps[33, 0]",0.015,0.152,-0.295,0.283,0.004,0.005,1406.0,719.0,1.04
"eps[34, 0]",-0.001,0.137,-0.266,0.242,0.008,0.006,327.0,872.0,1.01
"eps[35, 0]",0.003,0.09,-0.189,0.148,0.007,0.005,169.0,747.0,1.02
"eps[36, 0]",0.021,0.094,-0.156,0.194,0.003,0.004,806.0,594.0,1.01
"eps[37, 0]",0.016,0.094,-0.16,0.196,0.003,0.004,869.0,641.0,1.03
"eps[38, 0]",-0.065,0.061,-0.169,0.066,0.002,0.001,1303.0,738.0,1.02
"eps[39, 0]",-0.033,0.061,-0.136,0.068,0.006,0.004,101.0,112.0,1.03
"eps[40, 0]",-0.035,0.074,-0.143,0.109,0.01,0.007,68.0,22.0,1.04
"eps[41, 0]",0.111,0.132,-0.13,0.329,0.013,0.012,111.0,752.0,1.03
"eps[42, 0]",-0.056,0.106,-0.245,0.168,0.003,0.003,937.0,614.0,1.03
"eps[43, 0]",-0.026,0.105,-0.218,0.151,0.009,0.007,137.0,685.0,1.02
"eps[44, 0]",-0.021,0.07,-0.149,0.104,0.005,0.003,223.0,553.0,1.01
"eps[45, 0]",0.008,0.058,-0.088,0.128,0.003,0.002,544.0,653.0,1.01
"eps[46, 0]",0.036,0.114,-0.191,0.239,0.003,0.004,1437.0,776.0,1.02
"eps[47, 0]",-0.007,0.036,-0.063,0.058,0.004,0.003,92.0,166.0,1.03
"eps[48, 0]",0.042,0.087,-0.097,0.219,0.003,0.003,672.0,752.0,1.01
"eps[49, 0]",0.038,0.098,-0.126,0.224,0.005,0.004,473.0,511.0,1.01
"eps[50, 0]",-0.067,0.105,-0.267,0.143,0.003,0.003,906.0,674.0,1.01
"eps[51, 0]",-0.079,0.1,-0.266,0.118,0.003,0.003,1001.0,545.0,1.01
"eps[52, 0]",-0.047,0.093,-0.207,0.143,0.003,0.003,1191.0,715.0,1.01
"eps[53, 0]",0.024,0.072,-0.104,0.161,0.003,0.003,578.0,716.0,1.01
"eps_tform[0, 0]",0.472,0.616,-0.664,1.628,0.028,0.021,493.0,703.0,1.01
"eps_tform[0, 1]",0.614,0.258,0.153,1.103,0.013,0.009,407.0,713.0,1.01
"eps_tform[0, 2]",-0.667,0.302,-1.241,-0.126,0.017,0.012,302.0,444.0,1.01
"eps_tform[0, 3]",-0.023,0.143,-0.301,0.243,0.006,0.005,521.0,839.0,1.03
"eps_tform[0, 4]",0.482,0.233,0.149,0.97,0.031,0.027,82.0,22.0,1.03
"eps_tform[0, 5]",-0.037,0.897,-1.723,1.63,0.027,0.037,1092.0,765.0,1.02
"eps_tform[0, 6]",-0.038,1.015,-1.666,1.874,0.088,0.063,147.0,719.0,1.02
"eps_tform[0, 7]",-0.279,1.014,-2.187,1.477,0.074,0.053,208.0,660.0,1.02
"eps_tform[0, 8]",0.239,0.962,-1.574,1.895,0.077,0.054,164.0,653.0,1.02
"eps_tform[0, 9]",1.17,0.852,-0.156,2.708,0.085,0.06,107.0,542.0,1.03
"eps_tform[0, 10]",1.423,0.545,0.432,2.511,0.026,0.019,457.0,651.0,1.03
"eps_tform[0, 11]",-0.29,0.481,-1.152,0.719,0.024,0.017,409.0,670.0,1.01
"eps_tform[0, 12]",0.19,0.571,-0.859,1.27,0.032,0.023,314.0,521.0,1.02
"eps_tform[0, 13]",0.072,0.663,-1.072,1.204,0.077,0.056,87.0,181.0,1.03
"eps_tform[0, 14]",-0.285,0.966,-2.138,1.46,0.032,0.03,944.0,858.0,1.01
"eps_tform[0, 15]",0.303,1.035,-1.562,2.265,0.039,0.034,824.0,716.0,1.01
"eps_tform[0, 16]",-0.001,0.984,-1.818,1.814,0.044,0.031,603.0,787.0,1.0
"eps_tform[0, 17]",0.341,0.957,-1.722,1.917,0.028,0.029,1203.0,819.0,1.0
"eps_tform[0, 18]",-1.182,0.68,-2.405,-0.014,0.067,0.048,101.0,434.0,1.03
"eps_tform[0, 19]",0.382,0.735,-0.916,1.935,0.027,0.021,743.0,771.0,1.02
"eps_tform[0, 20]",-1.739,0.665,-2.927,-0.363,0.026,0.018,697.0,659.0,1.04
"eps_tform[0, 21]",-0.165,0.758,-1.614,1.244,0.026,0.022,852.0,833.0,1.05
"eps_tform[0, 22]",-0.005,0.761,-1.16,1.549,0.113,0.107,57.0,15.0,1.05
"eps_tform[0, 23]",-0.012,0.993,-1.663,1.915,0.052,0.037,409.0,707.0,1.01
"eps_tform[0, 24]",0.026,0.922,-1.845,1.666,0.024,0.036,1435.0,601.0,1.05
"eps_tform[0, 25]",0.098,0.928,-1.811,1.889,0.025,0.036,1341.0,684.0,1.04
"eps_tform[0, 26]",-0.091,1.008,-1.805,1.789,0.046,0.033,545.0,661.0,1.01
"eps_tform[0, 27]",0.54,0.959,-1.124,2.551,0.027,0.027,1298.0,712.0,1.01
"eps_tform[0, 28]",-0.083,0.934,-1.865,1.644,0.027,0.038,1203.0,790.0,1.06
"eps_tform[0, 29]",0.26,1.028,-1.59,2.376,0.032,0.039,1072.0,575.0,1.0
"eps_tform[0, 30]",0.019,1.04,-1.848,2.055,0.034,0.038,923.0,779.0,1.01
"eps_tform[0, 31]",0.148,1.012,-1.74,1.793,0.086,0.061,149.0,654.0,1.02
"eps_tform[0, 32]",0.1,1.087,-1.902,2.035,0.069,0.049,279.0,652.0,1.01
"eps_tform[0, 33]",-0.03,0.914,-1.65,1.763,0.024,0.039,1493.0,781.0,1.04
"eps_tform[0, 34]",0.127,1.065,-1.955,1.933,0.068,0.048,251.0,681.0,1.01
"eps_tform[0, 35]",0.151,1.065,-1.583,2.049,0.145,0.106,57.0,46.0,1.05
"eps_tform[0, 36]",-0.204,0.972,-1.915,1.747,0.026,0.042,1351.0,527.0,1.03
"eps_tform[0, 37]",-0.043,0.974,-1.74,1.95,0.032,0.037,1008.0,671.0,1.02
"eps_tform[0, 38]",-0.043,0.936,-1.823,1.682,0.023,0.041,1553.0,716.0,1.05
"eps_tform[0, 39]",0.127,1.053,-1.764,1.847,0.096,0.068,132.0,520.0,1.02
"eps_tform[0, 40]",0.057,0.955,-1.673,1.837,0.026,0.03,1360.0,772.0,1.02
"eps_tform[0, 41]",0.141,1.162,-1.715,2.229,0.157,0.115,58.0,20.0,1.05
"eps_tform[0, 42]",-0.135,0.972,-1.837,1.746,0.057,0.04,286.0,653.0,1.01
"eps_tform[0, 43]",0.001,0.942,-1.889,1.735,0.025,0.033,1341.0,708.0,1.04
"eps_tform[0, 44]",0.107,0.999,-1.818,1.849,0.034,0.042,949.0,633.0,1.01
"eps_tform[0, 45]",-0.07,1.037,-1.858,1.855,0.102,0.073,109.0,713.0,1.03
"eps_tform[0, 46]",-0.056,0.956,-1.781,1.829,0.022,0.039,2243.0,582.0,1.05
"eps_tform[0, 47]",-0.088,1.038,-1.989,1.89,0.032,0.039,1068.0,659.0,1.0
"eps_tform[0, 48]",0.033,0.99,-1.793,1.828,0.032,0.038,934.0,577.0,1.01
"eps_tform[0, 49]",-0.116,1.054,-1.866,1.902,0.084,0.059,165.0,566.0,1.02
"eps_tform[0, 50]",-0.045,0.996,-1.887,1.818,0.028,0.033,1201.0,655.0,1.01
"eps_tform[0, 51]",0.025,0.975,-1.768,1.891,0.026,0.041,1476.0,687.0,1.01
"eps_tform[0, 52]",0.051,0.947,-1.597,1.846,0.031,0.035,892.0,624.0,1.0
"eps_tform[0, 53]",0.026,0.969,-1.917,1.69,0.029,0.04,1143.0,567.0,1.03
theta[0],-0.229,0.301,-0.691,0.404,0.019,0.013,267.0,693.0,1.01
tmax[0],-0.389,0.228,-0.838,-0.009,0.017,0.012,182.0,562.0,1.02
peak_MJD[0],55165.483,0.232,55165.027,55165.869,0.017,0.012,182.0,562.0,1.02
mu[0],34.165,0.166,33.833,34.45,0.019,0.013,87.0,66.0,1.03
delM[0],0.0,0.092,-0.176,0.162,0.003,0.002,916.0,780.0,1.0
