,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.311,0.135,0.112,0.573,0.007,0.005,365.0,367.0,1.0
Ds[0],34.159,0.127,33.924,34.365,0.006,0.005,397.0,373.0,1.0
RV[0],3.11,1.421,1.024,5.584,0.061,0.043,545.0,727.0,1.01
"eps[0, 0]",0.046,0.06,-0.063,0.157,0.002,0.002,606.0,352.0,1.01
"eps[1, 0]",0.153,0.066,0.032,0.272,0.003,0.002,681.0,764.0,1.0
"eps[2, 0]",-0.069,0.058,-0.172,0.042,0.002,0.002,573.0,623.0,1.01
"eps[3, 0]",0.028,0.05,-0.071,0.119,0.002,0.002,532.0,611.0,1.0
"eps[4, 0]",0.053,0.062,-0.054,0.177,0.003,0.002,447.0,670.0,1.0
"eps[5, 0]",-0.046,0.21,-0.447,0.34,0.006,0.006,1424.0,635.0,1.0
"eps[6, 0]",0.019,0.183,-0.302,0.38,0.006,0.005,1003.0,819.0,1.0
"eps[7, 0]",-0.026,0.157,-0.305,0.286,0.004,0.005,1468.0,773.0,1.01
"eps[8, 0]",0.035,0.138,-0.225,0.29,0.004,0.004,1166.0,812.0,1.01
"eps[9, 0]",0.073,0.042,-0.006,0.151,0.002,0.001,507.0,661.0,1.0
"eps[10, 0]",0.09,0.035,0.025,0.155,0.002,0.001,430.0,613.0,1.01
"eps[11, 0]",-0.02,0.025,-0.07,0.024,0.001,0.001,661.0,628.0,1.0
"eps[12, 0]",0.012,0.025,-0.033,0.058,0.001,0.001,477.0,592.0,1.01
"eps[13, 0]",-0.003,0.037,-0.069,0.067,0.002,0.001,479.0,652.0,1.01
"eps[14, 0]",0.01,0.155,-0.303,0.294,0.004,0.005,1255.0,674.0,1.0
"eps[15, 0]",0.06,0.094,-0.114,0.237,0.003,0.003,1322.0,654.0,1.01
"eps[16, 0]",0.031,0.092,-0.137,0.191,0.003,0.003,1106.0,717.0,1.0
"eps[17, 0]",0.058,0.083,-0.1,0.205,0.002,0.002,1341.0,797.0,1.0
"eps[18, 0]",-0.059,0.043,-0.141,0.019,0.002,0.001,646.0,565.0,1.0
"eps[19, 0]",0.037,0.057,-0.065,0.145,0.002,0.001,1028.0,881.0,1.0
"eps[20, 0]",-0.133,0.047,-0.223,-0.051,0.002,0.001,879.0,795.0,1.0
"eps[21, 0]",-0.03,0.04,-0.112,0.038,0.001,0.001,811.0,840.0,1.0
"eps[22, 0]",-0.056,0.059,-0.17,0.051,0.002,0.002,557.0,671.0,1.0
"eps[23, 0]",0.055,0.134,-0.199,0.3,0.004,0.004,1309.0,763.0,1.0
"eps[24, 0]",-0.014,0.128,-0.254,0.218,0.003,0.004,1466.0,646.0,1.0
"eps[25, 0]",0.063,0.136,-0.206,0.31,0.004,0.004,1459.0,906.0,1.0
"eps[26, 0]",0.038,0.129,-0.205,0.274,0.004,0.004,1201.0,730.0,1.0
"eps[27, 0]",0.025,0.076,-0.133,0.156,0.002,0.002,942.0,653.0,1.01
"eps[28, 0]",0.022,0.105,-0.178,0.213,0.003,0.003,1218.0,779.0,1.0
"eps[29, 0]",-0.036,0.051,-0.127,0.065,0.001,0.001,1247.0,636.0,1.0
"eps[30, 0]",-0.023,0.052,-0.115,0.078,0.001,0.001,1256.0,694.0,1.0
"eps[31, 0]",0.021,0.111,-0.186,0.217,0.003,0.003,1113.0,796.0,1.0
"eps[32, 0]",0.013,0.144,-0.258,0.282,0.004,0.005,1239.0,784.0,1.0
"eps[33, 0]",0.017,0.167,-0.257,0.375,0.004,0.005,1484.0,864.0,1.01
"eps[34, 0]",-0.01,0.138,-0.266,0.242,0.004,0.004,1228.0,727.0,1.0
"eps[35, 0]",-0.008,0.092,-0.189,0.159,0.002,0.003,1591.0,762.0,1.0
"eps[36, 0]",0.031,0.096,-0.142,0.214,0.003,0.003,1412.0,729.0,1.01
"eps[37, 0]",0.017,0.092,-0.165,0.181,0.003,0.003,1325.0,810.0,1.01
"eps[38, 0]",-0.064,0.063,-0.19,0.048,0.002,0.001,1172.0,744.0,1.0
"eps[39, 0]",-0.042,0.056,-0.14,0.07,0.002,0.001,1405.0,735.0,1.0
"eps[40, 0]",-0.048,0.062,-0.165,0.069,0.002,0.002,928.0,766.0,1.0
"eps[41, 0]",0.095,0.13,-0.15,0.333,0.003,0.003,1378.0,764.0,1.01
