,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],2.101,0.07,1.972,2.214,0.028,0.021,7.0,18.0,1.54
Ds[0],27.475,0.057,27.38,27.582,0.02,0.015,9.0,40.0,1.42
RV[0],1.49,0.068,1.361,1.604,0.025,0.018,8.0,39.0,1.46
"eps[0, 0]",0.248,0.031,0.19,0.306,0.005,0.004,35.0,208.0,1.09
"eps[1, 0]",-0.178,0.024,-0.223,-0.131,0.004,0.003,56.0,49.0,1.06
"eps[2, 0]",0.331,0.018,0.296,0.365,0.001,0.001,363.0,642.0,1.02
"eps[3, 0]",0.033,0.034,-0.024,0.105,0.01,0.008,12.0,18.0,1.24
"eps[4, 0]",0.786,0.058,0.679,0.893,0.01,0.007,34.0,75.0,1.09
"eps[5, 0]",-0.396,0.062,-0.509,-0.28,0.013,0.01,22.0,153.0,1.13
"eps[6, 0]",-0.439,0.192,-0.829,-0.128,0.064,0.05,10.0,26.0,1.31
"eps[7, 0]",-0.017,0.05,-0.106,0.077,0.016,0.012,10.0,50.0,1.33
"eps[8, 0]",0.278,0.07,0.147,0.392,0.027,0.02,8.0,61.0,1.49
"eps[9, 0]",-0.153,0.032,-0.207,-0.085,0.003,0.002,124.0,121.0,1.03
"eps[10, 0]",-0.16,0.019,-0.194,-0.122,0.003,0.002,68.0,46.0,1.05
"eps[11, 0]",-0.057,0.02,-0.095,-0.017,0.007,0.005,10.0,12.0,1.34
"eps[12, 0]",0.161,0.023,0.124,0.205,0.006,0.004,15.0,193.0,1.19
"eps[13, 0]",0.325,0.029,0.27,0.383,0.008,0.006,17.0,25.0,1.18
"eps[14, 0]",0.037,0.03,-0.022,0.091,0.006,0.004,22.0,214.0,1.13
"eps[15, 0]",0.29,0.148,0.092,0.61,0.063,0.052,7.0,14.0,1.54
"eps[16, 0]",-0.031,0.042,-0.105,0.045,0.015,0.011,9.0,54.0,1.42
"eps[17, 0]",-0.017,0.048,-0.101,0.064,0.016,0.011,10.0,47.0,1.34
"eps[18, 0]",0.308,0.031,0.255,0.363,0.007,0.005,19.0,127.0,1.15
"eps[19, 0]",-0.557,0.025,-0.605,-0.513,0.007,0.005,15.0,22.0,1.2
"eps[20, 0]",0.04,0.014,0.012,0.067,0.003,0.002,29.0,64.0,1.1
"eps[21, 0]",0.163,0.029,0.116,0.223,0.011,0.008,9.0,24.0,1.41
"eps[22, 0]",0.476,0.031,0.418,0.531,0.003,0.002,86.0,237.0,1.04
"eps[23, 0]",-0.117,0.027,-0.165,-0.063,0.002,0.001,213.0,371.0,1.01
"eps[24, 0]",0.792,0.238,0.311,1.119,0.109,0.082,7.0,11.0,1.62
"eps[25, 0]",0.29,0.043,0.21,0.361,0.017,0.013,8.0,39.0,1.51
"eps[26, 0]",-0.122,0.061,-0.243,-0.021,0.024,0.019,8.0,28.0,1.5
"eps[27, 0]",0.558,0.044,0.484,0.638,0.012,0.009,12.0,51.0,1.24
"eps[28, 0]",-0.72,0.019,-0.756,-0.683,0.003,0.002,62.0,64.0,1.06
"eps[29, 0]",-0.019,0.014,-0.045,0.008,0.002,0.001,95.0,540.0,1.04
"eps[30, 0]",0.282,0.037,0.229,0.356,0.015,0.012,7.0,20.0,1.52
"eps[31, 0]",0.793,0.062,0.68,0.896,0.023,0.017,8.0,96.0,1.44
"eps[32, 0]",-0.427,0.039,-0.487,-0.347,0.015,0.011,8.0,19.0,1.48
"eps[33, 0]",-0.364,0.167,-0.621,-0.073,0.069,0.052,7.0,13.0,1.59
"eps[34, 0]",-0.21,0.046,-0.291,-0.125,0.014,0.011,11.0,67.0,1.29
"eps[35, 0]",-0.131,0.041,-0.206,-0.055,0.01,0.007,17.0,122.0,1.18
"eps[36, 0]",-0.022,0.036,-0.084,0.048,0.002,0.002,216.0,563.0,1.02
"eps[37, 0]",-0.499,0.02,-0.536,-0.464,0.003,0.002,55.0,227.0,1.05
"eps[38, 0]",-0.192,0.015,-0.22,-0.165,0.001,0.001,188.0,684.0,1.04
"eps[39, 0]",0.198,0.024,0.149,0.241,0.004,0.003,41.0,104.0,1.09
"eps[40, 0]",0.457,0.025,0.408,0.502,0.005,0.004,23.0,534.0,1.12
"eps[41, 0]",-0.315,0.021,-0.353,-0.275,0.002,0.002,92.0,582.0,1.04
"eps[42, 0]",0.521,0.093,0.317,0.693,0.031,0.023,9.0,17.0,1.35
"eps[43, 0]",0.048,0.045,-0.037,0.12,0.017,0.012,8.0,45.0,1.45
"eps[44, 0]",0.249,0.077,0.105,0.345,0.034,0.026,7.0,14.0,1.57
"eps[45, 0]",-0.172,0.052,-0.259,-0.083,0.02,0.015,8.0,17.0,1.51
"eps[46, 0]",-0.434,0.048,-0.526,-0.355,0.014,0.011,12.0,45.0,1.26
"eps[47, 0]",-0.19,0.018,-0.223,-0.156,0.006,0.004,11.0,28.0,1.29
"eps[48, 0]",0.262,0.063,0.175,0.393,0.029,0.022,7.0,12.0,1.59
"eps[49, 0]",0.228,0.105,0.001,0.346,0.049,0.037,7.0,11.0,1.59
"eps[50, 0]",0.072,0.146,-0.091,0.408,0.069,0.053,7.0,12.0,1.59
"eps[51, 0]",0.023,0.056,-0.081,0.121,0.011,0.008,28.0,314.0,1.11
"eps[52, 0]",0.448,0.057,0.342,0.555,0.014,0.01,16.0,236.0,1.17
"eps[53, 0]",0.252,0.055,0.152,0.348,0.021,0.016,7.0,17.0,1.57
"eps_tform[0, 0]",2.693,0.338,2.063,3.326,0.058,0.041,35.0,208.0,1.09
"eps_tform[0, 1]",-1.222,0.116,-1.428,-1.004,0.023,0.016,27.0,53.0,1.1
"eps_tform[0, 2]",1.578,0.171,1.278,1.892,0.026,0.019,44.0,371.0,1.07
"eps_tform[0, 3]",0.267,0.148,0.016,0.558,0.039,0.032,15.0,31.0,1.2
"eps_tform[0, 4]",3.655,0.369,2.979,4.342,0.086,0.062,19.0,23.0,1.15
"eps_tform[0, 5]",-2.381,0.256,-2.864,-1.926,0.05,0.037,26.0,89.0,1.11
"eps_tform[0, 6]",-2.997,1.043,-5.048,-1.202,0.343,0.267,10.0,26.0,1.31
"eps_tform[0, 7]",0.298,0.322,-0.331,0.921,0.028,0.02,127.0,335.0,1.02
"eps_tform[0, 8]",2.177,0.42,1.423,2.911,0.145,0.107,9.0,60.0,1.41
"eps_tform[0, 9]",-2.928,0.641,-3.976,-1.565,0.061,0.043,126.0,133.0,1.03
"eps_tform[0, 10]",-2.616,0.264,-3.13,-2.129,0.044,0.031,39.0,75.0,1.08
"eps_tform[0, 11]",-1.392,0.447,-2.194,-0.513,0.156,0.114,9.0,13.0,1.38
"eps_tform[0, 12]",4.347,0.535,3.376,5.281,0.144,0.106,14.0,137.0,1.21
"eps_tform[0, 13]",7.619,0.414,6.827,8.387,0.082,0.06,27.0,76.0,1.11
"eps_tform[0, 14]",-0.193,0.217,-0.625,0.196,0.043,0.033,26.0,49.0,1.1
"eps_tform[0, 15]",3.724,1.618,1.615,7.311,0.688,0.557,7.0,15.0,1.54
"eps_tform[0, 16]",-0.784,0.427,-1.595,-0.073,0.147,0.121,9.0,23.0,1.41
"eps_tform[0, 17]",0.468,0.626,-0.726,1.458,0.24,0.178,8.0,31.0,1.49
"eps_tform[0, 18]",4.223,0.433,3.502,5.077,0.07,0.051,40.0,474.0,1.08
"eps_tform[0, 19]",-8.131,0.254,-8.626,-7.697,0.058,0.042,21.0,39.0,1.14
"eps_tform[0, 20]",-1.535,0.36,-2.233,-0.871,0.074,0.053,25.0,39.0,1.11
"eps_tform[0, 21]",5.532,0.399,4.765,6.254,0.076,0.055,28.0,100.0,1.1
"eps_tform[0, 22]",5.162,0.42,4.429,5.955,0.039,0.028,116.0,631.0,1.03
