,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],2.079,0.064,1.965,2.203,0.003,0.002,380.0,518.0,1.0
Ds[0],27.458,0.063,27.332,27.572,0.004,0.003,307.0,485.0,1.01
RV[0],2.07,0.133,1.826,2.324,0.006,0.004,509.0,700.0,1.0
"eps[0, 0]",0.064,0.088,-0.098,0.226,0.003,0.002,1201.0,811.0,1.0
"eps[1, 0]",0.084,0.183,-0.243,0.436,0.005,0.005,1230.0,908.0,1.01
"eps[2, 0]",0.069,0.113,-0.135,0.273,0.003,0.003,1152.0,942.0,1.01
"eps[3, 0]",-0.097,0.133,-0.357,0.14,0.004,0.003,1197.0,876.0,1.0
"eps[4, 0]",0.045,0.142,-0.235,0.293,0.005,0.004,829.0,792.0,1.0
"eps[5, 0]",0.081,0.185,-0.286,0.412,0.006,0.005,943.0,869.0,1.01
"eps[6, 0]",-0.01,0.176,-0.311,0.347,0.005,0.005,1284.0,757.0,1.0
"eps[7, 0]",-0.093,0.081,-0.246,0.047,0.003,0.002,651.0,835.0,1.0
"eps[8, 0]",0.124,0.083,-0.021,0.285,0.003,0.002,619.0,719.0,1.0
"eps[9, 0]",-0.002,0.051,-0.106,0.081,0.002,0.001,1099.0,864.0,1.0
"eps[10, 0]",0.031,0.053,-0.066,0.129,0.001,0.001,1529.0,732.0,1.0
"eps[11, 0]",-0.02,0.048,-0.113,0.064,0.001,0.001,1123.0,619.0,1.0
"eps[12, 0]",0.034,0.039,-0.039,0.107,0.001,0.001,1195.0,934.0,1.0
"eps[13, 0]",0.029,0.05,-0.067,0.119,0.002,0.001,959.0,795.0,1.0
"eps[14, 0]",0.022,0.093,-0.155,0.187,0.003,0.003,855.0,823.0,1.0
"eps[15, 0]",-0.002,0.089,-0.172,0.144,0.002,0.003,1295.0,778.0,1.0
"eps[16, 0]",-0.035,0.056,-0.125,0.083,0.003,0.002,448.0,626.0,1.0
"eps[17, 0]",0.02,0.059,-0.084,0.137,0.003,0.002,397.0,704.0,1.0
"eps[18, 0]",0.02,0.057,-0.084,0.131,0.002,0.002,1176.0,775.0,1.0
"eps[19, 0]",0.032,0.078,-0.117,0.173,0.002,0.002,1323.0,935.0,1.0
"eps[20, 0]",-0.025,0.055,-0.127,0.081,0.001,0.001,1590.0,614.0,1.0
"eps[21, 0]",0.012,0.048,-0.07,0.107,0.001,0.001,1233.0,756.0,1.01
"eps[22, 0]",-0.008,0.066,-0.123,0.118,0.002,0.002,1453.0,888.0,1.0
"eps[23, 0]",-0.027,0.089,-0.187,0.139,0.003,0.003,1208.0,783.0,1.0
