,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],1.461,0.121,1.361,1.697,0.059,0.045,7.0,23.0,1.56
Ds[0],28.033,0.144,27.749,28.151,0.07,0.054,7.0,17.0,1.58
RV[0],1.147,0.228,1.0,1.563,0.112,0.086,7.0,23.0,1.55
"eps[0, 0]",0.286,0.129,0.038,0.403,0.063,0.048,7.0,12.0,1.61
"eps[1, 0]",-0.082,0.05,-0.148,0.003,0.021,0.016,7.0,13.0,1.6
"eps[2, 0]",0.197,0.143,-0.061,0.315,0.07,0.053,7.0,29.0,1.55
"eps[3, 0]",-0.236,0.056,-0.347,-0.167,0.025,0.019,7.0,12.0,1.6
"eps[4, 0]",0.447,0.32,-0.139,0.713,0.157,0.12,7.0,11.0,1.61
"eps[5, 0]",0.006,0.07,-0.124,0.126,0.021,0.015,11.0,26.0,1.29
"eps[6, 0]",-0.055,0.146,-0.328,0.159,0.037,0.027,18.0,473.0,1.17
"eps[7, 0]",0.184,0.116,-0.012,0.303,0.055,0.042,7.0,12.0,1.6
"eps[8, 0]",0.209,0.144,-0.042,0.344,0.069,0.053,7.0,12.0,1.59
"eps[9, 0]",0.027,0.12,-0.078,0.25,0.058,0.045,7.0,16.0,1.6
"eps[10, 0]",-0.015,0.06,-0.074,0.103,0.028,0.022,7.0,12.0,1.59
"eps[11, 0]",-0.077,0.051,-0.19,-0.025,0.024,0.019,7.0,12.0,1.59
"eps[12, 0]",-0.022,0.041,-0.068,0.05,0.019,0.015,7.0,12.0,1.6
"eps[13, 0]",0.232,0.162,-0.049,0.361,0.079,0.061,7.0,27.0,1.54
"eps[14, 0]",0.172,0.059,0.092,0.29,0.026,0.021,7.0,11.0,1.6
"eps[15, 0]",0.113,0.096,-0.008,0.275,0.032,0.024,9.0,30.0,1.38
"eps[16, 0]",0.276,0.03,0.229,0.336,0.01,0.007,10.0,13.0,1.3
"eps[17, 0]",0.031,0.037,-0.019,0.088,0.015,0.013,7.0,13.0,1.55
"eps[18, 0]",0.276,0.1,0.099,0.375,0.048,0.036,7.0,13.0,1.6
"eps[19, 0]",-0.301,0.211,-0.449,0.067,0.104,0.079,7.0,12.0,1.58
"eps[20, 0]",-0.026,0.022,-0.071,0.004,0.009,0.008,7.0,12.0,1.56
"eps[21, 0]",-0.057,0.045,-0.104,0.022,0.021,0.016,7.0,11.0,1.6
"eps[22, 0]",0.397,0.21,0.016,0.576,0.103,0.078,7.0,12.0,1.6
"eps[23, 0]",-0.019,0.063,-0.095,0.092,0.029,0.022,7.0,18.0,1.57
"eps[24, 0]",0.865,0.498,-0.018,1.271,0.243,0.186,7.0,12.0,1.6
"eps[25, 0]",0.499,0.061,0.382,0.582,0.028,0.021,7.0,12.0,1.56
"eps[26, 0]",-0.033,0.07,-0.112,0.088,0.033,0.025,7.0,12.0,1.59
"eps[27, 0]",0.381,0.222,-0.002,0.564,0.108,0.083,7.0,13.0,1.56
"eps[28, 0]",-0.479,0.149,-0.603,-0.199,0.073,0.056,7.0,12.0,1.6
"eps[29, 0]",-0.085,0.016,-0.115,-0.058,0.004,0.003,13.0,19.0,1.23
"eps[30, 0]",-0.009,0.016,-0.039,0.018,0.003,0.002,37.0,577.0,1.08
"eps[31, 0]",0.678,0.289,0.138,0.939,0.141,0.108,7.0,12.0,1.64
"eps[32, 0]",-0.235,0.151,-0.364,0.034,0.074,0.056,7.0,25.0,1.55
"eps[33, 0]",-0.016,0.124,-0.206,0.178,0.047,0.035,7.0,14.0,1.53
"eps[34, 0]",0.105,0.056,0.031,0.206,0.024,0.02,7.0,16.0,1.59
"eps[35, 0]",-0.059,0.047,-0.117,0.026,0.021,0.016,7.0,12.0,1.6
"eps[36, 0]",0.163,0.16,-0.132,0.304,0.078,0.059,7.0,11.0,1.6
"eps[37, 0]",-0.365,0.148,-0.488,-0.095,0.072,0.055,7.0,12.0,1.56
"eps[38, 0]",-0.21,0.02,-0.25,-0.177,0.007,0.005,10.0,16.0,1.33
"eps[39, 0]",-0.006,0.069,-0.131,0.059,0.033,0.025,7.0,28.0,1.53
"eps[40, 0]",0.27,0.166,-0.037,0.409,0.081,0.062,7.0,12.0,1.6
"eps[41, 0]",-0.036,0.18,-0.183,0.294,0.088,0.067,7.0,14.0,1.59
"eps[42, 0]",0.235,0.2,-0.094,0.479,0.091,0.069,7.0,11.0,1.64
"eps[43, 0]",0.27,0.068,0.149,0.364,0.031,0.024,7.0,12.0,1.56
"eps[44, 0]",0.193,0.095,0.024,0.292,0.045,0.034,7.0,12.0,1.61
"eps[45, 0]",-0.047,0.07,-0.142,0.062,0.03,0.023,7.0,29.0,1.54
"eps[46, 0]",-0.351,0.074,-0.46,-0.226,0.032,0.024,7.0,11.0,1.57
"eps[47, 0]",-0.139,0.061,-0.203,-0.025,0.03,0.023,7.0,12.0,1.6
"eps[48, 0]",-0.081,0.048,-0.169,-0.032,0.023,0.018,7.0,22.0,1.54
"eps[49, 0]",0.255,0.137,0.014,0.386,0.066,0.05,7.0,11.0,1.61
"eps[50, 0]",-0.007,0.146,-0.266,0.143,0.07,0.053,7.0,15.0,1.56
