,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],1.403,0.116,1.195,1.613,0.007,0.005,254.0,422.0,1.01
Ds[0],28.052,0.116,27.837,28.259,0.008,0.005,226.0,401.0,1.01
RV[0],1.25,0.152,1.0,1.506,0.009,0.006,281.0,335.0,1.01
"eps[0, 0]",0.038,0.086,-0.125,0.195,0.002,0.003,1184.0,589.0,1.0
"eps[1, 0]",0.073,0.18,-0.273,0.38,0.006,0.005,1016.0,772.0,1.01
"eps[2, 0]",0.031,0.109,-0.17,0.227,0.004,0.003,811.0,672.0,1.01
"eps[3, 0]",-0.152,0.142,-0.414,0.11,0.005,0.004,720.0,653.0,1.01
"eps[4, 0]",0.101,0.136,-0.165,0.34,0.005,0.003,909.0,888.0,1.0
"eps[5, 0]",0.128,0.183,-0.177,0.498,0.007,0.005,669.0,522.0,1.01
"eps[6, 0]",0.017,0.173,-0.347,0.299,0.006,0.005,923.0,822.0,1.0
"eps[7, 0]",0.013,0.082,-0.154,0.158,0.003,0.003,609.0,672.0,1.0
"eps[8, 0]",0.032,0.083,-0.118,0.186,0.004,0.003,522.0,602.0,1.0
"eps[9, 0]",0.025,0.048,-0.064,0.115,0.001,0.001,1094.0,822.0,1.0
"eps[10, 0]",0.035,0.053,-0.071,0.127,0.002,0.001,1171.0,865.0,1.01
"eps[11, 0]",-0.018,0.048,-0.11,0.073,0.001,0.001,1260.0,709.0,1.0
"eps[12, 0]",-0.004,0.035,-0.072,0.061,0.001,0.001,1003.0,729.0,1.0
"eps[13, 0]",0.063,0.052,-0.023,0.161,0.002,0.001,953.0,719.0,1.0
"eps[14, 0]",0.143,0.095,-0.032,0.324,0.003,0.002,1070.0,850.0,1.0
"eps[15, 0]",-0.005,0.089,-0.164,0.166,0.002,0.003,1484.0,709.0,1.01
"eps[16, 0]",0.089,0.051,-0.008,0.185,0.003,0.002,322.0,641.0,1.01
"eps[17, 0]",-0.058,0.063,-0.169,0.064,0.004,0.003,258.0,451.0,1.0
