,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.169,0.047,0.085,0.254,0.002,0.002,379.0,390.0,1.01
Ds[0],35.107,0.042,35.034,35.189,0.002,0.002,384.0,276.0,1.0
RV[0],1.923,0.936,1.0,3.665,0.053,0.038,402.0,448.0,1.01
"eps[0, 0]",-0.034,0.042,-0.117,0.037,0.003,0.002,273.0,541.0,1.03
"eps[1, 0]",-0.326,0.032,-0.39,-0.271,0.002,0.001,460.0,628.0,1.0
"eps[2, 0]",0.27,0.043,0.187,0.352,0.002,0.001,639.0,649.0,1.01
"eps[3, 0]",-0.175,0.031,-0.238,-0.123,0.002,0.001,314.0,633.0,1.01
"eps[4, 0]",-0.013,0.05,-0.113,0.074,0.002,0.002,403.0,571.0,1.0
"eps[5, 0]",0.181,0.445,-0.708,0.949,0.022,0.016,414.0,607.0,1.0
"eps[6, 0]",0.143,0.126,-0.068,0.407,0.006,0.004,419.0,623.0,1.01
"eps[7, 0]",0.023,0.082,-0.127,0.181,0.004,0.003,444.0,630.0,1.01
"eps[8, 0]",-0.231,0.093,-0.404,-0.05,0.004,0.003,484.0,631.0,1.01
"eps[9, 0]",0.07,0.037,0.001,0.136,0.002,0.002,230.0,268.0,1.03
"eps[10, 0]",-0.166,0.028,-0.218,-0.118,0.001,0.001,362.0,569.0,1.01
"eps[11, 0]",0.19,0.023,0.144,0.228,0.001,0.001,402.0,410.0,1.01
"eps[12, 0]",-0.028,0.027,-0.079,0.021,0.001,0.001,321.0,506.0,1.01
"eps[13, 0]",0.049,0.023,0.007,0.094,0.002,0.001,205.0,447.0,1.03
"eps[14, 0]",-0.057,0.097,-0.248,0.109,0.004,0.003,745.0,706.0,1.01
"eps[15, 0]",0.01,0.054,-0.102,0.107,0.002,0.002,580.0,705.0,1.0
"eps[16, 0]",-0.09,0.049,-0.182,0.005,0.002,0.001,751.0,795.0,1.0
"eps[17, 0]",0.027,0.048,-0.061,0.117,0.002,0.002,490.0,620.0,1.0
"eps[18, 0]",0.017,0.036,-0.049,0.086,0.002,0.002,277.0,452.0,1.03
"eps[19, 0]",-0.135,0.024,-0.177,-0.086,0.001,0.001,418.0,617.0,1.01
"eps[20, 0]",0.111,0.022,0.07,0.152,0.001,0.001,485.0,624.0,1.0
"eps[21, 0]",-0.124,0.026,-0.17,-0.078,0.002,0.001,276.0,543.0,1.02
"eps[22, 0]",-0.067,0.023,-0.113,-0.027,0.002,0.001,212.0,582.0,1.03
"eps[23, 0]",-0.401,0.119,-0.606,-0.16,0.005,0.003,619.0,651.0,1.01
"eps[24, 0]",-0.058,0.063,-0.177,0.059,0.002,0.002,706.0,621.0,1.0
"eps[25, 0]",-0.178,0.054,-0.275,-0.074,0.002,0.001,715.0,728.0,1.0
"eps[26, 0]",-0.03,0.052,-0.124,0.064,0.002,0.001,680.0,804.0,1.0
"eps[27, 0]",0.021,0.041,-0.059,0.096,0.002,0.002,336.0,481.0,1.02
"eps[28, 0]",-0.188,0.028,-0.235,-0.136,0.001,0.001,630.0,738.0,1.0
"eps[29, 0]",0.196,0.027,0.148,0.245,0.001,0.001,589.0,752.0,1.0
"eps[30, 0]",-0.104,0.025,-0.149,-0.059,0.001,0.001,276.0,571.0,1.02
"eps[31, 0]",-0.019,0.028,-0.073,0.032,0.001,0.001,386.0,806.0,1.01
"eps[32, 0]",0.445,0.176,0.085,0.748,0.006,0.004,837.0,653.0,1.0
"eps[33, 0]",-0.178,0.054,-0.276,-0.078,0.002,0.002,576.0,750.0,1.0
"eps[34, 0]",-0.226,0.065,-0.348,-0.105,0.003,0.002,659.0,448.0,1.01
"eps[35, 0]",-0.062,0.045,-0.139,0.028,0.002,0.001,496.0,595.0,1.0
"eps[36, 0]",-0.103,0.036,-0.172,-0.034,0.002,0.001,312.0,470.0,1.02
"eps[37, 0]",-0.315,0.033,-0.383,-0.258,0.001,0.001,658.0,929.0,1.0
"eps[38, 0]",0.059,0.027,0.011,0.111,0.001,0.001,539.0,829.0,1.01
"eps[39, 0]",-0.075,0.03,-0.135,-0.024,0.002,0.001,319.0,553.0,1.02
"eps[40, 0]",0.009,0.026,-0.04,0.058,0.002,0.001,266.0,375.0,1.02
"eps[41, 0]",-0.925,0.235,-1.315,-0.489,0.007,0.005,1172.0,778.0,1.0
"eps[42, 0]",0.214,0.092,0.041,0.386,0.003,0.002,1093.0,812.0,1.0
"eps[43, 0]",0.085,0.077,-0.071,0.219,0.002,0.002,1021.0,746.0,1.0
"eps[44, 0]",0.124,0.061,0.008,0.242,0.002,0.001,1034.0,828.0,1.0
"eps[45, 0]",0.082,0.041,0.004,0.154,0.001,0.001,769.0,736.0,1.0
"eps[46, 0]",-0.445,0.056,-0.545,-0.337,0.002,0.002,648.0,872.0,1.01
"eps[47, 0]",-0.022,0.026,-0.066,0.031,0.001,0.001,766.0,836.0,1.0
"eps[48, 0]",-0.17,0.035,-0.236,-0.105,0.002,0.001,486.0,563.0,1.01
"eps[49, 0]",-0.14,0.032,-0.199,-0.084,0.002,0.001,290.0,681.0,1.02
"eps[50, 0]",0.308,0.455,-0.527,1.106,0.013,0.012,1135.0,679.0,1.0
"eps[51, 0]",-0.44,0.25,-0.882,0.062,0.007,0.005,1310.0,832.0,1.01
"eps[52, 0]",-0.234,0.131,-0.459,0.027,0.003,0.003,1534.0,761.0,1.0
"eps[53, 0]",0.017,0.073,-0.115,0.159,0.002,0.003,1617.0,653.0,1.0
"eps_tform[0, 0]",-0.247,0.302,-0.849,0.272,0.018,0.013,273.0,541.0,1.03
"eps_tform[0, 1]",-1.252,0.135,-1.519,-1.022,0.007,0.005,424.0,625.0,1.0
"eps_tform[0, 2]",0.917,0.181,0.603,1.275,0.007,0.005,594.0,618.0,1.0
"eps_tform[0, 3]",-0.066,0.129,-0.317,0.145,0.009,0.006,225.0,419.0,1.03
"eps_tform[0, 4]",-0.538,0.184,-0.923,-0.24,0.009,0.006,465.0,677.0,1.0
"eps_tform[0, 5]",-0.0,0.674,-1.335,1.155,0.033,0.023,417.0,606.0,1.0
"eps_tform[0, 6]",0.405,0.183,0.085,0.773,0.008,0.006,493.0,672.0,1.01
"eps_tform[0, 7]",0.166,0.474,-0.674,1.08,0.022,0.016,467.0,665.0,1.01
"eps_tform[0, 8]",-0.989,0.359,-1.642,-0.294,0.014,0.01,639.0,702.0,1.01
"eps_tform[0, 9]",0.732,0.449,-0.115,1.495,0.029,0.022,229.0,275.0,1.03
"eps_tform[0, 10]",-1.864,0.254,-2.35,-1.393,0.012,0.008,484.0,627.0,1.0
