,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.187,0.159,0.006,0.489,0.074,0.056,8.0,56.0,1.55
Ds[0],33.908,0.041,33.829,33.978,0.003,0.002,218.0,94.0,1.04
RV[0],3.182,1.273,1.01,5.434,0.122,0.096,286.0,410.0,1.04
"eps[0, 0]",0.201,0.057,0.107,0.319,0.011,0.009,31.0,22.0,1.11
"eps[1, 0]",-0.55,0.281,-0.843,-0.03,0.134,0.102,7.0,31.0,1.54
"eps[2, 0]",0.552,0.071,0.442,0.696,0.027,0.02,8.0,27.0,1.43
"eps[3, 0]",-0.391,0.225,-0.61,0.03,0.108,0.082,7.0,35.0,1.54
"eps[4, 0]",0.234,0.045,0.14,0.315,0.006,0.005,97.0,34.0,1.1
"eps[5, 0]",0.089,1.088,-1.955,1.085,0.528,0.403,7.0,48.0,1.53
"eps[6, 0]",-0.051,0.585,-0.498,1.049,0.287,0.219,8.0,36.0,1.54
"eps[7, 0]",0.192,0.048,0.095,0.28,0.011,0.008,28.0,37.0,1.12
"eps[8, 0]",0.159,0.186,-0.024,0.536,0.089,0.067,8.0,58.0,1.53
"eps[9, 0]",-0.029,0.069,-0.17,0.063,0.03,0.023,7.0,37.0,1.54
"eps[10, 0]",0.078,0.157,-0.228,0.246,0.075,0.057,7.0,33.0,1.55
"eps[11, 0]",0.061,0.064,-0.018,0.189,0.03,0.023,7.0,34.0,1.53
"eps[12, 0]",0.039,0.087,-0.134,0.13,0.041,0.031,7.0,35.0,1.54
"eps[13, 0]",0.014,0.027,-0.042,0.059,0.01,0.007,9.0,32.0,1.38
"eps[14, 0]",0.327,0.911,-1.338,1.021,0.448,0.342,7.0,26.0,1.53
"eps[15, 0]",-0.135,0.183,-0.284,0.224,0.089,0.068,7.0,40.0,1.54
"eps[16, 0]",0.063,0.116,-0.159,0.179,0.055,0.042,8.0,39.0,1.53
"eps[17, 0]",0.047,0.055,-0.033,0.17,0.021,0.015,9.0,55.0,1.42
"eps[18, 0]",-0.005,0.038,-0.08,0.062,0.008,0.005,31.0,66.0,1.1
"eps[19, 0]",-0.035,0.078,-0.192,0.047,0.037,0.028,7.0,36.0,1.54
