,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.198,0.061,0.076,0.301,0.004,0.003,244.0,368.0,1.01
Ds[0],35.074,0.056,34.977,35.181,0.004,0.003,202.0,239.0,1.01
RV[0],3.17,1.353,1.022,5.54,0.091,0.064,227.0,489.0,1.0
"eps[0, 0]",-0.002,0.038,-0.065,0.079,0.003,0.002,181.0,330.0,1.03
"eps[1, 0]",-0.326,0.032,-0.383,-0.267,0.002,0.001,319.0,628.0,1.0
"eps[2, 0]",0.272,0.043,0.188,0.351,0.003,0.002,203.0,598.0,1.03
"eps[3, 0]",-0.206,0.023,-0.247,-0.16,0.002,0.001,219.0,427.0,1.02
"eps[4, 0]",-0.024,0.05,-0.112,0.072,0.004,0.003,138.0,397.0,1.03
"eps[5, 0]",0.204,0.434,-0.532,1.041,0.037,0.026,136.0,315.0,1.03
"eps[6, 0]",0.139,0.122,-0.079,0.365,0.009,0.006,175.0,367.0,1.02
"eps[7, 0]",0.043,0.081,-0.101,0.188,0.006,0.004,200.0,517.0,1.02
"eps[8, 0]",-0.21,0.095,-0.375,-0.011,0.007,0.005,193.0,329.0,1.01
"eps[9, 0]",0.103,0.034,0.036,0.163,0.003,0.002,157.0,122.0,1.05
"eps[10, 0]",-0.16,0.027,-0.207,-0.11,0.002,0.001,193.0,483.0,1.01
"eps[11, 0]",0.188,0.022,0.148,0.23,0.002,0.001,184.0,272.0,1.03
"eps[12, 0]",-0.056,0.02,-0.095,-0.021,0.002,0.001,164.0,162.0,1.01
"eps[13, 0]",0.032,0.021,-0.007,0.068,0.002,0.001,124.0,161.0,1.02
"eps[14, 0]",-0.071,0.092,-0.248,0.096,0.004,0.003,535.0,617.0,1.01
"eps[15, 0]",0.019,0.057,-0.087,0.132,0.004,0.002,261.0,494.0,1.0
"eps[16, 0]",-0.073,0.051,-0.171,0.017,0.003,0.002,348.0,346.0,1.01
"eps[17, 0]",0.049,0.049,-0.048,0.137,0.003,0.002,282.0,676.0,1.01
"eps[18, 0]",0.048,0.034,-0.01,0.114,0.003,0.002,174.0,242.0,1.05
"eps[19, 0]",-0.128,0.024,-0.177,-0.087,0.002,0.001,209.0,290.0,1.01
"eps[20, 0]",0.109,0.022,0.067,0.151,0.002,0.001,181.0,515.0,1.03
"eps[21, 0]",-0.152,0.018,-0.186,-0.12,0.002,0.001,139.0,144.0,1.02
"eps[22, 0]",-0.085,0.021,-0.126,-0.046,0.002,0.001,125.0,138.0,1.02
"eps[23, 0]",-0.421,0.115,-0.633,-0.211,0.008,0.006,229.0,468.0,1.02
"eps[24, 0]",-0.046,0.065,-0.162,0.08,0.004,0.003,236.0,405.0,1.02
"eps[25, 0]",-0.163,0.054,-0.259,-0.058,0.003,0.002,384.0,687.0,1.01
"eps[26, 0]",-0.006,0.057,-0.111,0.094,0.004,0.003,209.0,343.0,1.01
"eps[27, 0]",0.053,0.039,-0.018,0.128,0.003,0.002,199.0,278.0,1.04
"eps[28, 0]",-0.184,0.027,-0.235,-0.138,0.002,0.001,258.0,521.0,1.01
"eps[29, 0]",0.192,0.026,0.141,0.239,0.002,0.001,230.0,667.0,1.03
"eps[30, 0]",-0.131,0.019,-0.17,-0.098,0.002,0.001,123.0,142.0,1.02
"eps[31, 0]",-0.035,0.027,-0.092,0.012,0.002,0.001,184.0,176.0,1.02
"eps[32, 0]",0.452,0.175,0.134,0.771,0.01,0.007,309.0,613.0,1.01
"eps[33, 0]",-0.176,0.053,-0.278,-0.076,0.003,0.002,257.0,477.0,1.0
"eps[34, 0]",-0.198,0.062,-0.316,-0.083,0.003,0.002,345.0,607.0,1.01
"eps[35, 0]",-0.04,0.047,-0.117,0.059,0.003,0.002,269.0,231.0,1.01
"eps[36, 0]",-0.075,0.035,-0.134,-0.005,0.003,0.002,178.0,238.0,1.04
"eps[37, 0]",-0.306,0.03,-0.358,-0.25,0.001,0.001,398.0,650.0,1.01
"eps[38, 0]",0.051,0.027,0.003,0.099,0.002,0.001,192.0,388.0,1.02
"eps[39, 0]",-0.105,0.022,-0.147,-0.066,0.001,0.001,295.0,548.0,1.01
"eps[40, 0]",-0.014,0.024,-0.057,0.031,0.002,0.001,141.0,171.0,1.02
"eps[41, 0]",-0.977,0.233,-1.366,-0.488,0.009,0.007,634.0,636.0,1.01
"eps[42, 0]",0.223,0.092,0.055,0.398,0.005,0.004,319.0,540.0,1.01
"eps[43, 0]",0.087,0.078,-0.081,0.215,0.003,0.002,844.0,579.0,1.0
"eps[44, 0]",0.145,0.067,0.019,0.266,0.004,0.004,279.0,208.0,1.02
"eps[45, 0]",0.103,0.039,0.033,0.177,0.002,0.002,300.0,336.0,1.02
"eps[46, 0]",-0.429,0.055,-0.527,-0.321,0.003,0.002,473.0,621.0,1.0
"eps[47, 0]",-0.027,0.026,-0.077,0.022,0.002,0.001,302.0,655.0,1.02
"eps[48, 0]",-0.197,0.029,-0.252,-0.143,0.002,0.001,315.0,681.0,1.01
"eps[49, 0]",-0.162,0.031,-0.216,-0.099,0.002,0.002,162.0,374.0,1.02
"eps[50, 0]",0.308,0.457,-0.487,1.225,0.017,0.013,698.0,630.0,1.0
"eps[51, 0]",-0.464,0.248,-0.875,0.038,0.008,0.006,936.0,831.0,1.0
