,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.264,0.086,0.102,0.417,0.005,0.003,312.0,358.0,1.01
Ds[0],32.522,0.056,32.425,32.63,0.003,0.002,417.0,515.0,1.0
RV[0],4.419,1.118,2.378,6.0,0.037,0.026,849.0,525.0,1.0
"eps[0, 0]",0.334,0.111,0.129,0.549,0.003,0.002,1359.0,599.0,1.0
"eps[1, 0]",0.218,0.21,-0.138,0.663,0.006,0.005,1384.0,616.0,1.0
"eps[2, 0]",0.087,0.155,-0.226,0.359,0.005,0.005,982.0,625.0,1.0
"eps[3, 0]",0.998,0.169,0.687,1.305,0.004,0.003,1437.0,874.0,1.0
"eps[4, 0]",1.065,0.183,0.713,1.387,0.006,0.004,1026.0,599.0,1.0
"eps[5, 0]",0.299,0.572,-0.771,1.342,0.015,0.016,1381.0,764.0,1.0
"eps[6, 0]",-0.143,0.412,-0.933,0.614,0.011,0.013,1466.0,673.0,1.0
"eps[7, 0]",-0.027,0.147,-0.279,0.274,0.004,0.005,1753.0,677.0,1.0
"eps[8, 0]",0.077,0.193,-0.263,0.452,0.004,0.006,1962.0,760.0,1.01
"eps[9, 0]",-0.03,0.034,-0.09,0.033,0.002,0.001,428.0,521.0,1.0
"eps[10, 0]",0.124,0.056,0.018,0.226,0.003,0.002,355.0,582.0,1.0
"eps[11, 0]",0.004,0.022,-0.041,0.042,0.001,0.001,781.0,739.0,1.0
"eps[12, 0]",0.064,0.032,0.005,0.125,0.002,0.001,400.0,638.0,1.01
"eps[13, 0]",-0.105,0.021,-0.143,-0.065,0.001,0.001,598.0,757.0,1.0
"eps[14, 0]",-0.136,0.106,-0.329,0.066,0.003,0.002,1370.0,527.0,1.0
"eps[15, 0]",-0.162,0.098,-0.336,0.034,0.002,0.002,1586.0,786.0,1.0
"eps[16, 0]",-0.042,0.077,-0.176,0.105,0.002,0.002,2056.0,772.0,1.0
"eps[17, 0]",-0.103,0.048,-0.196,-0.018,0.002,0.001,628.0,792.0,1.0
"eps[18, 0]",-0.148,0.03,-0.205,-0.092,0.001,0.001,753.0,738.0,1.0
"eps[19, 0]",-0.071,0.038,-0.147,-0.006,0.002,0.001,412.0,521.0,1.0
"eps[20, 0]",-0.15,0.022,-0.195,-0.111,0.001,0.001,800.0,697.0,1.0
"eps[21, 0]",-0.123,0.026,-0.168,-0.076,0.001,0.001,602.0,653.0,1.01
"eps[22, 0]",-0.117,0.022,-0.157,-0.074,0.001,0.001,793.0,755.0,1.0
"eps[23, 0]",0.258,0.154,-0.027,0.541,0.004,0.003,1283.0,783.0,1.01
"eps[24, 0]",-0.117,0.111,-0.315,0.097,0.003,0.003,1823.0,675.0,1.01
"eps[25, 0]",0.131,0.121,-0.103,0.338,0.004,0.003,1191.0,775.0,1.0
"eps[26, 0]",0.025,0.113,-0.168,0.256,0.004,0.003,1021.0,761.0,1.0
"eps[27, 0]",0.035,0.034,-0.026,0.102,0.001,0.001,741.0,798.0,1.0
"eps[28, 0]",0.284,0.035,0.219,0.353,0.001,0.001,677.0,892.0,1.0
"eps[29, 0]",-0.039,0.02,-0.075,-0.001,0.001,0.001,639.0,761.0,1.01
"eps[30, 0]",-0.103,0.021,-0.144,-0.065,0.001,0.001,489.0,639.0,1.01
"eps[31, 0]",-0.314,0.042,-0.393,-0.24,0.002,0.002,395.0,466.0,1.0
"eps[32, 0]",-0.675,0.21,-1.053,-0.27,0.006,0.004,1206.0,578.0,1.0
"eps[33, 0]",-0.431,0.043,-0.513,-0.353,0.002,0.001,772.0,732.0,1.0
"eps[34, 0]",-0.501,0.123,-0.705,-0.248,0.004,0.003,1064.0,668.0,1.0
"eps[35, 0]",-0.036,0.049,-0.129,0.055,0.002,0.002,483.0,318.0,1.0
"eps[36, 0]",0.172,0.03,0.115,0.225,0.001,0.001,741.0,785.0,1.0
"eps[37, 0]",0.304,0.032,0.245,0.366,0.001,0.001,805.0,808.0,1.0
"eps[38, 0]",0.172,0.031,0.113,0.224,0.001,0.001,566.0,787.0,1.0
"eps[39, 0]",0.17,0.038,0.106,0.247,0.002,0.001,507.0,870.0,1.01
"eps[40, 0]",0.152,0.034,0.09,0.213,0.002,0.001,448.0,690.0,1.01
"eps[41, 0]",0.447,0.181,0.125,0.799,0.005,0.004,1417.0,898.0,1.0
"eps[42, 0]",0.05,0.044,-0.029,0.133,0.002,0.001,825.0,735.0,1.0
"eps[43, 0]",0.209,0.071,0.077,0.342,0.002,0.002,829.0,795.0,1.0
"eps[44, 0]",0.236,0.065,0.119,0.356,0.003,0.002,365.0,541.0,1.0
"eps[45, 0]",-0.01,0.047,-0.093,0.075,0.002,0.001,569.0,725.0,1.0
"eps[46, 0]",0.252,0.057,0.145,0.352,0.003,0.002,338.0,411.0,1.01
"eps[47, 0]",0.1,0.022,0.061,0.143,0.001,0.001,710.0,712.0,1.0
"eps[48, 0]",0.238,0.023,0.192,0.279,0.001,0.001,655.0,695.0,1.01
"eps[49, 0]",0.148,0.037,0.079,0.213,0.002,0.001,548.0,556.0,1.0
"eps[50, 0]",1.478,0.374,0.685,2.114,0.012,0.009,937.0,805.0,1.0
"eps[51, 0]",0.665,0.283,0.15,1.205,0.009,0.007,1016.0,540.0,1.0
"eps[52, 0]",0.585,0.155,0.296,0.864,0.004,0.003,1399.0,842.0,1.0
"eps[53, 0]",0.086,0.089,-0.069,0.262,0.003,0.002,971.0,865.0,1.0
"eps_tform[0, 0]",2.43,0.804,0.94,3.992,0.022,0.017,1359.0,599.0,1.0
"eps_tform[0, 1]",1.023,0.775,-0.306,2.652,0.021,0.017,1411.0,561.0,1.0
"eps_tform[0, 2]",0.177,0.657,-1.163,1.349,0.021,0.021,965.0,661.0,1.01
"eps_tform[0, 3]",3.283,0.628,2.043,4.382,0.02,0.014,975.0,851.0,1.01
"eps_tform[0, 4]",2.963,0.66,1.745,4.186,0.022,0.015,935.0,671.0,1.0
"eps_tform[0, 5]",-0.214,0.859,-1.873,1.287,0.021,0.028,1649.0,697.0,1.0
"eps_tform[0, 6]",-0.222,0.895,-1.987,1.432,0.024,0.029,1352.0,712.0,1.0
"eps_tform[0, 7]",-0.932,0.917,-2.75,0.674,0.021,0.023,1956.0,716.0,1.0
"eps_tform[0, 8]",-0.047,0.921,-1.738,1.682,0.02,0.03,2187.0,766.0,1.0
"eps_tform[0, 9]",-0.795,0.439,-1.612,-0.018,0.02,0.015,473.0,683.0,1.0
"eps_tform[0, 10]",0.914,0.57,-0.151,1.957,0.029,0.021,375.0,559.0,1.01
"eps_tform[0, 11]",0.872,0.413,0.154,1.706,0.015,0.011,761.0,734.0,1.0
"eps_tform[0, 12]",1.93,0.514,1.003,2.93,0.022,0.016,534.0,601.0,1.02
"eps_tform[0, 13]",-1.163,0.342,-1.791,-0.532,0.013,0.009,712.0,802.0,1.0
"eps_tform[0, 14]",-0.687,0.857,-2.206,1.079,0.024,0.023,1326.0,526.0,1.01
"eps_tform[0, 15]",-0.733,0.891,-2.282,1.116,0.023,0.024,1557.0,598.0,1.0
"eps_tform[0, 16]",0.212,0.925,-1.325,1.988,0.021,0.029,1995.0,757.0,1.01
"eps_tform[0, 17]",-0.705,0.646,-1.949,0.52,0.025,0.018,654.0,628.0,1.01
"eps_tform[0, 18]",-2.488,0.492,-3.406,-1.584,0.018,0.013,740.0,699.0,1.0
"eps_tform[0, 19]",-0.061,0.422,-0.935,0.625,0.018,0.013,529.0,647.0,1.01
"eps_tform[0, 20]",-2.666,0.371,-3.367,-2.041,0.015,0.011,599.0,666.0,1.0
"eps_tform[0, 21]",-2.185,0.459,-3.081,-1.378,0.017,0.012,744.0,902.0,1.01
"eps_tform[0, 22]",-1.01,0.394,-1.717,-0.287,0.015,0.011,652.0,808.0,1.0
"eps_tform[0, 23]",0.702,0.904,-0.876,2.512,0.025,0.024,1360.0,561.0,1.03
"eps_tform[0, 24]",-0.142,0.811,-1.872,1.193,0.018,0.03,2118.0,695.0,1.01
"eps_tform[0, 25]",1.177,0.823,-0.392,2.655,0.026,0.022,1025.0,726.0,1.0
"eps_tform[0, 26]",-0.029,0.813,-1.463,1.628,0.024,0.026,1151.0,675.0,1.0
"eps_tform[0, 27]",1.049,0.434,0.258,1.889,0.017,0.012,699.0,872.0,1.01
"eps_tform[0, 28]",2.139,0.442,1.33,2.933,0.015,0.011,822.0,836.0,1.0
"eps_tform[0, 29]",-0.209,0.366,-0.869,0.483,0.013,0.01,738.0,672.0,1.01
"eps_tform[0, 30]",0.361,0.508,-0.533,1.276,0.018,0.013,831.0,700.0,1.01
"eps_tform[0, 31]",-3.284,0.41,-4.02,-2.513,0.016,0.011,681.0,804.0,1.0
"eps_tform[0, 32]",-2.02,0.835,-3.56,-0.402,0.02,0.015,1750.0,844.0,1.01
"eps_tform[0, 33]",-0.872,0.388,-1.657,-0.235,0.016,0.011,607.0,726.0,1.0
"eps_tform[0, 34]",-2.047,0.745,-3.516,-0.713,0.019,0.015,1543.0,582.0,1.0
"eps_tform[0, 35]",-0.438,0.648,-1.538,0.878,0.022,0.016,874.0,786.0,1.0
"eps_tform[0, 36]",2.137,0.397,1.326,2.767,0.015,0.011,727.0,797.0,1.0
"eps_tform[0, 37]",1.267,0.362,0.588,1.924,0.014,0.01,681.0,668.0,1.0
"eps_tform[0, 38]",1.756,0.528,0.806,2.799,0.026,0.019,423.0,655.0,1.0
"eps_tform[0, 39]",1.303,0.571,0.181,2.305,0.021,0.015,742.0,742.0,1.0
"eps_tform[0, 40]",1.117,0.418,0.337,1.878,0.014,0.01,957.0,792.0,1.0
"eps_tform[0, 41]",0.493,0.808,-0.902,2.056,0.02,0.019,1649.0,882.0,1.01
"eps_tform[0, 42]",-1.103,0.499,-1.985,-0.098,0.016,0.012,919.0,652.0,1.0
"eps_tform[0, 43]",0.815,0.593,-0.312,1.85,0.019,0.014,954.0,692.0,1.01
"eps_tform[0, 44]",2.138,0.559,1.091,3.154,0.019,0.013,882.0,785.0,1.0
"eps_tform[0, 45]",0.742,0.794,-0.823,2.159,0.032,0.023,622.0,697.0,1.0
"eps_tform[0, 46]",0.028,0.535,-0.892,1.13,0.015,0.017,1212.0,738.0,1.0
"eps_tform[0, 47]",2.21,0.544,1.248,3.241,0.024,0.017,510.0,637.0,1.01
"eps_tform[0, 48]",-0.44,0.602,-1.567,0.704,0.019,0.015,965.0,742.0,1.0
"eps_tform[0, 49]",-0.667,0.711,-1.951,0.657,0.02,0.019,1328.0,561.0,1.0
"eps_tform[0, 50]",-0.13,0.948,-1.99,1.539,0.023,0.031,1760.0,651.0,1.01
"eps_tform[0, 51]",0.601,0.971,-1.237,2.449,0.022,0.028,1890.0,550.0,1.0
"eps_tform[0, 52]",0.059,0.963,-1.54,1.883,0.022,0.033,1886.0,722.0,1.01
"eps_tform[0, 53]",-0.082,0.974,-1.896,1.766,0.024,0.036,1703.0,703.0,1.0
theta[0],0.336,0.266,-0.201,0.762,0.014,0.01,373.0,583.0,1.01
tmax[0],-2.895,0.082,-3.044,-2.736,0.002,0.001,1923.0,903.0,1.0
peak_MJD[0],53434.515,0.082,53434.365,53434.676,0.002,0.001,1923.0,903.0,1.0
mu[0],32.528,0.114,32.317,32.734,0.004,0.003,644.0,848.0,1.01
delM[0],-0.005,0.096,-0.178,0.183,0.003,0.002,1029.0,953.0,1.0
