,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.883,0.2,0.519,1.241,0.01,0.007,385.0,514.0,1.01
Ds[0],33.6,0.185,33.274,33.948,0.01,0.007,373.0,535.0,1.01
RV[0],3.907,1.082,2.227,5.995,0.056,0.04,379.0,542.0,1.0
"eps[0, 0]",0.024,0.116,-0.211,0.222,0.004,0.004,791.0,695.0,1.0
"eps[1, 0]",0.017,0.229,-0.424,0.415,0.007,0.007,1036.0,844.0,1.0
"eps[2, 0]",0.044,0.17,-0.272,0.358,0.006,0.005,710.0,791.0,1.0
"eps[3, 0]",0.267,0.173,-0.057,0.585,0.006,0.004,965.0,845.0,1.0
"eps[4, 0]",0.021,0.164,-0.292,0.312,0.004,0.005,1407.0,753.0,1.0
"eps[5, 0]",0.079,0.612,-1.138,1.124,0.019,0.017,989.0,759.0,1.0
"eps[6, 0]",-0.013,0.443,-0.734,0.887,0.014,0.014,982.0,689.0,1.01
"eps[7, 0]",-0.02,0.157,-0.299,0.275,0.005,0.006,1121.0,667.0,1.01
"eps[8, 0]",0.016,0.206,-0.367,0.373,0.006,0.006,1191.0,869.0,1.0
"eps[9, 0]",0.029,0.048,-0.068,0.108,0.002,0.002,585.0,563.0,1.0
"eps[10, 0]",0.018,0.064,-0.099,0.131,0.003,0.002,523.0,671.0,1.0
"eps[11, 0]",0.004,0.032,-0.054,0.07,0.001,0.001,563.0,669.0,1.0
"eps[12, 0]",-0.013,0.041,-0.091,0.062,0.002,0.002,348.0,461.0,1.0
"eps[13, 0]",0.007,0.041,-0.072,0.08,0.002,0.001,490.0,484.0,1.01
"eps[14, 0]",-0.014,0.125,-0.239,0.224,0.004,0.004,1045.0,639.0,1.0
"eps[15, 0]",-0.007,0.107,-0.202,0.201,0.003,0.003,1301.0,741.0,1.0
"eps[16, 0]",-0.021,0.085,-0.188,0.131,0.002,0.003,1434.0,831.0,1.0
"eps[17, 0]",-0.005,0.084,-0.14,0.173,0.002,0.003,1489.0,733.0,1.0
"eps[18, 0]",0.024,0.056,-0.081,0.129,0.003,0.002,459.0,683.0,1.01
"eps[19, 0]",0.029,0.05,-0.061,0.123,0.002,0.002,642.0,720.0,1.0
