,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.066,0.039,0.001,0.131,0.002,0.002,393.0,447.0,1.01
Ds[0],35.397,0.036,35.334,35.468,0.002,0.001,345.0,442.0,1.0
RV[0],3.498,1.409,1.257,5.887,0.059,0.042,519.0,381.0,1.0
"eps[0, 0]",-0.194,0.044,-0.274,-0.114,0.002,0.001,555.0,604.0,1.01
"eps[1, 0]",-0.462,0.076,-0.609,-0.314,0.003,0.002,791.0,686.0,1.0
"eps[2, 0]",-0.075,0.084,-0.241,0.079,0.003,0.003,658.0,644.0,1.0
"eps[3, 0]",-0.369,0.056,-0.471,-0.262,0.002,0.002,614.0,561.0,1.0
"eps[4, 0]",-0.041,0.08,-0.194,0.102,0.004,0.003,519.0,556.0,1.0
"eps[5, 0]",-0.092,0.572,-1.225,0.905,0.03,0.021,362.0,366.0,1.01
"eps[6, 0]",-0.265,0.231,-0.654,0.199,0.013,0.009,361.0,393.0,1.01
"eps[7, 0]",-0.236,0.104,-0.424,-0.043,0.005,0.004,454.0,605.0,1.0
"eps[8, 0]",-0.094,0.172,-0.457,0.194,0.005,0.005,1130.0,694.0,1.0
"eps[9, 0]",0.175,0.031,0.114,0.226,0.002,0.001,380.0,297.0,1.0
"eps[10, 0]",0.094,0.042,0.023,0.179,0.002,0.001,390.0,485.0,1.01
"eps[11, 0]",0.045,0.028,-0.005,0.096,0.001,0.001,460.0,409.0,1.0
"eps[12, 0]",0.018,0.029,-0.033,0.077,0.001,0.001,378.0,573.0,1.01
"eps[13, 0]",0.052,0.023,0.011,0.098,0.001,0.001,348.0,491.0,1.0
"eps[14, 0]",0.002,0.092,-0.163,0.177,0.003,0.003,684.0,701.0,1.01
"eps[15, 0]",0.228,0.047,0.148,0.32,0.002,0.001,560.0,597.0,1.0
"eps[16, 0]",-0.02,0.036,-0.091,0.043,0.002,0.001,441.0,576.0,1.0
"eps[17, 0]",0.114,0.04,0.04,0.184,0.002,0.001,636.0,937.0,1.0
"eps[18, 0]",-0.042,0.033,-0.102,0.024,0.002,0.001,416.0,426.0,1.0
"eps[19, 0]",-0.009,0.029,-0.067,0.04,0.001,0.001,466.0,527.0,1.0
"eps[20, 0]",0.072,0.026,0.029,0.126,0.001,0.001,532.0,407.0,1.01
"eps[21, 0]",-0.027,0.022,-0.069,0.013,0.001,0.001,360.0,484.0,1.01
"eps[22, 0]",0.023,0.024,-0.02,0.066,0.001,0.001,413.0,447.0,1.0
"eps[23, 0]",-0.081,0.114,-0.294,0.121,0.005,0.003,634.0,709.0,1.0
"eps[24, 0]",0.153,0.061,0.038,0.268,0.002,0.002,596.0,739.0,1.0
"eps[25, 0]",-0.286,0.052,-0.38,-0.184,0.002,0.001,830.0,742.0,1.0
"eps[26, 0]",-0.045,0.061,-0.169,0.057,0.002,0.001,988.0,827.0,1.01
"eps[27, 0]",-0.14,0.046,-0.221,-0.052,0.002,0.002,456.0,394.0,1.0
"eps[28, 0]",-0.199,0.032,-0.257,-0.13,0.001,0.001,547.0,476.0,1.0
"eps[29, 0]",0.055,0.035,-0.008,0.126,0.001,0.001,609.0,589.0,1.0
"eps[30, 0]",-0.042,0.025,-0.085,0.004,0.001,0.001,415.0,542.0,1.01
"eps[31, 0]",0.208,0.033,0.147,0.268,0.001,0.001,578.0,714.0,1.0
"eps[32, 0]",0.169,0.185,-0.17,0.516,0.007,0.005,651.0,569.0,1.0
"eps[33, 0]",-0.021,0.083,-0.169,0.14,0.004,0.003,575.0,639.0,1.0
"eps[34, 0]",0.133,0.101,-0.057,0.33,0.003,0.002,1138.0,880.0,1.0
"eps[35, 0]",0.069,0.058,-0.048,0.167,0.002,0.002,730.0,689.0,1.01
"eps[36, 0]",-0.13,0.036,-0.196,-0.065,0.002,0.001,464.0,528.0,1.0
"eps[37, 0]",-0.354,0.045,-0.443,-0.277,0.002,0.001,697.0,712.0,1.0
"eps[38, 0]",-0.129,0.033,-0.19,-0.068,0.001,0.001,597.0,473.0,1.0
"eps[39, 0]",-0.197,0.035,-0.258,-0.133,0.002,0.001,516.0,542.0,1.0
"eps[40, 0]",-0.06,0.03,-0.12,-0.008,0.001,0.001,508.0,438.0,1.0
"eps[41, 0]",-0.179,0.226,-0.576,0.249,0.008,0.006,799.0,722.0,1.0
"eps[42, 0]",0.033,0.092,-0.14,0.189,0.003,0.002,947.0,904.0,1.0
"eps[43, 0]",-0.136,0.07,-0.258,-0.003,0.003,0.002,629.0,564.0,1.0
"eps[44, 0]",-0.234,0.071,-0.361,-0.107,0.002,0.002,807.0,747.0,1.0
