,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.04,0.03,0.0,0.095,0.002,0.001,366.0,332.0,1.01
Ds[0],36.406,0.037,36.336,36.473,0.002,0.002,270.0,189.0,1.01
RV[0],3.846,1.382,1.552,5.987,0.044,0.033,868.0,527.0,1.01
"eps[0, 0]",-0.065,0.049,-0.16,0.022,0.003,0.002,329.0,294.0,1.02
"eps[1, 0]",-0.146,0.085,-0.306,0.014,0.004,0.003,371.0,450.0,1.01
"eps[2, 0]",0.058,0.112,-0.144,0.262,0.007,0.005,259.0,348.0,1.01
"eps[3, 0]",-0.288,0.094,-0.48,-0.131,0.005,0.004,293.0,435.0,1.01
"eps[4, 0]",0.067,0.124,-0.16,0.294,0.008,0.005,276.0,353.0,1.01
"eps[5, 0]",-0.087,0.36,-0.788,0.552,0.016,0.012,491.0,467.0,1.0
"eps[6, 0]",-0.191,0.237,-0.626,0.247,0.012,0.009,381.0,558.0,1.01
"eps[7, 0]",-0.122,0.122,-0.33,0.127,0.004,0.003,779.0,638.0,1.0
"eps[8, 0]",-0.117,0.162,-0.39,0.206,0.006,0.004,876.0,518.0,1.0
"eps[9, 0]",0.089,0.023,0.047,0.129,0.001,0.001,346.0,361.0,1.01
"eps[10, 0]",0.052,0.034,-0.017,0.112,0.002,0.001,271.0,299.0,1.02
"eps[11, 0]",0.109,0.03,0.058,0.166,0.002,0.001,372.0,525.0,1.01
"eps[12, 0]",0.005,0.033,-0.056,0.064,0.002,0.001,285.0,393.0,1.02
"eps[13, 0]",0.199,0.028,0.148,0.255,0.001,0.001,424.0,495.0,1.0
"eps[14, 0]",0.058,0.086,-0.09,0.231,0.004,0.003,552.0,575.0,1.0
"eps[15, 0]",0.086,0.064,-0.026,0.211,0.003,0.002,620.0,785.0,1.0
"eps[16, 0]",0.078,0.052,-0.015,0.187,0.002,0.002,491.0,556.0,1.01
"eps[17, 0]",-0.005,0.068,-0.137,0.113,0.002,0.002,796.0,674.0,1.0
"eps[18, 0]",-0.08,0.028,-0.134,-0.027,0.001,0.001,384.0,506.0,1.01
"eps[19, 0]",0.009,0.031,-0.048,0.065,0.002,0.001,357.0,397.0,1.0
"eps[20, 0]",0.019,0.032,-0.042,0.078,0.001,0.001,552.0,664.0,1.01
"eps[21, 0]",-0.073,0.032,-0.129,-0.012,0.002,0.001,376.0,554.0,1.0
"eps[22, 0]",0.034,0.037,-0.04,0.099,0.001,0.001,636.0,489.0,1.01
"eps[23, 0]",0.064,0.108,-0.138,0.271,0.004,0.003,642.0,638.0,1.01
"eps[24, 0]",0.016,0.086,-0.152,0.165,0.003,0.002,639.0,781.0,1.0
"eps[25, 0]",-0.111,0.114,-0.312,0.117,0.004,0.003,997.0,820.0,1.0
"eps[26, 0]",-0.071,0.126,-0.319,0.157,0.004,0.004,898.0,571.0,1.0
"eps[27, 0]",-0.267,0.041,-0.339,-0.185,0.002,0.002,369.0,462.0,1.01
"eps[28, 0]",-0.168,0.037,-0.236,-0.097,0.002,0.001,469.0,404.0,1.01
"eps[29, 0]",-0.091,0.036,-0.152,-0.019,0.001,0.001,617.0,803.0,1.0
"eps[30, 0]",0.008,0.037,-0.055,0.081,0.002,0.001,470.0,689.0,1.01
"eps[31, 0]",0.272,0.042,0.194,0.351,0.002,0.001,487.0,599.0,1.0
"eps[32, 0]",0.044,0.166,-0.234,0.394,0.006,0.005,666.0,625.0,1.0
"eps[33, 0]",0.119,0.116,-0.102,0.331,0.005,0.003,601.0,575.0,1.01
"eps[34, 0]",0.324,0.165,0.014,0.63,0.005,0.004,989.0,530.0,1.01
"eps[35, 0]",0.016,0.084,-0.133,0.182,0.002,0.003,1193.0,805.0,1.0
"eps[36, 0]",-0.185,0.034,-0.248,-0.12,0.002,0.001,427.0,504.0,1.01
"eps[37, 0]",-0.231,0.036,-0.3,-0.166,0.001,0.001,848.0,757.0,1.0
"eps[38, 0]",-0.253,0.034,-0.315,-0.191,0.002,0.001,482.0,574.0,1.01
"eps[39, 0]",-0.225,0.034,-0.295,-0.166,0.001,0.001,676.0,727.0,1.0
"eps[40, 0]",-0.083,0.036,-0.156,-0.018,0.002,0.001,547.0,443.0,1.01
"eps[41, 0]",0.064,0.22,-0.336,0.472,0.009,0.007,639.0,752.0,1.01
"eps[42, 0]",-0.069,0.12,-0.293,0.156,0.005,0.003,599.0,577.0,1.0
"eps[43, 0]",-0.129,0.103,-0.331,0.055,0.003,0.002,1229.0,752.0,1.0
"eps[44, 0]",-0.186,0.094,-0.351,-0.004,0.003,0.002,807.0,652.0,1.0
"eps[45, 0]",0.05,0.059,-0.051,0.173,0.002,0.002,1027.0,670.0,1.0
"eps[46, 0]",0.143,0.118,-0.095,0.343,0.004,0.003,1040.0,736.0,1.01
"eps[47, 0]",-0.128,0.039,-0.196,-0.056,0.001,0.001,1214.0,748.0,1.0
"eps[48, 0]",-0.103,0.061,-0.227,-0.003,0.002,0.001,1067.0,845.0,1.0
"eps[49, 0]",-0.222,0.067,-0.342,-0.097,0.002,0.002,884.0,873.0,1.0
"eps[50, 0]",-0.487,0.439,-1.275,0.345,0.016,0.013,764.0,557.0,1.01
"eps[51, 0]",-0.761,0.237,-1.182,-0.326,0.009,0.007,637.0,614.0,1.0
"eps[52, 0]",-0.34,0.143,-0.592,-0.083,0.006,0.004,640.0,796.0,1.0
"eps[53, 0]",-0.155,0.088,-0.312,0.016,0.003,0.002,1020.0,858.0,1.0
"eps_tform[0, 0]",-0.476,0.353,-1.161,0.158,0.019,0.015,329.0,294.0,1.02
"eps_tform[0, 1]",-0.592,0.336,-1.183,0.084,0.017,0.013,367.0,454.0,1.01
"eps_tform[0, 2]",0.186,0.466,-0.636,1.084,0.029,0.021,268.0,395.0,1.01
"eps_tform[0, 3]",-0.825,0.262,-1.344,-0.368,0.016,0.011,287.0,412.0,1.01
"eps_tform[0, 4]",0.422,0.38,-0.224,1.203,0.021,0.015,321.0,527.0,1.01
"eps_tform[0, 5]",0.01,0.554,-1.065,1.01,0.025,0.018,480.0,469.0,1.0
"eps_tform[0, 6]",-0.462,0.444,-1.306,0.331,0.023,0.016,373.0,615.0,1.01
"eps_tform[0, 7]",-0.674,0.759,-2.055,0.772,0.027,0.02,774.0,668.0,1.0
"eps_tform[0, 8]",-0.467,0.747,-1.754,1.056,0.025,0.018,948.0,516.0,1.0
"eps_tform[0, 9]",0.919,0.3,0.418,1.497,0.017,0.012,329.0,381.0,1.01
"eps_tform[0, 10]",0.394,0.367,-0.273,1.076,0.022,0.015,284.0,374.0,1.02
"eps_tform[0, 11]",1.517,0.48,0.662,2.423,0.027,0.019,317.0,365.0,1.02
"eps_tform[0, 12]",-0.6,0.534,-1.58,0.387,0.03,0.021,310.0,473.0,1.02
"eps_tform[0, 13]",2.534,0.338,1.945,3.216,0.015,0.011,491.0,463.0,1.0
"eps_tform[0, 14]",-0.22,0.67,-1.475,1.035,0.03,0.021,516.0,671.0,1.0
"eps_tform[0, 15]",0.12,0.537,-0.856,1.149,0.023,0.017,565.0,621.0,1.0
"eps_tform[0, 16]",0.516,0.623,-0.704,1.71,0.03,0.022,433.0,438.0,1.01
"eps_tform[0, 17]",-0.12,0.83,-1.632,1.446,0.03,0.025,788.0,781.0,1.01
"eps_tform[0, 18]",-1.043,0.387,-1.86,-0.37,0.017,0.012,535.0,564.0,1.01
"eps_tform[0, 19]",-0.431,0.337,-1.044,0.212,0.022,0.016,229.0,456.0,1.02
"eps_tform[0, 20]",0.877,0.514,-0.057,1.835,0.024,0.017,466.0,744.0,1.01
"eps_tform[0, 21]",-0.744,0.573,-1.917,0.261,0.028,0.02,434.0,609.0,1.0
"eps_tform[0, 22]",0.284,0.438,-0.465,1.137,0.019,0.014,509.0,600.0,1.01
"eps_tform[0, 23]",0.376,0.748,-0.992,1.811,0.029,0.024,657.0,550.0,1.0
"eps_tform[0, 24]",-0.154,0.514,-1.035,0.893,0.019,0.013,756.0,832.0,1.01
"eps_tform[0, 25]",-0.024,0.763,-1.539,1.269,0.027,0.023,807.0,751.0,1.0
"eps_tform[0, 26]",-0.332,0.946,-1.882,1.643,0.031,0.031,940.0,529.0,1.0
"eps_tform[0, 27]",-1.375,0.403,-2.035,-0.584,0.02,0.014,405.0,675.0,1.01
"eps_tform[0, 28]",-1.407,0.383,-2.174,-0.752,0.018,0.013,455.0,756.0,1.01
"eps_tform[0, 29]",0.583,0.482,-0.369,1.458,0.018,0.013,719.0,883.0,1.0
"eps_tform[0, 30]",0.328,0.571,-0.761,1.367,0.02,0.017,818.0,538.0,1.0
"eps_tform[0, 31]",0.821,0.51,-0.076,1.757,0.022,0.016,545.0,463.0,1.0
"eps_tform[0, 32]",0.861,0.775,-0.574,2.279,0.027,0.02,828.0,758.0,1.0
"eps_tform[0, 33]",-0.946,0.442,-1.732,-0.116,0.018,0.013,577.0,436.0,1.0
"eps_tform[0, 34]",0.129,1.009,-1.741,2.031,0.027,0.037,1433.0,644.0,1.01
"eps_tform[0, 35]",0.202,0.941,-1.6,1.823,0.023,0.03,1656.0,583.0,1.01
"eps_tform[0, 36]",-1.268,0.447,-2.097,-0.472,0.02,0.014,492.0,477.0,1.01
"eps_tform[0, 37]",0.488,0.366,-0.186,1.189,0.016,0.012,539.0,599.0,1.0
"eps_tform[0, 38]",-1.026,0.553,-2.043,0.021,0.022,0.017,655.0,697.0,1.0
"eps_tform[0, 39]",0.668,0.496,-0.331,1.47,0.019,0.014,660.0,613.0,1.0
"eps_tform[0, 40]",1.333,0.532,0.397,2.303,0.023,0.016,533.0,594.0,1.0
"eps_tform[0, 41]",-0.392,0.844,-1.979,1.16,0.028,0.021,887.0,828.0,1.01
"eps_tform[0, 42]",0.724,0.572,-0.275,1.802,0.022,0.016,646.0,677.0,1.01
"eps_tform[0, 43]",-0.057,0.926,-1.828,1.612,0.025,0.031,1453.0,715.0,1.0
"eps_tform[0, 44]",-0.045,0.961,-1.747,1.823,0.027,0.03,1282.0,714.0,1.0
"eps_tform[0, 45]",0.155,0.87,-1.388,1.92,0.025,0.03,1178.0,672.0,1.0
"eps_tform[0, 46]",1.441,0.64,0.195,2.57,0.023,0.016,771.0,609.0,1.01
"eps_tform[0, 47]",-0.19,0.992,-2.137,1.623,0.029,0.035,1179.0,581.0,1.0
"eps_tform[0, 48]",-0.578,0.795,-2.104,0.886,0.022,0.022,1253.0,567.0,1.01
"eps_tform[0, 49]",-0.673,0.79,-2.115,0.815,0.022,0.018,1214.0,913.0,1.01
"eps_tform[0, 50]",0.244,0.893,-1.476,1.784,0.026,0.023,1139.0,777.0,1.0
"eps_tform[0, 51]",-0.295,0.729,-1.652,0.994,0.025,0.02,855.0,842.0,1.0
"eps_tform[0, 52]",0.01,0.968,-1.74,1.858,0.024,0.033,1673.0,717.0,1.0
"eps_tform[0, 53]",-0.013,0.959,-1.687,1.798,0.021,0.035,2061.0,840.0,1.0
theta[0],0.082,0.159,-0.204,0.387,0.011,0.008,207.0,322.0,1.03
tmax[0],0.513,0.155,0.27,0.845,0.007,0.005,467.0,394.0,1.01
peak_MJD[0],53667.681,0.162,53667.427,53668.029,0.008,0.005,467.0,394.0,1.01
mu[0],36.405,0.104,36.207,36.585,0.004,0.003,739.0,780.0,1.0
delM[0],0.001,0.099,-0.169,0.198,0.003,0.002,1044.0,968.0,1.0
