,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.099,0.066,0.001,0.212,0.011,0.008,36.0,320.0,1.08
Ds[0],35.113,0.052,35.009,35.201,0.003,0.002,286.0,463.0,1.02
RV[0],4.103,1.234,1.903,5.998,0.034,0.024,1308.0,602.0,1.01
"eps[0, 0]",-0.227,0.141,-0.441,0.05,0.046,0.033,12.0,82.0,1.25
"eps[1, 0]",-0.251,0.202,-0.616,0.126,0.049,0.035,19.0,100.0,1.15
"eps[2, 0]",-0.013,0.153,-0.276,0.286,0.012,0.009,169.0,221.0,1.03
"eps[3, 0]",0.18,0.208,-0.129,0.603,0.058,0.042,14.0,79.0,1.22
"eps[4, 0]",0.1,0.158,-0.237,0.335,0.039,0.028,20.0,88.0,1.14
"eps[5, 0]",0.442,0.719,-0.865,1.74,0.141,0.101,26.0,202.0,1.11
"eps[6, 0]",0.05,0.413,-0.757,0.795,0.015,0.012,794.0,700.0,1.0
"eps[7, 0]",0.038,0.147,-0.229,0.307,0.004,0.005,1211.0,585.0,1.0
"eps[8, 0]",-0.007,0.19,-0.335,0.385,0.005,0.005,1229.0,751.0,1.0
"eps[9, 0]",0.005,0.044,-0.072,0.089,0.013,0.009,13.0,57.0,1.22
"eps[10, 0]",0.018,0.056,-0.088,0.117,0.014,0.01,17.0,97.0,1.17
"eps[11, 0]",0.074,0.046,0.005,0.171,0.013,0.01,14.0,108.0,1.22
"eps[12, 0]",0.029,0.071,-0.077,0.165,0.023,0.016,13.0,87.0,1.24
"eps[13, 0]",0.02,0.025,-0.019,0.075,0.001,0.001,546.0,629.0,1.01
"eps[14, 0]",0.155,0.148,-0.116,0.414,0.02,0.014,51.0,248.0,1.07
"eps[15, 0]",-0.075,0.119,-0.293,0.152,0.019,0.014,39.0,667.0,1.08
"eps[16, 0]",-0.037,0.077,-0.168,0.114,0.002,0.002,1307.0,687.0,1.01
"eps[17, 0]",0.036,0.075,-0.096,0.175,0.002,0.002,1011.0,632.0,1.0
"eps[18, 0]",-0.166,0.071,-0.293,-0.049,0.021,0.016,14.0,140.0,1.22
"eps[19, 0]",0.002,0.04,-0.075,0.074,0.008,0.005,29.0,313.0,1.1
"eps[20, 0]",0.018,0.042,-0.061,0.096,0.009,0.006,23.0,199.0,1.12
"eps[21, 0]",0.017,0.057,-0.098,0.098,0.018,0.013,14.0,188.0,1.22
"eps[22, 0]",-0.017,0.073,-0.168,0.076,0.024,0.018,12.0,229.0,1.27
"eps[23, 0]",-0.137,0.218,-0.556,0.237,0.042,0.03,28.0,167.0,1.11
"eps[24, 0]",0.107,0.129,-0.156,0.326,0.013,0.009,107.0,452.0,1.04
"eps[25, 0]",-0.067,0.18,-0.418,0.214,0.055,0.04,13.0,70.0,1.23
"eps[26, 0]",0.098,0.101,-0.082,0.302,0.015,0.011,44.0,306.0,1.07
"eps[27, 0]",-0.111,0.12,-0.323,0.07,0.039,0.029,13.0,203.0,1.24
