,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.353,0.057,0.246,0.464,0.002,0.002,632.0,673.0,1.0
Ds[0],32.888,0.055,32.793,32.992,0.013,0.009,19.0,246.0,1.15
RV[0],3.707,1.118,1.843,5.722,0.089,0.063,139.0,429.0,1.03
"eps[0, 0]",0.421,0.07,0.301,0.561,0.021,0.016,13.0,37.0,1.25
"eps[1, 0]",0.208,0.129,-0.033,0.453,0.004,0.004,932.0,768.0,1.0
"eps[2, 0]",0.095,0.153,-0.175,0.385,0.031,0.022,24.0,269.0,1.12
"eps[3, 0]",0.324,0.104,0.157,0.53,0.011,0.008,86.0,743.0,1.05
"eps[4, 0]",0.14,0.073,0.022,0.291,0.023,0.018,11.0,44.0,1.3
"eps[5, 0]",0.191,0.587,-0.872,1.285,0.155,0.112,15.0,90.0,1.2
"eps[6, 0]",-0.187,0.433,-1.022,0.596,0.089,0.064,25.0,90.0,1.12
"eps[7, 0]",-0.087,0.146,-0.34,0.203,0.023,0.016,42.0,795.0,1.07
"eps[8, 0]",0.042,0.202,-0.284,0.47,0.022,0.016,92.0,111.0,1.04
"eps[9, 0]",-0.084,0.039,-0.156,-0.014,0.002,0.001,624.0,749.0,1.0
"eps[10, 0]",0.029,0.052,-0.064,0.131,0.007,0.005,55.0,375.0,1.06
"eps[11, 0]",-0.11,0.035,-0.169,-0.042,0.01,0.007,12.0,58.0,1.25
"eps[12, 0]",-0.059,0.034,-0.125,0.004,0.008,0.006,19.0,65.0,1.15
"eps[13, 0]",-0.195,0.026,-0.244,-0.149,0.003,0.002,86.0,553.0,1.05
"eps[14, 0]",-0.031,0.297,-0.628,0.281,0.14,0.107,7.0,45.0,1.53
"eps[15, 0]",-0.207,0.11,-0.383,0.03,0.033,0.024,12.0,32.0,1.25
"eps[16, 0]",0.021,0.077,-0.127,0.161,0.002,0.002,1398.0,783.0,1.0
"eps[17, 0]",-0.041,0.074,-0.179,0.101,0.01,0.007,58.0,774.0,1.05
"eps[18, 0]",-0.025,0.035,-0.089,0.04,0.001,0.001,847.0,847.0,1.0
"eps[19, 0]",-0.077,0.033,-0.137,-0.014,0.001,0.001,559.0,752.0,1.01
"eps[20, 0]",-0.075,0.023,-0.122,-0.038,0.001,0.001,587.0,751.0,1.01
"eps[21, 0]",-0.016,0.027,-0.063,0.037,0.002,0.001,191.0,616.0,1.03
"eps[22, 0]",0.066,0.023,0.024,0.106,0.001,0.001,246.0,746.0,1.03
"eps[23, 0]",-0.133,0.29,-0.459,0.434,0.136,0.103,7.0,39.0,1.53
"eps[24, 0]",0.021,0.074,-0.134,0.137,0.029,0.022,8.0,37.0,1.47
"eps[25, 0]",0.113,0.047,0.028,0.204,0.007,0.005,49.0,218.0,1.07
"eps[26, 0]",0.001,0.085,-0.17,0.146,0.03,0.022,9.0,41.0,1.35
"eps[27, 0]",0.018,0.034,-0.05,0.078,0.001,0.001,736.0,779.0,1.0
"eps[28, 0]",0.065,0.046,-0.016,0.158,0.01,0.007,22.0,246.0,1.13
"eps[29, 0]",0.042,0.021,0.003,0.082,0.001,0.001,578.0,540.0,1.01
"eps[30, 0]",0.005,0.025,-0.039,0.051,0.001,0.001,559.0,802.0,1.0
"eps[31, 0]",0.019,0.044,-0.059,0.104,0.009,0.007,22.0,171.0,1.13
"eps[32, 0]",0.112,0.133,-0.136,0.357,0.029,0.021,22.0,101.0,1.12
"eps[33, 0]",-0.186,0.04,-0.254,-0.106,0.008,0.006,27.0,128.0,1.11
"eps[34, 0]",0.096,0.073,-0.052,0.223,0.02,0.014,14.0,47.0,1.21
"eps[35, 0]",-0.01,0.04,-0.09,0.057,0.003,0.002,179.0,684.0,1.03
"eps[36, 0]",-0.025,0.038,-0.092,0.05,0.009,0.006,19.0,63.0,1.16
"eps[37, 0]",0.061,0.031,-0.003,0.114,0.001,0.001,861.0,869.0,1.0
"eps[38, 0]",0.067,0.044,-0.006,0.157,0.015,0.011,10.0,50.0,1.33
"eps[39, 0]",0.146,0.044,0.069,0.229,0.004,0.003,136.0,520.0,1.03
"eps[40, 0]",0.134,0.036,0.075,0.206,0.002,0.001,375.0,656.0,1.02
"eps[41, 0]",0.343,0.715,-1.019,0.997,0.347,0.265,7.0,33.0,1.53
"eps[42, 0]",0.204,0.096,0.085,0.396,0.044,0.033,7.0,35.0,1.53
"eps[43, 0]",0.302,0.09,0.12,0.416,0.04,0.03,7.0,33.0,1.53
