,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],2.244,0.109,2.073,2.402,0.046,0.034,6.0,17.0,1.82
Ds[0],30.964,0.089,30.797,31.094,0.035,0.026,7.0,21.0,1.55
RV[0],1.81,0.138,1.629,2.074,0.057,0.043,7.0,18.0,1.58
"eps[0, 0]",0.184,0.056,0.1,0.309,0.012,0.009,18.0,175.0,1.16
"eps[1, 0]",0.284,0.229,-0.058,0.58,0.11,0.084,5.0,12.0,2.28
"eps[2, 0]",0.165,0.103,0.03,0.341,0.046,0.037,6.0,18.0,1.72
"eps[3, 0]",0.004,0.192,-0.236,0.279,0.092,0.07,5.0,12.0,2.18
"eps[4, 0]",0.324,0.096,0.199,0.486,0.042,0.032,7.0,151.0,1.61
"eps[5, 0]",0.496,0.564,-0.165,1.376,0.185,0.136,8.0,40.0,1.49
"eps[6, 0]",0.061,0.135,-0.134,0.254,0.054,0.04,5.0,17.0,2.15
"eps[7, 0]",0.208,0.051,0.103,0.297,0.019,0.014,7.0,12.0,1.57
"eps[8, 0]",0.025,0.045,-0.078,0.113,0.004,0.005,115.0,165.0,1.27
"eps[9, 0]",0.114,0.062,0.007,0.196,0.026,0.021,6.0,50.0,1.82
"eps[10, 0]",0.107,0.053,0.017,0.202,0.023,0.018,6.0,11.0,1.94
"eps[11, 0]",-0.018,0.032,-0.086,0.021,0.014,0.011,7.0,14.0,1.6
"eps[12, 0]",-0.105,0.026,-0.153,-0.065,0.01,0.007,8.0,32.0,1.5
"eps[13, 0]",0.125,0.031,0.068,0.17,0.012,0.009,7.0,13.0,1.59
"eps[14, 0]",-0.047,0.158,-0.288,0.148,0.074,0.056,5.0,12.0,2.3
"eps[15, 0]",0.042,0.022,0.004,0.093,0.003,0.002,40.0,108.0,1.19
"eps[16, 0]",0.121,0.032,0.068,0.177,0.013,0.01,7.0,20.0,1.67
"eps[17, 0]",0.053,0.062,-0.055,0.158,0.026,0.02,6.0,26.0,1.87
"eps[18, 0]",0.19,0.046,0.124,0.275,0.017,0.013,8.0,43.0,1.42
"eps[19, 0]",0.085,0.037,0.024,0.148,0.015,0.011,7.0,24.0,1.65
"eps[20, 0]",-0.121,0.02,-0.155,-0.086,0.006,0.004,12.0,248.0,1.28
"eps[21, 0]",-0.127,0.02,-0.172,-0.099,0.004,0.003,19.0,317.0,1.15
"eps[22, 0]",0.067,0.027,0.025,0.117,0.01,0.007,7.0,24.0,1.6
"eps[23, 0]",-0.087,0.173,-0.358,0.154,0.077,0.058,6.0,25.0,1.92
"eps[24, 0]",-0.038,0.029,-0.093,0.014,0.007,0.005,17.0,277.0,1.17
"eps[25, 0]",0.209,0.089,0.038,0.301,0.042,0.032,6.0,11.0,1.72
"eps[26, 0]",0.01,0.068,-0.111,0.107,0.028,0.021,6.0,29.0,1.93
"eps[27, 0]",0.026,0.064,-0.086,0.109,0.028,0.021,6.0,45.0,1.95
"eps[28, 0]",0.362,0.179,0.042,0.565,0.087,0.066,5.0,12.0,2.25
"eps[29, 0]",-0.154,0.022,-0.195,-0.121,0.007,0.005,10.0,95.0,1.32
"eps[30, 0]",-0.2,0.032,-0.255,-0.147,0.014,0.011,5.0,20.0,2.03
"eps[31, 0]",-0.115,0.084,-0.219,0.026,0.04,0.03,6.0,16.0,1.89
"eps[32, 0]",0.262,0.359,-0.204,0.741,0.171,0.13,5.0,25.0,2.15
"eps[33, 0]",-0.264,0.04,-0.328,-0.194,0.015,0.011,8.0,30.0,1.51
"eps[34, 0]",0.061,0.067,-0.057,0.158,0.027,0.022,6.0,15.0,1.89
"eps[35, 0]",-0.022,0.04,-0.104,0.031,0.012,0.009,9.0,127.0,1.47
"eps[36, 0]",0.045,0.048,-0.049,0.106,0.018,0.013,8.0,95.0,1.62
"eps[37, 0]",0.23,0.102,0.038,0.348,0.049,0.037,5.0,11.0,2.08
"eps[38, 0]",-0.031,0.1,-0.177,0.101,0.048,0.037,5.0,30.0,2.13
"eps[39, 0]",-0.246,0.039,-0.301,-0.168,0.014,0.011,7.0,53.0,1.56
"eps[40, 0]",-0.012,0.12,-0.181,0.144,0.058,0.044,5.0,25.0,2.16
"eps[41, 0]",-0.72,0.741,-1.572,0.297,0.364,0.278,5.0,11.0,2.3
"eps[42, 0]",-0.112,0.131,-0.267,0.068,0.063,0.049,5.0,21.0,2.06
"eps[43, 0]",-0.107,0.034,-0.171,-0.057,0.013,0.01,8.0,19.0,1.47
"eps[44, 0]",0.023,0.095,-0.125,0.157,0.043,0.033,6.0,26.0,1.94
"eps[45, 0]",0.073,0.054,-0.013,0.168,0.02,0.015,8.0,92.0,1.5
"eps[46, 0]",0.09,0.084,-0.062,0.211,0.035,0.027,6.0,16.0,1.77
"eps[47, 0]",-0.036,0.022,-0.077,0.005,0.007,0.005,11.0,57.0,1.38
"eps[48, 0]",-0.098,0.075,-0.215,0.006,0.036,0.028,5.0,12.0,2.23
"eps[49, 0]",0.04,0.084,-0.085,0.163,0.04,0.03,5.0,13.0,2.21
"eps[50, 0]",1.542,1.672,-0.686,3.454,0.822,0.628,5.0,11.0,2.29
"eps[51, 0]",-0.13,0.269,-0.56,0.252,0.126,0.096,5.0,11.0,2.26
"eps[52, 0]",0.105,0.217,-0.161,0.384,0.106,0.081,6.0,40.0,2.02
"eps[53, 0]",0.008,0.086,-0.135,0.133,0.039,0.029,5.0,13.0,2.2
"eps_tform[0, 0]",1.335,0.406,0.729,2.248,0.091,0.065,18.0,175.0,1.16
"eps_tform[0, 1]",1.183,0.877,-0.149,2.312,0.422,0.322,5.0,12.0,2.28
"eps_tform[0, 2]",0.908,0.296,0.395,1.364,0.124,0.093,6.0,14.0,1.85
"eps_tform[0, 3]",-0.637,0.371,-1.144,-0.062,0.168,0.13,6.0,33.0,1.85
"eps_tform[0, 4]",0.958,0.29,0.526,1.441,0.125,0.093,6.0,73.0,1.71
"eps_tform[0, 5]",0.881,0.876,-0.218,2.2,0.304,0.223,8.0,30.0,1.49
"eps_tform[0, 6]",0.351,0.375,-0.12,0.868,0.179,0.136,6.0,76.0,1.86
"eps_tform[0, 7]",0.964,0.252,0.406,1.394,0.084,0.061,10.0,16.0,1.31
"eps_tform[0, 8]",0.052,0.215,-0.294,0.46,0.056,0.041,15.0,278.0,1.21
"eps_tform[0, 9]",1.49,0.647,0.323,2.408,0.251,0.2,7.0,32.0,1.65
"eps_tform[0, 10]",0.849,0.518,0.013,1.813,0.227,0.181,6.0,11.0,1.97
"eps_tform[0, 11]",-0.397,0.629,-1.697,0.441,0.276,0.222,7.0,15.0,2.18
"eps_tform[0, 12]",-2.876,0.381,-3.63,-2.33,0.122,0.092,11.0,46.0,1.27
"eps_tform[0, 13]",2.573,0.325,1.983,3.094,0.117,0.086,8.0,24.0,1.44
"eps_tform[0, 14]",-0.79,1.24,-2.74,0.702,0.57,0.431,5.0,11.0,2.29
"eps_tform[0, 15]",-0.405,0.194,-0.738,0.094,0.015,0.011,123.0,123.0,1.19
"eps_tform[0, 16]",1.195,0.386,0.654,1.822,0.15,0.113,8.0,75.0,1.5
"eps_tform[0, 17]",0.248,0.74,-0.985,1.499,0.326,0.245,5.0,28.0,2.04
"eps_tform[0, 18]",1.289,0.74,0.112,2.718,0.297,0.242,7.0,20.0,1.65
"eps_tform[0, 19]",0.691,0.428,0.154,1.518,0.176,0.131,7.0,48.0,1.59
"eps_tform[0, 20]",-0.9,0.341,-1.571,-0.42,0.103,0.075,12.0,233.0,1.26
"eps_tform[0, 21]",-0.673,0.392,-1.345,-0.12,0.153,0.113,7.0,26.0,1.62
"eps_tform[0, 22]",1.35,0.291,0.775,1.898,0.108,0.08,7.0,13.0,1.55
"eps_tform[0, 23]",-1.502,1.606,-3.738,0.612,0.758,0.575,5.0,12.0,2.22
"eps_tform[0, 24]",-0.576,0.283,-1.045,-0.112,0.117,0.087,6.0,13.0,1.9
"eps_tform[0, 25]",1.434,0.535,0.382,2.025,0.253,0.192,7.0,11.0,1.68
