,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.047,0.03,0.001,0.099,0.002,0.001,356.0,389.0,1.02
Ds[0],34.296,0.029,34.235,34.342,0.002,0.001,212.0,253.0,1.01
RV[0],3.931,1.321,1.733,5.999,0.051,0.037,720.0,587.0,1.01
"eps[0, 0]",-0.043,0.035,-0.104,0.023,0.002,0.002,293.0,588.0,1.01
"eps[1, 0]",-0.155,0.041,-0.221,-0.073,0.002,0.001,416.0,749.0,1.01
"eps[2, 0]",0.243,0.042,0.166,0.319,0.002,0.001,553.0,672.0,1.0
"eps[3, 0]",-0.01,0.031,-0.066,0.049,0.001,0.001,458.0,470.0,1.0
"eps[4, 0]",-0.024,0.038,-0.096,0.043,0.002,0.002,317.0,342.0,1.02
"eps[5, 0]",0.183,0.405,-0.597,0.942,0.024,0.025,301.0,93.0,1.01
"eps[6, 0]",-0.021,0.107,-0.232,0.168,0.006,0.005,310.0,69.0,1.0
"eps[7, 0]",-0.006,0.051,-0.099,0.091,0.003,0.002,314.0,212.0,1.03
"eps[8, 0]",-0.055,0.087,-0.237,0.096,0.004,0.003,538.0,537.0,1.0
"eps[9, 0]",0.004,0.023,-0.039,0.045,0.002,0.001,195.0,265.0,1.02
"eps[10, 0]",-0.028,0.033,-0.092,0.033,0.002,0.001,371.0,585.0,1.01
"eps[11, 0]",0.056,0.025,0.014,0.105,0.001,0.001,361.0,691.0,1.01
"eps[12, 0]",0.014,0.022,-0.03,0.057,0.001,0.001,242.0,409.0,1.01
"eps[13, 0]",-0.015,0.019,-0.049,0.021,0.001,0.001,237.0,257.0,1.01
"eps[14, 0]",0.169,0.087,-0.0,0.323,0.004,0.003,481.0,560.0,1.01
"eps[15, 0]",-0.101,0.037,-0.168,-0.028,0.002,0.002,270.0,283.0,1.01
"eps[16, 0]",-0.022,0.025,-0.068,0.025,0.002,0.001,209.0,333.0,1.02
"eps[17, 0]",-0.056,0.028,-0.103,0.004,0.002,0.001,252.0,447.0,1.01
"eps[18, 0]",-0.081,0.026,-0.131,-0.035,0.002,0.001,304.0,561.0,1.03
"eps[19, 0]",-0.041,0.026,-0.089,0.008,0.001,0.001,370.0,515.0,1.01
