,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.281,0.073,0.148,0.424,0.005,0.003,254.0,261.0,1.01
Ds[0],33.351,0.053,33.254,33.446,0.003,0.002,319.0,394.0,1.01
RV[0],4.115,1.192,2.099,5.994,0.06,0.042,390.0,433.0,1.0
"eps[0, 0]",0.255,0.045,0.174,0.344,0.002,0.001,486.0,604.0,1.0
"eps[1, 0]",-0.335,0.081,-0.5,-0.194,0.002,0.002,1226.0,840.0,1.0
"eps[2, 0]",0.375,0.062,0.267,0.505,0.002,0.001,887.0,710.0,1.0
"eps[3, 0]",0.094,0.071,-0.022,0.242,0.003,0.002,550.0,708.0,1.01
"eps[4, 0]",0.223,0.058,0.119,0.331,0.002,0.002,665.0,735.0,1.0
"eps[5, 0]",1.263,0.765,-0.193,2.647,0.049,0.035,316.0,151.0,1.01
"eps[6, 0]",-0.417,0.193,-0.768,-0.063,0.014,0.01,273.0,127.0,1.02
"eps[7, 0]",-0.017,0.105,-0.221,0.175,0.004,0.003,691.0,719.0,1.0
"eps[8, 0]",-0.193,0.14,-0.448,0.072,0.006,0.004,562.0,474.0,1.01
"eps[9, 0]",-0.151,0.033,-0.215,-0.089,0.002,0.001,244.0,397.0,1.01
"eps[10, 0]",-0.109,0.045,-0.192,-0.024,0.003,0.002,262.0,273.0,1.01
"eps[11, 0]",-0.039,0.023,-0.082,0.003,0.001,0.001,312.0,535.0,1.01
"eps[12, 0]",-0.101,0.025,-0.147,-0.054,0.002,0.001,194.0,334.0,1.02
"eps[13, 0]",-0.093,0.019,-0.127,-0.057,0.001,0.001,208.0,277.0,1.02
"eps[14, 0]",-0.135,0.103,-0.334,0.05,0.004,0.003,646.0,602.0,1.0
"eps[15, 0]",-0.185,0.039,-0.256,-0.109,0.002,0.001,422.0,500.0,1.0
"eps[16, 0]",0.036,0.041,-0.044,0.104,0.002,0.001,408.0,724.0,1.0
"eps[17, 0]",-0.099,0.047,-0.186,-0.011,0.002,0.002,484.0,695.0,1.0
"eps[18, 0]",-0.002,0.032,-0.067,0.052,0.001,0.001,463.0,605.0,1.0
"eps[19, 0]",-0.022,0.032,-0.091,0.031,0.002,0.001,291.0,617.0,1.01
"eps[20, 0]",0.002,0.022,-0.039,0.043,0.001,0.001,291.0,494.0,1.01
"eps[21, 0]",0.048,0.021,0.011,0.091,0.001,0.001,205.0,349.0,1.03
"eps[22, 0]",0.015,0.019,-0.019,0.051,0.001,0.001,226.0,327.0,1.01
"eps[23, 0]",-0.072,0.148,-0.36,0.19,0.009,0.006,309.0,173.0,1.01
"eps[24, 0]",-0.101,0.038,-0.169,-0.028,0.002,0.002,302.0,600.0,1.01
"eps[25, 0]",0.262,0.034,0.196,0.321,0.002,0.001,353.0,462.0,1.0
"eps[26, 0]",-0.001,0.042,-0.071,0.084,0.002,0.002,342.0,551.0,1.01
"eps[27, 0]",0.139,0.039,0.067,0.207,0.002,0.001,558.0,603.0,1.0
"eps[28, 0]",0.233,0.035,0.165,0.294,0.001,0.001,648.0,860.0,1.0
"eps[29, 0]",0.074,0.022,0.031,0.113,0.001,0.001,341.0,655.0,1.01
"eps[30, 0]",0.016,0.019,-0.021,0.047,0.001,0.001,167.0,404.0,1.03
"eps[31, 0]",-0.207,0.036,-0.276,-0.145,0.002,0.002,260.0,342.0,1.02
"eps[32, 0]",0.023,0.176,-0.31,0.348,0.01,0.007,318.0,181.0,1.01
"eps[33, 0]",-0.453,0.043,-0.529,-0.368,0.002,0.002,341.0,210.0,1.01
"eps[34, 0]",-0.196,0.054,-0.287,-0.089,0.003,0.002,387.0,542.0,1.01
"eps[35, 0]",-0.048,0.039,-0.117,0.026,0.002,0.002,323.0,425.0,1.01
"eps[36, 0]",0.118,0.033,0.053,0.176,0.002,0.001,472.0,570.0,1.01
"eps[37, 0]",0.234,0.032,0.175,0.296,0.001,0.001,586.0,811.0,1.01
