,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],2.153,0.135,1.912,2.402,0.006,0.004,517.0,770.0,1.01
Ds[0],34.972,0.098,34.783,35.139,0.004,0.003,596.0,634.0,1.0
RV[0],2.376,0.191,2.026,2.723,0.008,0.005,608.0,696.0,1.01
"eps[0, 0]",0.083,0.131,-0.162,0.328,0.003,0.003,2034.0,906.0,1.0
"eps[1, 0]",0.043,0.259,-0.429,0.531,0.006,0.009,1833.0,548.0,1.01
"eps[2, 0]",0.068,0.195,-0.293,0.452,0.004,0.006,2031.0,781.0,1.0
"eps[3, 0]",0.461,0.259,-0.072,0.903,0.008,0.006,1115.0,804.0,1.01
"eps[4, 0]",0.397,0.236,-0.077,0.809,0.006,0.005,1587.0,790.0,1.0
"eps[5, 0]",0.422,0.625,-0.743,1.54,0.015,0.016,1695.0,694.0,1.0
"eps[6, 0]",0.172,0.46,-0.679,1.035,0.011,0.016,1699.0,762.0,1.0
"eps[7, 0]",0.101,0.154,-0.2,0.362,0.004,0.004,1826.0,665.0,1.0
"eps[8, 0]",-0.082,0.209,-0.458,0.33,0.005,0.006,1837.0,788.0,1.0
"eps[9, 0]",0.006,0.067,-0.12,0.126,0.002,0.002,1270.0,852.0,1.0
"eps[10, 0]",-0.036,0.08,-0.184,0.115,0.002,0.002,1978.0,841.0,1.0
"eps[11, 0]",-0.041,0.053,-0.148,0.053,0.001,0.001,1369.0,783.0,1.0
"eps[12, 0]",-0.096,0.043,-0.17,-0.008,0.001,0.001,832.0,661.0,1.0
"eps[13, 0]",-0.092,0.056,-0.194,0.014,0.002,0.001,1352.0,634.0,1.01
"eps[14, 0]",-0.056,0.121,-0.302,0.155,0.003,0.004,1830.0,709.0,1.0
"eps[15, 0]",-0.095,0.1,-0.278,0.099,0.002,0.002,1809.0,745.0,1.0
"eps[16, 0]",-0.034,0.07,-0.164,0.094,0.002,0.002,1508.0,823.0,1.01
"eps[17, 0]",0.039,0.075,-0.088,0.184,0.002,0.002,1804.0,697.0,1.0
"eps[18, 0]",-0.015,0.066,-0.144,0.105,0.002,0.002,1395.0,759.0,1.0
"eps[19, 0]",0.105,0.066,-0.01,0.241,0.002,0.001,1097.0,662.0,1.01
"eps[20, 0]",-0.073,0.041,-0.155,0.001,0.001,0.001,1284.0,944.0,1.0
"eps[21, 0]",0.171,0.045,0.089,0.253,0.002,0.001,655.0,923.0,1.0
"eps[22, 0]",0.224,0.043,0.147,0.3,0.001,0.001,1139.0,708.0,1.0
"eps[23, 0]",0.091,0.153,-0.214,0.371,0.004,0.004,1577.0,833.0,1.01
"eps[24, 0]",-0.045,0.092,-0.211,0.128,0.003,0.002,1232.0,889.0,1.0
"eps[25, 0]",0.046,0.098,-0.138,0.232,0.003,0.003,1024.0,798.0,1.0
"eps[26, 0]",0.088,0.116,-0.114,0.302,0.004,0.003,809.0,969.0,1.01
"eps[27, 0]",-0.046,0.091,-0.208,0.136,0.002,0.002,1640.0,933.0,1.0
"eps[28, 0]",-0.055,0.096,-0.246,0.123,0.003,0.002,1188.0,945.0,1.0
