,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],1.237,0.088,1.083,1.411,0.004,0.003,458.0,687.0,1.01
Ds[0],35.253,0.074,35.12,35.395,0.004,0.003,423.0,612.0,1.0
RV[0],3.549,0.515,2.585,4.45,0.027,0.02,379.0,457.0,1.0
"eps[0, 0]",0.227,0.104,0.009,0.406,0.003,0.002,1027.0,873.0,1.0
"eps[1, 0]",0.432,0.189,0.082,0.783,0.005,0.004,1236.0,805.0,1.0
"eps[2, 0]",0.245,0.159,-0.013,0.563,0.004,0.003,1298.0,831.0,1.0
"eps[3, 0]",0.495,0.15,0.208,0.769,0.004,0.003,1346.0,840.0,1.0
"eps[4, 0]",0.372,0.159,0.108,0.696,0.005,0.003,1160.0,714.0,1.0
"eps[5, 0]",0.333,0.54,-0.646,1.323,0.014,0.014,1544.0,694.0,1.0
"eps[6, 0]",0.121,0.396,-0.597,0.866,0.01,0.011,1484.0,876.0,1.0
"eps[7, 0]",0.114,0.149,-0.171,0.406,0.003,0.004,1848.0,676.0,1.01
"eps[8, 0]",0.117,0.2,-0.269,0.456,0.004,0.006,2705.0,834.0,1.01
"eps[9, 0]",-0.127,0.05,-0.218,-0.032,0.002,0.001,585.0,615.0,1.0
"eps[10, 0]",0.004,0.053,-0.09,0.107,0.002,0.001,746.0,829.0,1.0
"eps[11, 0]",-0.08,0.032,-0.138,-0.02,0.001,0.001,1120.0,921.0,1.0
"eps[12, 0]",0.015,0.036,-0.052,0.081,0.001,0.001,605.0,787.0,1.0
"eps[13, 0]",-0.125,0.029,-0.177,-0.068,0.001,0.001,868.0,644.0,1.0
"eps[14, 0]",-0.103,0.106,-0.307,0.095,0.003,0.003,1203.0,697.0,1.0
"eps[15, 0]",-0.294,0.073,-0.439,-0.156,0.002,0.002,1101.0,839.0,1.0
"eps[16, 0]",-0.051,0.065,-0.158,0.089,0.002,0.002,1192.0,865.0,1.0
"eps[17, 0]",-0.054,0.068,-0.18,0.079,0.002,0.002,1584.0,783.0,1.0
"eps[18, 0]",0.076,0.053,-0.017,0.172,0.002,0.001,1066.0,820.0,1.0
"eps[19, 0]",0.114,0.058,0.005,0.224,0.002,0.001,932.0,669.0,1.0
"eps[20, 0]",-0.099,0.042,-0.181,-0.022,0.001,0.001,1260.0,884.0,1.0
"eps[21, 0]",-0.006,0.041,-0.082,0.063,0.002,0.001,635.0,786.0,1.0
"eps[22, 0]",-0.159,0.036,-0.222,-0.086,0.001,0.001,1014.0,841.0,1.0
"eps[23, 0]",-0.07,0.135,-0.337,0.167,0.004,0.004,1451.0,880.0,1.01
"eps[24, 0]",-0.291,0.075,-0.417,-0.138,0.003,0.002,733.0,796.0,1.0
"eps[25, 0]",0.069,0.092,-0.111,0.226,0.003,0.002,1020.0,975.0,1.0
"eps[26, 0]",0.173,0.088,0.005,0.333,0.003,0.002,691.0,627.0,1.0
"eps[27, 0]",0.375,0.081,0.229,0.52,0.002,0.002,1362.0,750.0,1.01
"eps[28, 0]",0.103,0.101,-0.101,0.272,0.003,0.002,1367.0,842.0,1.0
"eps[29, 0]",0.262,0.068,0.133,0.38,0.002,0.001,1433.0,841.0,1.0
"eps[30, 0]",-0.125,0.049,-0.211,-0.036,0.001,0.001,1172.0,759.0,1.0
"eps[31, 0]",-0.192,0.067,-0.306,-0.054,0.002,0.001,1051.0,708.0,1.0
"eps[32, 0]",0.051,0.212,-0.354,0.418,0.006,0.006,1308.0,778.0,1.01
"eps[33, 0]",-0.699,0.085,-0.855,-0.545,0.003,0.002,956.0,642.0,1.01
"eps[34, 0]",-0.284,0.134,-0.527,-0.012,0.004,0.003,1049.0,845.0,1.0
"eps[35, 0]",0.077,0.077,-0.078,0.205,0.002,0.002,1648.0,820.0,1.0
"eps[36, 0]",-0.017,0.065,-0.129,0.117,0.002,0.002,941.0,753.0,1.01
"eps[37, 0]",0.472,0.134,0.22,0.717,0.003,0.002,1882.0,955.0,1.01
"eps[38, 0]",0.136,0.052,0.044,0.232,0.002,0.001,956.0,813.0,1.0
"eps[39, 0]",0.405,0.073,0.267,0.538,0.003,0.002,718.0,666.0,1.0
"eps[40, 0]",0.3,0.053,0.204,0.395,0.002,0.001,781.0,804.0,1.0
"eps[41, 0]",-0.142,0.26,-0.611,0.318,0.006,0.007,1727.0,885.0,1.0
"eps[42, 0]",0.614,0.108,0.391,0.801,0.003,0.002,1681.0,898.0,1.0
"eps[43, 0]",0.36,0.096,0.198,0.547,0.003,0.002,1214.0,818.0,1.0
"eps[44, 0]",0.395,0.102,0.21,0.59,0.003,0.002,1313.0,758.0,1.01
"eps[45, 0]",0.022,0.071,-0.12,0.145,0.001,0.002,2545.0,934.0,1.01
"eps[46, 0]",0.158,0.143,-0.096,0.443,0.004,0.003,1332.0,779.0,1.0
"eps[47, 0]",0.102,0.041,0.023,0.174,0.001,0.001,1580.0,816.0,1.0
"eps[48, 0]",0.194,0.058,0.086,0.304,0.002,0.001,1155.0,865.0,1.0
"eps[49, 0]",0.193,0.06,0.086,0.306,0.002,0.001,969.0,738.0,1.0
"eps[50, 0]",0.464,0.583,-0.601,1.592,0.013,0.013,1909.0,873.0,1.0
"eps[51, 0]",-0.482,0.228,-0.87,-0.029,0.008,0.006,866.0,689.0,1.0
"eps[52, 0]",0.431,0.169,0.12,0.744,0.004,0.003,1421.0,838.0,1.0
"eps[53, 0]",0.152,0.086,-0.009,0.304,0.002,0.002,1662.0,936.0,1.0
"eps_tform[0, 0]",1.653,0.759,0.065,2.954,0.024,0.017,1027.0,873.0,1.0
"eps_tform[0, 1]",1.769,0.704,0.49,3.123,0.02,0.014,1219.0,829.0,1.01
"eps_tform[0, 2]",1.438,0.66,0.265,2.719,0.017,0.013,1415.0,928.0,1.0
"eps_tform[0, 3]",1.031,0.506,0.054,1.919,0.014,0.01,1382.0,769.0,1.0
"eps_tform[0, 4]",0.442,0.561,-0.67,1.398,0.017,0.013,1092.0,805.0,1.0
"eps_tform[0, 5]",0.217,0.824,-1.335,1.706,0.02,0.023,1740.0,989.0,1.0
"eps_tform[0, 6]",0.503,0.861,-1.136,2.003,0.023,0.021,1443.0,906.0,1.0
"eps_tform[0, 7]",0.231,0.936,-1.378,2.143,0.021,0.033,1928.0,682.0,1.0
"eps_tform[0, 8]",0.38,0.937,-1.43,2.061,0.019,0.03,2445.0,812.0,1.0
"eps_tform[0, 9]",-1.427,0.615,-2.581,-0.326,0.026,0.018,567.0,673.0,1.01
"eps_tform[0, 10]",0.164,0.509,-0.839,1.085,0.018,0.014,838.0,808.0,1.0
"eps_tform[0, 11]",-0.328,0.514,-1.226,0.736,0.017,0.013,871.0,838.0,1.0
"eps_tform[0, 12]",0.947,0.669,-0.313,2.189,0.029,0.021,527.0,692.0,1.0
"eps_tform[0, 13]",-1.178,0.414,-1.893,-0.393,0.014,0.011,837.0,625.0,1.01
"eps_tform[0, 14]",-0.277,0.85,-1.83,1.374,0.024,0.026,1302.0,655.0,1.01
"eps_tform[0, 15]",-1.713,0.623,-3.038,-0.658,0.019,0.014,1072.0,858.0,1.0
"eps_tform[0, 16]",-0.161,0.798,-1.769,1.304,0.022,0.022,1311.0,764.0,1.0
"eps_tform[0, 17]",0.065,0.799,-1.329,1.615,0.017,0.022,2147.0,892.0,1.0
"eps_tform[0, 18]",0.161,0.706,-1.062,1.592,0.02,0.019,1190.0,789.0,1.0
"eps_tform[0, 19]",1.133,0.503,0.211,2.042,0.016,0.012,955.0,880.0,1.0
"eps_tform[0, 20]",-1.469,0.569,-2.57,-0.402,0.017,0.013,1067.0,831.0,1.0
"eps_tform[0, 21]",-0.622,0.6,-1.699,0.539,0.021,0.015,795.0,709.0,1.0
"eps_tform[0, 22]",-0.956,0.44,-1.804,-0.2,0.014,0.01,1004.0,718.0,1.0
"eps_tform[0, 23]",-0.743,0.841,-2.314,0.917,0.022,0.022,1420.0,742.0,1.0
"eps_tform[0, 24]",-0.899,0.457,-1.746,-0.04,0.017,0.012,769.0,808.0,1.0
"eps_tform[0, 25]",0.09,0.624,-1.078,1.254,0.018,0.017,1189.0,987.0,1.0
"eps_tform[0, 26]",1.525,0.671,0.246,2.785,0.02,0.016,1116.0,514.0,1.01
"eps_tform[0, 27]",1.781,0.789,0.369,3.237,0.022,0.016,1292.0,854.0,1.01
"eps_tform[0, 28]",0.47,0.784,-0.888,2.031,0.02,0.019,1621.0,654.0,1.01
"eps_tform[0, 29]",0.895,0.856,-0.73,2.504,0.018,0.019,2280.0,786.0,1.0
"eps_tform[0, 30]",-1.183,0.741,-2.6,0.131,0.02,0.015,1324.0,785.0,1.0
"eps_tform[0, 31]",-0.567,0.712,-1.836,0.774,0.022,0.018,1012.0,841.0,1.01
"eps_tform[0, 32]",-0.241,0.917,-1.981,1.392,0.024,0.027,1454.0,824.0,1.0
"eps_tform[0, 33]",-0.768,0.48,-1.636,0.182,0.018,0.014,735.0,649.0,1.0
"eps_tform[0, 34]",-0.383,0.775,-1.735,1.141,0.017,0.024,2019.0,747.0,1.0
"eps_tform[0, 35]",0.985,0.884,-0.757,2.595,0.018,0.018,2515.0,827.0,1.0
"eps_tform[0, 36]",-1.021,0.881,-2.775,0.481,0.023,0.023,1467.0,771.0,1.0
"eps_tform[0, 37]",-0.391,0.643,-1.563,0.79,0.019,0.014,1178.0,654.0,1.0
"eps_tform[0, 38]",0.25,0.767,-1.436,1.49,0.02,0.02,1542.0,943.0,1.0
"eps_tform[0, 39]",1.985,0.663,0.803,3.26,0.019,0.014,1223.0,674.0,1.01
"eps_tform[0, 40]",1.352,0.571,0.345,2.48,0.014,0.012,1597.0,749.0,1.01
"eps_tform[0, 41]",0.705,0.897,-1.082,2.362,0.023,0.023,1533.0,820.0,1.0
"eps_tform[0, 42]",1.237,0.569,0.211,2.312,0.018,0.013,1007.0,659.0,1.01
"eps_tform[0, 43]",1.264,0.783,-0.189,2.728,0.02,0.018,1461.0,735.0,1.0
"eps_tform[0, 44]",-0.537,0.94,-2.216,1.193,0.021,0.026,2084.0,865.0,1.0
"eps_tform[0, 45]",0.376,0.975,-1.423,2.224,0.019,0.028,2489.0,855.0,1.02
"eps_tform[0, 46]",-0.923,0.731,-2.213,0.524,0.02,0.017,1290.0,666.0,1.0
"eps_tform[0, 47]",0.339,0.917,-1.407,1.929,0.019,0.031,2386.0,708.0,1.0
"eps_tform[0, 48]",0.879,0.732,-0.487,2.238,0.017,0.015,1785.0,523.0,1.01
"eps_tform[0, 49]",1.423,0.732,-0.055,2.642,0.017,0.013,2005.0,987.0,1.01
"eps_tform[0, 50]",-1.265,0.988,-3.293,0.395,0.02,0.022,2414.0,695.0,1.02
"eps_tform[0, 51]",-3.216,0.693,-4.447,-1.857,0.02,0.014,1226.0,745.0,1.01
"eps_tform[0, 52]",-0.016,0.966,-1.834,1.765,0.018,0.036,3000.0,805.0,1.0
"eps_tform[0, 53]",-0.025,0.955,-1.616,1.86,0.017,0.032,3000.0,781.0,1.01
theta[0],1.023,0.293,0.421,1.524,0.012,0.008,632.0,709.0,1.0
tmax[0],-1.252,0.174,-1.549,-0.892,0.006,0.004,941.0,810.0,1.0
peak_MJD[0],53999.72,0.179,53999.415,54000.091,0.006,0.004,941.0,810.0,1.0
mu[0],35.249,0.125,35.019,35.479,0.005,0.004,606.0,935.0,1.0
delM[0],0.004,0.101,-0.19,0.18,0.003,0.002,957.0,944.0,1.0
