,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.01,0.01,0.0,0.029,0.0,0.0,1980.0,671.0,1.0
Ds[0],35.537,0.029,35.482,35.59,0.001,0.001,447.0,534.0,1.0
RV[0],3.901,1.387,1.458,6.0,0.031,0.023,1980.0,697.0,1.03
"eps[0, 0]",-0.133,0.075,-0.274,0.001,0.002,0.002,973.0,713.0,1.0
"eps[1, 0]",-0.0,0.186,-0.356,0.359,0.006,0.005,925.0,884.0,1.0
"eps[2, 0]",0.071,0.154,-0.208,0.362,0.006,0.004,743.0,789.0,1.0
"eps[3, 0]",-0.087,0.186,-0.39,0.283,0.009,0.006,435.0,666.0,1.02
"eps[4, 0]",-0.057,0.192,-0.389,0.307,0.008,0.006,643.0,718.0,1.0
"eps[5, 0]",-1.022,0.497,-1.91,-0.069,0.015,0.011,1119.0,846.0,1.0
"eps[6, 0]",1.108,0.364,0.42,1.738,0.01,0.008,1230.0,822.0,1.0
"eps[7, 0]",0.015,0.141,-0.288,0.251,0.004,0.004,1261.0,639.0,1.0
"eps[8, 0]",0.077,0.196,-0.313,0.423,0.005,0.006,1714.0,840.0,1.01
"eps[9, 0]",0.044,0.02,0.008,0.081,0.001,0.001,571.0,638.0,1.0
"eps[10, 0]",-0.117,0.039,-0.191,-0.047,0.002,0.001,649.0,528.0,1.0
"eps[11, 0]",-0.092,0.031,-0.148,-0.03,0.001,0.001,832.0,773.0,1.0
"eps[12, 0]",-0.066,0.032,-0.124,-0.006,0.001,0.001,574.0,590.0,1.0
"eps[13, 0]",0.113,0.032,0.055,0.175,0.001,0.001,785.0,793.0,1.0
"eps[14, 0]",0.193,0.088,0.032,0.36,0.003,0.002,1015.0,788.0,1.01
"eps[15, 0]",0.35,0.057,0.24,0.455,0.002,0.002,688.0,844.0,1.0
"eps[16, 0]",0.061,0.045,-0.021,0.146,0.002,0.001,731.0,642.0,1.0
"eps[17, 0]",-0.046,0.053,-0.144,0.051,0.002,0.001,1135.0,779.0,1.0
"eps[18, 0]",0.007,0.029,-0.051,0.056,0.001,0.001,593.0,496.0,1.0
"eps[19, 0]",-0.096,0.032,-0.154,-0.036,0.001,0.001,594.0,641.0,1.0
"eps[20, 0]",0.156,0.032,0.098,0.211,0.001,0.001,762.0,575.0,1.0
"eps[21, 0]",-0.095,0.027,-0.147,-0.044,0.001,0.001,513.0,533.0,1.0
"eps[22, 0]",0.231,0.033,0.168,0.292,0.001,0.001,876.0,856.0,1.0
"eps[23, 0]",-0.067,0.126,-0.282,0.175,0.005,0.003,771.0,781.0,1.0
"eps[24, 0]",0.425,0.081,0.278,0.575,0.003,0.002,848.0,893.0,1.0
"eps[25, 0]",-0.149,0.069,-0.273,-0.019,0.003,0.002,728.0,612.0,1.0
"eps[26, 0]",0.185,0.082,0.038,0.333,0.002,0.002,1260.0,757.0,1.0
"eps[27, 0]",-0.199,0.044,-0.272,-0.107,0.002,0.001,563.0,512.0,1.01
"eps[28, 0]",-0.219,0.03,-0.274,-0.163,0.001,0.001,583.0,706.0,1.0
"eps[29, 0]",0.059,0.041,-0.018,0.134,0.002,0.001,492.0,558.0,1.01
"eps[30, 0]",-0.156,0.027,-0.203,-0.104,0.001,0.001,493.0,687.0,1.0
"eps[31, 0]",0.339,0.039,0.267,0.411,0.002,0.001,504.0,662.0,1.0
"eps[32, 0]",0.361,0.213,-0.016,0.757,0.008,0.006,671.0,620.0,1.0
"eps[33, 0]",0.142,0.1,-0.048,0.319,0.004,0.003,797.0,611.0,1.0
"eps[34, 0]",0.3,0.138,0.067,0.569,0.004,0.003,1133.0,791.0,1.0
"eps[35, 0]",0.072,0.065,-0.048,0.192,0.002,0.002,1264.0,761.0,1.0
"eps[36, 0]",-0.351,0.031,-0.418,-0.298,0.001,0.001,568.0,577.0,1.01
"eps[37, 0]",-0.445,0.028,-0.501,-0.397,0.001,0.001,825.0,813.0,1.0
"eps[38, 0]",-0.163,0.03,-0.218,-0.105,0.001,0.001,611.0,607.0,1.0
"eps[39, 0]",-0.313,0.024,-0.355,-0.268,0.001,0.001,800.0,844.0,1.0
"eps[40, 0]",0.049,0.027,-0.001,0.098,0.001,0.001,848.0,968.0,1.0
"eps[41, 0]",-0.4,0.276,-0.875,0.108,0.01,0.007,814.0,606.0,1.01
"eps[42, 0]",0.24,0.105,0.059,0.448,0.004,0.003,789.0,623.0,1.0
"eps[43, 0]",0.041,0.081,-0.096,0.193,0.003,0.002,948.0,862.0,1.0
"eps[44, 0]",-0.058,0.051,-0.153,0.034,0.002,0.001,965.0,649.0,1.0
"eps[45, 0]",-0.138,0.051,-0.228,-0.039,0.001,0.001,1417.0,848.0,1.0
