,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.454,0.074,0.318,0.594,0.004,0.003,440.0,556.0,1.0
Ds[0],34.634,0.061,34.519,34.742,0.003,0.002,396.0,591.0,1.01
RV[0],4.471,1.035,2.641,5.999,0.045,0.032,558.0,491.0,1.0
"eps[0, 0]",0.481,0.062,0.368,0.606,0.002,0.002,659.0,584.0,1.0
"eps[1, 0]",0.119,0.12,-0.117,0.338,0.004,0.003,873.0,795.0,1.0
"eps[2, 0]",0.55,0.088,0.392,0.716,0.003,0.002,830.0,731.0,1.0
"eps[3, 0]",0.096,0.079,-0.058,0.243,0.003,0.002,590.0,763.0,1.0
"eps[4, 0]",0.244,0.063,0.141,0.38,0.002,0.002,723.0,739.0,1.0
"eps[5, 0]",-0.236,0.437,-1.083,0.539,0.015,0.012,799.0,888.0,1.0
"eps[6, 0]",0.041,0.161,-0.238,0.372,0.006,0.004,814.0,835.0,1.0
"eps[7, 0]",0.273,0.093,0.098,0.441,0.003,0.002,816.0,713.0,1.0
"eps[8, 0]",0.173,0.153,-0.13,0.441,0.004,0.003,1366.0,972.0,1.0
"eps[9, 0]",-0.125,0.035,-0.19,-0.063,0.002,0.001,460.0,444.0,1.0
"eps[10, 0]",0.013,0.043,-0.069,0.09,0.002,0.001,497.0,742.0,1.0
"eps[11, 0]",-0.032,0.028,-0.084,0.021,0.001,0.001,519.0,501.0,1.0
"eps[12, 0]",-0.002,0.025,-0.052,0.042,0.001,0.001,414.0,622.0,1.01
"eps[13, 0]",-0.135,0.022,-0.171,-0.091,0.001,0.001,255.0,592.0,1.02
"eps[14, 0]",-0.25,0.09,-0.407,-0.072,0.003,0.002,865.0,753.0,1.0
"eps[15, 0]",-0.256,0.04,-0.336,-0.189,0.002,0.002,262.0,502.0,1.02
"eps[16, 0]",-0.015,0.035,-0.077,0.051,0.002,0.001,404.0,655.0,1.02
"eps[17, 0]",-0.036,0.046,-0.125,0.047,0.002,0.002,400.0,585.0,1.02
"eps[18, 0]",-0.062,0.04,-0.14,0.015,0.002,0.001,563.0,505.0,1.0
"eps[19, 0]",-0.006,0.04,-0.076,0.074,0.001,0.001,763.0,733.0,1.0
"eps[20, 0]",-0.085,0.028,-0.135,-0.035,0.001,0.001,512.0,471.0,1.0
"eps[21, 0]",-0.019,0.023,-0.061,0.027,0.001,0.001,488.0,718.0,1.01
"eps[22, 0]",-0.059,0.022,-0.098,-0.018,0.001,0.001,262.0,580.0,1.02
"eps[23, 0]",-0.146,0.101,-0.334,0.045,0.003,0.002,927.0,859.0,1.01
"eps[24, 0]",-0.179,0.044,-0.26,-0.097,0.002,0.001,466.0,555.0,1.01
"eps[25, 0]",0.13,0.043,0.054,0.213,0.002,0.001,409.0,650.0,1.01
"eps[26, 0]",0.022,0.064,-0.097,0.147,0.003,0.002,619.0,646.0,1.01
"eps[27, 0]",0.203,0.044,0.118,0.282,0.002,0.001,602.0,760.0,1.0
"eps[28, 0]",0.29,0.051,0.186,0.377,0.002,0.001,650.0,701.0,1.01
"eps[29, 0]",0.087,0.028,0.038,0.14,0.001,0.001,525.0,683.0,1.0
"eps[30, 0]",0.013,0.021,-0.026,0.05,0.001,0.001,360.0,478.0,1.01
