,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.581,0.125,0.332,0.791,0.008,0.006,244.0,273.0,1.01
Ds[0],34.145,0.105,33.959,34.338,0.006,0.005,278.0,451.0,1.01
RV[0],2.915,1.036,1.125,4.817,0.068,0.048,246.0,401.0,1.01
"eps[0, 0]",0.034,0.084,-0.121,0.187,0.004,0.003,549.0,628.0,1.0
"eps[1, 0]",0.489,0.14,0.225,0.76,0.004,0.003,974.0,636.0,1.0
"eps[2, 0]",-0.068,0.095,-0.233,0.119,0.004,0.003,557.0,534.0,1.0
"eps[3, 0]",0.072,0.08,-0.092,0.205,0.003,0.002,580.0,543.0,1.0
"eps[4, 0]",-0.166,0.061,-0.274,-0.046,0.003,0.002,526.0,691.0,1.01
"eps[5, 0]",-0.312,0.504,-1.329,0.598,0.021,0.015,560.0,648.0,1.0
"eps[6, 0]",0.09,0.174,-0.235,0.419,0.008,0.005,501.0,587.0,1.0
"eps[7, 0]",0.011,0.091,-0.158,0.186,0.003,0.003,694.0,677.0,1.0
"eps[8, 0]",0.067,0.2,-0.303,0.446,0.006,0.005,975.0,737.0,1.0
"eps[9, 0]",0.092,0.05,-0.005,0.181,0.003,0.002,372.0,547.0,1.01
"eps[10, 0]",0.037,0.063,-0.08,0.153,0.004,0.003,260.0,440.0,1.0
"eps[11, 0]",0.071,0.033,0.012,0.137,0.002,0.001,467.0,630.0,1.0
"eps[12, 0]",0.048,0.035,-0.018,0.114,0.003,0.002,198.0,249.0,1.01
"eps[13, 0]",-0.019,0.028,-0.066,0.037,0.002,0.001,303.0,251.0,1.01
"eps[14, 0]",0.052,0.124,-0.168,0.279,0.005,0.004,718.0,729.0,1.0
"eps[15, 0]",-0.07,0.052,-0.166,0.031,0.003,0.002,339.0,518.0,1.02
"eps[16, 0]",-0.039,0.049,-0.129,0.05,0.002,0.002,423.0,438.0,1.01
"eps[17, 0]",0.046,0.066,-0.072,0.172,0.003,0.002,387.0,372.0,1.01
"eps[18, 0]",-0.089,0.051,-0.181,0.012,0.003,0.002,302.0,506.0,1.02
"eps[19, 0]",0.003,0.07,-0.124,0.13,0.002,0.002,1010.0,831.0,1.0
"eps[20, 0]",0.008,0.043,-0.072,0.088,0.002,0.001,730.0,865.0,1.01
"eps[21, 0]",-0.013,0.032,-0.07,0.048,0.002,0.001,448.0,467.0,1.0
"eps[22, 0]",-0.034,0.034,-0.097,0.031,0.002,0.001,405.0,680.0,1.01
"eps[23, 0]",-0.061,0.204,-0.434,0.326,0.008,0.006,595.0,731.0,1.0
"eps[24, 0]",0.174,0.079,0.031,0.325,0.003,0.002,605.0,578.0,1.01
"eps[25, 0]",-0.1,0.07,-0.232,0.033,0.004,0.003,322.0,313.0,1.01
"eps[26, 0]",0.069,0.111,-0.129,0.268,0.004,0.004,928.0,664.0,1.0
"eps[27, 0]",-0.283,0.073,-0.424,-0.155,0.004,0.003,298.0,376.0,1.01
"eps[28, 0]",-0.069,0.085,-0.228,0.082,0.003,0.002,836.0,398.0,1.0
"eps[29, 0]",0.002,0.056,-0.098,0.108,0.002,0.002,658.0,848.0,1.0
"eps[30, 0]",0.042,0.033,-0.015,0.11,0.002,0.001,364.0,527.0,1.0
"eps[31, 0]",0.129,0.048,0.033,0.215,0.003,0.002,366.0,735.0,1.01
"eps[32, 0]",0.115,0.31,-0.489,0.686,0.013,0.009,620.0,619.0,1.0
"eps[33, 0]",0.25,0.122,0.043,0.493,0.005,0.004,593.0,730.0,1.0
"eps[34, 0]",0.294,0.154,0.016,0.595,0.005,0.003,1130.0,724.0,1.0
"eps[35, 0]",0.023,0.088,-0.139,0.19,0.002,0.003,1401.0,812.0,1.0
"eps[36, 0]",-0.055,0.075,-0.191,0.088,0.002,0.002,1055.0,681.0,1.0
"eps[37, 0]",-0.337,0.194,-0.717,0.016,0.006,0.004,994.0,806.0,1.0
"eps[38, 0]",-0.101,0.064,-0.22,0.025,0.002,0.001,1078.0,773.0,1.0
"eps[39, 0]",-0.342,0.091,-0.518,-0.159,0.004,0.003,620.0,528.0,1.0
"eps[40, 0]",-0.235,0.071,-0.37,-0.107,0.002,0.002,846.0,798.0,1.0
"eps[41, 0]",-0.342,0.378,-1.004,0.408,0.013,0.009,920.0,572.0,1.0
"eps[42, 0]",-0.116,0.171,-0.437,0.199,0.005,0.005,1050.0,744.0,1.0
"eps[43, 0]",-0.237,0.112,-0.444,-0.031,0.003,0.002,1472.0,903.0,1.0
"eps[44, 0]",-0.25,0.104,-0.441,-0.055,0.003,0.002,1193.0,835.0,1.0
"eps[45, 0]",0.013,0.073,-0.124,0.156,0.002,0.002,1561.0,596.0,1.0
"eps[46, 0]",-0.351,0.267,-0.846,0.169,0.008,0.006,1165.0,709.0,1.0
"eps[47, 0]",-0.039,0.047,-0.132,0.046,0.001,0.001,1280.0,601.0,1.0
"eps[48, 0]",0.011,0.097,-0.185,0.177,0.003,0.003,890.0,703.0,1.01
"eps[49, 0]",-0.113,0.111,-0.311,0.101,0.005,0.004,530.0,585.0,1.0
"eps[50, 0]",-0.068,0.744,-1.345,1.474,0.023,0.022,1052.0,719.0,1.0
"eps[51, 0]",-0.543,0.36,-1.204,0.118,0.012,0.01,876.0,561.0,1.0
"eps[52, 0]",-0.222,0.154,-0.512,0.04,0.004,0.003,1432.0,816.0,1.0
"eps[53, 0]",-0.085,0.104,-0.289,0.102,0.004,0.003,814.0,762.0,1.0
"eps_tform[0, 0]",0.244,0.608,-0.881,1.359,0.026,0.018,549.0,628.0,1.0
"eps_tform[0, 1]",1.867,0.527,0.824,2.854,0.017,0.012,920.0,662.0,1.0
"eps_tform[0, 2]",0.305,0.339,-0.32,0.945,0.017,0.012,388.0,638.0,1.0
"eps_tform[0, 3]",-0.601,0.23,-1.002,-0.151,0.011,0.008,409.0,667.0,1.0
"eps_tform[0, 4]",-0.496,0.192,-0.831,-0.112,0.007,0.005,749.0,821.0,1.0
"eps_tform[0, 5]",-0.172,0.751,-1.751,1.148,0.032,0.023,552.0,605.0,1.0
"eps_tform[0, 6]",0.183,0.295,-0.413,0.692,0.014,0.01,474.0,599.0,1.0
"eps_tform[0, 7]",0.037,0.541,-1.013,0.987,0.02,0.018,717.0,684.0,1.0
"eps_tform[0, 8]",0.164,0.951,-1.543,2.053,0.029,0.028,1078.0,673.0,1.0
"eps_tform[0, 9]",1.438,0.618,0.241,2.529,0.032,0.023,380.0,542.0,1.01
"eps_tform[0, 10]",0.174,0.65,-1.05,1.362,0.04,0.029,262.0,394.0,1.0
"eps_tform[0, 11]",0.765,0.536,-0.168,1.801,0.032,0.024,284.0,557.0,1.0
"eps_tform[0, 12]",0.288,0.517,-0.668,1.231,0.039,0.027,178.0,353.0,1.02
"eps_tform[0, 13]",-0.64,0.346,-1.3,0.023,0.019,0.014,316.0,578.0,1.02
"eps_tform[0, 14]",0.492,0.961,-1.365,2.095,0.036,0.027,716.0,800.0,1.0
"eps_tform[0, 15]",-0.523,0.426,-1.298,0.308,0.027,0.019,258.0,436.0,1.03
"eps_tform[0, 16]",-0.327,0.582,-1.442,0.658,0.027,0.019,446.0,600.0,1.01
"eps_tform[0, 17]",0.463,0.722,-0.831,1.8,0.036,0.026,407.0,350.0,1.01
"eps_tform[0, 18]",-1.382,0.655,-2.573,-0.095,0.04,0.028,274.0,491.0,1.02
"eps_tform[0, 19]",-0.581,0.577,-1.749,0.363,0.021,0.015,778.0,818.0,1.01
"eps_tform[0, 20]",-0.026,0.489,-0.92,0.902,0.022,0.015,508.0,559.0,1.0
"eps_tform[0, 21]",-0.1,0.423,-0.869,0.688,0.021,0.015,425.0,662.0,1.0
"eps_tform[0, 22]",-0.025,0.344,-0.642,0.649,0.019,0.014,318.0,538.0,1.01
"eps_tform[0, 23]",-0.498,1.195,-2.678,1.685,0.045,0.032,718.0,865.0,1.0
"eps_tform[0, 24]",1.271,0.336,0.654,1.901,0.014,0.01,563.0,692.0,1.01
"eps_tform[0, 25]",-0.214,0.416,-0.949,0.604,0.019,0.014,462.0,658.0,1.01
"eps_tform[0, 26]",0.156,0.826,-1.278,1.813,0.025,0.028,1064.0,517.0,1.01
"eps_tform[0, 27]",-1.611,0.534,-2.7,-0.687,0.022,0.016,576.0,580.0,1.0
"eps_tform[0, 28]",-0.926,0.652,-2.11,0.301,0.026,0.019,611.0,732.0,1.0
"eps_tform[0, 29]",0.954,0.52,-0.069,1.835,0.024,0.017,455.0,628.0,1.01
"eps_tform[0, 30]",0.381,0.52,-0.555,1.356,0.025,0.017,443.0,692.0,1.01
"eps_tform[0, 31]",-0.644,0.413,-1.442,0.098,0.018,0.013,547.0,618.0,1.0
"eps_tform[0, 32]",0.196,1.065,-1.624,2.286,0.033,0.034,1070.0,682.0,1.01
"eps_tform[0, 33]",-0.033,0.356,-0.676,0.642,0.014,0.01,634.0,791.0,1.0
"eps_tform[0, 34]",0.132,0.963,-1.755,1.817,0.026,0.034,1433.0,735.0,1.0
"eps_tform[0, 35]",-0.01,0.979,-1.944,1.788,0.023,0.032,1766.0,769.0,1.0
"eps_tform[0, 36]",0.414,0.989,-1.448,2.208,0.025,0.028,1524.0,715.0,1.01
"eps_tform[0, 37]",-0.249,0.879,-1.806,1.497,0.023,0.027,1436.0,807.0,1.0
"eps_tform[0, 38]",-0.68,0.976,-2.651,1.016,0.024,0.027,1590.0,692.0,1.0
"eps_tform[0, 39]",-1.323,0.893,-2.839,0.546,0.022,0.018,1606.0,782.0,1.01
"eps_tform[0, 40]",-1.058,0.924,-2.636,0.722,0.028,0.022,1109.0,727.0,1.0
"eps_tform[0, 41]",0.211,1.007,-1.682,2.1,0.025,0.032,1682.0,818.0,1.0
"eps_tform[0, 42]",-0.009,0.955,-1.818,1.77,0.023,0.032,1772.0,706.0,1.0
"eps_tform[0, 43]",-0.036,0.976,-1.98,1.76,0.023,0.031,1801.0,664.0,1.0
"eps_tform[0, 44]",0.041,1.001,-1.902,1.821,0.023,0.036,1873.0,692.0,1.01
"eps_tform[0, 45]",-0.033,1.016,-2.028,1.831,0.025,0.034,1656.0,734.0,1.01
"eps_tform[0, 46]",0.009,0.967,-1.783,1.751,0.019,0.039,2724.0,779.0,1.01
"eps_tform[0, 47]",0.077,1.048,-1.754,2.12,0.027,0.038,1561.0,572.0,1.0
"eps_tform[0, 48]",0.235,1.003,-1.699,2.032,0.027,0.041,1382.0,555.0,1.02
"eps_tform[0, 49]",0.169,1.042,-1.681,2.141,0.024,0.038,1859.0,724.0,1.01
"eps_tform[0, 50]",-0.084,0.999,-1.855,1.783,0.023,0.031,1867.0,766.0,1.01
"eps_tform[0, 51]",-0.021,1.022,-2.013,1.752,0.022,0.033,2073.0,925.0,1.0
"eps_tform[0, 52]",0.005,0.96,-1.696,1.735,0.019,0.034,2478.0,761.0,1.0
"eps_tform[0, 53]",0.003,0.997,-1.959,1.761,0.023,0.035,1948.0,705.0,1.0
theta[0],-0.518,0.333,-1.107,0.091,0.019,0.013,319.0,601.0,1.0
tmax[0],-0.923,0.211,-1.299,-0.529,0.012,0.009,295.0,473.0,1.01
peak_MJD[0],54112.733,0.215,54112.35,54113.134,0.012,0.009,295.0,473.0,1.01
mu[0],34.146,0.14,33.883,34.402,0.007,0.005,365.0,649.0,1.0
delM[0],-0.001,0.098,-0.183,0.181,0.003,0.002,936.0,886.0,1.0
