,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.978,0.06,0.861,1.087,0.003,0.002,379.0,535.0,1.0
Ds[0],33.671,0.046,33.586,33.759,0.002,0.002,344.0,447.0,1.0
RV[0],2.461,0.272,1.968,2.96,0.014,0.01,386.0,513.0,1.0
"eps[0, 0]",0.051,0.069,-0.069,0.179,0.003,0.002,730.0,631.0,1.01
"eps[1, 0]",-0.176,0.069,-0.305,-0.05,0.003,0.002,703.0,732.0,1.0
"eps[2, 0]",0.076,0.06,-0.042,0.183,0.002,0.001,955.0,875.0,1.0
"eps[3, 0]",0.057,0.06,-0.072,0.159,0.003,0.002,490.0,738.0,1.0
"eps[4, 0]",-0.133,0.038,-0.197,-0.047,0.001,0.001,729.0,783.0,1.0
"eps[5, 0]",0.191,0.264,-0.305,0.68,0.008,0.007,993.0,912.0,1.0
"eps[6, 0]",0.05,0.07,-0.068,0.188,0.003,0.002,729.0,917.0,1.01
"eps[7, 0]",-0.015,0.046,-0.104,0.065,0.002,0.001,537.0,737.0,1.01
"eps[8, 0]",0.007,0.065,-0.107,0.139,0.002,0.002,679.0,618.0,1.0
"eps[9, 0]",0.118,0.045,0.038,0.204,0.002,0.001,475.0,677.0,1.0
"eps[10, 0]",0.048,0.047,-0.034,0.142,0.002,0.001,522.0,589.0,1.0
"eps[11, 0]",0.094,0.031,0.032,0.146,0.001,0.001,581.0,740.0,1.0
"eps[12, 0]",0.053,0.034,-0.012,0.113,0.002,0.001,470.0,566.0,1.0
"eps[13, 0]",0.069,0.026,0.02,0.118,0.001,0.001,459.0,624.0,1.0
"eps[14, 0]",-0.008,0.098,-0.197,0.17,0.003,0.003,1127.0,743.0,1.01
"eps[15, 0]",0.077,0.044,-0.002,0.161,0.002,0.001,525.0,762.0,1.01
"eps[16, 0]",-0.021,0.035,-0.083,0.045,0.002,0.001,392.0,583.0,1.0
"eps[17, 0]",-0.02,0.041,-0.099,0.056,0.002,0.001,387.0,496.0,1.0
"eps[18, 0]",0.002,0.045,-0.075,0.092,0.002,0.002,610.0,572.0,1.01
"eps[19, 0]",-0.051,0.039,-0.115,0.027,0.002,0.001,528.0,646.0,1.0
"eps[20, 0]",0.031,0.027,-0.024,0.081,0.001,0.001,527.0,529.0,1.0
"eps[21, 0]",-0.107,0.031,-0.164,-0.05,0.001,0.001,429.0,614.0,1.0
"eps[22, 0]",-0.019,0.025,-0.069,0.023,0.001,0.001,505.0,705.0,1.0
"eps[23, 0]",-0.208,0.103,-0.402,-0.015,0.004,0.003,725.0,653.0,1.01
"eps[24, 0]",0.052,0.046,-0.038,0.131,0.002,0.001,514.0,760.0,1.01
"eps[25, 0]",-0.152,0.039,-0.224,-0.081,0.002,0.001,478.0,575.0,1.01
"eps[26, 0]",-0.041,0.045,-0.122,0.044,0.002,0.002,389.0,700.0,1.01
"eps[27, 0]",-0.137,0.059,-0.243,-0.023,0.002,0.002,630.0,676.0,1.01
"eps[28, 0]",-0.15,0.044,-0.233,-0.067,0.002,0.001,630.0,850.0,1.01
"eps[29, 0]",0.015,0.028,-0.04,0.066,0.001,0.001,531.0,504.0,1.01
"eps[30, 0]",0.003,0.029,-0.05,0.052,0.001,0.001,409.0,533.0,1.0
"eps[31, 0]",0.122,0.041,0.047,0.198,0.002,0.001,493.0,518.0,1.01
"eps[32, 0]",0.671,0.163,0.387,0.988,0.005,0.003,1135.0,789.0,1.0
"eps[33, 0]",-0.06,0.044,-0.142,0.02,0.002,0.001,628.0,753.0,1.0
"eps[34, 0]",0.023,0.061,-0.083,0.149,0.003,0.002,426.0,651.0,1.01
"eps[35, 0]",0.06,0.039,-0.009,0.138,0.002,0.001,401.0,492.0,1.0
"eps[36, 0]",-0.155,0.048,-0.241,-0.067,0.002,0.001,614.0,673.0,1.0
"eps[37, 0]",-0.299,0.052,-0.403,-0.212,0.002,0.001,812.0,861.0,1.0
"eps[38, 0]",-0.079,0.036,-0.143,-0.007,0.002,0.001,457.0,512.0,1.01
"eps[39, 0]",-0.234,0.046,-0.312,-0.139,0.002,0.002,444.0,591.0,1.01
"eps[40, 0]",-0.003,0.032,-0.055,0.065,0.002,0.001,401.0,547.0,1.0
"eps[41, 0]",-1.009,0.185,-1.324,-0.656,0.007,0.005,878.0,914.0,1.0
"eps[42, 0]",0.306,0.071,0.179,0.432,0.003,0.002,787.0,931.0,1.0
"eps[43, 0]",0.072,0.047,-0.014,0.158,0.002,0.001,494.0,735.0,1.0
"eps[44, 0]",-0.031,0.047,-0.123,0.051,0.002,0.002,485.0,635.0,1.0
"eps[45, 0]",0.039,0.071,-0.081,0.172,0.002,0.002,1382.0,705.0,1.01
"eps[46, 0]",0.159,0.202,-0.235,0.521,0.005,0.005,1707.0,769.0,1.01
"eps[47, 0]",-0.106,0.044,-0.179,-0.019,0.001,0.001,1691.0,830.0,1.03
"eps[48, 0]",-0.193,0.076,-0.345,-0.06,0.002,0.002,965.0,833.0,1.0
"eps[49, 0]",-0.254,0.077,-0.409,-0.123,0.002,0.002,1318.0,804.0,1.01
"eps[50, 0]",0.875,0.462,0.086,1.782,0.012,0.01,1510.0,776.0,1.0
"eps[51, 0]",-0.156,0.207,-0.51,0.236,0.008,0.006,663.0,785.0,1.01
"eps[52, 0]",-0.613,0.085,-0.781,-0.473,0.003,0.002,680.0,738.0,1.0
"eps[53, 0]",-0.32,0.06,-0.426,-0.209,0.002,0.002,616.0,753.0,1.0
"eps_tform[0, 0]",0.367,0.501,-0.501,1.304,0.019,0.013,730.0,631.0,1.01
"eps_tform[0, 1]",-0.635,0.269,-1.152,-0.168,0.01,0.007,673.0,708.0,1.0
"eps_tform[0, 2]",0.038,0.218,-0.343,0.458,0.008,0.006,706.0,718.0,1.0
"eps_tform[0, 3]",0.492,0.186,0.159,0.851,0.009,0.006,443.0,639.0,1.0
"eps_tform[0, 4]",-0.793,0.147,-1.048,-0.491,0.006,0.004,594.0,848.0,1.01
"eps_tform[0, 5]",0.022,0.394,-0.678,0.814,0.013,0.011,950.0,881.0,1.01
"eps_tform[0, 6]",0.142,0.141,-0.142,0.382,0.006,0.004,550.0,582.0,1.01
"eps_tform[0, 7]",-0.014,0.27,-0.534,0.476,0.012,0.009,502.0,781.0,1.0
"eps_tform[0, 8]",0.143,0.286,-0.335,0.73,0.012,0.008,609.0,572.0,1.0
"eps_tform[0, 9]",1.327,0.549,0.29,2.295,0.025,0.018,475.0,755.0,1.0
"eps_tform[0, 10]",0.202,0.48,-0.709,1.091,0.021,0.015,542.0,630.0,1.0
"eps_tform[0, 11]",1.249,0.483,0.363,2.149,0.02,0.014,593.0,650.0,1.0
"eps_tform[0, 12]",0.62,0.623,-0.471,1.824,0.028,0.02,481.0,656.0,1.0
"eps_tform[0, 13]",0.437,0.32,-0.135,1.052,0.015,0.01,482.0,603.0,1.0
"eps_tform[0, 14]",-0.303,0.795,-1.856,1.137,0.024,0.023,1120.0,737.0,1.01
"eps_tform[0, 15]",0.52,0.339,-0.147,1.106,0.016,0.011,468.0,720.0,1.0
"eps_tform[0, 16]",-0.107,0.435,-0.936,0.671,0.022,0.016,393.0,569.0,1.0
"eps_tform[0, 17]",-0.479,0.443,-1.286,0.331,0.022,0.015,417.0,683.0,1.01
"eps_tform[0, 18]",0.108,0.531,-0.834,1.153,0.021,0.017,643.0,586.0,1.01
"eps_tform[0, 19]",-0.906,0.337,-1.503,-0.257,0.014,0.01,543.0,594.0,1.0
"eps_tform[0, 20]",0.224,0.401,-0.528,0.956,0.019,0.014,466.0,557.0,1.0
"eps_tform[0, 21]",-1.328,0.439,-2.196,-0.58,0.02,0.014,488.0,480.0,1.0
"eps_tform[0, 22]",0.362,0.315,-0.178,0.941,0.014,0.01,493.0,705.0,1.01
"eps_tform[0, 23]",-1.278,0.736,-2.587,0.164,0.029,0.02,687.0,589.0,1.0
"eps_tform[0, 24]",0.114,0.244,-0.302,0.621,0.011,0.008,471.0,789.0,1.0
"eps_tform[0, 25]",0.061,0.228,-0.361,0.512,0.011,0.007,465.0,603.0,1.0
"eps_tform[0, 26]",-0.641,0.27,-1.157,-0.144,0.013,0.009,424.0,689.0,1.01
"eps_tform[0, 27]",-0.801,0.447,-1.645,0.043,0.02,0.014,524.0,608.0,1.01
"eps_tform[0, 28]",-1.193,0.341,-1.89,-0.588,0.013,0.009,657.0,590.0,1.0
"eps_tform[0, 29]",1.099,0.281,0.583,1.619,0.012,0.009,544.0,715.0,1.0
"eps_tform[0, 30]",0.083,0.368,-0.608,0.766,0.016,0.012,514.0,584.0,1.0
"eps_tform[0, 31]",0.263,0.316,-0.313,0.865,0.012,0.01,656.0,600.0,1.0
"eps_tform[0, 32]",2.794,0.793,1.399,4.27,0.024,0.017,1076.0,740.0,1.0
"eps_tform[0, 33]",-0.88,0.214,-1.281,-0.491,0.009,0.006,624.0,721.0,1.0
"eps_tform[0, 34]",-1.813,0.213,-2.191,-1.375,0.009,0.006,597.0,734.0,1.0
"eps_tform[0, 35]",1.54,0.312,1.044,2.192,0.012,0.008,699.0,776.0,1.0
"eps_tform[0, 36]",-0.63,0.57,-1.691,0.379,0.02,0.014,782.0,873.0,1.0
"eps_tform[0, 37]",-0.702,0.347,-1.387,-0.088,0.015,0.01,564.0,731.0,1.0
"eps_tform[0, 38]",1.17,0.41,0.346,1.926,0.016,0.011,668.0,806.0,1.0
"eps_tform[0, 39]",-0.187,0.391,-0.92,0.557,0.016,0.011,598.0,674.0,1.0
"eps_tform[0, 40]",0.873,0.334,0.275,1.505,0.012,0.008,837.0,915.0,1.0
"eps_tform[0, 41]",-1.238,0.827,-2.761,0.425,0.023,0.017,1334.0,644.0,1.01
"eps_tform[0, 42]",0.594,0.392,-0.094,1.383,0.018,0.013,462.0,647.0,1.0
"eps_tform[0, 43]",2.275,0.366,1.526,2.901,0.017,0.012,452.0,689.0,1.0
"eps_tform[0, 44]",-0.613,0.389,-1.393,0.049,0.017,0.012,543.0,600.0,1.0
"eps_tform[0, 45]",-0.35,1.056,-2.178,1.578,0.027,0.037,1485.0,860.0,1.01
"eps_tform[0, 46]",1.382,0.862,-0.282,2.92,0.019,0.017,1976.0,668.0,1.01
"eps_tform[0, 47]",0.261,1.045,-1.619,2.259,0.025,0.042,1688.0,727.0,1.03
"eps_tform[0, 48]",-1.624,0.933,-3.418,0.152,0.025,0.018,1439.0,707.0,1.0
"eps_tform[0, 49]",-0.384,0.902,-2.143,1.26,0.022,0.026,1606.0,860.0,1.01
"eps_tform[0, 50]",0.353,0.922,-1.294,1.991,0.024,0.026,1496.0,838.0,1.0
"eps_tform[0, 51]",1.844,0.828,0.503,3.543,0.026,0.019,1021.0,626.0,1.0
"eps_tform[0, 52]",-1.759,0.606,-2.881,-0.638,0.024,0.017,650.0,825.0,1.0
"eps_tform[0, 53]",-2.02,0.714,-3.371,-0.727,0.024,0.017,863.0,802.0,1.0
theta[0],-0.838,0.237,-1.27,-0.394,0.011,0.008,439.0,601.0,1.01
tmax[0],-0.114,0.144,-0.396,0.131,0.005,0.004,772.0,795.0,1.01
peak_MJD[0],54144.342,0.146,54144.056,54144.591,0.005,0.004,772.0,795.0,1.01
mu[0],33.67,0.107,33.462,33.875,0.004,0.003,736.0,909.0,1.0
delM[0],0.001,0.096,-0.176,0.177,0.003,0.002,967.0,1033.0,1.0
