,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.374,0.072,0.234,0.5,0.004,0.003,296.0,287.0,1.01
Ds[0],31.852,0.049,31.758,31.938,0.003,0.002,381.0,485.0,1.02
RV[0],4.706,0.932,3.094,5.987,0.038,0.027,679.0,621.0,1.02
"eps[0, 0]",-0.012,0.047,-0.109,0.069,0.002,0.001,524.0,440.0,1.01
"eps[1, 0]",-0.274,0.073,-0.419,-0.146,0.003,0.002,575.0,750.0,1.0
"eps[2, 0]",0.221,0.046,0.14,0.313,0.002,0.001,567.0,595.0,1.01
"eps[3, 0]",-0.186,0.064,-0.297,-0.064,0.004,0.002,328.0,395.0,1.01
"eps[4, 0]",0.088,0.041,0.013,0.163,0.002,0.001,400.0,446.0,1.01
"eps[5, 0]",1.496,0.302,0.942,2.093,0.01,0.007,984.0,731.0,1.0
"eps[6, 0]",-0.372,0.07,-0.49,-0.232,0.004,0.003,310.0,423.0,1.02
"eps[7, 0]",0.099,0.036,0.038,0.169,0.002,0.001,440.0,546.0,1.01
"eps[8, 0]",-0.248,0.049,-0.346,-0.164,0.002,0.002,434.0,564.0,1.01
"eps[9, 0]",0.052,0.033,-0.005,0.117,0.002,0.001,363.0,559.0,1.0
"eps[10, 0]",-0.109,0.045,-0.192,-0.021,0.003,0.002,273.0,312.0,1.01
"eps[11, 0]",0.097,0.023,0.057,0.142,0.001,0.001,541.0,686.0,1.0
"eps[12, 0]",-0.009,0.024,-0.051,0.036,0.002,0.001,232.0,340.0,1.01
"eps[13, 0]",-0.012,0.018,-0.045,0.021,0.001,0.001,322.0,499.0,1.01
"eps[14, 0]",0.456,0.072,0.329,0.6,0.002,0.002,995.0,743.0,1.0
"eps[15, 0]",-0.203,0.024,-0.241,-0.152,0.001,0.001,404.0,643.0,1.02
"eps[16, 0]",0.102,0.025,0.053,0.147,0.001,0.001,402.0,543.0,1.01
"eps[17, 0]",-0.007,0.039,-0.082,0.064,0.002,0.001,366.0,525.0,1.01
"eps[18, 0]",0.009,0.035,-0.05,0.078,0.001,0.001,618.0,714.0,1.01
"eps[19, 0]",-0.094,0.038,-0.157,-0.014,0.002,0.001,392.0,610.0,1.01
"eps[20, 0]",0.014,0.024,-0.026,0.061,0.001,0.001,603.0,673.0,1.01
"eps[21, 0]",-0.058,0.019,-0.092,-0.022,0.001,0.001,327.0,617.0,1.0
"eps[22, 0]",-0.015,0.018,-0.046,0.018,0.001,0.001,439.0,605.0,1.0
"eps[23, 0]",-0.146,0.093,-0.327,0.017,0.003,0.002,766.0,803.0,1.0
"eps[24, 0]",-0.119,0.033,-0.174,-0.053,0.002,0.001,416.0,757.0,1.01
"eps[25, 0]",-0.062,0.033,-0.128,-0.004,0.002,0.001,376.0,447.0,1.01
"eps[26, 0]",-0.075,0.041,-0.144,0.011,0.002,0.001,377.0,569.0,1.01
"eps[27, 0]",-0.008,0.035,-0.066,0.057,0.001,0.001,600.0,684.0,1.01
"eps[28, 0]",-0.133,0.045,-0.224,-0.058,0.002,0.002,418.0,519.0,1.0
"eps[29, 0]",0.019,0.021,-0.017,0.059,0.001,0.001,487.0,638.0,1.0
"eps[30, 0]",-0.086,0.018,-0.117,-0.056,0.001,0.001,389.0,615.0,1.0
"eps[31, 0]",0.018,0.039,-0.053,0.093,0.003,0.002,193.0,284.0,1.01
"eps[32, 0]",-0.485,0.103,-0.663,-0.288,0.003,0.002,997.0,723.0,1.0
"eps[33, 0]",-0.073,0.036,-0.134,0.003,0.001,0.001,617.0,765.0,1.01
"eps[34, 0]",0.102,0.048,0.001,0.184,0.003,0.002,251.0,452.0,1.01
"eps[35, 0]",-0.029,0.037,-0.092,0.052,0.002,0.001,372.0,507.0,1.02
"eps[36, 0]",-0.046,0.035,-0.111,0.015,0.001,0.001,563.0,580.0,1.01
"eps[37, 0]",-0.036,0.037,-0.111,0.027,0.001,0.001,862.0,922.0,1.01
