,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.27,0.067,0.14,0.391,0.004,0.003,366.0,470.0,1.01
Ds[0],34.422,0.044,34.337,34.496,0.002,0.001,449.0,711.0,1.01
RV[0],3.626,1.192,1.925,5.993,0.055,0.039,456.0,646.0,1.0
"eps[0, 0]",-0.261,0.069,-0.387,-0.134,0.002,0.002,1019.0,815.0,1.0
"eps[1, 0]",-0.271,0.159,-0.595,0.026,0.005,0.004,1227.0,508.0,1.0
"eps[2, 0]",0.093,0.104,-0.092,0.308,0.004,0.003,848.0,662.0,1.01
"eps[3, 0]",0.114,0.107,-0.079,0.332,0.003,0.003,922.0,825.0,1.0
"eps[4, 0]",0.736,0.084,0.587,0.892,0.003,0.002,928.0,748.0,1.0
"eps[5, 0]",0.01,0.437,-0.866,0.775,0.016,0.011,798.0,806.0,1.0
"eps[6, 0]",-0.259,0.143,-0.531,0.005,0.006,0.004,639.0,790.0,1.0
"eps[7, 0]",-0.149,0.063,-0.265,-0.036,0.003,0.002,632.0,787.0,1.0
"eps[8, 0]",-0.155,0.093,-0.312,0.03,0.003,0.002,998.0,913.0,1.0
"eps[9, 0]",-0.041,0.038,-0.114,0.028,0.002,0.001,462.0,526.0,1.01
"eps[10, 0]",-0.002,0.051,-0.1,0.09,0.003,0.002,390.0,544.0,1.0
"eps[11, 0]",-0.119,0.024,-0.167,-0.079,0.001,0.001,473.0,540.0,1.0
"eps[12, 0]",-0.129,0.03,-0.189,-0.076,0.002,0.001,383.0,570.0,1.0
"eps[13, 0]",0.011,0.02,-0.024,0.048,0.001,0.001,379.0,532.0,1.01
"eps[14, 0]",-0.048,0.122,-0.253,0.209,0.005,0.003,611.0,574.0,1.0
"eps[15, 0]",0.028,0.051,-0.074,0.117,0.002,0.002,510.0,714.0,1.0
"eps[16, 0]",0.088,0.037,0.024,0.159,0.002,0.001,531.0,790.0,1.01
"eps[17, 0]",-0.0,0.044,-0.081,0.083,0.002,0.001,578.0,735.0,1.0
"eps[18, 0]",0.114,0.039,0.043,0.193,0.002,0.001,489.0,602.0,1.01
"eps[19, 0]",0.121,0.036,0.053,0.19,0.002,0.001,487.0,558.0,1.0
"eps[20, 0]",-0.008,0.024,-0.045,0.045,0.001,0.001,563.0,563.0,1.01
"eps[21, 0]",0.135,0.025,0.091,0.184,0.001,0.001,450.0,679.0,1.0
"eps[22, 0]",0.162,0.023,0.12,0.203,0.001,0.001,425.0,594.0,1.01
"eps[23, 0]",0.164,0.149,-0.143,0.426,0.006,0.004,717.0,668.0,1.0
"eps[24, 0]",-0.022,0.064,-0.146,0.099,0.003,0.002,592.0,482.0,1.01
"eps[25, 0]",0.39,0.069,0.27,0.52,0.002,0.002,900.0,690.0,1.0
"eps[26, 0]",0.077,0.065,-0.056,0.187,0.002,0.002,689.0,898.0,1.01
"eps[27, 0]",0.097,0.051,0.002,0.189,0.002,0.002,476.0,607.0,1.01
"eps[28, 0]",0.361,0.045,0.271,0.441,0.002,0.001,613.0,585.0,1.01
"eps[29, 0]",-0.073,0.024,-0.113,-0.027,0.001,0.001,527.0,720.0,1.01
"eps[30, 0]",-0.058,0.024,-0.102,-0.012,0.001,0.001,463.0,670.0,1.0
"eps[31, 0]",-0.15,0.04,-0.223,-0.075,0.002,0.001,398.0,677.0,1.0
"eps[32, 0]",-0.114,0.184,-0.446,0.232,0.006,0.005,948.0,811.0,1.01
"eps[33, 0]",-0.471,0.106,-0.656,-0.257,0.004,0.002,920.0,770.0,1.0
"eps[34, 0]",-0.262,0.106,-0.465,-0.057,0.004,0.003,697.0,668.0,1.0
"eps[35, 0]",-0.079,0.063,-0.191,0.045,0.002,0.001,1088.0,699.0,1.0
"eps[36, 0]",0.089,0.044,0.007,0.172,0.002,0.001,578.0,693.0,1.01
"eps[37, 0]",0.283,0.052,0.197,0.39,0.002,0.001,755.0,1084.0,1.0
"eps[38, 0]",0.072,0.038,-0.0,0.138,0.002,0.001,435.0,612.0,1.01
"eps[39, 0]",0.152,0.049,0.064,0.237,0.002,0.002,428.0,585.0,1.0
"eps[40, 0]",0.171,0.04,0.097,0.238,0.002,0.001,384.0,543.0,1.0
"eps[41, 0]",0.505,0.246,0.043,0.945,0.008,0.006,1059.0,704.0,1.0
"eps[42, 0]",-0.171,0.117,-0.388,0.032,0.004,0.003,917.0,869.0,1.0
"eps[43, 0]",0.209,0.085,0.052,0.365,0.003,0.002,840.0,796.0,1.0
"eps[44, 0]",0.057,0.08,-0.094,0.205,0.003,0.002,607.0,565.0,1.0
"eps[45, 0]",-0.007,0.066,-0.133,0.111,0.001,0.002,2107.0,866.0,1.01
"eps[46, 0]",0.047,0.148,-0.206,0.342,0.004,0.004,1337.0,929.0,1.0
"eps[47, 0]",0.014,0.038,-0.057,0.08,0.001,0.001,1529.0,570.0,1.0
"eps[48, 0]",-0.12,0.055,-0.217,-0.014,0.002,0.001,905.0,805.0,1.0
"eps[49, 0]",0.246,0.056,0.145,0.353,0.002,0.002,678.0,717.0,1.0
"eps[50, 0]",-0.672,0.681,-2.066,0.487,0.024,0.02,775.0,738.0,1.0
"eps[51, 0]",0.762,0.279,0.272,1.307,0.012,0.009,531.0,718.0,1.0
"eps[52, 0]",0.468,0.131,0.216,0.701,0.005,0.003,811.0,968.0,1.0
"eps[53, 0]",0.128,0.084,-0.019,0.288,0.003,0.003,600.0,680.0,1.0
"eps_tform[0, 0]",-1.898,0.502,-2.815,-0.971,0.016,0.011,1019.0,815.0,1.0
"eps_tform[0, 1]",-1.18,0.588,-2.254,0.051,0.017,0.013,1247.0,549.0,1.0
