,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.317,0.065,0.204,0.444,0.003,0.002,392.0,561.0,1.0
Ds[0],34.75,0.051,34.665,34.852,0.002,0.002,536.0,633.0,1.0
RV[0],3.095,1.091,1.546,5.432,0.055,0.039,381.0,556.0,1.01
"eps[0, 0]",-0.023,0.069,-0.163,0.093,0.003,0.002,622.0,775.0,1.0
"eps[1, 0]",0.037,0.133,-0.201,0.303,0.004,0.004,885.0,777.0,1.01
"eps[2, 0]",-0.037,0.104,-0.231,0.155,0.003,0.003,933.0,743.0,1.0
"eps[3, 0]",-0.105,0.084,-0.261,0.059,0.003,0.003,588.0,709.0,1.0
"eps[4, 0]",-0.156,0.076,-0.298,-0.012,0.002,0.002,1113.0,868.0,1.0
"eps[5, 0]",-0.427,0.545,-1.521,0.528,0.017,0.015,975.0,812.0,1.0
"eps[6, 0]",-0.091,0.292,-0.64,0.414,0.009,0.008,1054.0,619.0,1.0
"eps[7, 0]",0.103,0.103,-0.093,0.284,0.003,0.002,1514.0,816.0,1.0
"eps[8, 0]",0.163,0.185,-0.171,0.522,0.005,0.005,1392.0,725.0,1.0
"eps[9, 0]",-0.118,0.041,-0.19,-0.038,0.002,0.001,504.0,667.0,1.01
"eps[10, 0]",-0.042,0.052,-0.137,0.049,0.003,0.002,415.0,630.0,1.01
"eps[11, 0]",-0.026,0.027,-0.071,0.028,0.001,0.001,591.0,801.0,1.01
"eps[12, 0]",-0.036,0.033,-0.095,0.025,0.001,0.001,522.0,759.0,1.0
"eps[13, 0]",-0.025,0.024,-0.068,0.02,0.001,0.001,513.0,689.0,1.01
"eps[14, 0]",-0.161,0.123,-0.376,0.074,0.005,0.004,615.0,654.0,1.0
"eps[15, 0]",-0.049,0.06,-0.164,0.058,0.003,0.002,517.0,728.0,1.0
"eps[16, 0]",0.084,0.05,-0.005,0.179,0.002,0.001,648.0,632.0,1.0
"eps[17, 0]",0.041,0.056,-0.066,0.14,0.002,0.001,950.0,823.0,1.0
"eps[18, 0]",0.049,0.04,-0.028,0.127,0.002,0.001,675.0,765.0,1.0
"eps[19, 0]",0.069,0.046,-0.016,0.157,0.002,0.001,743.0,781.0,1.0
"eps[20, 0]",-0.044,0.028,-0.091,0.011,0.001,0.001,719.0,778.0,1.01
"eps[21, 0]",-0.004,0.031,-0.061,0.053,0.001,0.001,575.0,610.0,1.0
"eps[22, 0]",-0.112,0.026,-0.158,-0.064,0.001,0.001,442.0,734.0,1.01
"eps[23, 0]",0.078,0.136,-0.182,0.317,0.005,0.004,818.0,576.0,1.01
"eps[24, 0]",-0.227,0.076,-0.363,-0.079,0.003,0.002,693.0,588.0,1.01
"eps[25, 0]",0.159,0.064,0.042,0.274,0.002,0.002,952.0,827.0,1.0
"eps[26, 0]",-0.013,0.097,-0.204,0.154,0.003,0.003,1121.0,817.0,1.0
"eps[27, 0]",0.164,0.066,0.039,0.285,0.002,0.002,832.0,666.0,1.0
"eps[28, 0]",0.194,0.077,0.049,0.333,0.003,0.002,808.0,741.0,1.0
"eps[29, 0]",0.029,0.039,-0.04,0.102,0.001,0.001,903.0,843.0,1.0
"eps[30, 0]",0.011,0.031,-0.053,0.066,0.001,0.001,597.0,758.0,1.0
"eps[31, 0]",-0.256,0.045,-0.343,-0.175,0.002,0.001,556.0,633.0,1.01
"eps[32, 0]",-0.223,0.171,-0.542,0.089,0.004,0.004,1659.0,943.0,1.0
"eps[33, 0]",-0.361,0.066,-0.477,-0.24,0.002,0.001,1073.0,800.0,1.0
"eps[34, 0]",-0.094,0.149,-0.374,0.189,0.005,0.004,851.0,733.0,1.0
"eps[35, 0]",0.006,0.061,-0.101,0.124,0.002,0.002,1051.0,806.0,1.0
"eps[36, 0]",0.081,0.042,0.003,0.161,0.002,0.001,752.0,741.0,1.0
"eps[37, 0]",0.184,0.042,0.11,0.263,0.001,0.001,1118.0,865.0,1.0
"eps[38, 0]",0.086,0.04,0.014,0.165,0.002,0.001,476.0,562.0,1.01
"eps[39, 0]",0.107,0.047,0.018,0.192,0.002,0.002,391.0,660.0,1.01
"eps[40, 0]",0.071,0.041,-0.001,0.148,0.002,0.001,394.0,588.0,1.01
"eps[41, 0]",-0.37,0.38,-1.054,0.31,0.016,0.012,554.0,730.0,1.01
"eps[42, 0]",0.097,0.127,-0.112,0.352,0.005,0.004,562.0,748.0,1.0
"eps[43, 0]",-0.073,0.084,-0.219,0.079,0.003,0.002,586.0,736.0,1.0
