,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.17,0.07,0.039,0.294,0.004,0.003,325.0,513.0,1.02
Ds[0],35.648,0.058,35.542,35.751,0.003,0.002,361.0,547.0,1.02
RV[0],3.53,1.407,1.35,5.99,0.071,0.05,373.0,450.0,1.0
"eps[0, 0]",-0.224,0.054,-0.316,-0.115,0.003,0.002,310.0,501.0,1.01
"eps[1, 0]",-0.515,0.064,-0.628,-0.393,0.003,0.002,547.0,565.0,1.0
"eps[2, 0]",0.25,0.114,0.05,0.471,0.007,0.005,274.0,367.0,1.01
"eps[3, 0]",-0.46,0.052,-0.56,-0.363,0.003,0.002,401.0,537.0,1.0
"eps[4, 0]",-0.037,0.092,-0.204,0.134,0.005,0.004,309.0,430.0,1.01
"eps[5, 0]",0.091,0.432,-0.808,0.819,0.024,0.017,336.0,601.0,1.01
"eps[6, 0]",-0.379,0.157,-0.652,-0.072,0.008,0.005,413.0,588.0,1.02
"eps[7, 0]",-0.037,0.101,-0.211,0.16,0.005,0.003,455.0,568.0,1.01
"eps[8, 0]",-0.253,0.128,-0.467,0.003,0.006,0.004,513.0,544.0,1.01
"eps[9, 0]",-0.091,0.035,-0.156,-0.026,0.002,0.001,289.0,404.0,1.0
"eps[10, 0]",-0.069,0.053,-0.162,0.036,0.004,0.003,191.0,261.0,1.01
"eps[11, 0]",-0.09,0.031,-0.142,-0.028,0.002,0.001,340.0,651.0,1.0
"eps[12, 0]",-0.085,0.034,-0.148,-0.018,0.002,0.002,194.0,287.0,1.01
"eps[13, 0]",-0.013,0.029,-0.069,0.04,0.001,0.001,481.0,662.0,1.01
"eps[14, 0]",0.038,0.102,-0.152,0.227,0.004,0.003,579.0,622.0,1.0
"eps[15, 0]",-0.087,0.062,-0.215,0.021,0.003,0.002,561.0,622.0,1.01
"eps[16, 0]",0.073,0.05,-0.016,0.17,0.002,0.002,430.0,623.0,1.01
"eps[17, 0]",-0.096,0.07,-0.22,0.031,0.002,0.002,837.0,757.0,1.0
"eps[18, 0]",0.002,0.039,-0.076,0.072,0.002,0.002,320.0,426.0,1.01
"eps[19, 0]",-0.042,0.036,-0.108,0.026,0.002,0.001,367.0,568.0,1.01
"eps[20, 0]",0.148,0.033,0.091,0.212,0.001,0.001,529.0,708.0,1.0
"eps[21, 0]",0.076,0.026,0.026,0.124,0.001,0.001,317.0,641.0,1.01
"eps[22, 0]",0.138,0.029,0.086,0.193,0.001,0.001,588.0,677.0,1.0
"eps[23, 0]",-0.245,0.122,-0.461,-0.015,0.005,0.004,599.0,640.0,1.0
"eps[24, 0]",0.23,0.071,0.104,0.362,0.003,0.002,614.0,791.0,1.01
"eps[25, 0]",0.132,0.107,-0.073,0.326,0.003,0.003,996.0,791.0,1.01
