,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],1.08,0.071,0.941,1.199,0.004,0.003,382.0,622.0,1.0
Ds[0],32.149,0.051,32.058,32.25,0.003,0.002,402.0,637.0,1.0
RV[0],2.515,0.261,1.998,2.984,0.013,0.009,435.0,592.0,1.01
"eps[0, 0]",-0.063,0.084,-0.224,0.09,0.003,0.002,984.0,668.0,1.0
"eps[1, 0]",0.056,0.202,-0.344,0.42,0.006,0.006,1116.0,771.0,1.0
"eps[2, 0]",0.1,0.097,-0.07,0.286,0.003,0.002,1080.0,858.0,1.0
"eps[3, 0]",0.097,0.164,-0.216,0.4,0.006,0.005,771.0,738.0,1.0
"eps[4, 0]",0.059,0.092,-0.124,0.227,0.003,0.003,1028.0,757.0,1.01
"eps[5, 0]",0.54,0.558,-0.504,1.525,0.02,0.014,809.0,618.0,1.0
"eps[6, 0]",-0.257,0.213,-0.678,0.099,0.008,0.006,759.0,573.0,1.0
"eps[7, 0]",0.171,0.058,0.058,0.27,0.002,0.002,537.0,605.0,1.0
"eps[8, 0]",-0.052,0.064,-0.182,0.056,0.003,0.002,557.0,488.0,1.0
"eps[9, 0]",-0.005,0.045,-0.091,0.078,0.002,0.001,566.0,548.0,1.0
"eps[10, 0]",0.027,0.057,-0.075,0.136,0.003,0.002,469.0,403.0,1.0
"eps[11, 0]",-0.015,0.024,-0.059,0.032,0.001,0.001,566.0,416.0,1.01
"eps[12, 0]",-0.032,0.037,-0.111,0.028,0.002,0.001,441.0,513.0,1.0
"eps[13, 0]",-0.044,0.023,-0.087,-0.0,0.001,0.001,477.0,599.0,1.01
"eps[14, 0]",-0.093,0.093,-0.257,0.086,0.002,0.003,1460.0,727.0,1.0
"eps[15, 0]",0.085,0.084,-0.075,0.237,0.003,0.002,869.0,744.0,1.0
"eps[16, 0]",-0.028,0.038,-0.101,0.041,0.002,0.001,452.0,602.0,1.0
"eps[17, 0]",0.021,0.047,-0.067,0.108,0.002,0.002,439.0,619.0,1.0
"eps[18, 0]",0.023,0.041,-0.054,0.1,0.001,0.001,759.0,775.0,1.0
"eps[19, 0]",0.067,0.039,-0.001,0.139,0.002,0.001,526.0,546.0,1.0
"eps[20, 0]",-0.055,0.024,-0.096,-0.007,0.001,0.001,542.0,506.0,1.01
"eps[21, 0]",-0.029,0.029,-0.08,0.03,0.001,0.001,433.0,552.0,1.01
"eps[22, 0]",-0.166,0.024,-0.211,-0.119,0.001,0.001,512.0,556.0,1.01
"eps[23, 0]",-0.195,0.13,-0.449,0.041,0.004,0.003,1239.0,758.0,1.0
"eps[24, 0]",0.064,0.118,-0.151,0.283,0.003,0.003,1680.0,799.0,1.01
"eps[25, 0]",0.091,0.043,0.009,0.166,0.002,0.001,470.0,712.0,1.0
"eps[26, 0]",0.03,0.053,-0.074,0.123,0.002,0.002,478.0,671.0,1.0
"eps[27, 0]",0.048,0.045,-0.034,0.134,0.002,0.001,848.0,648.0,1.0
"eps[28, 0]",0.352,0.05,0.262,0.448,0.002,0.001,721.0,783.0,1.0
"eps[29, 0]",-0.026,0.023,-0.07,0.017,0.001,0.001,474.0,471.0,1.01
"eps[30, 0]",-0.013,0.028,-0.067,0.037,0.001,0.001,449.0,473.0,1.01
"eps[31, 0]",-0.337,0.045,-0.424,-0.258,0.002,0.001,485.0,689.0,1.01
"eps[32, 0]",0.619,0.18,0.307,0.968,0.005,0.004,1376.0,840.0,1.0
"eps[33, 0]",-0.414,0.043,-0.497,-0.339,0.002,0.001,556.0,707.0,1.01
"eps[34, 0]",-0.081,0.069,-0.205,0.053,0.003,0.002,486.0,715.0,1.0
"eps[35, 0]",-0.126,0.045,-0.206,-0.038,0.002,0.002,406.0,469.0,1.0
"eps[36, 0]",0.069,0.045,-0.01,0.158,0.002,0.001,821.0,776.0,1.0
"eps[37, 0]",0.207,0.036,0.137,0.272,0.001,0.001,847.0,794.0,1.0
"eps[38, 0]",0.093,0.041,0.022,0.173,0.002,0.001,543.0,652.0,1.0
"eps[39, 0]",0.0,0.053,-0.103,0.094,0.002,0.002,522.0,674.0,1.0
"eps[40, 0]",-0.02,0.05,-0.114,0.068,0.002,0.002,521.0,665.0,1.01
"eps[41, 0]",-1.348,0.22,-1.727,-0.901,0.006,0.005,1179.0,783.0,1.01
"eps[42, 0]",0.359,0.153,0.043,0.617,0.004,0.003,1326.0,834.0,1.01
"eps[43, 0]",-0.334,0.05,-0.432,-0.25,0.002,0.002,449.0,719.0,1.0
