,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.942,0.066,0.812,1.055,0.005,0.003,220.0,361.0,1.01
Ds[0],33.974,0.051,33.882,34.066,0.003,0.002,216.0,308.0,1.02
RV[0],3.045,0.406,2.34,3.789,0.028,0.02,204.0,335.0,1.01
"eps[0, 0]",-0.105,0.048,-0.188,-0.013,0.002,0.002,441.0,647.0,1.01
"eps[1, 0]",-0.091,0.04,-0.161,-0.013,0.002,0.001,632.0,644.0,1.0
"eps[2, 0]",-0.033,0.038,-0.098,0.041,0.002,0.001,544.0,717.0,1.0
"eps[3, 0]",0.003,0.045,-0.076,0.088,0.002,0.002,428.0,533.0,1.0
"eps[4, 0]",-0.226,0.037,-0.294,-0.157,0.002,0.001,477.0,730.0,1.01
"eps[5, 0]",0.552,0.522,-0.49,1.46,0.024,0.017,463.0,434.0,1.01
"eps[6, 0]",0.04,0.124,-0.207,0.257,0.005,0.004,589.0,512.0,1.01
"eps[7, 0]",0.18,0.08,0.031,0.335,0.003,0.002,637.0,733.0,1.0
"eps[8, 0]",-0.419,0.114,-0.633,-0.205,0.004,0.003,819.0,654.0,1.0
"eps[9, 0]",0.034,0.041,-0.038,0.111,0.002,0.002,317.0,522.0,1.01
"eps[10, 0]",-0.015,0.039,-0.09,0.054,0.002,0.002,352.0,367.0,1.0
"eps[11, 0]",0.035,0.023,-0.007,0.08,0.001,0.001,366.0,542.0,1.01
"eps[12, 0]",0.003,0.033,-0.056,0.068,0.002,0.002,237.0,416.0,1.01
"eps[13, 0]",-0.002,0.022,-0.043,0.039,0.001,0.001,246.0,439.0,1.02
"eps[14, 0]",0.085,0.111,-0.144,0.268,0.004,0.004,667.0,584.0,1.01
"eps[15, 0]",-0.052,0.045,-0.144,0.026,0.003,0.002,230.0,381.0,1.02
"eps[16, 0]",0.028,0.038,-0.042,0.096,0.002,0.002,254.0,428.0,1.01
"eps[17, 0]",-0.066,0.046,-0.142,0.03,0.003,0.003,220.0,291.0,1.02
"eps[18, 0]",-0.062,0.042,-0.136,0.023,0.002,0.002,356.0,596.0,1.02
"eps[19, 0]",0.017,0.034,-0.044,0.08,0.002,0.001,383.0,629.0,1.0
"eps[20, 0]",0.038,0.027,-0.02,0.084,0.001,0.001,437.0,695.0,1.01
"eps[21, 0]",0.026,0.029,-0.025,0.084,0.002,0.001,271.0,510.0,1.01
"eps[22, 0]",0.03,0.023,-0.01,0.08,0.001,0.001,292.0,540.0,1.01
"eps[23, 0]",-0.365,0.147,-0.623,-0.072,0.005,0.004,728.0,693.0,1.0
"eps[24, 0]",0.248,0.065,0.131,0.367,0.003,0.002,495.0,563.0,1.0
"eps[25, 0]",-0.034,0.049,-0.126,0.052,0.003,0.002,268.0,271.0,1.01
"eps[26, 0]",-0.091,0.053,-0.187,0.011,0.003,0.002,350.0,318.0,1.01
"eps[27, 0]",-0.142,0.051,-0.243,-0.047,0.003,0.002,412.0,582.0,1.01
"eps[28, 0]",-0.161,0.038,-0.238,-0.094,0.001,0.001,781.0,609.0,1.0
"eps[29, 0]",0.052,0.03,0.003,0.112,0.001,0.001,529.0,674.0,1.0
"eps[30, 0]",0.063,0.03,0.006,0.117,0.002,0.001,289.0,438.0,1.01
"eps[31, 0]",0.215,0.034,0.153,0.281,0.002,0.001,290.0,446.0,1.02
"eps[32, 0]",0.735,0.226,0.264,1.124,0.008,0.005,896.0,731.0,1.0
"eps[33, 0]",0.178,0.086,0.03,0.344,0.003,0.002,873.0,664.0,1.0
"eps[34, 0]",0.546,0.082,0.39,0.698,0.003,0.002,662.0,877.0,1.01
"eps[35, 0]",0.019,0.057,-0.093,0.118,0.003,0.002,525.0,805.0,1.0
"eps[36, 0]",-0.056,0.045,-0.144,0.026,0.002,0.002,457.0,703.0,1.01
"eps[37, 0]",-0.189,0.047,-0.284,-0.104,0.002,0.001,787.0,862.0,1.0
"eps[38, 0]",0.014,0.031,-0.038,0.075,0.001,0.001,464.0,614.0,1.01
"eps[39, 0]",-0.061,0.038,-0.137,0.003,0.002,0.001,402.0,552.0,1.0
"eps[40, 0]",0.032,0.028,-0.017,0.089,0.001,0.001,359.0,531.0,1.0
"eps[41, 0]",-0.322,0.264,-0.821,0.155,0.009,0.007,943.0,815.0,1.0
"eps[42, 0]",0.054,0.084,-0.094,0.219,0.003,0.002,797.0,820.0,1.0
"eps[43, 0]",0.068,0.052,-0.031,0.164,0.002,0.002,532.0,728.0,1.0
"eps[44, 0]",-0.195,0.055,-0.289,-0.09,0.003,0.002,294.0,355.0,1.01
"eps[45, 0]",-0.022,0.07,-0.147,0.105,0.001,0.002,2242.0,781.0,1.0
"eps[46, 0]",0.122,0.177,-0.226,0.434,0.005,0.004,1244.0,796.0,1.0
"eps[47, 0]",-0.057,0.041,-0.139,0.013,0.001,0.001,2500.0,808.0,1.0
"eps[48, 0]",-0.193,0.067,-0.31,-0.068,0.003,0.002,693.0,792.0,1.0
"eps[49, 0]",-0.002,0.076,-0.128,0.153,0.003,0.002,626.0,688.0,1.0
"eps[50, 0]",-0.696,0.573,-1.653,0.414,0.018,0.013,1069.0,750.0,1.01
"eps[51, 0]",0.032,0.286,-0.475,0.546,0.009,0.008,985.0,459.0,1.0
"eps[52, 0]",-0.317,0.128,-0.548,-0.074,0.003,0.002,1627.0,810.0,1.0
"eps[53, 0]",-0.095,0.075,-0.234,0.047,0.003,0.002,861.0,665.0,1.0
"eps_tform[0, 0]",-0.765,0.351,-1.366,-0.095,0.017,0.012,441.0,647.0,1.01
"eps_tform[0, 1]",-0.406,0.167,-0.707,-0.098,0.007,0.005,587.0,684.0,1.0
"eps_tform[0, 2]",-0.117,0.168,-0.406,0.213,0.009,0.006,357.0,537.0,1.01
