,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.513,0.173,0.258,0.838,0.009,0.007,337.0,558.0,1.01
Ds[0],37.647,0.165,37.34,37.895,0.009,0.006,352.0,516.0,1.01
RV[0],2.4,1.142,1.001,4.625,0.064,0.045,321.0,496.0,1.02
"eps[0, 0]",0.119,0.118,-0.087,0.35,0.004,0.003,977.0,685.0,1.0
"eps[1, 0]",0.049,0.224,-0.412,0.429,0.007,0.007,1097.0,751.0,1.0
"eps[2, 0]",0.216,0.185,-0.153,0.555,0.005,0.004,1330.0,828.0,1.0
"eps[3, 0]",0.175,0.224,-0.218,0.593,0.006,0.005,1262.0,691.0,1.0
"eps[4, 0]",0.208,0.242,-0.21,0.662,0.007,0.006,1263.0,806.0,1.0
"eps[5, 0]",-0.346,0.551,-1.429,0.628,0.017,0.016,1007.0,765.0,1.0
"eps[6, 0]",-0.121,0.448,-0.915,0.731,0.012,0.014,1283.0,860.0,1.01
"eps[7, 0]",0.117,0.156,-0.148,0.429,0.005,0.004,1129.0,688.0,1.0
"eps[8, 0]",0.024,0.196,-0.336,0.408,0.005,0.006,1384.0,884.0,1.0
"eps[9, 0]",-0.056,0.048,-0.145,0.037,0.002,0.001,573.0,717.0,1.01
"eps[10, 0]",-0.243,0.046,-0.325,-0.154,0.002,0.001,589.0,617.0,1.0
"eps[11, 0]",-0.089,0.034,-0.156,-0.026,0.001,0.001,816.0,789.0,1.0
"eps[12, 0]",-0.093,0.04,-0.165,-0.014,0.002,0.001,660.0,587.0,1.0
"eps[13, 0]",-0.031,0.045,-0.109,0.051,0.001,0.001,945.0,882.0,1.0
"eps[14, 0]",0.115,0.082,-0.04,0.261,0.003,0.002,839.0,694.0,1.01
"eps[15, 0]",0.022,0.091,-0.165,0.174,0.003,0.002,981.0,948.0,1.0
"eps[16, 0]",-0.028,0.073,-0.166,0.114,0.002,0.002,989.0,762.0,1.01
"eps[17, 0]",-0.013,0.08,-0.173,0.13,0.002,0.002,1512.0,807.0,1.0
"eps[18, 0]",0.144,0.055,0.037,0.247,0.002,0.001,937.0,844.0,1.0
"eps[19, 0]",0.06,0.051,-0.029,0.157,0.002,0.001,815.0,749.0,1.0
"eps[20, 0]",-0.042,0.042,-0.122,0.035,0.001,0.001,867.0,855.0,1.0
"eps[21, 0]",0.097,0.048,0.014,0.187,0.002,0.001,869.0,752.0,1.0
"eps[22, 0]",0.048,0.062,-0.072,0.153,0.002,0.001,1014.0,810.0,1.0
"eps[23, 0]",0.061,0.117,-0.151,0.286,0.003,0.003,1227.0,804.0,1.0
"eps[24, 0]",-0.005,0.133,-0.244,0.268,0.004,0.004,1221.0,688.0,1.0
"eps[25, 0]",0.152,0.139,-0.135,0.388,0.004,0.004,1011.0,640.0,1.01
"eps[26, 0]",0.1,0.139,-0.157,0.36,0.004,0.003,1382.0,657.0,1.01
"eps[27, 0]",0.33,0.069,0.198,0.448,0.002,0.002,930.0,850.0,1.0
"eps[28, 0]",0.013,0.052,-0.072,0.12,0.002,0.001,1066.0,900.0,1.0
"eps[29, 0]",-0.037,0.053,-0.127,0.07,0.002,0.001,848.0,796.0,1.0
"eps[30, 0]",-0.022,0.054,-0.115,0.08,0.002,0.001,1043.0,834.0,1.0
"eps[31, 0]",-0.188,0.074,-0.338,-0.057,0.003,0.002,853.0,871.0,1.0
"eps[32, 0]",0.077,0.189,-0.3,0.417,0.006,0.005,1036.0,828.0,1.0
"eps[33, 0]",-0.61,0.216,-1.016,-0.202,0.007,0.006,884.0,742.0,1.0
