,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.415,0.093,0.258,0.605,0.004,0.003,483.0,522.0,1.0
Ds[0],36.078,0.076,35.946,36.228,0.003,0.002,577.0,583.0,1.01
RV[0],4.545,1.038,2.734,5.999,0.036,0.025,873.0,753.0,1.01
"eps[0, 0]",0.11,0.085,-0.055,0.259,0.005,0.003,358.0,605.0,1.01
"eps[1, 0]",0.021,0.132,-0.227,0.252,0.005,0.003,842.0,819.0,1.0
"eps[2, 0]",0.281,0.147,0.018,0.572,0.005,0.004,796.0,552.0,1.0
"eps[3, 0]",0.225,0.149,-0.052,0.497,0.007,0.005,470.0,487.0,1.01
"eps[4, 0]",0.102,0.133,-0.138,0.356,0.005,0.004,697.0,805.0,1.0
"eps[5, 0]",0.275,0.454,-0.594,1.11,0.015,0.012,929.0,782.0,1.01
"eps[6, 0]",-0.655,0.217,-1.093,-0.277,0.007,0.005,906.0,660.0,1.01
"eps[7, 0]",-0.368,0.139,-0.614,-0.093,0.004,0.003,1296.0,747.0,1.0
"eps[8, 0]",-0.198,0.186,-0.565,0.126,0.005,0.004,1293.0,792.0,1.01
"eps[9, 0]",-0.023,0.038,-0.09,0.05,0.002,0.001,569.0,611.0,1.0
"eps[10, 0]",-0.061,0.052,-0.162,0.038,0.003,0.002,408.0,595.0,1.0
"eps[11, 0]",-0.032,0.036,-0.093,0.044,0.002,0.001,537.0,532.0,1.0
"eps[12, 0]",-0.03,0.039,-0.097,0.051,0.002,0.001,367.0,588.0,1.0
"eps[13, 0]",0.004,0.03,-0.048,0.062,0.001,0.001,724.0,699.0,1.0
"eps[14, 0]",-0.053,0.104,-0.234,0.153,0.004,0.003,712.0,556.0,1.0
"eps[15, 0]",-0.061,0.063,-0.167,0.061,0.003,0.002,497.0,740.0,1.01
"eps[16, 0]",0.129,0.052,0.029,0.222,0.002,0.001,649.0,660.0,1.0
"eps[17, 0]",-0.205,0.064,-0.322,-0.086,0.002,0.002,755.0,695.0,1.0
"eps[18, 0]",0.021,0.046,-0.062,0.106,0.002,0.001,600.0,457.0,1.01
"eps[19, 0]",-0.007,0.037,-0.069,0.068,0.002,0.001,582.0,749.0,1.0
"eps[20, 0]",-0.014,0.032,-0.069,0.05,0.001,0.001,860.0,694.0,1.01
"eps[21, 0]",0.039,0.031,-0.018,0.1,0.001,0.001,585.0,577.0,1.0
"eps[22, 0]",0.119,0.031,0.062,0.178,0.001,0.001,914.0,785.0,1.0
"eps[23, 0]",-0.051,0.122,-0.273,0.162,0.004,0.003,920.0,806.0,1.0
"eps[24, 0]",0.036,0.083,-0.119,0.202,0.003,0.002,962.0,597.0,1.01
"eps[25, 0]",0.132,0.119,-0.087,0.359,0.003,0.003,1758.0,843.0,1.0
"eps[26, 0]",0.071,0.123,-0.131,0.325,0.003,0.003,1376.0,664.0,1.0
"eps[27, 0]",0.104,0.058,0.002,0.215,0.002,0.002,599.0,570.0,1.01
"eps[28, 0]",0.077,0.046,-0.003,0.169,0.002,0.001,857.0,724.0,1.0
"eps[29, 0]",-0.021,0.041,-0.106,0.048,0.001,0.001,968.0,707.0,1.0
"eps[30, 0]",0.051,0.039,-0.022,0.123,0.001,0.001,713.0,637.0,1.0
"eps[31, 0]",0.013,0.049,-0.076,0.103,0.002,0.002,464.0,685.0,1.01
"eps[32, 0]",0.114,0.184,-0.217,0.454,0.005,0.004,1262.0,839.0,1.0
"eps[33, 0]",-0.143,0.108,-0.345,0.041,0.004,0.003,899.0,987.0,1.0
"eps[34, 0]",-0.207,0.156,-0.5,0.068,0.004,0.003,1360.0,866.0,1.0
"eps[35, 0]",-0.03,0.082,-0.201,0.114,0.002,0.003,1830.0,750.0,1.0
"eps[36, 0]",-0.066,0.046,-0.152,0.019,0.001,0.001,956.0,769.0,1.0
"eps[37, 0]",-0.044,0.071,-0.169,0.09,0.002,0.002,1236.0,944.0,1.01
"eps[38, 0]",-0.026,0.042,-0.106,0.055,0.002,0.001,745.0,806.0,1.0
"eps[39, 0]",0.03,0.051,-0.06,0.131,0.002,0.001,863.0,801.0,1.0
"eps[40, 0]",0.018,0.043,-0.065,0.093,0.002,0.001,646.0,750.0,1.0
"eps[41, 0]",0.285,0.308,-0.233,0.925,0.01,0.008,978.0,763.0,1.0
