,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.556,0.078,0.407,0.697,0.004,0.003,412.0,477.0,1.01
Ds[0],36.119,0.061,36.001,36.232,0.003,0.002,446.0,612.0,1.0
RV[0],5.221,0.615,4.106,6.0,0.019,0.014,896.0,681.0,1.0
"eps[0, 0]",0.194,0.096,0.021,0.379,0.003,0.002,996.0,725.0,1.01
"eps[1, 0]",0.286,0.185,-0.084,0.604,0.006,0.005,832.0,564.0,1.01
"eps[2, 0]",0.202,0.163,-0.099,0.5,0.006,0.004,842.0,730.0,1.01
"eps[3, 0]",0.763,0.172,0.455,1.096,0.006,0.004,962.0,947.0,1.0
"eps[4, 0]",0.627,0.184,0.292,0.968,0.007,0.005,787.0,816.0,1.0
"eps[5, 0]",-0.404,0.494,-1.293,0.5,0.016,0.012,1012.0,741.0,1.0
"eps[6, 0]",0.06,0.399,-0.663,0.856,0.011,0.011,1272.0,866.0,1.01
"eps[7, 0]",-0.018,0.147,-0.29,0.253,0.004,0.004,1261.0,934.0,1.0
"eps[8, 0]",0.28,0.2,-0.087,0.65,0.005,0.004,1622.0,751.0,1.0
"eps[9, 0]",-0.084,0.033,-0.141,-0.022,0.001,0.001,542.0,657.0,1.0
"eps[10, 0]",-0.108,0.047,-0.192,-0.017,0.002,0.001,502.0,534.0,1.0
"eps[11, 0]",-0.008,0.034,-0.071,0.056,0.001,0.001,774.0,852.0,1.0
"eps[12, 0]",-0.031,0.035,-0.098,0.037,0.001,0.001,575.0,612.0,1.0
"eps[13, 0]",-0.089,0.034,-0.145,-0.022,0.001,0.001,720.0,683.0,1.0
"eps[14, 0]",-0.142,0.086,-0.305,0.026,0.003,0.002,896.0,685.0,1.0
"eps[15, 0]",-0.24,0.074,-0.384,-0.114,0.003,0.002,815.0,707.0,1.01
"eps[16, 0]",-0.13,0.069,-0.26,-0.006,0.002,0.001,1179.0,754.0,1.0
"eps[17, 0]",-0.035,0.074,-0.177,0.102,0.002,0.002,1176.0,778.0,1.0
"eps[18, 0]",-0.075,0.035,-0.137,-0.006,0.001,0.001,594.0,752.0,1.0
"eps[19, 0]",-0.061,0.033,-0.12,0.001,0.001,0.001,535.0,694.0,1.0
"eps[20, 0]",-0.076,0.029,-0.131,-0.024,0.001,0.001,860.0,643.0,1.0
"eps[21, 0]",-0.033,0.03,-0.085,0.023,0.001,0.001,577.0,755.0,1.0
"eps[22, 0]",-0.022,0.032,-0.083,0.037,0.001,0.001,909.0,924.0,1.0
"eps[23, 0]",-0.111,0.107,-0.307,0.093,0.003,0.003,936.0,919.0,1.01
"eps[24, 0]",-0.061,0.084,-0.22,0.101,0.003,0.002,683.0,750.0,1.0
"eps[25, 0]",0.199,0.115,-0.01,0.411,0.003,0.003,1211.0,744.0,1.02
"eps[26, 0]",0.057,0.12,-0.163,0.279,0.004,0.003,1069.0,810.0,1.0
"eps[27, 0]",0.34,0.051,0.246,0.44,0.002,0.001,688.0,791.0,1.0
"eps[28, 0]",0.145,0.037,0.072,0.213,0.001,0.001,996.0,856.0,1.0
"eps[29, 0]",0.155,0.04,0.085,0.23,0.001,0.001,960.0,877.0,1.0
"eps[30, 0]",-0.046,0.034,-0.107,0.019,0.001,0.001,605.0,794.0,1.01
"eps[31, 0]",-0.183,0.038,-0.251,-0.111,0.001,0.001,889.0,748.0,1.0
"eps[32, 0]",0.07,0.148,-0.214,0.338,0.005,0.004,1036.0,863.0,1.0
"eps[33, 0]",-0.654,0.072,-0.782,-0.517,0.003,0.002,805.0,852.0,1.0
"eps[34, 0]",-0.218,0.103,-0.414,-0.022,0.003,0.002,900.0,817.0,1.0
"eps[35, 0]",-0.107,0.07,-0.232,0.03,0.002,0.002,1083.0,988.0,1.0
"eps[36, 0]",0.11,0.047,0.022,0.197,0.002,0.001,803.0,865.0,1.0
"eps[37, 0]",0.329,0.073,0.201,0.475,0.002,0.002,935.0,843.0,1.0
"eps[38, 0]",0.125,0.042,0.055,0.211,0.001,0.001,963.0,829.0,1.01
"eps[39, 0]",0.469,0.057,0.36,0.572,0.002,0.001,853.0,906.0,1.0
"eps[40, 0]",0.175,0.042,0.094,0.252,0.002,0.001,776.0,840.0,1.0
"eps[41, 0]",-0.197,0.155,-0.489,0.091,0.005,0.003,1166.0,971.0,1.0
"eps[42, 0]",0.527,0.089,0.369,0.706,0.003,0.002,828.0,939.0,1.0
"eps[43, 0]",0.279,0.093,0.114,0.458,0.003,0.002,844.0,785.0,1.0
"eps[44, 0]",0.347,0.079,0.203,0.488,0.003,0.002,817.0,782.0,1.0
"eps[45, 0]",0.02,0.05,-0.076,0.108,0.002,0.001,1011.0,779.0,1.01
"eps[46, 0]",0.019,0.074,-0.112,0.171,0.003,0.002,708.0,692.0,1.01
"eps[47, 0]",0.088,0.033,0.024,0.15,0.001,0.001,1197.0,754.0,1.0
