,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.257,0.08,0.102,0.395,0.014,0.011,32.0,475.0,1.11
Ds[0],31.595,0.079,31.468,31.765,0.027,0.019,10.0,71.0,1.34
RV[0],3.857,1.316,1.716,5.976,0.183,0.13,60.0,661.0,1.05
"eps[0, 0]",0.106,0.119,-0.095,0.342,0.004,0.003,959.0,634.0,1.01
"eps[1, 0]",-0.033,0.343,-0.505,0.725,0.142,0.106,8.0,35.0,1.5
"eps[2, 0]",0.367,0.15,0.082,0.631,0.02,0.015,53.0,609.0,1.06
"eps[3, 0]",0.316,0.284,-0.145,0.859,0.111,0.085,8.0,30.0,1.46
"eps[4, 0]",0.738,0.181,0.398,1.059,0.014,0.012,155.0,685.0,1.04
"eps[5, 0]",0.271,0.751,-1.216,1.547,0.261,0.191,9.0,49.0,1.38
"eps[6, 0]",0.089,0.356,-0.557,0.798,0.042,0.03,70.0,811.0,1.04
"eps[7, 0]",0.258,0.143,-0.029,0.502,0.003,0.003,1839.0,618.0,1.0
"eps[8, 0]",0.09,0.189,-0.241,0.448,0.033,0.024,33.0,120.0,1.08
"eps[9, 0]",0.089,0.053,-0.022,0.178,0.015,0.011,13.0,50.0,1.24
"eps[10, 0]",0.078,0.072,-0.067,0.195,0.02,0.014,14.0,61.0,1.22
"eps[11, 0]",-0.087,0.033,-0.145,-0.023,0.007,0.005,22.0,138.0,1.12
"eps[12, 0]",0.006,0.044,-0.075,0.083,0.013,0.009,13.0,63.0,1.23
"eps[13, 0]",-0.044,0.029,-0.096,0.011,0.001,0.001,831.0,914.0,1.01
"eps[14, 0]",0.156,0.3,-0.444,0.487,0.141,0.107,7.0,31.0,1.53
"eps[15, 0]",0.047,0.053,-0.04,0.163,0.002,0.001,1225.0,667.0,1.0
"eps[16, 0]",-0.087,0.043,-0.165,-0.003,0.001,0.001,859.0,720.0,1.01
"eps[17, 0]",-0.041,0.057,-0.154,0.062,0.017,0.012,12.0,51.0,1.26
"eps[18, 0]",0.01,0.048,-0.075,0.1,0.014,0.01,13.0,37.0,1.22
"eps[19, 0]",0.029,0.055,-0.078,0.122,0.02,0.015,9.0,42.0,1.4
"eps[20, 0]",-0.018,0.028,-0.067,0.038,0.003,0.002,69.0,379.0,1.07
"eps[21, 0]",0.033,0.026,-0.012,0.086,0.007,0.005,13.0,50.0,1.24
"eps[22, 0]",0.067,0.023,0.025,0.11,0.004,0.003,40.0,82.0,1.08
"eps[23, 0]",0.396,0.122,0.182,0.642,0.036,0.028,12.0,35.0,1.25
"eps[24, 0]",0.004,0.088,-0.168,0.123,0.039,0.029,7.0,34.0,1.53
"eps[25, 0]",0.231,0.043,0.153,0.314,0.009,0.006,26.0,77.0,1.11
"eps[26, 0]",0.037,0.1,-0.161,0.187,0.043,0.032,8.0,255.0,1.51
"eps[27, 0]",-0.031,0.059,-0.126,0.087,0.021,0.016,9.0,26.0,1.38
"eps[28, 0]",-0.057,0.07,-0.161,0.095,0.027,0.02,8.0,34.0,1.48
"eps[29, 0]",-0.062,0.023,-0.105,-0.02,0.001,0.001,899.0,778.0,1.01
"eps[30, 0]",-0.108,0.024,-0.153,-0.062,0.005,0.004,24.0,211.0,1.13
"eps[31, 0]",0.016,0.102,-0.188,0.159,0.043,0.032,8.0,27.0,1.52
