,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.545,0.099,0.343,0.722,0.005,0.003,420.0,658.0,1.0
Ds[0],34.36,0.092,34.194,34.524,0.005,0.004,332.0,592.0,1.01
RV[0],3.16,1.151,1.223,5.353,0.059,0.042,394.0,501.0,1.01
"eps[0, 0]",0.027,0.121,-0.215,0.242,0.004,0.004,773.0,683.0,1.01
"eps[1, 0]",-0.203,0.225,-0.627,0.216,0.007,0.006,945.0,611.0,1.0
"eps[2, 0]",-0.017,0.177,-0.371,0.291,0.006,0.005,901.0,655.0,1.0
"eps[3, 0]",-0.211,0.212,-0.59,0.18,0.01,0.007,454.0,732.0,1.01
"eps[4, 0]",-0.565,0.202,-0.932,-0.182,0.008,0.006,660.0,722.0,1.0
"eps[5, 0]",0.313,0.578,-0.725,1.369,0.023,0.017,644.0,530.0,1.0
"eps[6, 0]",-0.228,0.39,-0.957,0.524,0.013,0.011,905.0,690.0,1.0
"eps[7, 0]",-0.168,0.143,-0.428,0.091,0.004,0.003,1232.0,771.0,1.0
"eps[8, 0]",0.17,0.185,-0.206,0.49,0.006,0.005,1086.0,727.0,1.0
"eps[9, 0]",-0.106,0.052,-0.202,-0.015,0.003,0.002,421.0,776.0,1.01
"eps[10, 0]",0.134,0.076,0.003,0.281,0.004,0.003,362.0,735.0,1.01
"eps[11, 0]",-0.006,0.042,-0.081,0.073,0.002,0.001,494.0,689.0,1.0
"eps[12, 0]",0.03,0.042,-0.045,0.103,0.003,0.002,264.0,626.0,1.02
"eps[13, 0]",0.007,0.039,-0.06,0.08,0.001,0.001,748.0,856.0,1.0
"eps[14, 0]",0.092,0.138,-0.172,0.325,0.01,0.007,213.0,657.0,1.02
"eps[15, 0]",-0.027,0.072,-0.166,0.104,0.003,0.002,616.0,636.0,1.0
"eps[16, 0]",-0.104,0.077,-0.253,0.025,0.002,0.002,1378.0,768.0,1.01
"eps[17, 0]",-0.025,0.062,-0.153,0.082,0.003,0.002,591.0,640.0,1.0
"eps[18, 0]",-0.103,0.053,-0.203,-0.001,0.003,0.002,304.0,684.0,1.02
"eps[19, 0]",0.063,0.05,-0.027,0.154,0.002,0.002,446.0,631.0,1.0
"eps[20, 0]",-0.122,0.044,-0.203,-0.042,0.002,0.001,576.0,669.0,1.0
"eps[21, 0]",-0.049,0.034,-0.104,0.02,0.001,0.001,697.0,727.0,1.0
"eps[22, 0]",-0.257,0.034,-0.315,-0.189,0.001,0.001,543.0,644.0,1.01
"eps[23, 0]",-0.401,0.156,-0.685,-0.116,0.01,0.007,300.0,396.0,1.01
"eps[24, 0]",-0.062,0.086,-0.229,0.08,0.006,0.005,191.0,457.0,1.02
"eps[25, 0]",-0.194,0.061,-0.301,-0.078,0.003,0.002,343.0,361.0,1.01
"eps[26, 0]",0.349,0.077,0.199,0.476,0.005,0.003,277.0,671.0,1.01
"eps[27, 0]",0.149,0.09,0.006,0.336,0.007,0.005,159.0,551.0,1.02
"eps[28, 0]",0.586,0.062,0.467,0.694,0.005,0.003,190.0,548.0,1.02
"eps[29, 0]",-0.152,0.041,-0.227,-0.076,0.002,0.001,457.0,625.0,1.01
"eps[30, 0]",0.123,0.034,0.058,0.19,0.002,0.001,526.0,640.0,1.01
"eps[31, 0]",-0.319,0.07,-0.446,-0.183,0.006,0.004,153.0,547.0,1.03
"eps[32, 0]",0.108,0.199,-0.293,0.443,0.014,0.01,226.0,535.0,1.01
"eps[33, 0]",-0.431,0.06,-0.547,-0.317,0.003,0.002,490.0,587.0,1.0
"eps[34, 0]",-0.218,0.12,-0.438,0.009,0.01,0.007,150.0,552.0,1.03
"eps[35, 0]",0.093,0.053,-0.008,0.186,0.002,0.002,553.0,773.0,1.01
"eps[36, 0]",-0.02,0.067,-0.153,0.099,0.005,0.003,209.0,592.0,1.02
"eps[37, 0]",0.329,0.063,0.204,0.442,0.002,0.002,667.0,995.0,1.01
"eps[38, 0]",0.153,0.073,0.027,0.297,0.006,0.004,176.0,566.0,1.02
"eps[39, 0]",0.25,0.079,0.109,0.397,0.006,0.004,198.0,520.0,1.02
"eps[40, 0]",0.084,0.07,-0.039,0.213,0.005,0.003,214.0,530.0,1.02
"eps[41, 0]",0.227,0.283,-0.303,0.718,0.018,0.013,273.0,683.0,1.02
"eps[42, 0]",-0.035,0.073,-0.162,0.11,0.004,0.002,433.0,759.0,1.01
"eps[43, 0]",-0.133,0.077,-0.268,0.031,0.004,0.003,433.0,574.0,1.0
"eps[44, 0]",0.176,0.091,0.003,0.34,0.005,0.004,330.0,630.0,1.01
"eps[45, 0]",0.073,0.08,-0.08,0.218,0.003,0.002,536.0,839.0,1.01
"eps[46, 0]",0.141,0.114,-0.059,0.348,0.005,0.003,675.0,926.0,1.01
"eps[47, 0]",0.103,0.047,0.011,0.191,0.002,0.001,712.0,854.0,1.01
"eps[48, 0]",0.257,0.067,0.143,0.383,0.005,0.003,189.0,629.0,1.02
"eps[49, 0]",0.096,0.07,-0.035,0.228,0.005,0.004,192.0,480.0,1.02
"eps[50, 0]",-0.22,1.06,-1.685,1.506,0.092,0.065,155.0,515.0,1.03
"eps[51, 0]",0.327,0.308,-0.297,0.867,0.018,0.013,303.0,488.0,1.01
"eps[52, 0]",0.291,0.204,-0.08,0.682,0.015,0.01,199.0,645.0,1.02
"eps[53, 0]",0.283,0.099,0.101,0.466,0.006,0.004,324.0,366.0,1.01
"eps_tform[0, 0]",0.197,0.878,-1.566,1.758,0.031,0.028,773.0,683.0,1.01
"eps_tform[0, 1]",-0.75,0.846,-2.445,0.746,0.029,0.022,856.0,665.0,1.0
"eps_tform[0, 2]",-0.415,0.783,-1.994,0.951,0.028,0.022,771.0,704.0,1.0
"eps_tform[0, 3]",-0.517,0.704,-1.903,0.66,0.028,0.02,621.0,764.0,1.01
"eps_tform[0, 4]",-1.997,0.674,-3.208,-0.765,0.025,0.018,718.0,835.0,1.0
"eps_tform[0, 5]",0.43,0.889,-1.201,2.03,0.036,0.027,606.0,743.0,1.01
"eps_tform[0, 6]",-0.495,0.852,-2.075,1.04,0.028,0.023,903.0,735.0,1.0
"eps_tform[0, 7]",-0.62,0.897,-2.325,0.897,0.025,0.024,1244.0,803.0,1.0
"eps_tform[0, 8]",1.253,0.875,-0.338,2.985,0.025,0.021,1183.0,805.0,1.0
"eps_tform[0, 9]",-1.31,0.624,-2.425,-0.165,0.029,0.02,465.0,677.0,1.01
"eps_tform[0, 10]",1.662,0.771,0.319,3.117,0.036,0.026,445.0,829.0,1.01
"eps_tform[0, 11]",0.644,0.687,-0.719,1.865,0.033,0.026,424.0,642.0,1.0
"eps_tform[0, 12]",0.276,0.717,-0.99,1.609,0.037,0.026,377.0,620.0,1.01
"eps_tform[0, 13]",-0.318,0.618,-1.442,0.851,0.026,0.019,557.0,528.0,1.0
"eps_tform[0, 14]",1.012,0.999,-0.867,2.752,0.062,0.044,265.0,600.0,1.01
"eps_tform[0, 15]",0.059,0.63,-1.067,1.227,0.025,0.019,648.0,692.0,1.0
"eps_tform[0, 16]",-1.094,0.946,-2.865,0.601,0.025,0.021,1464.0,671.0,1.01
"eps_tform[0, 17]",-0.075,0.709,-1.464,1.191,0.029,0.02,612.0,718.0,1.0
