,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.624,0.073,0.486,0.757,0.003,0.002,447.0,497.0,1.01
Ds[0],35.699,0.056,35.593,35.804,0.002,0.002,505.0,606.0,1.0
RV[0],2.504,0.542,1.628,3.577,0.029,0.022,414.0,288.0,1.01
"eps[0, 0]",0.417,0.108,0.204,0.612,0.003,0.002,1092.0,936.0,1.0
"eps[1, 0]",0.632,0.189,0.254,0.964,0.006,0.004,904.0,586.0,1.0
"eps[2, 0]",0.37,0.155,0.095,0.664,0.005,0.004,934.0,846.0,1.01
"eps[3, 0]",-0.125,0.158,-0.426,0.167,0.005,0.004,1080.0,658.0,1.0
"eps[4, 0]",-0.579,0.157,-0.891,-0.302,0.005,0.004,880.0,760.0,1.0
"eps[5, 0]",-0.002,0.568,-1.031,1.075,0.017,0.022,1113.0,729.0,1.01
"eps[6, 0]",0.257,0.357,-0.372,0.928,0.009,0.008,1552.0,989.0,1.0
"eps[7, 0]",0.05,0.145,-0.252,0.293,0.005,0.004,1022.0,873.0,1.0
"eps[8, 0]",0.117,0.188,-0.233,0.462,0.005,0.005,1365.0,875.0,1.0
"eps[9, 0]",-0.168,0.047,-0.254,-0.08,0.002,0.001,523.0,472.0,1.01
"eps[10, 0]",-0.069,0.052,-0.172,0.023,0.002,0.002,474.0,560.0,1.01
"eps[11, 0]",-0.09,0.029,-0.144,-0.033,0.001,0.001,856.0,751.0,1.0
"eps[12, 0]",0.086,0.036,0.02,0.153,0.002,0.001,494.0,531.0,1.01
"eps[13, 0]",-0.113,0.027,-0.161,-0.062,0.001,0.001,701.0,525.0,1.01
"eps[14, 0]",-0.084,0.107,-0.286,0.111,0.004,0.003,858.0,813.0,1.0
"eps[15, 0]",-0.199,0.05,-0.298,-0.107,0.002,0.001,685.0,736.0,1.0
"eps[16, 0]",0.017,0.047,-0.07,0.105,0.002,0.001,647.0,656.0,1.0
"eps[17, 0]",-0.094,0.048,-0.189,-0.006,0.002,0.001,608.0,767.0,1.0
"eps[18, 0]",0.259,0.05,0.165,0.347,0.002,0.001,642.0,624.0,1.0
"eps[19, 0]",0.29,0.041,0.219,0.368,0.001,0.001,771.0,870.0,1.0
