,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.548,0.079,0.4,0.695,0.004,0.003,405.0,566.0,1.01
Ds[0],34.327,0.057,34.229,34.438,0.003,0.002,394.0,592.0,1.01
RV[0],3.832,0.993,2.228,5.744,0.049,0.035,387.0,464.0,1.0
"eps[0, 0]",-0.069,0.122,-0.284,0.162,0.004,0.003,1032.0,866.0,1.0
"eps[1, 0]",0.573,0.227,0.138,1.005,0.007,0.005,1142.0,831.0,1.01
"eps[2, 0]",0.178,0.165,-0.127,0.483,0.005,0.004,993.0,877.0,1.0
"eps[3, 0]",0.486,0.206,0.089,0.845,0.006,0.004,1067.0,755.0,1.0
"eps[4, 0]",0.276,0.208,-0.116,0.661,0.008,0.006,736.0,849.0,1.0
"eps[5, 0]",-0.232,0.565,-1.284,0.866,0.019,0.016,867.0,510.0,1.0
"eps[6, 0]",-0.317,0.393,-1.031,0.413,0.011,0.009,1338.0,897.0,1.0
"eps[7, 0]",0.017,0.148,-0.274,0.285,0.004,0.004,1072.0,780.0,1.01
"eps[8, 0]",0.145,0.196,-0.221,0.508,0.005,0.005,1335.0,823.0,1.0
"eps[9, 0]",0.02,0.049,-0.066,0.113,0.002,0.002,506.0,597.0,1.01
"eps[10, 0]",-0.148,0.061,-0.265,-0.035,0.003,0.002,534.0,564.0,1.0
"eps[11, 0]",0.147,0.034,0.086,0.211,0.001,0.001,645.0,865.0,1.0
"eps[12, 0]",-0.104,0.037,-0.164,-0.032,0.002,0.001,552.0,668.0,1.0
"eps[13, 0]",-0.004,0.03,-0.061,0.048,0.001,0.001,588.0,727.0,1.0
"eps[14, 0]",-0.187,0.109,-0.386,0.011,0.003,0.002,1442.0,836.0,1.01
"eps[15, 0]",0.127,0.1,-0.066,0.308,0.003,0.002,1387.0,822.0,1.0
"eps[16, 0]",0.046,0.056,-0.046,0.159,0.002,0.001,921.0,917.0,1.01
"eps[17, 0]",0.017,0.058,-0.084,0.132,0.002,0.002,1172.0,800.0,1.0
"eps[18, 0]",0.103,0.048,0.014,0.199,0.002,0.001,585.0,649.0,1.01
"eps[19, 0]",0.033,0.045,-0.043,0.126,0.002,0.001,530.0,874.0,1.0
"eps[20, 0]",-0.069,0.032,-0.127,-0.009,0.001,0.001,616.0,718.0,1.0
"eps[21, 0]",-0.034,0.034,-0.095,0.031,0.002,0.001,440.0,612.0,1.01
"eps[22, 0]",-0.091,0.031,-0.145,-0.03,0.001,0.001,520.0,610.0,1.0
"eps[23, 0]",-0.017,0.143,-0.259,0.264,0.005,0.004,990.0,892.0,1.0
"eps[24, 0]",-0.021,0.069,-0.163,0.092,0.003,0.002,668.0,812.0,1.01
"eps[25, 0]",-0.009,0.065,-0.141,0.103,0.003,0.002,599.0,725.0,1.01
"eps[26, 0]",-0.061,0.063,-0.172,0.06,0.003,0.002,473.0,697.0,1.0
"eps[27, 0]",0.227,0.07,0.088,0.345,0.003,0.002,775.0,894.0,1.0
