,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.082,0.048,0.002,0.165,0.003,0.002,362.0,611.0,1.0
Ds[0],35.311,0.042,35.237,35.39,0.002,0.001,404.0,462.0,1.01
RV[0],3.852,1.322,1.666,5.994,0.046,0.032,775.0,696.0,1.0
"eps[0, 0]",0.057,0.069,-0.076,0.179,0.003,0.002,434.0,605.0,1.0
"eps[1, 0]",-0.139,0.093,-0.312,0.03,0.003,0.002,857.0,880.0,1.0
"eps[2, 0]",0.204,0.097,0.035,0.393,0.004,0.003,672.0,674.0,1.0
"eps[3, 0]",-0.089,0.071,-0.231,0.039,0.003,0.003,566.0,579.0,1.0
"eps[4, 0]",0.182,0.083,0.032,0.342,0.003,0.002,682.0,630.0,1.0
"eps[5, 0]",0.125,0.452,-0.757,0.904,0.021,0.015,476.0,592.0,1.01
"eps[6, 0]",-0.141,0.187,-0.517,0.195,0.009,0.006,436.0,548.0,1.01
"eps[7, 0]",-0.062,0.089,-0.227,0.112,0.003,0.003,648.0,821.0,1.01
"eps[8, 0]",-0.133,0.134,-0.37,0.121,0.005,0.004,730.0,874.0,1.0
"eps[9, 0]",0.119,0.037,0.051,0.186,0.002,0.001,519.0,610.0,1.0
"eps[10, 0]",0.104,0.065,-0.011,0.226,0.002,0.002,719.0,752.0,1.0
"eps[11, 0]",0.087,0.042,0.01,0.163,0.002,0.001,675.0,606.0,1.0
"eps[12, 0]",0.0,0.038,-0.073,0.067,0.002,0.001,558.0,592.0,1.01
"eps[13, 0]",0.073,0.041,-0.015,0.141,0.001,0.001,741.0,694.0,1.0
"eps[14, 0]",-0.027,0.103,-0.2,0.171,0.004,0.003,612.0,620.0,1.0
"eps[15, 0]",0.075,0.057,-0.034,0.176,0.003,0.002,323.0,607.0,1.0
"eps[16, 0]",0.057,0.047,-0.021,0.152,0.002,0.001,541.0,488.0,1.01
"eps[17, 0]",0.025,0.057,-0.086,0.125,0.002,0.002,676.0,661.0,1.0
"eps[18, 0]",-0.111,0.037,-0.175,-0.036,0.002,0.001,544.0,604.0,1.0
"eps[19, 0]",0.012,0.036,-0.052,0.086,0.002,0.001,490.0,553.0,1.0
"eps[20, 0]",-0.011,0.028,-0.061,0.04,0.001,0.001,627.0,521.0,1.0
"eps[21, 0]",-0.034,0.028,-0.089,0.02,0.001,0.001,387.0,430.0,1.01
"eps[22, 0]",-0.07,0.026,-0.12,-0.023,0.002,0.001,270.0,445.0,1.01
"eps[23, 0]",0.014,0.125,-0.213,0.247,0.005,0.004,520.0,627.0,1.0
"eps[24, 0]",0.01,0.063,-0.111,0.126,0.003,0.002,536.0,714.0,1.0
