,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.024,0.019,0.0,0.059,0.001,0.001,626.0,636.0,1.01
Ds[0],35.03,0.027,34.979,35.077,0.001,0.001,434.0,588.0,1.0
RV[0],3.74,1.415,1.43,5.982,0.042,0.03,1129.0,635.0,1.01
"eps[0, 0]",0.004,0.037,-0.073,0.071,0.002,0.001,512.0,590.0,1.01
"eps[1, 0]",-0.216,0.055,-0.329,-0.116,0.002,0.001,742.0,584.0,1.0
"eps[2, 0]",0.288,0.061,0.18,0.407,0.002,0.002,662.0,715.0,1.0
"eps[3, 0]",-0.141,0.034,-0.203,-0.073,0.001,0.001,619.0,625.0,1.0
"eps[4, 0]",-0.012,0.049,-0.107,0.078,0.002,0.001,575.0,636.0,1.0
"eps[5, 0]",-0.073,0.346,-0.823,0.481,0.016,0.011,466.0,465.0,1.0
"eps[6, 0]",0.155,0.133,-0.077,0.415,0.006,0.004,470.0,470.0,1.0
"eps[7, 0]",-0.082,0.057,-0.188,0.018,0.002,0.002,523.0,477.0,1.01
"eps[8, 0]",0.213,0.09,0.055,0.388,0.004,0.003,617.0,723.0,1.0
"eps[9, 0]",0.017,0.02,-0.022,0.052,0.001,0.001,400.0,478.0,1.01
"eps[10, 0]",-0.094,0.032,-0.152,-0.034,0.001,0.001,512.0,614.0,1.0
"eps[11, 0]",0.063,0.026,0.017,0.112,0.001,0.001,492.0,637.0,1.01
"eps[12, 0]",-0.041,0.024,-0.084,0.005,0.001,0.001,424.0,439.0,1.0
"eps[13, 0]",0.013,0.022,-0.026,0.055,0.001,0.001,470.0,535.0,1.01
"eps[14, 0]",-0.056,0.092,-0.232,0.107,0.003,0.003,677.0,775.0,1.0
"eps[15, 0]",0.048,0.037,-0.025,0.112,0.002,0.001,564.0,709.0,1.0
"eps[16, 0]",-0.042,0.027,-0.096,0.003,0.001,0.001,479.0,629.0,1.0
"eps[17, 0]",0.039,0.058,-0.06,0.158,0.002,0.001,1028.0,703.0,1.0
"eps[18, 0]",-0.101,0.025,-0.148,-0.055,0.001,0.001,429.0,559.0,1.01
"eps[19, 0]",-0.139,0.026,-0.187,-0.089,0.001,0.001,606.0,722.0,1.0
"eps[20, 0]",0.077,0.025,0.035,0.129,0.001,0.001,515.0,622.0,1.01
"eps[21, 0]",-0.058,0.02,-0.093,-0.018,0.001,0.001,486.0,710.0,1.01
"eps[22, 0]",0.066,0.022,0.021,0.106,0.001,0.001,527.0,803.0,1.0
"eps[23, 0]",-0.114,0.149,-0.408,0.141,0.006,0.004,626.0,793.0,1.01
"eps[24, 0]",0.208,0.083,0.054,0.358,0.003,0.002,703.0,612.0,1.0
"eps[25, 0]",-0.186,0.051,-0.291,-0.098,0.002,0.001,937.0,748.0,1.0
"eps[26, 0]",-0.005,0.12,-0.205,0.254,0.004,0.004,954.0,763.0,1.0
"eps[27, 0]",-0.169,0.037,-0.228,-0.094,0.002,0.001,493.0,695.0,1.01
"eps[28, 0]",-0.234,0.027,-0.281,-0.183,0.001,0.001,736.0,898.0,1.01
"eps[29, 0]",0.079,0.027,0.035,0.135,0.001,0.001,592.0,473.0,1.01
"eps[30, 0]",0.006,0.02,-0.029,0.044,0.001,0.001,400.0,507.0,1.01
"eps[31, 0]",0.203,0.028,0.151,0.252,0.001,0.001,570.0,679.0,1.0
"eps[32, 0]",0.196,0.217,-0.234,0.575,0.008,0.006,781.0,758.0,1.0
"eps[33, 0]",-0.009,0.262,-0.523,0.473,0.009,0.008,939.0,653.0,1.0
"eps[34, 0]",0.219,0.157,-0.106,0.484,0.005,0.004,1147.0,573.0,1.01
"eps[35, 0]",0.026,0.079,-0.113,0.183,0.003,0.002,964.0,784.0,1.0
"eps[36, 0]",-0.059,0.029,-0.109,-0.003,0.001,0.001,470.0,584.0,1.01
"eps[37, 0]",-0.221,0.032,-0.281,-0.164,0.001,0.001,1015.0,752.0,1.0
"eps[38, 0]",-0.027,0.027,-0.074,0.025,0.001,0.001,410.0,570.0,1.01
"eps[39, 0]",-0.075,0.025,-0.119,-0.027,0.001,0.001,670.0,815.0,1.0
"eps[40, 0]",0.004,0.024,-0.041,0.047,0.001,0.001,536.0,718.0,1.01
"eps[41, 0]",-0.104,0.288,-0.563,0.486,0.01,0.01,793.0,575.0,1.01
"eps[42, 0]",0.135,0.107,-0.06,0.324,0.004,0.004,801.0,554.0,1.01
"eps[43, 0]",0.003,0.092,-0.153,0.186,0.002,0.002,1438.0,985.0,1.0
"eps[44, 0]",0.05,0.063,-0.075,0.158,0.002,0.002,1169.0,808.0,1.0
"eps[45, 0]",0.007,0.038,-0.063,0.083,0.001,0.001,712.0,803.0,1.0
"eps[46, 0]",-0.213,0.054,-0.315,-0.109,0.002,0.001,932.0,796.0,1.0
"eps[47, 0]",-0.044,0.025,-0.092,0.002,0.001,0.001,721.0,706.0,1.0
"eps[48, 0]",0.011,0.032,-0.047,0.07,0.001,0.001,704.0,728.0,1.0
"eps[49, 0]",-0.103,0.032,-0.161,-0.042,0.001,0.001,650.0,580.0,1.01
"eps[50, 0]",-0.078,0.509,-1.108,0.786,0.017,0.015,937.0,633.0,1.01
"eps[51, 0]",0.155,0.161,-0.143,0.44,0.006,0.004,879.0,701.0,1.0
"eps[52, 0]",-0.139,0.127,-0.364,0.096,0.004,0.003,1340.0,884.0,1.0
"eps[53, 0]",-0.004,0.079,-0.156,0.144,0.002,0.002,1180.0,692.0,1.0
"eps_tform[0, 0]",0.027,0.271,-0.528,0.517,0.012,0.009,512.0,590.0,1.01
"eps_tform[0, 1]",-0.814,0.217,-1.251,-0.42,0.008,0.006,703.0,537.0,1.0
"eps_tform[0, 2]",1.097,0.239,0.632,1.5,0.009,0.007,649.0,674.0,1.0
"eps_tform[0, 3]",-0.156,0.075,-0.294,-0.018,0.003,0.002,833.0,728.0,1.0
"eps_tform[0, 4]",-0.593,0.155,-0.868,-0.286,0.006,0.004,659.0,560.0,1.0
"eps_tform[0, 5]",-0.354,0.522,-1.392,0.55,0.023,0.017,493.0,503.0,1.0
"eps_tform[0, 6]",0.368,0.205,0.016,0.773,0.009,0.006,516.0,471.0,1.0
"eps_tform[0, 7]",-0.495,0.321,-1.079,0.077,0.014,0.01,534.0,507.0,1.01
"eps_tform[0, 8]",1.095,0.368,0.399,1.767,0.013,0.01,749.0,634.0,1.0
"eps_tform[0, 9]",0.044,0.247,-0.424,0.509,0.012,0.009,403.0,495.0,1.01
"eps_tform[0, 10]",-0.98,0.338,-1.568,-0.349,0.015,0.01,540.0,584.0,1.0
"eps_tform[0, 11]",1.097,0.386,0.413,1.855,0.018,0.013,465.0,655.0,1.01
"eps_tform[0, 12]",-0.548,0.353,-1.116,0.164,0.017,0.012,459.0,510.0,1.0
"eps_tform[0, 13]",-0.247,0.266,-0.704,0.312,0.012,0.009,499.0,600.0,1.0
"eps_tform[0, 14]",-0.188,0.722,-1.611,1.089,0.026,0.023,731.0,801.0,1.01
"eps_tform[0, 15]",0.374,0.272,-0.156,0.869,0.012,0.009,512.0,651.0,1.01
"eps_tform[0, 16]",-0.466,0.34,-1.076,0.16,0.016,0.011,439.0,650.0,1.01
"eps_tform[0, 17]",0.416,0.717,-1.03,1.641,0.022,0.019,1082.0,620.0,1.01
"eps_tform[0, 18]",-1.559,0.324,-2.142,-0.9,0.013,0.01,579.0,699.0,1.01
"eps_tform[0, 19]",-1.786,0.274,-2.318,-1.311,0.012,0.009,484.0,542.0,1.0
"eps_tform[0, 20]",1.042,0.388,0.305,1.745,0.019,0.013,418.0,512.0,1.01
"eps_tform[0, 21]",-0.788,0.358,-1.422,-0.073,0.017,0.012,447.0,510.0,1.01
"eps_tform[0, 22]",0.148,0.305,-0.416,0.698,0.014,0.01,457.0,659.0,1.0
"eps_tform[0, 23]",-0.751,0.944,-2.621,0.889,0.036,0.029,675.0,731.0,1.01
"eps_tform[0, 24]",1.12,0.496,0.212,2.018,0.017,0.013,801.0,806.0,1.0
"eps_tform[0, 25]",-1.391,0.367,-2.058,-0.695,0.013,0.01,752.0,777.0,1.01
"eps_tform[0, 26]",-0.708,0.891,-2.304,1.015,0.028,0.026,988.0,661.0,1.0
"eps_tform[0, 27]",-0.707,0.35,-1.328,-0.016,0.015,0.011,511.0,631.0,1.01
"eps_tform[0, 28]",-1.881,0.365,-2.589,-1.199,0.016,0.011,541.0,579.0,1.0
"eps_tform[0, 29]",1.629,0.326,1.038,2.254,0.013,0.009,637.0,465.0,1.01
"eps_tform[0, 30]",0.26,0.329,-0.333,0.897,0.015,0.011,502.0,617.0,1.0
"eps_tform[0, 31]",0.623,0.365,-0.023,1.325,0.015,0.011,630.0,660.0,1.01
"eps_tform[0, 32]",-0.002,0.847,-1.518,1.588,0.025,0.027,1195.0,774.0,1.0
"eps_tform[0, 33]",-0.955,0.846,-2.461,0.66,0.027,0.022,987.0,646.0,1.0
"eps_tform[0, 34]",-0.417,0.971,-2.314,1.247,0.027,0.025,1325.0,554.0,1.01
"eps_tform[0, 35]",-0.118,0.93,-1.791,1.579,0.028,0.026,1089.0,754.0,1.0
"eps_tform[0, 36]",0.352,0.403,-0.4,1.052,0.017,0.012,537.0,648.0,1.01
"eps_tform[0, 37]",0.066,0.316,-0.457,0.705,0.012,0.01,680.0,649.0,1.01
"eps_tform[0, 38]",0.987,0.392,0.234,1.698,0.017,0.012,568.0,490.0,1.01
"eps_tform[0, 39]",0.645,0.423,-0.093,1.473,0.015,0.011,798.0,755.0,1.0
