,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.178,0.078,0.026,0.311,0.005,0.003,249.0,361.0,1.01
Ds[0],35.642,0.063,35.526,35.755,0.003,0.002,384.0,350.0,1.01
RV[0],3.324,1.433,1.049,5.707,0.066,0.047,486.0,694.0,1.0
"eps[0, 0]",-0.186,0.075,-0.312,-0.04,0.003,0.003,468.0,556.0,1.0
"eps[1, 0]",0.012,0.161,-0.29,0.294,0.006,0.005,837.0,779.0,1.0
"eps[2, 0]",-0.169,0.144,-0.418,0.124,0.007,0.005,421.0,649.0,1.01
"eps[3, 0]",0.218,0.117,0.019,0.463,0.005,0.003,599.0,578.0,1.0
"eps[4, 0]",-0.189,0.136,-0.433,0.063,0.006,0.005,469.0,407.0,1.0
"eps[5, 0]",0.265,0.524,-0.7,1.219,0.018,0.013,883.0,752.0,1.0
"eps[6, 0]",0.071,0.427,-0.712,0.841,0.015,0.012,862.0,808.0,1.0
"eps[7, 0]",-0.084,0.145,-0.36,0.182,0.005,0.004,913.0,692.0,1.0
"eps[8, 0]",-0.005,0.196,-0.371,0.344,0.008,0.006,600.0,819.0,1.01
"eps[9, 0]",0.124,0.041,0.041,0.193,0.003,0.002,206.0,390.0,1.01
"eps[10, 0]",0.098,0.053,0.006,0.202,0.004,0.003,187.0,243.0,1.01
"eps[11, 0]",0.109,0.027,0.059,0.161,0.001,0.001,487.0,664.0,1.01
"eps[12, 0]",0.031,0.036,-0.042,0.094,0.002,0.002,235.0,420.0,1.01
"eps[13, 0]",0.081,0.026,0.029,0.126,0.001,0.001,477.0,648.0,1.01
"eps[14, 0]",0.036,0.098,-0.143,0.231,0.004,0.003,635.0,495.0,1.0
"eps[15, 0]",-0.041,0.068,-0.158,0.088,0.003,0.002,553.0,669.0,1.0
"eps[16, 0]",-0.032,0.057,-0.148,0.063,0.002,0.002,764.0,754.0,1.0
"eps[17, 0]",0.013,0.063,-0.108,0.125,0.002,0.002,708.0,782.0,1.0
"eps[18, 0]",-0.074,0.038,-0.149,-0.004,0.002,0.002,306.0,429.0,1.02
"eps[19, 0]",-0.006,0.034,-0.064,0.065,0.002,0.002,255.0,420.0,1.01
"eps[20, 0]",0.023,0.024,-0.022,0.065,0.001,0.001,440.0,738.0,1.01
"eps[21, 0]",-0.121,0.025,-0.167,-0.075,0.001,0.001,424.0,793.0,1.01
"eps[22, 0]",-0.047,0.03,-0.1,0.008,0.001,0.001,405.0,472.0,1.0
"eps[23, 0]",-0.082,0.142,-0.344,0.19,0.006,0.005,530.0,532.0,1.01
"eps[24, 0]",0.044,0.131,-0.19,0.318,0.005,0.004,808.0,571.0,1.01
"eps[25, 0]",-0.163,0.128,-0.419,0.069,0.005,0.004,705.0,505.0,1.01
"eps[26, 0]",-0.032,0.115,-0.228,0.187,0.004,0.003,1051.0,750.0,1.0
"eps[27, 0]",-0.137,0.05,-0.238,-0.045,0.003,0.002,393.0,648.0,1.01
"eps[28, 0]",-0.122,0.036,-0.189,-0.056,0.002,0.001,498.0,555.0,1.0
"eps[29, 0]",0.029,0.037,-0.043,0.095,0.002,0.001,589.0,538.0,1.01
"eps[30, 0]",-0.054,0.03,-0.108,0.009,0.002,0.001,306.0,422.0,1.01
"eps[31, 0]",0.178,0.039,0.104,0.248,0.002,0.001,488.0,729.0,1.01
"eps[32, 0]",0.134,0.211,-0.261,0.52,0.009,0.007,601.0,517.0,1.0
"eps[33, 0]",0.04,0.113,-0.147,0.268,0.005,0.003,608.0,561.0,1.0
"eps[34, 0]",0.259,0.141,-0.0,0.525,0.004,0.003,1025.0,843.0,1.0
"eps[35, 0]",0.015,0.079,-0.129,0.162,0.002,0.002,1334.0,849.0,1.0
"eps[36, 0]",-0.068,0.039,-0.144,0.007,0.002,0.002,324.0,523.0,1.02
"eps[37, 0]",-0.233,0.041,-0.309,-0.157,0.001,0.001,779.0,767.0,1.01
"eps[38, 0]",-0.115,0.035,-0.18,-0.048,0.002,0.001,382.0,455.0,1.02
"eps[39, 0]",-0.219,0.039,-0.289,-0.149,0.002,0.002,330.0,562.0,1.01
"eps[40, 0]",-0.133,0.038,-0.207,-0.065,0.002,0.001,398.0,651.0,1.0
"eps[41, 0]",-0.39,0.278,-0.86,0.161,0.01,0.007,790.0,765.0,1.0
"eps[42, 0]",0.014,0.132,-0.221,0.268,0.005,0.004,680.0,697.0,1.0
"eps[43, 0]",-0.118,0.095,-0.305,0.044,0.003,0.002,970.0,676.0,1.0
"eps[44, 0]",-0.227,0.091,-0.385,-0.052,0.003,0.002,684.0,606.0,1.0
"eps[45, 0]",0.064,0.06,-0.039,0.181,0.002,0.001,1215.0,757.0,1.0
"eps[46, 0]",0.376,0.116,0.147,0.579,0.005,0.003,598.0,806.0,1.0
"eps[47, 0]",-0.094,0.038,-0.167,-0.025,0.001,0.001,957.0,688.0,1.0
"eps[48, 0]",0.034,0.049,-0.057,0.123,0.002,0.001,877.0,867.0,1.01
"eps[49, 0]",-0.187,0.068,-0.332,-0.066,0.003,0.002,417.0,437.0,1.0
"eps[50, 0]",-0.024,0.523,-0.926,1.054,0.018,0.014,870.0,787.0,1.01
"eps[51, 0]",-0.582,0.293,-1.173,-0.048,0.01,0.008,889.0,717.0,1.01
"eps[52, 0]",-0.383,0.156,-0.667,-0.074,0.005,0.004,935.0,726.0,1.0
"eps[53, 0]",-0.193,0.091,-0.349,-0.016,0.003,0.002,984.0,713.0,1.0
"eps_tform[0, 0]",-1.35,0.542,-2.27,-0.29,0.025,0.019,468.0,556.0,1.0
"eps_tform[0, 1]",-0.067,0.601,-1.166,1.007,0.021,0.018,838.0,777.0,1.0
"eps_tform[0, 2]",-0.503,0.56,-1.59,0.469,0.03,0.021,363.0,659.0,1.02
"eps_tform[0, 3]",1.009,0.359,0.347,1.68,0.013,0.01,732.0,663.0,1.0
"eps_tform[0, 4]",-0.617,0.492,-1.65,0.212,0.022,0.016,509.0,553.0,1.01
"eps_tform[0, 5]",0.302,0.796,-1.106,1.756,0.026,0.02,929.0,699.0,1.0
"eps_tform[0, 6]",0.275,0.932,-1.482,1.948,0.033,0.024,780.0,763.0,1.0
"eps_tform[0, 7]",-0.519,0.906,-2.113,1.326,0.03,0.026,925.0,698.0,1.0
"eps_tform[0, 8]",0.156,0.929,-1.669,1.777,0.041,0.029,514.0,643.0,1.01
"eps_tform[0, 9]",1.459,0.508,0.472,2.337,0.034,0.024,226.0,503.0,1.01
"eps_tform[0, 10]",0.706,0.511,-0.207,1.674,0.035,0.027,210.0,246.0,1.01
"eps_tform[0, 11]",1.218,0.446,0.466,2.089,0.022,0.016,413.0,706.0,1.01
"eps_tform[0, 12]",-0.03,0.562,-1.142,1.026,0.031,0.022,319.0,406.0,1.01
"eps_tform[0, 13]",0.377,0.374,-0.371,1.032,0.017,0.012,490.0,539.0,1.0
"eps_tform[0, 14]",-0.002,0.768,-1.487,1.359,0.03,0.025,639.0,514.0,1.0
"eps_tform[0, 15]",-0.755,0.596,-1.809,0.357,0.025,0.018,558.0,680.0,1.0
"eps_tform[0, 16]",-0.291,0.692,-1.576,0.935,0.025,0.02,771.0,701.0,1.0
"eps_tform[0, 17]",0.404,0.784,-1.115,1.803,0.028,0.023,785.0,759.0,1.01
"eps_tform[0, 18]",-0.178,0.502,-1.065,0.765,0.025,0.018,408.0,463.0,1.01
"eps_tform[0, 19]",-0.507,0.38,-1.218,0.171,0.022,0.016,290.0,644.0,1.01
"eps_tform[0, 20]",0.278,0.42,-0.451,1.118,0.022,0.016,358.0,586.0,1.01
"eps_tform[0, 21]",-1.672,0.442,-2.501,-0.84,0.02,0.014,483.0,495.0,1.01
"eps_tform[0, 22]",-0.357,0.393,-1.116,0.329,0.022,0.015,330.0,487.0,1.01
"eps_tform[0, 23]",-0.131,0.897,-1.821,1.477,0.036,0.028,599.0,503.0,1.01
"eps_tform[0, 24]",0.138,0.976,-1.634,2.139,0.031,0.036,1038.0,654.0,1.0
"eps_tform[0, 25]",-0.084,0.85,-1.68,1.469,0.031,0.027,787.0,633.0,1.0
"eps_tform[0, 26]",-0.298,0.883,-1.797,1.361,0.026,0.025,1144.0,859.0,1.0
"eps_tform[0, 27]",-0.282,0.453,-1.186,0.496,0.022,0.015,428.0,669.0,1.01
"eps_tform[0, 28]",-1.194,0.41,-1.869,-0.354,0.021,0.015,390.0,434.0,1.0
"eps_tform[0, 29]",1.437,0.509,0.485,2.366,0.023,0.016,482.0,655.0,1.01
"eps_tform[0, 30]",-0.532,0.559,-1.532,0.537,0.033,0.023,285.0,341.0,1.01
"eps_tform[0, 31]",1.451,0.501,0.578,2.423,0.02,0.015,607.0,600.0,1.0
"eps_tform[0, 32]",0.705,0.87,-0.767,2.417,0.03,0.026,893.0,731.0,1.0
"eps_tform[0, 33]",-1.484,0.401,-2.289,-0.8,0.017,0.012,551.0,478.0,1.0
"eps_tform[0, 34]",-0.294,0.832,-1.787,1.362,0.024,0.026,1175.0,632.0,1.0
"eps_tform[0, 35]",-0.031,0.857,-1.477,1.805,0.024,0.023,1306.0,852.0,1.0
"eps_tform[0, 36]",0.078,0.488,-0.857,0.943,0.025,0.018,378.0,526.0,1.01
"eps_tform[0, 37]",0.546,0.425,-0.274,1.312,0.021,0.016,398.0,439.0,1.01
"eps_tform[0, 38]",0.676,0.567,-0.479,1.614,0.032,0.023,310.0,608.0,1.01
"eps_tform[0, 39]",0.36,0.525,-0.667,1.31,0.022,0.015,590.0,674.0,1.0
"eps_tform[0, 40]",-0.229,0.486,-1.097,0.663,0.019,0.013,663.0,689.0,1.0
"eps_tform[0, 41]",-1.141,0.85,-2.633,0.563,0.029,0.022,860.0,774.0,1.0
"eps_tform[0, 42]",-0.496,0.6,-1.595,0.637,0.024,0.017,645.0,642.0,1.01
"eps_tform[0, 43]",0.733,0.735,-0.586,2.142,0.021,0.018,1177.0,811.0,1.0
"eps_tform[0, 44]",-0.014,0.923,-1.641,1.766,0.025,0.029,1369.0,713.0,1.0
"eps_tform[0, 45]",0.427,0.844,-1.12,2.05,0.023,0.024,1306.0,785.0,1.0
"eps_tform[0, 46]",1.751,0.643,0.583,2.977,0.03,0.023,458.0,469.0,1.0
"eps_tform[0, 47]",-0.067,0.918,-1.768,1.562,0.034,0.026,752.0,464.0,1.01
"eps_tform[0, 48]",0.678,0.703,-0.742,1.918,0.026,0.021,712.0,776.0,1.01
"eps_tform[0, 49]",-0.678,0.781,-2.089,0.828,0.027,0.021,867.0,706.0,1.0
"eps_tform[0, 50]",0.102,0.932,-1.655,1.913,0.029,0.026,1026.0,804.0,1.0
"eps_tform[0, 51]",0.025,0.944,-1.956,1.664,0.025,0.033,1441.0,559.0,1.0
"eps_tform[0, 52]",0.048,0.999,-1.938,1.824,0.029,0.033,1217.0,633.0,1.0
"eps_tform[0, 53]",-0.053,1.039,-1.946,1.806,0.023,0.047,2019.0,681.0,1.0
theta[0],-0.223,0.234,-0.669,0.197,0.016,0.011,221.0,243.0,1.01
tmax[0],0.451,0.221,-0.002,0.824,0.009,0.006,624.0,745.0,1.0
peak_MJD[0],54562.762,0.229,54562.294,54563.148,0.009,0.007,624.0,745.0,1.0
mu[0],35.644,0.112,35.439,35.862,0.004,0.003,787.0,920.0,1.0
