,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.039,0.032,0.0,0.101,0.001,0.001,622.0,416.0,1.01
Ds[0],37.279,0.042,37.207,37.356,0.002,0.001,504.0,528.0,1.01
RV[0],3.971,1.381,1.598,5.999,0.037,0.029,1303.0,509.0,1.02
"eps[0, 0]",-0.003,0.102,-0.186,0.197,0.003,0.003,1401.0,560.0,1.01
"eps[1, 0]",0.097,0.193,-0.271,0.463,0.006,0.006,919.0,549.0,1.01
"eps[2, 0]",0.183,0.17,-0.104,0.525,0.005,0.004,1133.0,760.0,1.0
"eps[3, 0]",0.518,0.199,0.153,0.887,0.006,0.004,1274.0,572.0,1.0
"eps[4, 0]",0.546,0.222,0.13,0.983,0.006,0.005,1204.0,820.0,1.0
"eps[5, 0]",-0.101,0.577,-1.176,0.959,0.016,0.017,1286.0,759.0,1.0
"eps[6, 0]",0.061,0.444,-0.842,0.851,0.012,0.015,1483.0,567.0,1.01
"eps[7, 0]",0.065,0.154,-0.198,0.374,0.004,0.004,1552.0,829.0,1.0
"eps[8, 0]",-0.013,0.198,-0.396,0.331,0.006,0.007,1110.0,540.0,1.0
"eps[9, 0]",-0.038,0.025,-0.084,0.01,0.001,0.001,599.0,590.0,1.01
"eps[10, 0]",-0.088,0.035,-0.15,-0.024,0.002,0.001,543.0,654.0,1.01
"eps[11, 0]",-0.098,0.032,-0.16,-0.043,0.001,0.001,797.0,797.0,1.0
"eps[12, 0]",-0.05,0.04,-0.122,0.025,0.002,0.001,626.0,622.0,1.0
"eps[13, 0]",-0.074,0.039,-0.143,-0.001,0.001,0.001,1056.0,723.0,1.0
"eps[14, 0]",-0.067,0.115,-0.282,0.145,0.003,0.003,1475.0,711.0,1.01
"eps[15, 0]",-0.047,0.108,-0.244,0.15,0.003,0.004,1165.0,665.0,1.0
"eps[16, 0]",-0.024,0.083,-0.184,0.121,0.002,0.003,1451.0,579.0,1.0
"eps[17, 0]",-0.08,0.081,-0.243,0.06,0.002,0.002,1534.0,771.0,1.0
"eps[18, 0]",0.045,0.035,-0.017,0.114,0.001,0.001,646.0,568.0,1.01
"eps[19, 0]",-0.026,0.029,-0.082,0.027,0.001,0.001,584.0,655.0,1.0
"eps[20, 0]",0.069,0.034,0.005,0.131,0.001,0.001,848.0,709.0,1.0
"eps[21, 0]",0.132,0.038,0.066,0.207,0.001,0.001,752.0,779.0,1.0
"eps[22, 0]",0.224,0.047,0.136,0.312,0.001,0.001,1201.0,953.0,1.0
"eps[23, 0]",0.124,0.136,-0.11,0.384,0.004,0.003,1198.0,931.0,1.0
"eps[24, 0]",0.104,0.127,-0.119,0.345,0.004,0.004,1218.0,565.0,1.01
"eps[25, 0]",0.152,0.145,-0.1,0.447,0.004,0.003,1495.0,830.0,1.0
"eps[26, 0]",0.018,0.136,-0.243,0.267,0.003,0.005,1572.0,710.0,1.0
"eps[27, 0]",0.071,0.052,-0.031,0.163,0.002,0.001,736.0,651.0,1.01
