,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.196,0.07,0.062,0.313,0.003,0.002,437.0,534.0,1.01
Ds[0],34.439,0.066,34.325,34.563,0.003,0.002,427.0,456.0,1.0
RV[0],3.524,1.414,1.409,5.982,0.046,0.032,987.0,703.0,1.0
"eps[0, 0]",0.015,0.119,-0.213,0.237,0.006,0.004,450.0,639.0,1.0
"eps[1, 0]",0.392,0.239,-0.049,0.832,0.006,0.005,1614.0,839.0,1.0
"eps[2, 0]",0.219,0.183,-0.104,0.571,0.006,0.005,843.0,793.0,1.0
"eps[3, 0]",0.658,0.215,0.256,1.054,0.008,0.006,766.0,853.0,1.0
"eps[4, 0]",0.576,0.221,0.194,0.996,0.008,0.006,755.0,711.0,1.0
"eps[5, 0]",-0.429,0.554,-1.537,0.483,0.017,0.015,1050.0,692.0,1.0
"eps[6, 0]",-0.252,0.387,-0.894,0.514,0.011,0.011,1279.0,669.0,1.0
"eps[7, 0]",0.095,0.141,-0.186,0.338,0.004,0.004,1274.0,732.0,1.0
"eps[8, 0]",0.037,0.193,-0.309,0.415,0.005,0.006,1512.0,758.0,1.0
"eps[9, 0]",0.011,0.057,-0.099,0.112,0.002,0.002,800.0,791.0,1.01
"eps[10, 0]",-0.147,0.082,-0.292,0.016,0.002,0.002,1130.0,598.0,1.0
"eps[11, 0]",0.051,0.052,-0.052,0.143,0.002,0.001,1027.0,595.0,1.0
"eps[12, 0]",-0.091,0.043,-0.168,-0.01,0.002,0.001,777.0,657.0,1.0
"eps[13, 0]",0.066,0.053,-0.031,0.162,0.002,0.001,770.0,867.0,1.0
"eps[14, 0]",-0.223,0.089,-0.395,-0.078,0.003,0.002,1001.0,736.0,1.0
"eps[15, 0]",0.044,0.099,-0.134,0.229,0.003,0.003,947.0,667.0,1.01
"eps[16, 0]",0.054,0.077,-0.091,0.204,0.002,0.002,1444.0,645.0,1.0
"eps[17, 0]",-0.079,0.069,-0.204,0.048,0.003,0.002,638.0,793.0,1.01
"eps[18, 0]",0.163,0.039,0.086,0.233,0.001,0.001,738.0,751.0,1.0
"eps[19, 0]",0.12,0.057,0.016,0.231,0.002,0.001,852.0,790.0,1.0
"eps[20, 0]",0.058,0.038,-0.008,0.13,0.001,0.001,979.0,796.0,1.0
"eps[21, 0]",0.018,0.031,-0.04,0.077,0.001,0.001,731.0,745.0,1.0
"eps[22, 0]",0.024,0.036,-0.036,0.095,0.001,0.001,806.0,821.0,1.01
"eps[23, 0]",0.352,0.108,0.156,0.558,0.004,0.003,807.0,798.0,1.01
"eps[24, 0]",-0.005,0.059,-0.112,0.111,0.002,0.002,617.0,651.0,1.0
"eps[25, 0]",-0.025,0.066,-0.152,0.093,0.002,0.002,879.0,748.0,1.0
"eps[26, 0]",-0.074,0.062,-0.19,0.035,0.003,0.002,590.0,735.0,1.0
"eps[27, 0]",0.04,0.057,-0.06,0.143,0.002,0.002,751.0,571.0,1.01
"eps[28, 0]",0.129,0.033,0.069,0.191,0.001,0.001,745.0,822.0,1.0
"eps[29, 0]",-0.115,0.029,-0.175,-0.065,0.001,0.001,843.0,594.0,1.0
"eps[30, 0]",-0.137,0.03,-0.194,-0.084,0.001,0.001,697.0,858.0,1.01
"eps[31, 0]",-0.108,0.046,-0.189,-0.019,0.002,0.001,628.0,639.0,1.0
"eps[32, 0]",-0.048,0.101,-0.233,0.151,0.003,0.003,1085.0,761.0,1.0
"eps[33, 0]",-0.039,0.048,-0.132,0.049,0.002,0.002,573.0,598.0,1.0
"eps[34, 0]",0.033,0.069,-0.097,0.158,0.003,0.002,542.0,687.0,1.0
"eps[35, 0]",0.106,0.046,0.014,0.185,0.002,0.002,416.0,443.0,1.0
"eps[36, 0]",-0.046,0.041,-0.118,0.032,0.001,0.001,751.0,632.0,1.01
"eps[37, 0]",-0.006,0.03,-0.064,0.05,0.001,0.001,932.0,692.0,1.01
"eps[38, 0]",-0.093,0.037,-0.159,-0.024,0.001,0.001,686.0,556.0,1.0
"eps[39, 0]",-0.141,0.038,-0.212,-0.07,0.001,0.001,676.0,599.0,1.0
"eps[40, 0]",-0.068,0.039,-0.136,0.004,0.002,0.001,567.0,709.0,1.0
"eps[41, 0]",-0.723,0.216,-1.099,-0.316,0.008,0.005,830.0,535.0,1.0
"eps[42, 0]",0.034,0.083,-0.122,0.195,0.003,0.002,770.0,674.0,1.0
"eps[43, 0]",-0.116,0.059,-0.233,-0.017,0.002,0.002,560.0,625.0,1.0
"eps[44, 0]",0.038,0.057,-0.068,0.14,0.003,0.002,455.0,606.0,1.0
"eps[45, 0]",-0.124,0.053,-0.221,-0.02,0.002,0.001,963.0,724.0,1.0
"eps[46, 0]",-0.021,0.091,-0.177,0.158,0.003,0.002,1042.0,852.0,1.0
"eps[47, 0]",-0.059,0.036,-0.127,0.009,0.001,0.001,1424.0,780.0,1.0
"eps[48, 0]",-0.141,0.039,-0.216,-0.069,0.001,0.001,780.0,916.0,1.0
"eps[49, 0]",0.172,0.052,0.082,0.273,0.002,0.001,815.0,817.0,1.01
"eps[50, 0]",1.336,0.29,0.813,1.899,0.009,0.007,956.0,899.0,1.0
"eps[51, 0]",-0.034,0.168,-0.375,0.264,0.007,0.005,598.0,679.0,1.0
"eps[52, 0]",0.335,0.104,0.169,0.547,0.004,0.003,816.0,735.0,1.0
"eps[53, 0]",-0.083,0.064,-0.199,0.039,0.003,0.002,575.0,625.0,1.01
"eps_tform[0, 0]",0.112,0.867,-1.547,1.723,0.041,0.029,450.0,639.0,1.0
"eps_tform[0, 1]",1.491,0.897,-0.12,3.183,0.022,0.017,1597.0,783.0,1.01
"eps_tform[0, 2]",1.608,0.811,0.241,3.235,0.026,0.019,984.0,762.0,1.0
"eps_tform[0, 3]",1.952,0.748,0.592,3.415,0.025,0.018,872.0,896.0,1.0
"eps_tform[0, 4]",1.104,0.777,-0.248,2.486,0.028,0.02,776.0,710.0,1.0
"eps_tform[0, 5]",-1.051,0.819,-2.666,0.398,0.026,0.02,1032.0,758.0,1.01
"eps_tform[0, 6]",-0.509,0.853,-1.996,1.165,0.024,0.024,1285.0,820.0,1.0
"eps_tform[0, 7]",0.141,0.87,-1.556,1.668,0.025,0.026,1235.0,766.0,1.0
"eps_tform[0, 8]",-0.19,0.943,-1.804,1.691,0.025,0.03,1444.0,847.0,1.0
"eps_tform[0, 9]",0.137,0.659,-0.98,1.469,0.023,0.02,837.0,781.0,1.01
"eps_tform[0, 10]",-1.584,0.873,-3.064,0.225,0.027,0.021,1106.0,522.0,1.0
"eps_tform[0, 11]",0.732,0.838,-0.746,2.3,0.026,0.021,1082.0,538.0,1.0
"eps_tform[0, 12]",-1.157,0.814,-2.629,0.282,0.031,0.022,693.0,557.0,1.0
"eps_tform[0, 13]",1.068,0.733,-0.239,2.434,0.029,0.022,658.0,652.0,1.01
"eps_tform[0, 14]",-1.422,0.732,-2.851,-0.176,0.023,0.017,1027.0,808.0,1.0
"eps_tform[0, 15]",0.308,0.913,-1.333,1.97,0.031,0.029,883.0,684.0,1.01
"eps_tform[0, 16]",0.724,0.951,-1.095,2.497,0.026,0.028,1300.0,636.0,1.01
"eps_tform[0, 17]",-0.79,0.863,-2.389,0.787,0.03,0.023,834.0,697.0,1.01
"eps_tform[0, 18]",1.47,0.638,0.362,2.649,0.023,0.016,771.0,881.0,1.01
"eps_tform[0, 19]",1.298,0.563,0.252,2.321,0.02,0.015,848.0,621.0,1.0
"eps_tform[0, 20]",1.488,0.507,0.509,2.368,0.018,0.013,807.0,753.0,1.0
"eps_tform[0, 21]",-0.36,0.52,-1.289,0.648,0.021,0.015,626.0,754.0,1.0
"eps_tform[0, 22]",-0.359,0.487,-1.32,0.477,0.021,0.015,519.0,731.0,1.01
"eps_tform[0, 23]",0.927,0.758,-0.523,2.277,0.027,0.019,788.0,823.0,1.02
"eps_tform[0, 24]",0.414,0.417,-0.332,1.215,0.018,0.013,523.0,712.0,1.0
"eps_tform[0, 25]",-0.899,0.462,-1.738,0.007,0.018,0.013,674.0,647.0,1.01
"eps_tform[0, 26]",-0.562,0.506,-1.526,0.39,0.018,0.013,767.0,849.0,1.0
"eps_tform[0, 27]",-0.57,0.571,-1.61,0.473,0.02,0.016,812.0,747.0,1.0
"eps_tform[0, 28]",0.607,0.367,-0.082,1.291,0.016,0.013,525.0,585.0,1.01
"eps_tform[0, 29]",-1.339,0.507,-2.267,-0.335,0.019,0.014,724.0,558.0,1.01
"eps_tform[0, 30]",-1.73,0.665,-2.98,-0.472,0.023,0.018,826.0,692.0,1.0
"eps_tform[0, 31]",1.42,0.517,0.461,2.416,0.019,0.014,722.0,648.0,1.0
"eps_tform[0, 32]",0.732,0.676,-0.5,2.017,0.022,0.016,948.0,793.0,1.01
"eps_tform[0, 33]",-0.091,0.392,-0.806,0.642,0.017,0.012,559.0,605.0,1.0
"eps_tform[0, 34]",0.602,0.394,-0.07,1.364,0.017,0.012,555.0,672.0,1.0
"eps_tform[0, 35]",0.927,0.493,0.002,1.844,0.021,0.015,569.0,725.0,1.0
"eps_tform[0, 36]",-0.477,0.512,-1.448,0.455,0.017,0.014,884.0,664.0,1.0
"eps_tform[0, 37]",-1.594,0.479,-2.473,-0.685,0.019,0.014,650.0,731.0,1.01
"eps_tform[0, 38]",-0.378,0.551,-1.43,0.599,0.022,0.016,621.0,668.0,1.0
"eps_tform[0, 39]",-1.411,0.556,-2.451,-0.363,0.02,0.014,806.0,914.0,1.0
"eps_tform[0, 40]",-0.715,0.59,-1.904,0.3,0.024,0.018,604.0,599.0,1.01
"eps_tform[0, 41]",-0.492,0.844,-2.093,1.021,0.025,0.023,1131.0,778.0,1.0
"eps_tform[0, 42]",0.143,0.469,-0.758,0.988,0.018,0.013,692.0,695.0,1.0
"eps_tform[0, 43]",-0.903,0.455,-1.674,-0.006,0.019,0.013,594.0,811.0,1.0
"eps_tform[0, 44]",0.243,0.581,-0.855,1.312,0.026,0.018,503.0,592.0,1.0
"eps_tform[0, 45]",-1.495,0.773,-2.876,-0.02,0.023,0.017,1126.0,757.0,1.0
"eps_tform[0, 46]",0.041,0.576,-0.949,1.158,0.021,0.015,792.0,816.0,1.0
"eps_tform[0, 47]",0.028,0.817,-1.481,1.539,0.024,0.026,1150.0,660.0,1.0
"eps_tform[0, 48]",0.739,0.667,-0.398,2.13,0.025,0.019,703.0,730.0,1.0
"eps_tform[0, 49]",2.718,0.769,1.5,4.332,0.023,0.016,1118.0,832.0,1.0
"eps_tform[0, 50]",0.617,0.838,-1.036,2.091,0.026,0.022,1018.0,682.0,1.0
"eps_tform[0, 51]",0.296,0.645,-0.883,1.469,0.027,0.019,590.0,664.0,1.01
"eps_tform[0, 52]",0.467,0.702,-0.789,1.907,0.024,0.019,833.0,637.0,1.0
"eps_tform[0, 53]",-0.746,0.843,-2.247,0.882,0.029,0.02,877.0,829.0,1.0
theta[0],-0.594,0.265,-1.014,0.007,0.011,0.008,572.0,628.0,1.0
tmax[0],2.166,0.263,1.702,2.64,0.009,0.006,876.0,737.0,1.01
peak_MJD[0],54707.951,0.268,54707.478,54708.434,0.009,0.007,876.0,737.0,1.01
mu[0],34.442,0.119,34.201,34.652,0.004,0.003,885.0,988.0,1.0
delM[0],-0.003,0.103,-0.2,0.189,0.003,0.002,1026.0,1051.0,1.0
