,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.313,0.067,0.176,0.424,0.004,0.003,340.0,431.0,1.01
Ds[0],34.569,0.045,34.488,34.658,0.002,0.002,372.0,492.0,1.0
RV[0],4.846,0.866,3.27,5.999,0.026,0.019,1234.0,603.0,1.01
"eps[0, 0]",0.139,0.113,-0.077,0.35,0.003,0.003,1048.0,697.0,1.02
"eps[1, 0]",0.352,0.194,0.001,0.699,0.005,0.004,1443.0,847.0,1.01
"eps[2, 0]",0.55,0.147,0.294,0.848,0.004,0.003,1092.0,764.0,1.0
"eps[3, 0]",0.658,0.162,0.361,0.946,0.005,0.003,1142.0,850.0,1.0
"eps[4, 0]",0.599,0.169,0.313,0.935,0.006,0.004,914.0,759.0,1.0
"eps[5, 0]",-0.027,0.52,-0.976,0.915,0.015,0.015,1185.0,794.0,1.0
"eps[6, 0]",-1.924,0.324,-2.482,-1.236,0.009,0.006,1324.0,804.0,1.0
"eps[7, 0]",0.174,0.143,-0.089,0.444,0.004,0.004,1314.0,777.0,1.0
"eps[8, 0]",0.276,0.182,-0.085,0.601,0.005,0.004,1266.0,545.0,1.0
"eps[9, 0]",-0.048,0.034,-0.113,0.011,0.001,0.001,606.0,587.0,1.0
"eps[10, 0]",-0.008,0.055,-0.111,0.088,0.002,0.002,494.0,739.0,1.01
"eps[11, 0]",0.083,0.031,0.028,0.145,0.001,0.001,1101.0,867.0,1.0
"eps[12, 0]",0.022,0.034,-0.046,0.079,0.002,0.001,482.0,540.0,1.01
"eps[13, 0]",-0.015,0.025,-0.062,0.03,0.001,0.001,701.0,716.0,1.0
"eps[14, 0]",-0.331,0.089,-0.496,-0.168,0.003,0.002,1182.0,894.0,1.0
"eps[15, 0]",-0.261,0.052,-0.361,-0.168,0.002,0.001,1028.0,768.0,1.0
"eps[16, 0]",-0.23,0.037,-0.299,-0.166,0.001,0.001,668.0,713.0,1.0
"eps[17, 0]",-0.054,0.04,-0.131,0.024,0.002,0.001,592.0,615.0,1.0
"eps[18, 0]",-0.004,0.032,-0.064,0.057,0.001,0.001,844.0,700.0,1.0
"eps[19, 0]",-0.035,0.037,-0.1,0.041,0.002,0.001,559.0,714.0,1.0
"eps[20, 0]",-0.049,0.025,-0.097,-0.004,0.001,0.001,984.0,862.0,1.0
"eps[21, 0]",-0.049,0.025,-0.091,0.001,0.001,0.001,441.0,607.0,1.01
"eps[22, 0]",-0.185,0.022,-0.219,-0.14,0.001,0.001,653.0,820.0,1.0
"eps[23, 0]",0.206,0.083,0.059,0.358,0.003,0.002,1053.0,818.0,1.01
"eps[24, 0]",-0.344,0.043,-0.419,-0.257,0.002,0.001,565.0,619.0,1.0
"eps[25, 0]",0.144,0.042,0.07,0.223,0.002,0.001,484.0,705.0,1.0
"eps[26, 0]",0.035,0.043,-0.052,0.109,0.002,0.001,506.0,577.0,1.0
"eps[27, 0]",0.12,0.041,0.046,0.198,0.002,0.001,671.0,811.0,1.0
"eps[28, 0]",0.313,0.033,0.25,0.374,0.001,0.001,789.0,791.0,1.0
"eps[29, 0]",-0.019,0.022,-0.057,0.024,0.001,0.001,742.0,660.0,1.0
"eps[30, 0]",-0.047,0.022,-0.086,-0.002,0.001,0.001,416.0,562.0,1.01
"eps[31, 0]",-0.303,0.039,-0.376,-0.233,0.002,0.001,391.0,706.0,1.01
"eps[32, 0]",0.095,0.095,-0.098,0.267,0.003,0.002,1147.0,850.0,1.0
"eps[33, 0]",-0.488,0.04,-0.558,-0.409,0.002,0.001,588.0,851.0,1.0
"eps[34, 0]",-0.044,0.056,-0.151,0.058,0.003,0.002,456.0,556.0,1.0
"eps[35, 0]",-0.142,0.039,-0.214,-0.069,0.002,0.001,417.0,473.0,1.0
"eps[36, 0]",0.043,0.038,-0.029,0.114,0.001,0.001,1000.0,717.0,1.0
"eps[37, 0]",0.149,0.039,0.077,0.221,0.001,0.001,886.0,983.0,1.0
"eps[38, 0]",0.09,0.032,0.035,0.152,0.001,0.001,712.0,784.0,1.0
"eps[39, 0]",0.082,0.035,0.01,0.142,0.001,0.001,611.0,695.0,1.0
"eps[40, 0]",-0.033,0.032,-0.09,0.031,0.001,0.001,567.0,524.0,1.0
"eps[41, 0]",-1.019,0.093,-1.201,-0.857,0.004,0.002,704.0,810.0,1.0
"eps[42, 0]",0.185,0.04,0.11,0.26,0.002,0.001,512.0,834.0,1.0
"eps[43, 0]",-0.219,0.051,-0.301,-0.118,0.002,0.002,472.0,504.0,1.0
"eps[44, 0]",0.085,0.047,-0.004,0.168,0.002,0.002,393.0,511.0,1.01
"eps[45, 0]",-0.024,0.045,-0.106,0.062,0.002,0.001,717.0,908.0,1.0
"eps[46, 0]",0.19,0.083,0.033,0.351,0.003,0.002,775.0,700.0,1.0
"eps[47, 0]",-0.013,0.026,-0.067,0.03,0.001,0.001,1173.0,880.0,1.0
"eps[48, 0]",0.249,0.031,0.188,0.304,0.001,0.001,875.0,760.0,1.0
"eps[49, 0]",0.2,0.038,0.125,0.268,0.001,0.001,754.0,863.0,1.01
"eps[50, 0]",3.934,0.296,3.388,4.461,0.007,0.005,1618.0,967.0,1.01
"eps[51, 0]",-0.553,0.16,-0.847,-0.265,0.007,0.005,457.0,583.0,1.01
"eps[52, 0]",1.341,0.092,1.168,1.515,0.003,0.002,820.0,949.0,1.0
"eps[53, 0]",0.054,0.07,-0.073,0.179,0.002,0.002,888.0,798.0,1.0
"eps_tform[0, 0]",1.013,0.821,-0.558,2.547,0.025,0.019,1048.0,697.0,1.02
"eps_tform[0, 1]",1.415,0.724,0.172,2.743,0.019,0.014,1443.0,878.0,1.0
"eps_tform[0, 2]",2.966,0.672,1.642,4.143,0.021,0.015,992.0,827.0,1.0
"eps_tform[0, 3]",1.937,0.586,0.895,2.96,0.019,0.013,999.0,738.0,1.01
"eps_tform[0, 4]",0.432,0.6,-0.663,1.502,0.022,0.017,753.0,614.0,1.0
