,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.948,0.081,0.794,1.095,0.006,0.004,189.0,298.0,1.02
Ds[0],31.839,0.071,31.72,31.99,0.005,0.004,205.0,369.0,1.02
RV[0],1.601,0.206,1.21,1.973,0.014,0.01,198.0,379.0,1.02
"eps[0, 0]",0.115,0.053,0.017,0.21,0.002,0.002,489.0,631.0,1.01
"eps[1, 0]",0.553,0.068,0.426,0.684,0.002,0.002,906.0,681.0,1.0
"eps[2, 0]",-0.205,0.045,-0.285,-0.123,0.002,0.001,466.0,439.0,1.0
"eps[3, 0]",0.471,0.047,0.389,0.562,0.002,0.002,415.0,726.0,1.01
"eps[4, 0]",-0.259,0.032,-0.321,-0.198,0.002,0.001,348.0,654.0,1.0
"eps[5, 0]",0.412,0.338,-0.236,1.026,0.015,0.011,517.0,659.0,1.01
"eps[6, 0]",0.318,0.055,0.212,0.42,0.002,0.002,609.0,764.0,1.01
"eps[7, 0]",0.104,0.033,0.041,0.162,0.002,0.001,297.0,599.0,1.01
"eps[8, 0]",0.195,0.062,0.063,0.297,0.003,0.002,347.0,480.0,1.01
"eps[9, 0]",-0.016,0.04,-0.091,0.055,0.002,0.002,300.0,308.0,1.01
"eps[10, 0]",-0.047,0.034,-0.109,0.017,0.002,0.001,283.0,535.0,1.0
"eps[11, 0]",0.036,0.021,-0.001,0.074,0.001,0.001,210.0,509.0,1.03
"eps[12, 0]",0.06,0.022,0.02,0.1,0.002,0.001,183.0,368.0,1.01
"eps[13, 0]",-0.117,0.022,-0.158,-0.077,0.002,0.001,192.0,382.0,1.02
"eps[14, 0]",0.115,0.058,0.002,0.221,0.002,0.002,662.0,711.0,1.0
"eps[15, 0]",-0.049,0.024,-0.095,-0.005,0.001,0.001,278.0,572.0,1.01
"eps[16, 0]",0.003,0.025,-0.049,0.048,0.002,0.001,235.0,369.0,1.01
"eps[17, 0]",-0.133,0.04,-0.209,-0.061,0.003,0.002,215.0,346.0,1.01
"eps[18, 0]",-0.232,0.039,-0.308,-0.166,0.002,0.002,339.0,435.0,1.01
"eps[19, 0]",0.037,0.032,-0.023,0.095,0.002,0.001,361.0,772.0,1.01
"eps[20, 0]",-0.131,0.022,-0.175,-0.091,0.002,0.001,210.0,406.0,1.03
"eps[21, 0]",-0.033,0.021,-0.071,0.007,0.002,0.001,190.0,323.0,1.03
"eps[22, 0]",-0.136,0.024,-0.182,-0.093,0.002,0.001,214.0,441.0,1.02
"eps[23, 0]",-0.594,0.059,-0.704,-0.489,0.002,0.002,598.0,824.0,1.01
"eps[24, 0]",0.174,0.027,0.127,0.226,0.002,0.001,307.0,604.0,1.01
"eps[25, 0]",-0.076,0.03,-0.133,-0.02,0.002,0.001,297.0,579.0,1.01
"eps[26, 0]",-0.023,0.041,-0.1,0.057,0.003,0.002,223.0,301.0,1.01
"eps[27, 0]",-0.226,0.043,-0.306,-0.149,0.002,0.001,427.0,604.0,1.0
"eps[28, 0]",0.002,0.027,-0.043,0.054,0.001,0.001,419.0,708.0,1.01
"eps[29, 0]",-0.047,0.021,-0.086,-0.011,0.001,0.001,208.0,418.0,1.03
"eps[30, 0]",0.117,0.019,0.081,0.153,0.002,0.001,164.0,324.0,1.03
"eps[31, 0]",-0.066,0.026,-0.109,-0.013,0.002,0.001,232.0,429.0,1.01
"eps[32, 0]",1.308,0.079,1.172,1.468,0.003,0.002,727.0,785.0,1.0
"eps[33, 0]",0.113,0.025,0.064,0.157,0.001,0.001,280.0,579.0,1.01
"eps[34, 0]",0.212,0.036,0.146,0.28,0.002,0.001,300.0,502.0,1.0
"eps[35, 0]",0.034,0.044,-0.041,0.125,0.003,0.002,195.0,342.0,1.02
"eps[36, 0]",0.03,0.039,-0.036,0.107,0.002,0.001,403.0,653.0,1.0
"eps[37, 0]",-0.148,0.029,-0.206,-0.097,0.001,0.001,388.0,591.0,1.01
"eps[38, 0]",0.06,0.026,0.012,0.109,0.002,0.001,285.0,453.0,1.02
"eps[39, 0]",-0.052,0.028,-0.107,-0.003,0.002,0.002,194.0,528.0,1.03
"eps[40, 0]",0.033,0.03,-0.024,0.089,0.002,0.001,280.0,489.0,1.02
"eps[41, 0]",-1.531,0.098,-1.712,-1.351,0.003,0.002,971.0,904.0,1.0
"eps[42, 0]",0.145,0.031,0.09,0.204,0.001,0.001,420.0,628.0,1.01
"eps[43, 0]",0.021,0.031,-0.036,0.078,0.002,0.001,273.0,481.0,1.01
"eps[44, 0]",-0.027,0.047,-0.113,0.06,0.003,0.002,242.0,315.0,1.01
"eps[45, 0]",0.287,0.047,0.198,0.376,0.002,0.001,545.0,814.0,1.0
"eps[46, 0]",-0.291,0.046,-0.378,-0.211,0.002,0.002,419.0,774.0,1.0
"eps[47, 0]",0.014,0.021,-0.022,0.054,0.001,0.001,212.0,419.0,1.03
