,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
AV[0],0.163,0.08,0.023,0.304,0.003,0.002,555.0,573.0,1.01
Ds[0],36.713,0.074,36.564,36.833,0.003,0.002,545.0,535.0,1.0
RV[0],3.621,1.412,1.412,5.97,0.038,0.028,1233.0,711.0,1.02
"eps[0, 0]",0.12,0.118,-0.096,0.345,0.004,0.003,1136.0,719.0,1.0
"eps[1, 0]",-0.08,0.228,-0.509,0.36,0.007,0.008,1146.0,573.0,1.0
"eps[2, 0]",0.129,0.199,-0.244,0.504,0.005,0.005,1575.0,818.0,1.0
"eps[3, 0]",0.12,0.235,-0.332,0.528,0.007,0.006,1132.0,665.0,1.0
"eps[4, 0]",0.17,0.253,-0.266,0.684,0.006,0.006,1705.0,816.0,1.0
"eps[5, 0]",0.459,0.53,-0.46,1.518,0.016,0.014,1149.0,735.0,1.0
"eps[6, 0]",0.124,0.426,-0.655,0.952,0.011,0.012,1602.0,796.0,1.0
"eps[7, 0]",0.049,0.152,-0.267,0.315,0.004,0.005,1835.0,652.0,1.0
"eps[8, 0]",-0.029,0.204,-0.425,0.343,0.005,0.009,1958.0,545.0,1.01
"eps[9, 0]",-0.091,0.05,-0.184,0.006,0.002,0.001,777.0,659.0,1.01
"eps[10, 0]",-0.001,0.067,-0.124,0.12,0.002,0.002,1463.0,831.0,1.0
"eps[11, 0]",-0.097,0.048,-0.189,-0.01,0.001,0.001,1012.0,782.0,1.0
"eps[12, 0]",-0.074,0.041,-0.153,0.0,0.001,0.001,921.0,627.0,1.0
"eps[13, 0]",-0.166,0.053,-0.269,-0.072,0.001,0.001,1373.0,855.0,1.0
"eps[14, 0]",-0.169,0.099,-0.367,-0.001,0.003,0.002,1284.0,784.0,1.01
"eps[15, 0]",-0.086,0.1,-0.292,0.09,0.002,0.002,1633.0,782.0,1.0
"eps[16, 0]",-0.043,0.082,-0.188,0.113,0.002,0.002,2204.0,835.0,1.01
"eps[17, 0]",-0.002,0.076,-0.142,0.141,0.002,0.002,1572.0,828.0,1.0
"eps[18, 0]",-0.015,0.049,-0.106,0.072,0.002,0.001,763.0,850.0,1.0
"eps[19, 0]",0.088,0.038,0.014,0.155,0.001,0.001,729.0,908.0,1.0
"eps[20, 0]",0.007,0.04,-0.07,0.079,0.001,0.001,1074.0,749.0,1.0
"eps[21, 0]",0.16,0.04,0.091,0.24,0.001,0.001,975.0,843.0,1.0
"eps[22, 0]",0.092,0.052,-0.004,0.192,0.002,0.001,1113.0,887.0,1.0
"eps[23, 0]",-0.053,0.11,-0.235,0.18,0.003,0.003,1075.0,1000.0,1.0
"eps[24, 0]",0.142,0.093,-0.022,0.334,0.003,0.002,929.0,865.0,1.01
"eps[25, 0]",0.394,0.129,0.168,0.641,0.004,0.003,1323.0,714.0,1.0
"eps[26, 0]",0.11,0.081,-0.043,0.258,0.003,0.002,844.0,780.0,1.0
"eps[27, 0]",0.129,0.063,0.016,0.253,0.002,0.002,738.0,592.0,1.0
"eps[28, 0]",0.126,0.059,0.013,0.228,0.002,0.001,1122.0,941.0,1.0
"eps[29, 0]",0.094,0.057,-0.013,0.198,0.002,0.001,1045.0,811.0,1.0
"eps[30, 0]",0.076,0.05,-0.016,0.171,0.002,0.001,1046.0,934.0,1.0
"eps[31, 0]",-0.116,0.058,-0.227,-0.012,0.002,0.001,1092.0,793.0,1.0
"eps[32, 0]",0.193,0.163,-0.154,0.465,0.005,0.004,1114.0,732.0,1.0
"eps[33, 0]",-0.456,0.105,-0.633,-0.242,0.003,0.002,1054.0,917.0,1.0
"eps[34, 0]",-0.106,0.155,-0.408,0.162,0.005,0.004,910.0,760.0,1.0
"eps[35, 0]",-0.094,0.071,-0.221,0.038,0.002,0.002,1025.0,1017.0,1.0
"eps[36, 0]",0.197,0.054,0.109,0.309,0.002,0.001,1074.0,840.0,1.0
